id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
1,0,Microsoft Visio Standard 2007 Version Upgrade,Microsoft,129.95,Adobe Cs3 Design Standard Upgrade,,413.99
2,0,Microsoft Mappoint 2006 With Gps,Microsoft,349.0,Microsoft Student With Encarta Premium 2008 Complete Package,,43.6
3,0,Adobe After Effects Professional 7.0,Adobe,999.0,Adobe Flash CS3 Professional Mac,,699.0
4,1,Motu Digital Performer 5,Motu,395.0,Motu Digital Performer DP5,,319.95
5,1,Illustrator CS3 Mac Academic,Adobe,199.0,Adobe Illustrator CS3 For Mac Academic,Adobe,199.99
6,0,Quickbooks Premier NonProfit Edition 2005,Intuit Inc.,499.95,Quickbooks (R),,199.99
7,0,Mavis Beacon Typing 17 Win/Mac,Encore Software,19.99,Broderbund Mavis Beacon Teaches Typing Standard17,,22.99
8,0,Adobe Premiere Pro CS3,Adobe,799.0,Adobe Soundbooth CS3 Academic,,95.99
9,0,Adobe Photoshop CS2 Advanced Techniques By Julieanne Kost,Software Cinema,unknown,Adobe Photoshop CS3 Mac Adobe 13102488,,537.65
10,0,Reader Rabbit Learning System 1st Grade,Encore Software,29.99,Dr Seuss Reading Learning System 2008 Encore,,19.95
11,0,Adobe Premiere Pro CS3 Upgrade,Adobe,299.0,Adobe Cs3 Design Premium,,1865.99
12,0,Punch! Home Design Architectural Series 18,Punch! Software,129.99,Punch Software 17100 Punch! Super Home Suite V. 3.0 Complete Product Architectural 1 User Complete Product Standard English PC,,45.97
13,0,3D Home Architect Landscape Designer V8,Encore Software,29.99,Encore Inc 3D Home Architect Home Design Deluxe Version 9,,25.49
14,0,Microsoft CRM Professional CAL 3.0 Product Upgrade License Pack User CAL,Microsoft Software,9980.0,C8A-00066 Microsoft Dynamics CRM Professional V. 3.0 Product Upgrade License 20,,9676.92
15,0,Microsoft Office Frontpage 2003 Academic Version Windows,Microsoft,159.98,Microsoft Windows Vista Business Full Version,,249.95
16,0,Adobe Creative Suite Cs3 Web Standard,Adobe,999.0,Adobe Creative Suite 3 Web Standard Complete Package Academic Cd Mac,,369.0
17,0,Printmaster Gold V17.0,Encore Software,19.99,Print Master Platinum V17,,29.9
18,0,Microsoft Windows XP Professional Full Version With Sp2,Microsoft,299.99,Adobe Production Premium Cs3 Software Suite For Windows Professional Editing Software,,1698.95
19,0,Microsoft Licenses Win Svr 2003 Ext Conn Lic R3900292,Microsoft Licenses,3371.85,Microsoft Windows Terminal Server 2003 Client Additional License For Users - 5 User 824048,,719.04
20,0,Microsoft Office & Windows Training Professional,Topics Entertainment,49.95,Adobe After Effects CS3 Professional Software For Windows Effects Software,,998.95
21,0,Dk Smart Steps 3rd Grade,Global-Software-Publishing,9.99,Smart Steps 4th Grade Jc ( Dk ),Dorling-Kindersley-Multimedia - Dk,11.95
22,0,Microsoft Office Small Business 2007 Full Version,Microsoft,449.95,Microsoft Office 2004 Std Upgrade,,219.99
23,0,Best Of Card Games Jewel Case,On-Hand-Software,9.99,Geometry Win/Mac Jewel Case,,9.59
24,0,Instant Immersion German Audio,Topics Entertainment,unknown,Topics Entertainment Instant Immersion Italian 2.0,,17.55
25,0,Microsoft Powerpoint 2004 Upgrade Mac,Microsoft,109.99,Microsoft Money 2004 Standard,,29.99
26,0,OnOne Software PXL SmartScale Windows And Macintosh,OnOne Software,unknown,OnOne Software Inc Mpr-40212,OnOne Software Inc,66.27
27,0,Microsoft Visual Studio Team Edition For Software Developers 2005 With Msdn Premium,Microsoft,5479.0,Visual Studio Pro 2005 Upgrade (Pc) Microsoft,,549.0
28,1,Microsoft Word 2007 Upgrade,Microsoft,109.95,Microsoft Word 2007 Upgrade (PC),,109.95
29,0,Microsoft Word 2007 Version Upgrade,Microsoft,109.95,Word Mac 2004 Upgrade Microsoft D48-00488,,97.36
30,0,Adobe Dreamweaver CS3 Upgrade Mac,Adobe,199.0,Adobe Creative Suite 3 Design Suite Standard Upgrade Upsell Mac,,859.96
31,1,Hoyle Classic Collection 2006,Encore,19.99,Hoyle Classic Collection 2006 Win 98 Me 2000 Xp,,18.97
32,0,Adobe Indesign Cs3 Upgrade From Pagemaker Mac,Adobe,199.0,Adobe Cs3 Design Premium Academic,,575.99
33,0,Midway Arcade Treasures Jewel Case,Encore Software,9.99,Cross Stitch Design Studio Jewel Case (8006),M And R Technologies,9.59
34,0,Digital Vault,Stompsoft Inc,29.99,Digital Video & Audio Prod Book,Sony Pictures Digital Entertainment,27.5
35,0,Microsoft Windows Vista Business Full Version [ DVD ],Microsoft,299.95,Microsoft Powerpoint Mac 2004 Version Upgrade,,89.99
36,0,Zero-G Pro Pack For Garageband Appleloops,Zero-G,169.95,Apple Garageband Jam Pack Symphony Orchestra,,95.99
37,0,Microsoft ASP.NET Web Matrix,Microsoft,30.0,Microsoft Word 2007 (R),,109.99
38,0,Instant Immersion German Deluxe 2.0,Topics Entertainment,39.99,Instant Immersion Japanese 2.0,,22.43
39,0,Punch! Professional Home Design Platinum V10,Punch! Software,99.0,Punch Software 41100 Punch! Home Design Architectural Series 18,Punch Software,118.99
40,0,Instant Immersion German Deluxe 2.0,Topics Entertainment,39.99,Instant Immers French Dlx 2,,27.57
41,0,Adobe Creative Suite CS3 Design Standard Mac,Adobe,1199.0,19700045 Adobe Creative Suite 3 Web Premium Complete Package 1 User Cd Mac Univ,,1691.87
42,0,Microsoft CRM Small Business Ed Cal 3.0 License Pack User Cal,Microsoft Software,9929.0,R18-00144 Microsoft Windows Server License & Software Assurance 1 Cal Open Business,,41.58
43,0,Digidesign Music Production Toolkit Pro Tools LE,Digidesign,495.0,Apple Emagic Logic Pro 7.2 Software Music Production Software,,999.0
44,0,Adobe Creative Suite Cs3 Master Collection Upsell,Adobe,1999.0,Adobe Cs3 After Effects,,1025.99
45,0,Hoyle Kids Games Jc,Encore,9.99,Hoyle Card Games,,9.95
46,0,Net Ad Creator,Laughing Bird,39.99,Laughingbird The Logo Creator,,34.99
47,1,Reel Deal Slots 2.0 For Pc,Phantom Efx,9.99,Phantom Efx Reel Deal Slots V 2.0,,7.36
48,0,Adobe Creative Suite Cs3 Web Standard Mac,Adobe,999.0,Adobe Production Premium Cs3 Software Suite For Mac Av Production Software,,1698.95
49,0,Adobe Creative Suite CS3 Design Premium Upsell Mac,Adobe,1599.0,19700045 Adobe Creative Suite 3 Web Premium Complete Package 1 User Cd Mac Univ,,1691.87
50,0,Windows Vista Business Spanish Full Version [ DVD ],Microsoft,329.95,Microsoft Windows Vista Business Full Version,,249.95
51,0,Quickbooks Pos Pro Multistore 6.0,Intuit Inc.,1399.95,Quickbooks R Pro 2007 Edition 3-user,,499.99
52,0,Microsoft Office Mac 2004 English 3pk Dsp 731-01163,Microsoft Corporation,unknown,Microsoft Word 2004 For Mac Full Version,,231.29
53,0,Instant Immersion Spanish Deluxe 2.0,Topics Entertainment,49.99,Instant Immersion Italian 2.0,Topics Entertainment,20.99
54,0,Adobe Software Acrobat Pro Upgrd Pro-Pro Mac,Adobe Software,273.0,Adobe Acrobat V8 .0 Professional For Mac,,405.99
55,0,Apple Final Cut Studio 2 Mac,Apple,1299.0,Adobe Flash CS3 Professional Mac,,699.0
56,0,Reference Success Deluxe 2006,Topics Entertainment,49.95,High School Success Deluxe 2006,,7.9
57,0,Microsoft Windows Vista Business 32-Bit For System Builders,Microsoft,179.99,Microsoft Windows Vista Home Basic,,99.99
58,0,Microsoft Visual Studio Professional 2005 Upgrade,Microsoft Software,549.0,Microsoft Excel 2007,,109.99
59,0,Peachtree By Sage Premium Accounting 2007,Sage Software,499.99,Sage Ptree Vernfp2007rt Premium Accounting For Nonprofits 2007,,590.35
60,0,Adobe Creative Suite Cs3 Production Premium,Adobe,1699.0,Adobe Cs3 Production Premium Upgrade,,822.99
61,0,Microsoft SQL Server Developer Edition 2005 Cd/Dvd,Microsoft Software,49.95,395-03824 Microsoft Exchange Server 2007 Enterprise Edition Complete Package 1 Server,,6594.2
62,0,Computrace LoJack For Laptops 1 Year License Mac,Absolute Software,49.95,Lfl-N2-12 Computrace LoJack For Laptops Subscription Package 1 Year 1 Notebook M,,39.95
63,0,Valuesoft Tune Transfer For Ipod Software For Windows Xp,Valuesoft,29.95,Pinnacle Mobile Media Converter Software For Windows Ipod Software,,29.95
64,0,Sibelius 4 Professional Edition,Sibelius Software Ltd,599.99,Sibelius Sibelius 5 Software Music Production Software,Sibelius Software Ltd,449.95
65,0,Microsoft Entertainment Pack CE,Microsoft,49.5,Entertainment Partners EP Budgeting For Film,,415.99
66,0,Adobe Premiere Pro 2.0,Adobe,849.0,Premiere Pro Cs3 Mac Upgrade,,320.25
67,0,Microsoft Office Small Business 2007,Microsoft Software,735.33,Microsoft Windows Vista Business Retail No Open Box Returns,,299.99
68,1,World Of Rainbow Fish,Global Software Publishing,19.99,World Of Rainbow Fish,Global Software Publishing,19.19
69,0,McAfee Internet Security Suite 2007 3 Users,Mcafee,89.99,F-Secure Internet Security 2007 3 Pcs Global Marketing Partners,Global-Marketing-Partners,63.35
70,0,Sonicwall Gms Standard Edition 10 Node License,Sonicwall,unknown,01-ssc-7309 Sonicwall Cfs Standard Edition For Sonicwall Pro 1260/2040/3060 / 4060 Subscript,,2124.92
71,0,Microsoft Windows Vista Ultimate Full Version [ DVD ],Microsoft,399.95,Microsoft (R) Windows Vista (TM) Home Premium,,239.99
72,1,IrisPen Express Translator,Iris,149.99,Iris Inc Irispen Express Translator,,142.29
73,0,Microsoft Office 2004 Standard Upgrade Mac,Microsoft,239.99,Microsoft Mappoint 2006 With Gps Locator Pc,,349.99
74,0,Adobe InDesign CS3 Upgrade From Pagemaker,Adobe,199.0,Adobe Dreamweaver CS3 Upgrade Windows,,236.74
75,0,Microsoft Powerpoint 2004 Mac,Microsoft,229.99,Microsoft Office Ultimate 2007,,539.95
76,0,Microspot MacDraft Professional (Mac),Microspot Ltd.,349.99,Adobe Acrobat V8.0 Professional For Mac,,405.99
77,0,Adobe Photoshop Elements 4.0 Plus Adobe Premiere Elements 2.0 Complete Package 1 User Cd Mini-Box Win Canadian French,Adobe Systems Inc,unknown,Adobe Photoshop Cs3 Extended Complete Package 1 User Academic Cd Mac,,279.0
78,1,Snap! Spelling (Jewel Case),Topics Entertainment,19.95,Spelling,,4.93
79,0,Netmanage Rumba Unix-Hp Edition V. 7.3 Upgrade License,Netmanage,unknown,Bhe3dus Installanywhere Enterprise Edition V. 8 Product Upgrade License + 1 Year,,4746.16
80,0,Zonealarm Internet Security Suite,Zone Labs,49.99,Panda Software Panda Internet Security 2007,,69.99
81,0,Mediafour Macdrive 6 For Windows,Mediafour Corporation,49.99,Quark Quarkxpress 7 Upgrade For Mac & Windows,,244.99
82,0,Microsoft Office Student And Teacher Edition 2004 Macintosh,Microsoft,149.99,Microsoft R Office 2004 For Mac Student And Teacher Edition,,146.95
83,1,Microsoft Visio Standard 2007 Upgrade,Microsoft,129.95,Microsoft Office Visio Standard 2007 Upgrade (PC),,129.95
84,0,Quicken 2007 Premier,Intuit,79.95,Quickbooks Pro 2007 3 User,Intuit,398.99
85,0,Microsoft Office 2004 Standard Upgrade Mac,Microsoft,239.99,Microsoft Word 2007,,109.99
86,0,Peachtree By Sage Premium Accounting 2007,Sage Software,499.99,Laser Checks For Peachtree R Accounting For Windows 8.0-2005,,106.29
87,0,Adobe Dreamweaver CS3 Upgrade,Adobe,199.0,Adobe Flash Professional CS3 Upgrade,,205.99
88,1,National Geographic Presents Redshift 5 Planetarium Software,Topics Entertainment,39.99,Redshift 5 National Geographic Presents Win 98 Me 2000 Xp,,39.99
89,0,The Print Shop 22 Deluxe,Encore,49.99,Encore Software 11941 The Print Shop Zoom,,17.97
90,0,Panda Antivirus 2007,Panda Software,29.95,Norton Antivirus 2007 3 User Pack,,49.95
91,0,Adobe Creative Suite Cs3 Production Premium Upgrade,Adobe,799.0,Adobe Acrobat V8 .0 Professional For Mac Upgrade,,145.99
92,0,Power Production Storyboard Artist 4,Power Production,unknown,Power Production Storyboard Quick 5 Software For Mac And Windows Animation Software,,299.0
93,0,Adobe CS3 Design Standard Macosx Dvd,Adobe,399.0,Adobe CS3 Web Standard,,1035.99
94,0,Peachtree By Sage Premium Accounting 2007,Sage Software,499.99,Peachtree R Compatible Continuous Checks-Office Accounting 12.0,,91.59
95,0,Adobe After Effects CS3 Upgrade,Adobe,299.0,Adobe Contribute CS3 Upgrade,,82.99
96,0,Symc Backup Exec Sbs Aws 11D Win Sbs Agent For Windows Systems,Symantec,447.74,10759328 Symantec Backup Exec 11D For Windows Servers Agent For Db2 On Windows Servers -,,644.84
97,0,Station Access Collection,Sony Creative Software,29.99,Ultimate Puzzle Collection,,9.95
98,0,Microsoft Powerpoint 2004 Upgrade Mac,Microsoft,109.99,Microsoft Windows Vista Home Basic Upgrade Pc,,99.99
99,0,Microsoft Office 2004 Standard Mac,Microsoft,399.99,Microsoft Word 2007 Upgrade PC,,109.95
100,0,Instant Immersion Spanish Audio Book,Topics Entertainment,unknown,Instant Immers Italian Dlux 2,,36.11
101,0,Rollercoaster Tycoon 3 Mac,Aspyr Media,49.99,Roller Coaster Tycoon 3 For Pc,,29.99
102,0,Peachtree By Sage Complete Accounting 2007,Sage Software,269.99,Sage Ptree Premium Accounting For Manufacturing 2007 Multi-User,,1180.37
103,0,Recam Remote Monitoring Software,Mobi-Technologies Inc,129.0,Corel Ulead Dvd Workshop 2 Authoring Software,,299.95
