id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
1,0,Microsoft Visio Standard 2007 Version Upgrade,Microsoft,129.95,Adobe CS3 Design Standard Upgrade,,413.99
2,0,Microsoft Mappoint 2006 With GPS,Microsoft,349.0,Microsoft Student With Encarta Premium 2008 Complete Package,,unknown
3,0,Adobe After Effects Professional 7.0,Adobe,999.0,Adobe Flash CS3 Professional (Mac),,699.0
4,1,Motu Digital Performer 5 Digital Audio Software Competitive Upgrade Mac Only,Motu,395.0,Motu Digital Performer DP5 Software Music Production Software,,unknown
5,1,Adobe Illustrator CS3 Mac Academic,Adobe,199.0,Adobe Illustrator CS3 Mac Academic,Adobe,199.99
6,0,QuickBooks Premier Non-Profit Edition 2005,Intuit Inc.,499.95,QuickBooks (R),,unknown
7,0,Mavis Beacon Typing 17 (Win/Mac),Encore Software,19.99,Broderbund Mavis Beacon Teaches Typing Standard 17,,22.99
8,0,Adobe Premiere Pro CS3,Adobe,799.0,Adobe Soundbooth CS3 Academic,,unknown
9,0,Adobe Photoshop CS2 Advanced Techniques By Julieanne Kost,Software Cinema,unknown,Adobe Photoshop CS3 (V10.0) Mac Adobe 13102488,,537.65
10,0,Reader Rabbit Learning System 1st Grade,Encore Software,29.99,Dr. Seuss Reading Learning System 2008 Encore,,unknown
11,0,Adobe Premiere Pro CS3 Upgrade,Adobe,299.0,Adobe CS3 Design Premium,,unknown
12,0,Punch! Home Design Architectural Series 18,Punch! Software,129.99,Punch Software 17100 Punch! Super Home Suite V. 3.0 Complete Product Architectural 1 User Complete Product Standard English PC,,unknown
13,0,3D Home Architect Landscape Designer V8,Encore Software,29.99,Encore Inc 3D Home Architect Home Design Deluxe Version 9,,25.49
14,0,Microsoft CRM Professional CAL 3.0 Product Upgrade License Pack User CAL,Microsoft Software,9980.0,C8A-00066 Microsoft Dynamics CRM Professional V. 3.0 Product Upgrade License,,9676.92
15,0,Microsoft Office Frontpage 2003 Academic Version Windows),Microsoft,159.98,Microsoft Windows Vista Business Full Version,,249.95
16,0,Adobe Creative Suite CS3 Web Standard,Adobe,999.0,Adobe Creative Suite 3 Web Standard Complete Package Academic CD Mac,,369.0
17,0,PrintMaster Gold V17.0,Encore Software,19.99,Print Master Platinum V17,,unknown
18,0,Microsoft Windows XP Professional Full Version With SP2,Microsoft,299.99,Adobe Production Premium CS3 Software Suite For Windows Professional Editing Software,,unknown
19,0,Microsoft Licenses Win Server 2003 Ext Conn Lic (R3900292),Microsoft Licenses,3371.85,Microsoft Windows Terminal Server 2003 Client Additional License For Users - 5 User (824048),,719.04
20,0,Microsoft Office & Windows Training Professional,Topics Entertainment,49.95,Adobe After Effects CS3 Professional Software for Windows (Effects Software),,998.95
21,0,DK Smart Steps 3rd Grade,Global Software Publishing,9.99,Smart Steps 4th Grade (JC),Dorling Kindersley Multimedia,11.95
22,0,Microsoft Office Small Business 2007 Full Version,Microsoft,449.95,Microsoft Office 2004 Std Upgrade,,219.99
23,0,Best of Card Games (Jewel Case),On-Hand Software,9.99,Geometry (Win/Mac) (Jewel Case) (10158),,unknown
24,0,Instant Immersion German Audio,Topics Entertainment,unknown,Topics Entertainment Instant Immersion Italian 2.0,,17.55
25,0,Microsoft PowerPoint 2004 Upgrade (Mac),Microsoft,109.99,Microsoft Money 2004 Standard,,29.99
26,0,OnOne Software PXL SmartScale (Windows and Macintosh),OnOne Software,unknown,OnOne Software Inc. MPR-40212,OnOne Software Inc.,66.27
27,0,Microsoft Visual Studio Team Edition For Software Developers 2005 With MSDN Premium,Microsoft,5479.0,Visual Studio Pro 2005 Upgrade (PC) Microsoft,,549.0
28,1,Microsoft Word 2007 Upgrade,Microsoft,109.95,Microsoft Word 2007 Upgrade,,unknown
29,0,Microsoft Word 2007 Version Upgrade,Microsoft,109.95,Word Mac 2004 Upgrade Microsoft D48-00488,,97.36
30,0,Adobe Dreamweaver CS3 Upgrade [Mac],Adobe,199.0,Adobe Creative Suite 3 (CS3) Design Suite Standard Upgrade (Upsell) Mac,,unknown
31,1,Hoyle Classic Collection 2006,Encore,19.99,Hoyle Classic Collection 2006,,unknown
32,0,Adobe Indesign Cs3 Upgrade From Pagemaker [Mac],Adobe,199.0,Adobe Cs3 Design Premium Academic,,unknown
33,0,Midway Arcade Treasures,Encore Software,9.99,Cross Stitch Design Studio,M&R Technologies,9.59
34,0,Digital Vault,Stompsoft Inc.,29.99,Digital Video & Audio Prod Book,Sony Pictures Digital Entertainment,27.5
35,0,Microsoft Windows Vista Business Full Version [DVD],Microsoft,299.95,Microsoft PowerPoint Mac 2004 Version Upgrade,,unknown
36,0,Zero-G Pro Pack for GarageBand (Appleloops),Zero-G,169.95,Apple GarageBand Jam Pack: Symphony Orchestra,,95.99
37,0,Microsoft ASP.NET Web Matrix,Microsoft,30.0,Microsoft (R) Word 2007,,109.99
38,0,Instant Immersion German Deluxe 2.0,Topics Entertainment,39.99,Instant Immersion Japanese 2.0,,22.43
39,0,Punch! Professional Home Design Platinum V10,Punch Software,99.0,Punch Software 41100 Punch! Home Design Architectural Series 18,Punch Software,118.99
40,0,Instant Immersion German Deluxe 2.0,Topics Entertainment,39.99,Instant Immers French Dlx 2,,27.57
41,0,Adobe Creative Suite CS3 Design Standard [Mac],Adobe,1199.0,19700045 Adobe Creative Suite 3 Web Premium Complete Package 1 User Cd Mac Univ,,unknown
42,0,Microsoft CRM Small Business ED Cal 3.0 License Pack User Cal,Microsoft Software,9929.0,R18-00144 Microsoft Windows Server License & Software Assurance 1 Cal Open Business,,41.58
43,0,Digidesign Music Production Toolkit (Pro Tools LE),Digidesign,495.0,Apple/Emagic Logic Pro 7.2 Software Music Production Software,,999.0
44,0,Adobe Creative Suite CS3 Master Collection Upsell,Adobe,1999.0,Adobe Cs3 After Effects,,unknown
45,0,Hoyle Kids' Games JC,Encore,9.99,Hoyle Card Games,,unknown
46,0,Net Ad Creator,Laughing Bird,39.99,Laughingbird The Logo Creator,,34.99
47,1,Reel Deal Slots 2.0 for PC,Phantom EFX,9.99,Phantom EFX Reel Deal Slots V 2.0,,unknown
48,0,Adobe Creative Suite CS3 Web Standard [Mac],Adobe,999.0,Adobe Production Premium CS3 Software Suite For Mac Av Production Software,,unknown
49,0,Adobe Creative Suite CS3 Design Premium Upsell [Mac],Adobe,1599.0,19700045 Adobe Creative Suite 3 Web Premium Complete Package 1 User Cd Mac Univ,,unknown
50,0,Windows Vista Business Spanish Full Version [DVD],Microsoft,329.95,Microsoft Windows Vista Business Full Version,,249.95
51,0,QuickBooks POS: Pro MultiStore 6.0,Intuit Inc.,1399.95,QuickBooks (R) Pro 2007 Edition 3-User,,unknown
52,0,Microsoft Office Mac 2004 English 3pk Dsp 731-01163),Microsoft Corporation,unknown,Microsoft (R) Office Word 2004 For Mac Full Version,,231.29
53,0,Instant Immersion Spanish Deluxe 2.0,Topics Entertainment,49.99,Instant Immersion Italian 2.0,Topics Entertainment,20.99
54,0,Adobe Acrobat Pro Upgrade Pro-Pro Mac (Adbcd01798mc),Adobe Software,273.0,Adobe Acrobat V8.0 Professional For Mac,,unknown
55,0,Apple Final Cut Studio 2 (Mac),Apple,1299.0,Adobe Flash CS3 Professional (Mac),,699.0
56,0,Reference Success Deluxe 2006,Topics Entertainment,49.95,High School Success Deluxe 2006,,unknown
57,0,Microsoft Windows Vista Business 32-bit for System Builders,Microsoft,179.99,Microsoft (R) Windows Vista (TM) Home Basic,,99.99
58,0,Microsoft Visual Studio Professional 2005 Upgrade,Microsoft Software,549.0,Microsoft Excel 2007 (R),,unknown
59,0,Peachtree By Sage Premium Accounting 2007,Sage Software,499.99,Sage (Ptree) Vernfp2007rt Premium Accounting For Nonprofits 2007,,590.35
60,0,Adobe Creative Suite CS3 Production Premium,Adobe,1699.0,Adobe CS3 Production Premium Upgrade,,822.99
61,0,Microsoft SQL Server Developer Edition 2005 CD/DVD,Microsoft Software,49.95,395-03824 Microsoft Exchange Server 2007 Enterprise Edition Complete Package (1 Server),,unknown
62,0,Computrace LoJack For Laptops 1 Year License (Mac),Absolute Software,49.95,Lfl-N2-12 Computrace LoJack For Laptops Subscription Package 1 Year 1 Notebook M,,39.95
63,0,ValueSoft Tune Transfer For iPod Software For Windows XP,ValueSoft,29.95,Pinnacle Mobile Media Converter Software For Windows Ipod Software,,29.95
64,0,Sibelius 4 Professional Edition,Sibelius Software Ltd.,599.99,Sibelius Sibelius 5 Software Music Production Software,Sibelius Software Ltd.,449.95
65,0,Microsoft Entertainment Pack CE,Microsoft,49.5,Entertainment Partners EP Budgeting for Film,,unknown
66,0,Adobe Premiere Pro 2.0,Adobe,849.0,Premiere Pro CS3 Mac Upgrade,,320.25
67,0,Microsoft Office Small Business 2007,Microsoft Software,735.33,Microsoft Windows Vista Business Retail No Open Box Returns,,299.99
68,1,World Of Rainbow Fish,Global Software Publishing,19.99,World Of Rainbow Fish,Global Software Publishing,19.19
69,0,McAfee Internet Security Suite 2007 3 Users,Mcafee,89.99,F-Secure Internet Security 2007 3 Pcs (Global Marketing Partners),Global-Marketing-Partners,63.35
70,0,SonicWall GMS Standard Edition (10 Node License),SonicWall,unknown,01-SSC-7309 SonicWall CFS Standard Edition for SonicWall Pro 1260/2040/3060 / 4060 Subscription,,2124.92
71,0,Microsoft Windows Vista Ultimate Full Version [DVD],Microsoft,399.95,Microsoft (R) Windows Vista (TM) Home Premium,,unknown
72,1,IrisPen Express Translator,Iris,149.99,Iris Inc IrisPen Express Translator,,unknown
73,0,Microsoft Office 2004 Standard Upgrade (Mac),Microsoft,239.99,Microsoft Mappoint 2006 With GPS Locator (PC),,349.99
74,0,Adobe InDesign CS3 Upgrade From Pagemaker,Adobe,199.0,Adobe Dreamweaver CS3 Upgrade (Windows),,unknown
75,0,Microsoft PowerPoint 2004 (Mac),Microsoft,229.99,Microsoft Office Ultimate 2007,,unknown
76,0,Microspot MacDraft Professional (Mac),Microspot Ltd.,349.99,Adobe Acrobat V8.0 Professional For Mac,,405.99
77,0,Adobe Photoshop Elements 4.0 Plus Adobe Premiere Elements 2.0 Complete Package (Win),Adobe Systems Inc,unknown,Adobe Photoshop CS3 Extended Complete Package (Mac),,279.0
78,1,Snap! Spelling (Jewel Case),Topics Entertainment,19.95,Spelling,,unknown
79,0,NetManage Rumba Unix-HP Edition V. 7.3 Upgrade License 902453-006),NetManage,unknown,Bhe3dus InstallAnywhere Enterprise Edition V. 8 Product Upgrade License + 1 Year,,4746.16
80,0,ZoneAlarm Internet Security Suite,Zone Labs,49.99,Panda Software Panda Internet Security 2007,,69.99
81,0,Mediafour MacDrive 6 For Windows,MediaFour Corporation,49.99,Quark QuarkXPress 7 Upgrade For Mac & Windows,,244.99
82,0,Microsoft Office Student And Teacher Edition 2004 Macintosh,Microsoft,149.99,Microsoft (R) Office 2004 For Mac Student And Teacher Edition,,unknown
83,1,Microsoft Visio Standard 2007 Upgrade,Microsoft,129.95,Microsoft Office Visio Standard 2007 Upgrade,,unknown
84,0,Quicken 2007 Premier,Intuit,79.95,QuickBooks Pro 2007 (3 User),Intuit,398.99
85,0,Microsoft Office 2004 Standard Upgrade [Mac],Microsoft,239.99,Microsoft Word 2007 (R),,unknown
86,0,Peachtree By Sage Premium Accounting 2007,Sage Software,499.99,Laser Checks For Peachtree (R) Accounting For Windows 8.0-2005,,106.29
87,0,Adobe Dreamweaver CS3 Upgrade,Adobe,199.0,Adobe Flash Professional CS3 Upgrade,,unknown
88,1,National Geographic Presents Redshift 5 Planetarium Software,Topics Entertainment,39.99,Redshift 5 National Geographic Presents Win 98 Me 2000 Xp,,unknown
89,0,The Print Shop Deluxe 22,Encore Software,49.99,The Print Shop Zoom,,unknown
90,0,Panda Antivirus 2007,Panda Software,29.95,Norton Antivirus 2007 3 User Pack,,49.95
91,0,Adobe Creative Suite CS3 Production Premium Upgrade,Adobe,799.0,Adobe Acrobat V8 Professional For Mac Upgrade,,145.99
92,0,Power Production Storyboard Artist 4,Power Production,unknown,Power Production Storyboard Quick 5 Software for Mac and Windows Animation Software,,299.0
93,0,Adobe CS3 Design Standard MacOSX DVD,Adobe,399.0,Adobe CS3 Web Standard,,unknown
