id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
1,0,Microsoft Visio Standard 2007 Version Upgrade,Microsoft,129.95,Adobe CS3 Design Standard Upgrade,,unknown
2,0,Microsoft Mappoint 2006 with GPS,Microsoft,349.0,Microsoft Student with Encarta Premium 2008 Complete Package,,unknown
3,0,Adobe After Effects Professional 7.0,Adobe,999.0,Adobe Flash CS3 Professional (Mac),,unknown
4,1,Motu Digital Performer 5 Competitive Upgrade (Mac Only),Motu,395.0,Motu Digital Performer DP5 Music Production Software,,unknown
5,1,Adobe Illustrator CS3 Mac Educational,Adobe Education Box,199.0,Adobe Illustrator CS3 for Mac Academic,Adobe Education Box,199.99
6,0,QuickBooks Premier Non-Profit Edition 2005,Intuit Inc.,499.95,QuickBooks (R) ,,unknown
7,0,Mavis Beacon Typing 17 (Win/Mac),Encore Software,19.99,Broderbund Mavis Beacon Teaches Typing Standard 17,,unknown
8,0,Adobe Premiere Pro CS3,Adobe,799.0,Adobe Soundbooth CS3 Academic,,unknown
9,0,Adobe Photoshop CS2 Advanced Techniques by Julieanne Kost,,unknown,Adobe Photoshop CS3 (V10.0) Mac Adobe,,537.65
10,0,Reader Rabbit Learning System 1st Grade,Encore Software,29.99,Dr. Seuss Reading Learning System 2008 (Encore),,unknown
11,0,Adobe Premiere Pro CS3 Upgrade,Adobe,299.0,Adobe CS3 Design Premium,,unknown
12,0,Punch! Home Design Architectural Series 18,Punch! Software,129.99,Punch Super Home Suite V3.0 Complete Product (1 User) Standard English PC,,unknown
13,0,3D Home Architect Landscape Designer V8,Encore Software,29.99,Encore Inc 3D Home Architect Home Design Deluxe Version 9,,unknown
14,0,Microsoft CRM Professional CAL 3.0 Product Upgrade License Pack User CAL,Microsoft,9980.0,Microsoft Dynamics CRM Professional V. 3.0 Product Upgrade License 20,Unknown,9676.92
15,0,Microsoft Office FrontPage 2003 Academic Version Windows,Microsoft,159.98,Microsoft Windows Vista Business Full Version,,unknown
16,0,Adobe Creative Suite CS3 Web Standard,Adobe,999.0,Adobe Creative Suite 3 Web Standard Complete Package Academic CD Mac,,unknown
17,0,PrintMaster Gold V 17.0,Encore Software,19.99,Print Master Platinum V17,,unknown
18,0,Microsoft Windows XP Professional Full Version with SP2,Microsoft,299.99,Adobe Production Premium CS3 Software Suite for Windows Professional Editing Software,,unknown
19,0,Microsoft Windows Server 2003 Terminal Services Client Additional License,Microsoft,3371.85,Microsoft Windows Server 2003 Terminal Services Client Additional License (5 User),Unknown,719.04
20,0,Microsoft Office & Windows Training Professional,,unknown,Adobe After Effects CS3 Professional Software for Windows Effects Software,Unknown,998.95
21,0,DK Smart Steps 3rd Grade,,9.99,Smart Steps 4th Grade (JC),Dorling Kindersley Multimedia - DK,11.95
22,0,Microsoft Office Small Business 2007 Full Version,Microsoft,449.95,Microsoft Office 2004 Std Upgrade,,unknown
23,0,Best of Card Games,,9.99,Geometry (Win/Mac) (Jewel Case),Unknown,unknown
24,0,Instant Immersion German Audio,Topics Entertainment,unknown,Topics Entertainment Instant Immersion Italian 2.0,,17.55
25,0,Microsoft PowerPoint 2004 Upgrade (Mac),Microsoft,109.99,Microsoft (R) Money 2004 Standard,,unknown
26,0,OnOne Software PXL SmartScale Windows and Macintosh,OnOne Software,unknown,OnOne Software MPR-40212,OnOne Software Inc.,66.27
27,0,Microsoft Visual Studio Team Edition for Software Developers 2005 with MSDN Premium,Microsoft,5479.0,Visual Studio Pro 2005 Upgrade (PC) Microsoft,,unknown
28,1,Microsoft Word 2007 Version Upgrade,Microsoft,109.95,Microsoft Word 2007 Upgrade (PC),,unknown
29,0,Microsoft Word 2007 Version Upgrade,Microsoft,109.95,Word Mac 2004 Upgrade (Microsoft),Microsoft,unknown
30,0,Adobe Dreamweaver CS3 Upgrade [Mac],Adobe,199.0,Adobe Creative Suite 3 (CS3) Design Suite Standard Upgrade (Upsell) Mac,,unknown
31,1,Hoyle Classic Collection 2006,Encore,19.99,Encore Software Hoyle Classic Collection 2006 Win 98 ME 2000 XP,,unknown
32,0,Adobe InDesign CS3 Upgrade from PageMaker [Mac],Adobe,199.0,Adobe CS3 Design Premium Academic,,unknown
33,0,Midway Arcade Treasures,,9.99,Cross Stitch Design Studio (Jewel Case) (8006),,9.59
34,0,Digital Vault,,29.99,Digital Video & Audio Production Book,,27.5
35,0,Microsoft Windows Vista Business Full Version [DVD],Microsoft,299.95,Microsoft PowerPoint Mac 2004 Version Upgrade,Unknown,unknown
36,0,Zero-G Pro Pack for GarageBand (AppleLoops),Zero-G,169.95,GarageBand Jam Pack: Symphony Orchestra,,unknown
37,0,Microsoft ASP .NET Web Matrix,Microsoft,30.0,Microsoft (R) Word 2007,,unknown
38,0,Instant Immersion German Deluxe 2.0,Topics Entertainment,39.99,Instant Immersion Japanese 2.0,,unknown
39,0,Punch! Professional Home Design Platinum V10,Punch!,99.0,Punch Software Home Design Architectural Series 18,Punch Software,unknown
40,0,Instant Immersion German Deluxe 2.0,Topics Entertainment,39.99,Instant Immersion French DLX 2,,unknown
41,0,Adobe Creative Suite CS3 Design Standard [Mac],Adobe,1199.0,Adobe Creative Suite 3 Web Premium Complete Package 1 User CD Mac Univ.,,unknown
42,0,Microsoft CRM Small Business Ed CAL 3.0 License Pack User CAL,Microsoft,9929.0,Microsoft Windows Server License & Software Assurance 1 CAL Open Business,,unknown
43,0,Digidesign Music Production Toolkit (Pro Tools LE),Digidesign,495.0,Logic Pro 7.2 Software Music Production Software,,unknown
44,0,Adobe Creative Suite CS3 Master Collection,Adobe,1999.0,Adobe CS3 After Effects,,unknown
45,0,Hoyle Kids' Games JC,Encore,9.99,Hoyle Card Games,,unknown
46,0,Net Ad Creator,Laughing Bird,39.99,Laughingbird The Logo Creator,,unknown
47,1,Reel Deal Slots 2.0 for PC,Phantom EFX,9.99,Phantom EFX Reel Deal Slots V 2.0,,unknown
48,0,Adobe Creative Suite CS3 Web Standard [Mac],Adobe,999.0,Adobe Production Premium CS3 Software Suite for Mac AV Production Software,,unknown
49,0,Adobe Creative Suite CS3 Design Premium (Mac),Adobe,1599.0,"Adobe Creative Suite 3 Web Premium Complete Package (1-User CD, Mac, University)",,unknown
50,0,Windows Vista Business Spanish Full Version [DVD],Microsoft,329.95,Microsoft Windows Vista Business Full Version,,unknown
51,0,QuickBooks POS: Pro Multistore 6.0,Intuit Inc.,1399.95,QuickBooks (R) Pro 2007 Edition 3-User,,unknown
52,0,Microsoft Office Mac 2004 English,Microsoft Corporation,unknown,Microsoft (R) Office Word 2004 for Mac Full Version,,231.29
53,0,Instant Immersion Spanish Deluxe 2.0,Topics Entertainment,49.99,Instant Immersion Italian 2.0,Topics Entertainment,20.99
