id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
1,0,Microsoft Visio Standard 2007 Version Upgrade,Microsoft,129.95,Adobe Creative Suite 3 Design Standard Upgrade,NULL,413.0
2,0,Microsoft MapPoint 2006 with GPS,Microsoft,349.0,Microsoft Student with Encarta Premium 2008 Complete Package,NULL,43.6
3,0,Adobe After Effects Professional 7.0,Adobe,999.0,Adobe Flash CS3 Professional (Mac),NULL,699.0
4,1,Motu Digital Performer 5 Digital Audio Software Competitive Upgrade,Motu,395.0,Motu Digital Performer DP5 Software Music Production Software,NULL,319.95
5,1,Adobe Creative Suite 3 Mac Edition,Adobe,199.0,Adobe Illustrator CS3 for Mac Academic,Adobe,199.99
6,0,QuickBooks Premier Non-Profit Edition 2005,Intuit Inc.,499.95,QuickBooks (R),NULL,199.99
7,0,Mavis Beacon Typing 17,Encore Software,19.99,Broderbund Mavis Beacon Teaches Typing Standard 17,NULL,22.99
8,0,Adobe Premiere Pro CS3,Adobe,799.0,Adobe Soundbooth CS3 Academic,NULL,95.99
9,0,Adobe Photoshop CS2 Advanced Techniques by Julieanne Kost,Software Cinema,unknown,Adobe Photoshop CS3 (v10.0) Mac,NULL,537.65
10,0,Reader Rabbit Learning System 1st Grade,Encore Software,29.99,Dr. Seuss Reading Learning System 2008 Encore,NULL,19.95
11,0,Adobe Premiere Pro CS3 Upgrade,Adobe,299.0,Adobe Creative Suite 3 Design Premium,NULL,1865.99
12,0,Punch ! Home Design Architectural Series 18,Punch ! Software,129.99,Punch Software 17100 Punch ! Super Home Suite V. 3.0 Complete Product Architectural 1 User Complete ProductComplete ProductStandard English PC,NULL,45.97
13,0,3D Home Architect Landscape Designer V8,Encore Software,29.99,Encore Inc 3D Home Architect Home Design Deluxe Version 9,NULL,25.49
14,0,Microsoft CRM Professional CAL 3.0 Product Upgrade License Pack User CAL,Microsoft,9980.0,Microsoft Dynamics CRM Professional v. 3.0 Product Upgrade License 20,NULL,9676.92
15,0,Microsoft Office FrontPage 2003 Academic Version,Microsoft,159.98,Microsoft Windows Vista Business Full Version,NULL,249.95
16,0,Adobe Creative Suite 3 Web Standard,Adobe,999.0,Adobe Creative Suite 3 Web Standard Complete Package Academic CD Mac,NULL,369.0
17,0,PrintMaster Gold V 17.0,Encore Software,19.99,Print Master Platinum V17,NULL,29.9
18,0,Microsoft Windows XP Professional Full Version With Sp2,Microsoft,299.99,Adobe Production Premium CS3 Software Suite For Windows Professional Editing Software,NULL,1698.95
19,0,Microsoft Licenses Win Svr 2003 Ext Conn Lic,Microsoft,3371.85,Microsoft Windows Terminal Server 2003 Client Additional License For Users - 5 User,NULL,719.04
20,0,Microsoft Office & Windows Training Professional,Topics Entertainment,49.95,Adobe After Effects CS3 Professional Software For Windows Effects Software,NULL,998.0
21,0,Dk Smart Steps 3rd Grade,Global Software Publishing,9.99,Smart Steps 4th Grade ( JC ),Dorling Kindersley Multimedia - ( Dk ),unknown
22,0,Microsoft Office Small Business 2007 Full Version,Microsoft,449.95,Microsoft Office 2004 Std Upgrade,NULL,219.99
23,0,Best of Card Games,On-Hand Software,9.99,Geometry (Win/Mac) (Jewel Case),NULL,9.59
24,0,Instant Immersion German Audio,Topics Entertainment,unknown,Topics Entertainment Instant Immersion Italian 2.0,NULL,17.55
25,0,Microsoft PowerPoint 2004 Upgrade,Microsoft,109.99,Microsoft (R) Money 2004 Standard,NULL,29.99
26,0,Onone Software Pxl Smartscale Windows And Macintosh,Onone Software,unknown,Onone Software Mpr-40212,Onone Software Inc.,66.27
