id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
1,0,Microsoft Visio Standard,,129.95,Adobe CS3 Design Standard,,413.99
2,0,Microsoft Mappoint,,349.0,Microsoft Student with Encarta Premium,,unknown
3,0,Adobe After Effects Professional,,999.0,Adobe Flash CS3 Professional,,699.0
4,1,Motu Digital Performer,,395.0,Motu Digital Performer,,319.95
5,1,Adobe Illustrator CS3,,199.0,Adobe Illustrator CS3,,199.99
6,0,QuickBooks Premier,,499.95,QuickBooks,,199.99
7,0,Mavis Beacon Typing,Encore Software,19.99,Broderbund Mavis Beacon Teaches Typing Standard17,,22.99
8,0,Adobe Premiere Pro,,799.0,Adobe Soundbooth Academic,,95.99
9,0,Adobe Photoshop Advanced Techniques,,unknown,Adobe Photoshop CS3,,537.65
10,0,Reader Rabbit Learning System,Encore Software,29.99,Dr. Seuss Reading Learning System,,unknown
11,0,Adobe Premiere Pro,,299.0,Adobe Design Premium,,1865.99
12,0,Punch Home Design Architectural Series,,129.99,Punch Super Home Suite,,45.97
13,0,3D Home Architect,Encore Software,29.99,Encore Inc 3D Home Architect,,25.49
14,0,Microsoft CRM Professional CAL,,9980.0,Microsoft Dynamics CRM Professional,,9676.92
15,0,Microsoft Office Frontpage,,159.98,Microsoft Windows Vista Business,,unknown
16,0,Adobe Creative Suite Web Standard,,999.0,Adobe Creative Suite Web Standard,,369.0
17,0,PrintMaster Gold,Encore Software,19.99,Print Master Platinum,,29.9
18,0,Microsoft Windows XP Professional,,299.99,Adobe Production Premium CS3 Software Suite,,1698.95
19,0,Microsoft Windows Server,,3371.85,Microsoft Windows Terminal Server Client License,,719.04
20,0,Microsoft Office & Windows Training,,49.95,Adobe After Effects CS3 Professional Software,,998.95
21,0,Smart Steps 3rd Grade,,9.99,Smart Steps 4th Grade,,unknown
22,0,Microsoft Office Small Business,,449.95,Microsoft Office Standard Upgrade,,219.99
23,0,Best of Card Games,,9.99,Geometry,,unknown
24,0,Instant Immersion German Audio,,unknown,Instant Immersion Italian,,17.55
25,0,Microsoft PowerPoint,,109.99,Microsoft Money Standard,,29.99
26,0,OnOne Software PXL Smartscale,,unknown,OnOne Software MPR-40212,,66.27
27,0,Microsoft Visual Studio Team Edition,,5479.0,Visual Studio Pro,,549.0
28,1,Microsoft Word,,109.95,Microsoft Word Upgrade,,109.95
29,0,Microsoft Word,,109.95,Microsoft Word,,97.36
30,0,Adobe Dreamweaver,,199.0,Adobe Creative Suite Design Standard Upgrade,,859.96
31,1,Hoyle Classic Collection,Encore,19.99,Encore Hoyle Classic Collection,,18.97
32,0,Adobe InDesign CS3,,199.0,Adobe Design Premium Academic,,575.99
33,0,Midway Arcade Treasures,Encore Software,9.99,Cross Stitch Design Studio,M-and-R-Technologies,9.59
34,0,Digital Vault,,29.99,Digital Video & Audio Prod Book,,unknown
35,0,Microsoft Windows Vista Business,,299.95,Microsoft PowerPoint Mac,,89.99
36,0,Zero-G Pro Pack,,169.95,Apple GarageBand Jam Pack,NaN,unknown
37,0,Microsoft ASP .NET Web Matrix,,30.0,Microsoft Word 2007,,109.99
38,0,Instant Immersion German,,39.99,Instant Immersion Japanese,,22.43
39,0,Punch Professional Home Design,,99.0,Punch Home Design Architectural Series,,unknown
