id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
1,0,Microsoft Visio Standard 2007 Version Upgrade,Microsoft,129.95,Adobe Creative Suite 3 (CS3) Design Standard Upgrade,Adobe,413.99
2,0,Microsoft MapPoint 2006 with GPS,Microsoft,349.0,Microsoft Student with Encarta Premium 2008 Complete Package,unknown,43.6
3,0,Adobe After Effects Professional 7.0,Adobe,999.0,Adobe Flash CS3 Professional (Mac),NaN,699.0
4,1,Motu Digital Performer 5 (DP5) Digital Audio Software Competitive Upgrade for Mac,Motu,395.0,Motu Digital Performer DP5 Music Production Software,NaN,319.95
5,1,Adobe Illustrator CS3 (CS3) for Mac Academic,Adobe Education Box,199.0,Adobe Illustrator CS3 for Mac Academic,Adobe Education Box,199.99
6,0,QuickBooks Premier 2005 Nonprofit Edition,Intuit,499.95,QuickBooks (R) - ,unknown,199.99
7,0,Mavis Beacon Typing 17 (Win/Mac),Encore Software,19.99,Broderbund Mavis Beacon Teaches Typing Standard 17,Unknown,22.99
8,0,Adobe Premiere Pro CS3,Adobe,799.0,Adobe Soundbooth CS3 Academic,unknown,95.99
9,0,Adobe Photoshop CS2 (CS2) Advanced Techniques by Julieanne Kost,Software Cinema,unknown,Adobe Photoshop CS3 (V10.0) for Mac,,537.65
10,0,Reader Rabbit Learning System 1st Grade,Encore Software,29.99,Dr. Seuss Reading Learning System 2008 Encore,unknown,19.95
11,0,Adobe Premiere Pro CS3 Upgrade,Adobe,299.0,Adobe Creative Suite 3 Design Premium,Adobe,1865.99
12,0,Punch! Home Design Architectural Series 18,Punch! Software,129.99,Punch! Super Home Suite V. 3.0 Complete Product (Architectural) for PC,NaN,45.97
13,0,3D Home Architect Landscape Designer V8,Encore Software,29.99,3D Home Architect Home Design Deluxe Version 9 (Encore Inc.),Encore Inc.,25.49
14,0,Microsoft CRM Professional CAL 3.0 Product Upgrade License Pack User CAL,Microsoft Software,9980.0,Microsoft Dynamics CRM Professional V. 3.0 Product Upgrade License 20,Unknown,9676.92
15,0,Microsoft Office FrontPage 2003 Academic Version for Windows,Microsoft,159.98,Microsoft Windows Vista Business Full Version,unknown,249.95
16,0,Adobe Creative Suite 3 (CS3) Web Standard,Adobe,999.0,Adobe Creative Suite 3 Web Standard Complete Package Academic CD Mac,unknown,369.0
17,0,Encore PrintMaster Gold V 17.0,Encore Software,USD 19.99,Encore Print Master Platinum V17,Unknown,USD 29.9
18,0,Microsoft Windows XP Professional Full Version with SP2,Microsoft,299.99,Adobe Production Premium CS3 Software Suite for Windows Professional Editing Software,NaN,1698.95
19,0,Microsoft Windows Server 2003 Client Access License,Microsoft,3371.85,Microsoft Windows Terminal Server 2003 Client Additional License for Users - 5 User,Microsoft,719.04
20,0,Microsoft Office & Windows Training Professional,Topics Entertainment,49.95,"Adobe After Effects CS3 (CS3) Professional Software for Windows, Effects Software",NaN,998.95
21,0,DK Smart Steps 3rd Grade,Global-SOFTWARE-PUBLISHING,9.99,Smart Steps 4th Grade (JC),Dorling-Kindersley-Multimedia - (DK),11.95
22,0,Microsoft Office Small Business 2007 Full Version,Microsoft,449.95,Microsoft Office 2004 Std Upgrade,unknown,219.99
23,0,Best of Card Games (Jewel Case),On-Hand Software,9.99,Geometry (Win/Mac) (Jewel Case) (10158),unknown,9.59
24,0,Instant Immersion German Audio,Topics Entertainment,unknown,Topics Entertainment Instant Immersion Italian 2.0,unknown,17.55
25,0,Microsoft PowerPoint 2004 (Mac) Upgrade,Microsoft,109.99,Microsoft Money 2004 Standard,unknown,29.99
26,0,OnOne Software PXL SmartScale (Windows and Macintosh),OnOne Software,unknown,OnOne Software Inc. MPR-40212,OnOne Software Inc.,66.27
27,0,Microsoft Visual Studio Team Edition for Software Developers 2005 with MSDN Premium,Microsoft,5479.0,Visual Studio Pro 2005 Upgrade (PC) Microsoft,Microsoft,549.0
28,1,Microsoft Word 2007 Version Upgrade,Microsoft,109.95,Microsoft Word 2007 (PC) Upgrade,Microsoft,109.95
29,0,Microsoft Word 2007 Version Upgrade,Microsoft,109.95,Microsoft Word for Mac 2004 Upgrade (D48-00488),Microsoft,97.36
30,0,Adobe Dreamweaver CS3 (Upgrade) for Mac,Adobe,199.0,Adobe Creative Suite 3 (CS3) Design Standard Upgrade (Upsell) for Mac,NaN,859.96
31,1,Encore Hoyle: Classic Collection 2006,Encore,19.99,Hoyle: Classic Collection 2006 (Encore),Encore,18.97
32,0,Adobe InDesign CS3 (CS3) Upgrade from PageMaker [Mac],Adobe,199.0,Adobe Creative Suite 3 Design Premium Academic,NaN,575.99
33,0,Midway Arcade Treasures (Jewel Case),Encore Software,9.99,Cross Stitch Design Studio (Jewel Case) (8006),M-and-R-Technologies,9.59
34,0,Digital Vault,StompSoft Inc.,29.99,Digital Video & Audio Prod Book,Sony-Pictures-Digital-Entertainment,27.5
35,0,Microsoft Windows Vista Business Full Version [DVD],Microsoft,299.95,Microsoft PowerPoint Mac 2004 Version Upgrade,unknown,89.99
36,0,Zero-G Pro Pack for GarageBand (AppleLoops),Zero-G,169.95,GarageBand Jam Pack: Symphony Orchestra,Unknown,95.99
37,0,Microsoft ASP .NET Web Matrix,Microsoft,30.0,Microsoft (R) Word 2007,unknown,109.99
38,0,Instant Immersion German Deluxe 2.0,Topics Entertainment,39.99,Instant Immersion Japanese 2.0,unknown,22.43
39,0,Punch ! Professional Home Design Platinum V10,Punch ! Software,99.0,Punch ! Home Design Architectural Series (18),Punch Software,118.99
40,0,Instant Immersion German Deluxe 2.0,Topics Entertainment,39.99,Instant Immersion French DLX 2,unknown,27.57
41,0,Adobe Creative Suite 3 (CS3) Design Standard for Mac,Adobe,1199.0,Adobe Creative Suite 3 Web Premium Complete Package 1 User CD for Mac,NaN,1691.87
42,0,Microsoft CRM Small Business Ed CAL 3.0 License Pack User CAL,Microsoft Software,9929.0,Microsoft Windows Server License & Software Assurance 1 CAL Open Business,Unknown,41.58
43,0,Digidesign Music Production Toolkit (Pro Tools LE),Digidesign,495.0,Logic Pro 7.2 Software - Music Production Software,Apple/Emagic,999.0
44,0,Adobe Creative Suite 3 (CS3) Master Collection Upsell,Adobe,1999.0,Adobe CS3 After Effects,unknown,1025.99
45,0,Hoyle Kids' Games JC,Encore,9.99,Hoyle Card Games,unknown,9.95
46,0,Net AD Creator,Laughing Bird,39.99,The Logo Creator (Laughingbird),Laughingbird,34.99
47,1,Reel Deal Slots 2.0 for PC,Phantom EFX,9.99,Phantom EFX Reel Deal Slots V 2.0,unknown,7.36
48,0,Adobe Creative Suite 3 (CS3) Web Standard for Mac,Adobe,999.0,"Adobe Production Premium CS3 Software Suite for Mac, AV Production Software",NaN,1698.95
49,0,Adobe Creative Suite 3 (CS3) Design Premium Upsell for Mac,Adobe,1599.0,"Adobe Creative Suite 3 Web Premium Complete Package, 1 User CD for Mac",Adobe,1691.87
50,0,Windows Vista Business (Spanish) Full Version [DVD],Microsoft,329.95,Microsoft Windows Vista Business Full Version,unknown,249.95
51,0,QuickBooks POS: Pro Multistore 6.0,Intuit Inc.,1399.95,"QuickBooks (R) Pro 2007 Edition, 3-User",unknown,499.99
52,0,Microsoft Office Mac 2004 (3PK) English,Microsoft Corporation,unknown,Microsoft Office Word 2004 for Mac Full Version,Microsoft,231.29
53,0,Instant Immersion Spanish Deluxe 2.0,Topics Entertainment,49.99,Instant Immersion Italian 2.0,Topics Entertainment,20.99
54,0,Adobe Acrobat Pro Upgrd Pro-Pro for Mac,Adobe Software,273.0,Adobe Acrobat V8.0 Professional for Mac,Unknown,405.99
55,0,Apple Final Cut Studio 2 (Mac),Apple,1299.0,Adobe Flash CS3 Professional (Mac),unknown,699.0
56,0,Reference Success Deluxe 2006,Topics Entertainment,49.95,High School Success Deluxe 2006,unknown,7.90
57,0,Microsoft Windows Vista Business 32-bit for System Builders,Microsoft,179.99,Microsoft Windows Vista Home Basic,unknown,99.99
58,0,Microsoft Visual Studio Professional 2005 Upgrade,Microsoft Software,549.0,Microsoft Excel 2007,unknown,109.99
59,0,Peachtree by Sage Premium Accounting 2007,Sage Software,499.99,Sage (ptree) VernFP2007RT Premium Accounting for Nonprofits 2007,NaN,590.35
60,0,Adobe Creative Suite 3 (CS3) Production Premium,Adobe,1699.0,Adobe CS3 Production Premium Upgrade,unknown,822.99
61,0,Microsoft SQL Server Developer Edition (2005),Microsoft,49.95,Microsoft Exchange Server 2007 Enterprise Edition Complete Package 1 Server,Microsoft,6594.2
62,0,Computrace LoJack for Laptops 1 Year License (Mac),Absolute Software,49.95,Computrace LoJack for Laptops Subscription Package 1 Year 1 Notebook,unknown,39.95
63,0,ValueSoft Tune Transfer for iPod Software for Windows XP,ValueSoft,29.95,Pinnacle Mobile Media Converter Software for Windows iPod Software,unknown,29.95
64,0,Sibelius 4 Professional Edition,Sibelius Software Ltd.,599.99,Sibelius - Sibelius 5 Music Production Software (Software),Sibelius Software Ltd.,449.95
65,0,Microsoft Entertainment Pack CE,Microsoft,49.5,Entertainment Partners EP Budgeting for Film,unknown,415.99
66,0,Adobe Premiere Pro 2.0,Adobe,849.0,Premiere Pro CS3 Mac Upgrade,NaN,320.25
67,0,Microsoft Office Small Business 2007,Microsoft Software,735.33,Microsoft Windows Vista Business Retail No Open Box Returns,unknown,299.99
68,1,World of Rainbow Fish,Global-Software-Publishing,19.99,World of Rainbow Fish (A9839M2H),Global-Software-Publishing,19.19
69,0,McAfee Internet Security Suite 2007 (3 Users),McAfee,89.99,F-Secure Internet Security 2007 (3 PCs) (Global Marketing Partners),Global-Marketing-Partners,63.35
70,0,SonicWall GMS Standard Edition 10 Node License,SonicWall,unknown,SonicWall CFS Standard Edition for SonicWall Pro 1260/2040/3060 / 4060 Subscription,SonicWall,2124.92
71,0,Microsoft Windows Vista Ultimate Full Version [DVD],Microsoft,399.95,Microsoft (R) Windows Vista (TM) Home Premium,Microsoft,239.99
72,1,IrisPen Express Translator,Iris,149.99,Iris Inc IrisPen Express Translator,unknown,142.29
73,0,Microsoft Office 2004 Standard Upgrade (Mac),Microsoft,239.99,Microsoft MapPoint 2006 with GPS Locator (PC),unknown,349.99
74,0,Adobe InDesign CS3 Upgrade from PageMaker,Adobe,199.0,Adobe Dreamweaver CS3 Upgrade for Windows,Unknown,236.74
75,0,Microsoft PowerPoint 2004 (Mac),Microsoft,229.99,Microsoft Office Ultimate 2007,unknown,539.95
76,0,Microspot MacDraft Professional (Mac),Microspot Ltd.,349.99,Adobe Acrobat V8.0 Professional for Mac,unknown,405.99
77,0,Adobe Photoshop Elements 4.0 Plus Adobe Premiere Elements 2.0 Complete Package,Adobe Systems Inc.,unknown,Adobe Photoshop CS3 Extended Complete Package,Unknown,279.0
78,1,Snap! Spelling (Jewel Case),Topics Entertainment,19.95,Spelling,unknown,4.93
79,0,NetManage Rumba Unix-Hp Edition V. 7.3 Upgrade License,NetManage,unknown,InstallAnywhere Enterprise Edition V. 8 Product Upgrade License + 1 Year,,4746.16
80,0,ZoneAlarm Internet Security Suite,Zone Labs,49.99,Panda Software Panda Internet Security 2007,unknown,69.99
81,0,MediaFour MacDrive 6 for Windows,MediaFour Corporation,USD 49.99,Quark QuarkXPress 7 Upgrade for Mac & Windows,Unknown,USD 244.99
82,0,Microsoft Office Student and Teacher Edition 2004 for Macintosh,Microsoft,149.99,Microsoft (R) Office 2004 for Mac Student and Teacher Edition,Microsoft,146.95
83,1,Microsoft Visio Standard 2007 Version Upgrade,Microsoft,129.95,Microsoft Office Visio Standard 2007 Upgrade (PC),Microsoft,129.95
84,0,Quicken 2007 Premier,Intuit,79.95,QuickBooks Pro 2007 3 User,Intuit,398.99
85,0,Microsoft Office 2004 Standard Upgrade (Mac),Microsoft,239.99,Microsoft Word 2007,unknown,109.99
86,0,Peachtree by Sage Premium Accounting 2007,Sage Software,499.99,Laser Checks for PeachTree (R) Accounting for Windows 8.0-2005,unknown,106.29
87,0,Adobe Dreamweaver CS3 Upgrade,Adobe,199.0,Adobe CS3 Flash Professional Upgrade,Unknown,205.99
88,1,National Geographic Presents: Redshift 5 (Redshift 5) Planetarium Software,Topics Entertainment,39.99,"National Geographic Presents: Redshift 5 (Redshift 5) for Win 98, ME, 2000, XP",Unknown,39.99
89,0,The Print Shop 22 Deluxe,Encore,USD 49.99,Encore Software The Print Shop Zoom,unknown,USD 17.97
90,0,Panda Antivirus 2007,Panda Software,USD 29.95,Norton Antivirus 2007 3 User Pack,Unknown,USD 49.95
91,0,Adobe Creative Suite 3 (CS3) Production Premium Upgrade,Adobe,799.0,Adobe Acrobat V8.0 Professional for Mac Upgrade,Unknown,145.99
92,0,Power Production Storyboard Artist 4,Power Production,unknown,Power Production Storyboard Quick 5 Software for Mac and Windows Animation Software,,299.0
93,0,Adobe Creative Suite 3 (CS3) Design Standard for Mac OS X DVD,Adobe,399.0,Adobe CS3 Web Standard,unknown,1035.99
94,0,Peachtree by Sage Premium Accounting 2007,Sage Software,499.99,PeachTree (R) Compatible Continuous Checks-Office Accounting 12.0,unknown,91.59
95,0,Adobe After Effects CS3 Upgrade,Adobe,299.0,Adobe Contribute CS3 Upgrade,unknown,82.99
96,0,Symantec Backup Exec 11d for Windows Servers Agent,Symantec,447.74,Symantec Backup Exec 11d for Windows Servers Agent for DB2 on Windows Servers -,unknown,644.84
97,0,Sony Creative Software Station Access Collection,Sony Creative Software,29.99,Ultimate Puzzle Collection,unknown,9.95
98,0,Microsoft PowerPoint 2004 (Mac) Upgrade,Microsoft,109.99,Microsoft Windows Vista Home Basic (PC) Upgrade,Microsoft,99.99
99,0,Microsoft Office 2004 (Mac),Microsoft,399.99,Microsoft Word 2007 Upgrade (PC),unknown,109.95
100,0,Instant Immersion Spanish (Audio Book),Topics Entertainment,unknown,Instant ImmerSIV Italian DLUX 2.,unknown,36.11
101,0,RollerCoaster Tycoon 3 (Mac),Aspyr Media,USD 49.99,Roller Coaster Tycoon 3 for PC,unknown,USD 29.99
102,0,Peachtree by Sage Complete Accounting 2007,Sage Software,269.99,Sage Premium Accounting for Manufacturing 2007 Multi-User (PTree),NaN,1180.37
103,0,Recam Remote Monitoring Software,Mobi-Technologies-Inc.,129.0,Corel Ulead DVD Workshop 2 Authoring Software,unknown,299.95
104,0,QuickBooks Premier Professional Services Edition 2007,Intuit,399.95,Adobe Production Premium CS3 Software Suite for Windows Professional Editing Software,,1698.95
105,1,Logic Pro 6 (Upgrade from Logic Platinum/Gold 5 & 6),Apple,199.99,Logic Platinum / Gold 5 & 6 to Logic Pro 6 Update (Apple Software T9161LL/A),Apple Software,149.0
106,0,Britannica Deluxe,Avanquest Software,29.95,Britannica Deluxe 2008,unknown,26.5
107,0,TLC Arthur's Kindergarten Learning System 2008,Encore,19.99,Encore Software TLC Reader Rabbit 1st Grade Learning System 2008,unknown,17.97
108,0,Tonka Town (Jewel Case),Atari,9.99,Geometry (Win/Mac) (Jewel Case) (10158),unknown,9.59
109,0,Punch ! Software Punch 5 in 1 Home Design,Punch ! Software,39.99,Punch Software Architectural Series 18 (Punch ! Home Design),Punch Software,118.99
110,0,Adobe Creative Suite 3 (CS3) Web Premium Upsell [Mac],Adobe,1399.0,Adobe CS3 Master Collection Upsell from CS1,unknown,2054.99
111,0,Adobe Illustrator CS3 (Mac),Adobe,199.0,Adobe Illustrator CS3 (Mac),Adobe,599.0
112,1,Microsoft Windows Vista Business Full Version [DVD],Microsoft,299.95,Microsoft Windows Vista Business (PC),Unknown,299.99
113,0,Instant Play Guitar Deluxe V2.,Topics Entertainment,39.48,Instant Immersion Spanish Deluxe 2.0 Topics,unknown,39.99
114,0,Microsoft Windows Terminal Server 2003 Client Additional License for Users - 5 User,Microsoft,669.0,Microsoft (R)18-00908 Windows Server 2003 Client Access License 20-Pack (Per User),Microsoft,688.99
115,0,Adventure Workshop 4th-6th Grade (7th Edition),Encore Software,19.99,Adventure Workshop Preschool - 1st Grade (7th Ed.) SB CS by Riverdeep (Encore Software),Unknown,17.97
116,0,JumpStart Advanced Preschool V2.0,Knowledge Adventure,19.99,JumpStart Advanced 3rd Grade (PC/Mac) - Knowledge Adventure,unknown,19.99
117,1,Aquarium 3-in-One Collection (Win/Mac),Encore Software,19.99,Aquarium 3-in-One Limited Edition (Win 95/98/ME/2000/Xp/Mac 10.1 or Higher),NaN,19.95
118,0,Hoyle Casino (2007),Encore,19.99,Hoyle Card Games 2007,unknown,19.99
119,0,Mcafee Total Protection 2007 (3 Users),Mcafee,99.99,Mcafee Total Protection 2007 Complete Package (3 Users) CD Mini-Box Wi,Unknown,86.94
120,0,Microsoft Visio Standard 2007,Microsoft,259.95,Microsoft Windows Vista Business Full Version,unknown,249.95
121,0,Adobe Premiere Pro CS3 Upgrade,Adobe,299.0,Premiere Pro CS3 for Mac,Unknown,808.15
122,0,HP ProCurve VPN Client Software Unlimited Client Licenses,Hewlett Packard,unknown,SafeNet SoftRemote VPN Client License 5 Users Win,,184.57
123,0,Adobe Illustrator CS3 (CS3) for Mac,Adobe,599.0,Adobe InDesign CS3 for Mac Upgrade,NaN,205.99
124,0,Punch! Home Design Architectural Series 18,Punch! Software,129.99,Punch! Super Home Suite Complete Product (Architectural) 1 User for PC,Punch! Software,45.97
125,0,Microsoft Office 2004 Professional (Mac),Microsoft,499.99,Web Easy (R) Professional 6,unknown,49.99
126,0,Microsoft OneNote 2007 Upgrade,Microsoft,79.95,Microsoft Office 2004 for Mac Standard Edition Upgrade Version (CAL),Microsoft,234.95
127,0,Adobe Creative Suite 3 (CS3) Web Premium Upsell,Adobe,1399.0,Adobe CS3 Production Premium Upgrade,unknown,822.99
128,0,Adobe After Effects (AE) 7.0 Professional for Mac,Adobe,999.0,Adobe After Effects CS3 Professional Software for Windows,NaN,998.95
129,0,Microsoft PowerPoint 2004 Upgrade for Mac,Microsoft,109.99,Microsoft Access 2007,unknown,109.99
130,0,Computrace LoJack for Laptops 3 Year License (Mac),Absolute Software,99.95,Absolute Software Computrace LoJack for Laptops 3 Year License (Win 2000 XP),Unknown,85.97
131,0,Punch ! 5 in 1 Home Design,Punch ! Software,39.99,Punch Software 84100 Punch ! Home Design Architectural Series 4000 v. 10.0 Architectural PC,Unknown,168.97
132,0,Family Tree Maker Version 16 Essentials,Encore,29.95,Encore Inc Family Tree Maker 2008 Platinum,Unknown,85.07
133,0,High School Advantage 2007,Encore Software,USD 29.95,Encore Inc Math Advantage 2008,unknown,USD 33.89
134,0,Adobe Photoshop Elements 4.0 Plus Adobe Premiere Elements 2.0 Complete Package,Adobe Systems Inc.,unknown,Adobe Premiere Elements 3 and Photoshop Elements 5 Software for Windows Consumer Video Editing Software,,149.95
135,0,Adobe InDesign CS3 (CS3) Upgrade for Mac,Adobe,199.0,Adobe Photoshop CS3 for Mac Upgrade,NaN,189.99
136,1,TurboCAD Mac 3D for Mac,IMSI,249.99,IMSI Design LLC TurboCAD Mac 3D,unknown,204.67
137,0,Microsoft Windows XP Professional Upgrade with SP2,Microsoft,199.99,"Adobe After Effects Professional 7 Software for Windows, Effects Software",NaN,999.0
138,0,Quicken 2007 Premier,Intuit,79.95,QuickBooks Premier Edition 2007 for 5 Users,Intuit Inc.,1309.31
139,0,Microsoft Office & Windows Training Professional,Topics Entertainment,USD 49.95,Microsoft Office 2004 Software Suite OEM Mac Apple & Mac Software,NaN,USD 239.95
140,1,QuickBooks Premier Professional Services Edition 2007,Intuit,399.95,Intuit QuickBooks Premier Professional Services Edition 2007 Software Win Tax & Finance Software,unknown,349.95
141,0,Adobe Creative Suite 3 (CS3) Design Premium Upsell,Adobe,1599.0,"Adobe Creative Suite 3 Design Premium Product Upgrade Package, 1 User Upgrade",NaN,1687.48
142,0,Adobe Illustrator CS3 (CS3) Upgrade for Mac,Adobe,199.0,Adobe Contribute CS3 Upgrade,NaN,82.99
143,0,Microsoft Office FrontPage 2003 Academic Version for Windows,Microsoft,159.98,Microsoft Office SBE 2007 Win32,NaN,400.34
144,0,Microsoft Visual Studio Test Agent 2005 CD 1 Processor License,Microsoft Software,5099.0,Microsoft Visual Studio 2005 Professional Edition Upgrade Package + MSDN Profe (F1Q-00302),Microsoft,757.74
145,0,Microsoft OneNote 2007,Microsoft,USD 99.95,Microsoft Money 2007 Home and Business (PC),unknown,USD 89.99
146,0,Peachtree by Sage Complete Accounting 2007,Sage Software,269.99,Peachtree (R) Complete III for DOS 5.0-10.0 Continuous Checks,NaN,144.59
147,0,Scholastic Math Missions: The Amazing Arcade Adventure (Grades 3-5),Scholastic,19.99,Scholastic Math Missions: The Race to Spectacle City Arcade (Grades K-2),unknown,8.49
148,0,Adobe Acrobat 8 (Windows),Adobe,273.0,Adobe Acrobat 8.0 Professional for Mac Upgrade,Unknown,145.99
149,0,Valuesoft Tune Transfer for iPod Software for Windows XP,Valuesoft,29.95,Adobe Captivate 2 Software for Windows Presentation Software,Unknown,598.95
150,0,Math Missions: The Race to Spectacle City Arcade (Grades K-2),Scholastic,29.95,Math Missions: The Amazing Arcade Adventure (Grades 3-5),unknown,12.95
151,0,Microsoft Visio Standard 2007 Version Upgrade,Microsoft,129.95,Microsoft Visual Studio 2005 Professional Edition Upgrade Package + MSDN Profe (F1Q-00302),Unknown,757.74
152,0,National Geographic Photo Gallery (Jewel Case),Topics Entertainment,9.99,Merriam-Webster's Dictionary (Win/Mac) (Jewel Case) (10462),unknown,9.59
153,0,Peachtree by Sage Premium Accounting for Nonprofits 2007,Sage Software,599.99,PeachTree (R) Compatible Continuous Forms - Accounting for Windows 8.0-2004 Version,unknown,199.99
154,1,USA/World Extreme Landscapes Bundle,Abacus,39.95,Abacus USA/World Extreme Landscapes Bundle,unknown,38.43
155,0,Sony Sound Forge Audio Studio 8,Sony Pictures Digital Entertainment,69.99,Sony Creative Software Sound Forge Audio Studio V. 8.0 Complete Product,Unknown,55.29
156,0,EMC Retrospect 7.5 Multi Server Windows Only,Dantz (EMC),unknown,EMC Retrospect 7.5 Prof Win Upgrade Only,EMC,54.68
157,0,Digidesign Music Production Toolkit (Pro Tools LE),Digidesign,495.0,Make Songwriter Software Music Production Software,unknown,37.95
