id,label,left_name,left_brewery,left_primary_style,left_secondary_style,left_abv,left_is_amber,left_is_ale,left_is_lager,left_is_imperial,left_special_ingredients,right_name,right_brewery,right_primary_style,right_secondary_style,right_abv,right_is_amber,right_is_ale,right_is_lager,right_is_imperial,right_special_ingredients
0,0,Red Imperial Red Ale,Redwood Lodge,American Amber Ale,,8.1,True,True,False,True,,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,,9.3,False,True,False,True,
1,1,Sanibel Red Island Ale,Point Ybel Brewing Company,Amber Ale,,5.6,True,True,False,False,,Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,,5.6,False,True,False,False,
2,0,Kniksen India Red Ale,7 Fjell Bryggeri,Red Ale,Amber,6.8,True,True,False,False,,Skunkape India Red Ale,Boneyard Beer Company,IPA,Red Ale,6.5,False,True,False,False,
3,0,Buffalo Trace Amber Ale,Wolf Hills Brewing Company,Amber Ale,,unknown,True,True,False,False,Bourbon Barrel,Ballast Point Calico Amber Ale,Ballast Point Brewing Company,Amber Ale,,5.0,True,True,False,False,Rum Barrel
4,1,Poor Richard's Ale,Dry Dock Brewing Co.,Amber Ale,,6.5,True,True,False,False,,Poor Richard's Ale,21st Amendment Brewery,Traditional Ale,,7.0,False,True,False,False,
5,0,Redeemer,Boston Beer Company,Amber Red Ale,,8.2,True,True,False,True,,Deranger,Laurelwood Public House & Brewery,Strong Ale,,8.6,False,True,False,True,
6,0,Big Axe Red Ale,Big Axe Brewing Company,American Red Ale,,6.8,True,True,False,False,,Big Spruce Red Ale,Big Spruce Brewing,Amber Ale,,unknown,True,True,False,False,
7,0,Roundabout,Bonfire Brewing Company,American Amber Ale,Red Ale,8.8,True,True,False,True,,Anacapa Riptide,Anacapa Brewing Company,Strong Ale,,8.0,False,True,False,True,
8,0,Merry Prankster,Rock Bottom,Red Ale,Amber,4.56,True,True,False,True,,Tumbledown Imp,Tumbledown Brewing,Strong Ale,,7.8,False,True,False,True,
9,0,Extra Special Red Ale,Alpha Brewing Company,American Amber Ale,Red Ale,5.0,True,True,False,False,,Phobos Extra Red Ale,Ecliptic Brewing,Amber Ale,Red Ale,5.2,True,True,False,False,
10,0,Aorta Ale,Short's Brewing Company,American Amber Ale,,8.3,True,True,False,True,,Deadhead,Destihl Brewery,American Strong Ale,,unknown,False,True,False,True,
11,0,Three Sheets Barleywine,Ballast Point Brewing Company,Barleywine,,9.0,False,True,False,True,Barrel Aged,Cabernet Barrel Aged Three,512 Brewing Company,Tripel,,9.5,False,True,False,False,Barrel Aged
12,1,The Maple Collaboration,Peak Organic Brewing Company,Amber Ale,American Red Ale,7.0,True,True,False,False,,The Maple Collaboration,Shipyard Brewing Company,Amber Ale,,6.7,True,True,False,False,
13,0,Red Oak Ale,Tornado Brewing Company,American Amber Ale,,unknown,True,True,False,False,Bourbon Barrel,Tongue Buckler,Ballast Point Brewing Company,Imperial Red Ale,American Strong Ale,10.0,False,True,False,True,Bourbon Barrel Aged
14,0,John Barleycorn,Mad River Brewing Company,Barleywine,,12.5,False,True,False,True,Bourbon barrel aged,Old Numbskull,AleSmith Brewing Company,Barleywine,,11.0,False,True,False,False,Bourbon barrel aged
15,1,Royal Amber Ale,Hops Grillhouse & Brewery,Amber Ale,,4.5,True,True,False,False,,Royal Amber Ale,Bell's Brewery,Amber Ale,,unknown,True,True,False,False,
16,1,Gentle Mongoose,Holy City Brewing,American Amber Ale,,6.9,True,True,False,False,,Gentle Mongoose,Holy City Brewing,Amber Ale,,6.9,True,True,False,False,
17,0,Hop Around,Big Bay Brewing Co.,American Red Ale,Amber Ale,9.0,True,True,False,True,,Heart and Sole,ShuBrew,Strong Ale,,6.8,False,True,False,True,
18,0,3 Sisters Red Ale,Wild Ride Brewing Co.,American Red Ale,,6.0,True,True,False,False,,Saimaan Special Red Ale,Saimaan Juomatehdas,Amber Ale,,4.7,True,True,False,False,
19,0,Dread Double Red Ale,Bullfrog Brewery,American Red Ale,Amber Ale,7.8,True,True,False,False,,Wildcard Double Down Imperial Red Ale,Wildcard Brewing Company,Strong Ale,Red Ale,7.5,False,True,False,True,
20,0,Love Rhino,Breckenridge Brewery,Red Ale,Amber,8.9,True,True,False,True,,Madhouse Venture Series Oak Aged,Madhouse Brewing Company,Strong Ale,,8.5,False,True,False,True,
21,1,Cow Catcher Red,Mountain Town Station Brewing Co. & Steakhouse,American Amber Ale,,unknown,True,True,False,False,,Cow Catcher Red Ale,Mountain Town Brewing Company,Amber Ale,,5.8,True,True,False,False,
22,0,Texas Red Amber Ale,Big Texan Brewery,Amber Ale,Red Ale,4.5,True,True,False,False,,William Street Amber Ale,William Street Beer Company,Amber Ale,,5.0,True,True,False,False,
23,0,6th Anniversary Ale,Kern River Brewing Company,American Red Ale,Amber Ale,8.0,True,True,False,True,,Detour Series : Rollin Dirty Red Ale,Cigar City Brewing,Red Ale,Irish Ale,5.0,False,True,False,False,
24,0,Saint Gleason Imperial Red Ale,Abita Brewing Company,American Red Ale,Amber,unknown,True,True,False,True,,Mission Carrack Imperial Red Ale,Mission Brewery,Strong Ale,Red Ale,10.2,False,True,False,True,
25,0,Bourbon Barrel Red Ale,Figure 8 Brewing,American Red Ale,,unknown,True,True,False,True,Bourbon Barrel,Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,Amber Ale,,8.0,True,True,False,True,
26,0,Ruby Red Ale,Ruby River Steakhouse & Brewery,Amber Ale,,4.0,True,True,False,False,,Red Earl Ruby Ale,Pokertree,Amber Ale,,5.5,True,True,False,False,
27,0,Stone Outbreak Red Ale,Stone Brewing,American Red Ale,Amber Ale,7.0,True,True,False,False,,Liberty Rocket's Red Ale,Liberty Brewery,Irish Ale,,unknown,False,True,False,False,
28,0,Channary Imperial Red Ale,Narrows Brewing Co.,Red Ale,Amber Ale,9.4,True,True,False,True,,Fulton The Libertine Imperial Red Ale,Fulton Beer Company,Red Ale,Strong Ale,8.5,False,True,False,True,Rye Whiskey Barrel Aged
29,0,Constanza Hoppy Red Ale,Bomber Brewing,Red Ale,Amber,6.2,True,True,False,False,,Spiteful Angry Adam Hoppy Red Ale,Spiteful Brewing,Red Ale,Amber,6.0,True,True,False,False,
30,0,Arsenal Red Ale,Great River Brewery,American Red Ale,American Amber Ale,9.0,True,True,False,True,,Wynwood Fox Red Ale,Wynwood Brewing Company,Strong Ale,,7.7,False,True,False,True,
31,0,Double Dragon,Phillips Brewing Company,American Amber Ale,Red Ale,8.2,True,True,False,True,,Edge,Edge Brewing Company,Strong Ale,,8.5,False,True,False,True,
32,0,Auld Bitch,Tahoe Mountain Brewing Co.,American Barleywine,,11.0,False,True,False,True,Bourbon Barrel Aged,Conundrum Red Ale,Aspen Brewing Company,Amber Ale,,6.5,True,True,False,False,Bourbon Barrel Aged
33,1,Extraneous Ale,Kuhnhenn Brewing Company,Barleywine,,17.0,False,True,False,True,,Extraneous Ale,Kuhnhenn Brewing,Barleywine,,17.5,False,True,False,True,
34,0,Lavery Imperial Red Ale,Lavery Brewing Company,American Red Ale,,8.2,True,True,False,True,,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Company,Strong Ale,,9.5,True,True,False,True,
35,0,Broadhead Red Ale,Bainbridge Island Brewing Company,Amber Ale,,8.5,True,True,False,False,Bourbon,Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,Imperial Red Ale,Strong Ale,10.0,False,True,False,True,Bourbon
36,1,Gorgon Red Ale,Ballistic Brewing Co.,American Amber Ale,,5.5,True,True,False,False,,Gorgon Red Ale,Ballistic Brewing,Amber Ale,,5.5,True,True,False,False,
37,1,Red Rye Ale,Hearthstone Brewery,Amber Ale,,5.0,True,True,False,False,Rye,Red Rye Ale,Hearthstone Brewery,Specialty Beer,,5.0,False,True,False,False,Rye
38,1,River Otter Ale,Union Station Brewery,Amber Ale,,5.1,True,True,False,False,,Sacramento River Otter Ale,Sacramento Brewing Company,Pale Ale,,5.5,False,True,False,False,
39,0,Deputation Red Ale,Brannon's Pub and Brewery,American Red Ale,Amber Ale,8.0,True,True,False,True,,Yukon You Only Live Once Red Ale,Yukon Brewing Company,Red Ale,Amber Ale,7.5,True,True,False,True,
40,0,Olympus Mons,Due South Brewing Co.,American Red Ale,Amber Ale,9.2,True,True,False,True,,Buffalo Soul Jah,Custom Brewcrafters,Strong Ale,,9.2,False,True,False,True,
41,0,Climax Noel,Eel River Brewing Co.,Red Ale,Amber Ale,9.2,True,True,False,True,,Fulton The Libertine,Fulton Beer Company,Strong Ale,,8.5,False,True,False,True,Rye Whiskey Barrel Aged
42,0,Old Cascade Amber Ale,Roosterfish Brewing Company,Amber Ale,Red Ale,5.5,True,True,False,False,,Old Mission Amber Ale,Central Coast Brewing,Amber Ale,,5.5,True,True,False,False,
43,0,Single Hop #3,Three Palms Brewing Co.,Amber Ale,American Red Ale,6.8,True,True,False,False,Citra,Lancaster Hop Buggy,Lancaster Brewing Co.,Amber Ale,,5.6,True,True,False,False,
44,0,Bourbon Barrel Red Ale,Figure 8 Brewing,American Red Ale,,unknown,True,True,False,True,Bourbon Barrel,Atomic Raygun,Spring House Brewing Company,Imperial Ale,,8.3,False,True,False,True,
45,0,Red Dirt,Wiley Roots Brewing Co,Amber Red Ale,,8.2,True,True,False,True,,King of Hearts,Rock Bottom Orland Park,Strong Ale,,7.6,False,True,False,True,
46,0,Redrum,Trinity Brewhouse,American Amber Ale,,9.5,True,True,False,True,Bourbon Barrel Aged,Conundrum,Aspen Brewing Company,Amber Ale,,6.5,True,True,False,False,Bourbon Barrel Aged
47,1,Freedom Soho Red,Freedom Brewery Ltd,American Amber Ale,,4.7,True,True,False,False,,Freedom Soho Red,Freedom,Amber Lager,Vienna Lager,4.7,True,False,True,False,
48,1,Heavyweight Ticklefight Champion,Solemn Oath Brewery,American Barleywine,,12.0,False,True,False,True,,Heavyweight Ticklefight Champion,Solemn Oath Brewery,Barley Wine,,12.0,False,True,False,True,
49,0,Moustache Ride Red,Flat 12 Bierwerks,American Amber Ale,,6.1,True,True,False,False,,The Libertine Imperial Red Ale,Fulton Beer Company,Imperial Red Ale,Strong Ale,8.5,False,True,False,True,Rye Whiskey Barrel Aged
50,1,Neudorf Red Ale,Brasserie Bendorf,Amber Ale,,unknown,True,True,False,False,,Neudorf Red Ale,Bendorf,Irish Ale,,6.0,False,True,False,False,
51,0,Arthur's Imperial Red Ale,Otto's Pub and Brewery,Red Ale,Amber Ale,6.9,True,True,False,True,,Proof Abandoned Planet Imperial Red Ale,Proof Brewing Company,Red Ale,Amber Ale,7.5,True,True,False,True,
