id,label,left_name,left_brewery,left_primary_style,left_secondary_style,left_abv,left_is_amber,left_is_ale,left_is_lager,left_is_imperial,left_special_ingredients,right_name,right_brewery,right_primary_style,right_secondary_style,right_abv,right_is_amber,right_is_ale,right_is_lager,right_is_imperial,right_special_ingredients
0,0,C N Red Imperial Red Ale,Redwood Lodge,Red Ale,Amber,8.1,True,True,False,True,,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,Red Ale,Imperial,9.3,True,True,False,True,
1,1,Sanibel Red Island Ale,Point Ybel Brewing Company,Red Ale,Amber,5.6,True,True,False,False,,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Red Ale,Amber,5.6,True,True,False,False,
2,0,Kniksen India Red Ale,7 Fjell Bryggeri,Red Ale,Amber,6.8,True,True,False,False,,Boneyard Skunkape India Red Ale,Boneyard Beer Company,IPA,Red Ale,6.5,False,True,False,False,
3,0,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,Amber Ale,Barrel-Aged,unknown,True,True,False,False,bourbon,Ballast Point Calico Amber Ale,Ballast Point Brewing Company,Amber Ale,Barrel-Aged,5.0,True,True,False,False,rum
4,1,Poor Richard's Ale,Dry Dock Brewing,Red Ale,Amber,6.5,True,True,False,False,,21st Amendment Poor Richards Ale,21st Amendment Brewery,Ale,,7.0,False,True,False,False,
5,0,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,Red Ale,Amber,8.2,True,True,False,True,,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,Red Ale,Imperial,8.6,True,True,False,True,
6,0,Big Axe Red Ale,Big Axe Brewing Company,Red Ale,Amber,6.8,True,True,False,False,,Big Spruce Ready Yer Knot Regatta Red Ale,Big Spruce Brewing,Red Ale,Amber,unknown,True,True,False,False,
7,0,Roundabout Imperial Red Ale,Bonfire Brewing,Red Ale,Amber,8.8,True,True,False,True,,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,Red Ale,Imperial,8.0,True,True,False,True,
8,0,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,Red Ale,Amber,4.56,True,True,False,True,,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing,Red Ale,Imperial,7.8,True,True,False,True,
9,0,Extra Special Red Ale,Alpha Brewing Company,Red Ale,Amber,5.0,True,True,False,False,,Ecliptic Phobos Extra Red Ale,Ecliptic Brewing,Red Ale,Amber,5.2,True,True,False,False,
10,0,Aorta Ale,Short's Brewing Company,Red Ale,Amber,8.3,True,True,False,False,,Destihl Deadhead Double Red Ale,Destihl Brewery,Red Ale,Double,unknown,True,True,False,False,
11,0,Three Sheets Barleywine,Ballast Point Brewing Company,Barleywine,Barrel-Aged,9.0,False,True,False,False,barrel-aged,( 512 ) Cabernet Barrel Aged Three,( 512 ) Brewing Company,Tripel,Abbey,9.5,False,True,False,False,"cabernet, barrel"
12,1,Peak Organic The Maple Collaboration,Peak Organic Brewing,Red Ale,Amber,7.0,True,True,False,False,,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,,6.7,True,True,False,False,
