id,label,left_name,left_brewery,left_primary_style,left_secondary_style,left_abv,left_is_amber,left_is_ale,left_is_lager,left_is_imperial,left_special_ingredients,right_name,right_brewery,right_primary_style,right_secondary_style,right_abv,right_is_amber,right_is_ale,right_is_lager,right_is_imperial,right_special_ingredients
0,0,C N Red Imperial Red Ale,Redwood Lodge,Imperial Red Ale,Red Amber,8.1,True,True,False,True,none,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,Imperial Amber,American Strong,9.3,True,True,False,True,none
1,1,Sanibel Red Island Ale,Point Ybel Brewing Company,Red Ale,Amber,5.6,True,True,False,False,,Sanibel Red Island Ale,Point Ybel Brewing Company,Red Ale,Amber,5.6,True,True,False,False,
2,0,Kniksen India Red Ale,7 Fjell Bryggeri,Red Ale,Amber,6.8,True,True,False,False,none,Skunkape India Red Ale,Boneyard Beer Company,IPA,,6.5,False,True,False,False,none
3,0,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,Red Ale,Amber,unknown,True,True,False,False,bourbon barrels,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,,5.0,True,True,False,False,rum barrels
4,1,Poor Richard's Ale,Dry Dock Brewing Co.,Red Ale,Amber,6.5,True,True,False,False,none,21st Amendment Poor Richards Ale,21st Amendment Brewery,Ale,,7.0,False,True,False,False,none
5,0,Redeemer Imperial Red Ale,Boston Beer Works Canal Street,Red Ale,Imperial Amber,8.2,True,True,False,True,none,Deranger Imperial Red Ale,Laurelwood Public House Brewery,Strong Ale,Imperial Amber,8.6,True,True,False,True,organic
6,0,Big Axe Red Ale,Big Axe Brewing Company,Red Ale,Amber,6.8,True,True,False,False,none,Regatta Red Ale,Big Spruce Brewing,Red Ale,Amber,unknown,True,True,False,False,none
7,0,Roundabout Imperial Red Ale,Bonfire Brewing Co.,Red Ale,Imperial,8.8,True,True,False,True,none,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,Strong Ale,American,8.0,False,True,False,True,none
8,0,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,Red Ale,Imperial Amber,4.56,True,True,False,True,none,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,Imperial Red Ale,American Strong,7.8,True,True,False,True,none
9,0,Extra Special Red Ale,Alpha Brewing Company,Red Ale,Amber,5.0,True,True,False,False,none,Ecliptic Phobos Extra Red Ale,Ecliptic Brewing,Amber,,5.2,True,True,False,False,none
10,0,Aorta Ale,Short's Brewing Company,Red Ale,Amber Double,8.3,True,True,False,True,none,Destihl Barrel Aged Deadhead Double Red Ale,Destihl Brewery,Strong Ale,American Double Red,unknown,True,False,False,False,none
11,0,Three Sheets Barleywine,Ballast Point Brewing Company,Barleywine,,9.0,False,True,False,False,barrel aged,(512) Cabernet Barrel Aged Three Sheets,(512) Brewing Company,Abbey Tripel,,9.5,False,True,False,False,barrel aged
12,1,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,Red Ale,Amber,7.0,True,True,False,False,maple,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,,6.7,True,True,False,False,maple
13,0,Bourbon Barrel Red Oak Ale,Tornado Brewing Company,Red Ale,Amber,unknown,True,True,False,False,"bourbon, oak",Ballast Point Imperial Red Ale,Ballast Point Brewing Company,Strong Ale,Imperial,10.0,False,True,False,True,"bourbon, oak"
14,0,John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,Barleywine,,12.5,False,True,False,False,bourbon barrel aged,Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barleywine,,11.0,False,True,False,False,bourbon barrel aged
15,1,Royal Amber Ale,Hops Grillhouse & Brewery,Amber,Red,4.5,True,True,False,False,none,Kalamazoo Royal Amber Ale,Bells Brewery,Amber,,unknown,True,False,False,False,none
16,1,The Gentle Mongoose,Holy City Brewing,Red Ale,Amber,6.9,True,True,False,False,,The Gentle Mongoose,Holy City Brewing,Amber Ale,,6.9,True,True,False,False,
17,0,Hop Around Imperial Red Ale,Big Bay Brewing Co.,Red Ale,Amber,9.0,True,True,False,True,none,Heart and Sole Imperial Red Ale,ShuBrew,Strong Ale,American,6.8,False,True,False,True,none
18,0,3 Sisters American Red Ale,Wild Ride Brewing Co.,Red Ale,Amber,6.0,True,True,False,False,none,Special American Red Ale,Saimaan Juomatehdas,Red Ale,Amber,4.7,True,True,False,False,none
19,0,Dread Double Red Ale,Bullfrog Brewery,Red Ale,Double Amber,7.8,True,True,False,False,none,Wildcard Double Down Imperial Red Ale,Wildcard Brewing Company,Red Ale,Double Imperial,7.5,True,True,False,True,none
20,0,Love Rhino Imperial Red Ale,Breckenridge Brewery,Red Ale,Imperial Amber,8.9,True,True,False,True,none,Madhouse Venture Series Oak Aged Imperial Red,Madhouse Brewing Company,Strong Ale,American Imperial,8.5,False,True,False,True,oak
21,1,Cow Catcher Red,Mountain Town Brewing Company,Red Ale,Amber,unknown,True,True,False,False,none,Cow Catcher Red Ale,Mountain Town Brewing Company,Red Ale,Amber,5.8,True,True,False,False,none
22,0,Texas Red Amber Ale,Big Texan Brewery,Red Ale,Amber,4.5,True,True,False,False,,William Street Red Amber Ale,William Street Beer Co.,Amber Ale,Red,5.0,True,True,False,False,
23,0,6th Anniversary Ale,Kern River Brewing Company,Red Ale,Amber Imperial,8.0,True,True,False,True,none,Rollin Dirty Red Ale,Cigar City Brewing,Red Ale,Wood Aged Amber,5.0,True,True,False,False,none
24,0,Saint Gleason Imperial Red Ale,Abita Brewing Company,Red Ale,Imperial Amber,unknown,True,True,False,True,none,Mission Carrack Imperial Red Ale,Mission Brewery,Strong Ale,,10.2,False,True,False,True,none
25,0,Bourbon Barrel Aged Imperial Red Ale,Figure 8 Brewing,Imperial Red Ale,Amber,unknown,True,True,False,True,bourbon barrel aged,Sick N Twisted Imperial Red Ale,Sick N Twisted Brewing Company,Red Ale,Amber,8.0,True,True,False,True,none
26,0,Ruby River Ruby Red Ale,Ruby River Steakhouse & Brewery,Red Ale,Amber,4.0,True,True,False,False,none,Pokertree Red Earl Ruby Ale,Pokertree,Amber,,5.5,True,True,False,False,none
27,0,unknown,unknown,unknown,unknown,unknown,False,False,False,False,unknown,unknown,unknown,unknown,unknown,unknown,False,False,False,False,unknown
28,0,Channary Imperial Red Ale,Narrows Brewing Co.,Red Ale,Imperial Amber,9.4,True,True,False,True,none,The Libertine Imperial Red Ale,Fulton Beer Company,Strong Ale,,8.5,False,True,False,True,rye whiskey barrel aged
29,0,Hoppy Red Ale,Bomber Brewing,Red Ale,Amber,6.2,True,True,False,False,hops,Hoppy Red Ale,Spiteful Brewing,Amber Ale,,6.0,True,True,False,False,hops
30,0,Arsenal Imperial Red Ale,Great River Brewery,Imperial Red Ale,Amber,9.0,True,True,False,True,none,Wynwood Fox Imperial Red Ale,Wynwood Brewing Company,Imperial Red Ale,,7.7,False,True,False,True,none
31,0,Double Dragon Imperial Red Ale,Phillips Brewing Company,Red Ale,Imperial Amber,8.2,True,True,False,True,none,Edge Imperial Red Ale,Edge Brewing Company,Strong Ale,American Imperial,8.5,False,True,False,True,none
32,0,Bourbon Barrel Aged Auld Bitch,Tahoe Mountain Brewing Co.,Barleywine,,11.0,False,True,False,False,bourbon barrels,Aspen Bourbon Barrel Aged Conundrum Red Ale,Aspen Brewing Company,Amber,,6.5,True,True,False,False,bourbon barrels
33,1,Extraneous Ale,Kuhnhenn Brewing Company,Barleywine,,17.0,False,True,False,False,none,Extraneous Ale,Kuhnhenn Brewing,Barleywine,,17.5,False,True,False,False,none
34,0,Lavery Imperial Red Ale,Lavery Brewing Company,Red Ale,Imperial Amber,8.2,True,True,False,True,none,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co.,Strong Ale,Imperial Amber,9.5,True,True,False,True,none
35,0,Bourbon Barrel Aged Red Ale,Bainbridge Island Brewing Company,Red Ale,Amber Bourbon Barrel Aged,8.5,True,True,False,False,bourbon barrel aged,Tongue Buckler Imperial Red Ale,Ballast Point Brewing Company,IPA,Imperial Red Bourbon Barrel Aged,10.0,False,True,False,True,bourbon barrel aged
36,1,Gorgon Red Ale,Ballistic Brewing Co.,Red Ale,Amber,5.5,True,True,False,False,none,Gorgon Red Ale,Ballistic Brewing Co.,Red Ale,Amber,5.5,True,True,False,False,none
37,1,Hearthstone Red Rye Ale,Hearthstone Brewery,Red Ale,Amber,5.0,True,True,False,False,rye,Hearthstone Red Rye Ale,Hearthstone Brewery,Red Ale,Amber,5.0,True,True,False,False,rye
38,1,River Otter Ale,Union Station Brewery,Red Ale,Amber,5.1,True,True,False,False,none,Sacramento River Otter Ale,Sacramento Brewing Company,Pale Ale,English,5.5,False,True,False,False,none
39,0,Deputation Imperial Red Ale,Brannon's Pub and Brewery,Red Ale,Imperial Amber,8.0,True,True,False,True,none,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Red Ale,Amber Imperial,7.5,True,True,False,True,none
40,0,Olympus Mons Imperial Red Ale,Due South Brewing Co.,Red Ale,Imperial,9.2,False,True,False,True,none,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,Strong Ale,Imperial American,9.2,False,True,False,True,none
