id,label,left_name,left_brewery,left_primary_style,left_secondary_style,left_abv,left_is_amber,left_is_ale,left_is_lager,left_is_imperial,left_special_ingredients,right_name,right_brewery,right_primary_style,right_secondary_style,right_abv,right_is_amber,right_is_ale,right_is_lager,right_is_imperial,right_special_ingredients
0,0,unknown,unknown,unknown,unknown,unknown,False,False,False,False,unknown,unknown,unknown,unknown,unknown,unknown,False,False,False,False,unknown
1,1,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber/Red Ale,,5.6,True,True,False,False,,Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,,5.6,True,True,False,False,
2,0,Kniksen India Red Ale,7 Fjell Bryggeri,American Amber / Red Ale,,6.8,True,True,False,False,,Boneyard Skunkape India Red Ale,Boneyard Beer Company,India Pale Ale,,6.5,True,True,False,False,
3,0,Buffalo Trace Bourbon Barrel Aged Amber,Wolf Hills Brewing Company,American Amber/Red Ale,,unknown,True,True,False,False,Bourbon Barrel Aged,Ballast Point Calico Amber - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,,5.0,True,True,False,False,Rum Barrel Aged
4,1,Poor Richards Ale,Dry Dock Brewing Co,American Amber / Red Ale,,6.5,True,True,False,False,,Poor Richards Ale,21st Amendment Brewery,Traditional Ale,,7.0,False,True,False,False,
5,0,Redeemer Imperial Red Ale,Boston Beer Works,American Amber / Red Ale,,8.2,True,True,False,True,,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,,8.6,True,True,False,True,Organic
6,0,Big Axe Red Ale,Big Axe Brewing Company,American Amber/Red Ale,,6.8,True,True,False,False,,Regatta Red Ale,Big Spruce Brewing,Amber Ale,,unknown,True,True,False,False,
7,0,Roundabout Imperial Red Ale,Bonfire Brewing Co.,American Amber / Red Ale,,8.8,True,True,False,True,,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,American Strong Ale,,8.0,True,True,False,True,
8,0,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant and Brewery,American Amber / Red Ale,,4.56,True,True,False,True,,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong Ale,,7.8,True,True,False,True,
9,0,Extra Special Red Ale,Alpha Brewing Company,American Amber / Red Ale,,5.0,True,True,False,False,,Ecliptic Phobos Extra Red Ale,Ecliptic Brewing,Amber Ale,,5.2,True,True,False,False,
10,0,Aorta Ale,Short's Brewing Company,American Amber / Red Ale,,8.3,True,True,False,True,,Destihl Barrel Aged Deadhead Double Red Ale,Destihl Brewery,American Strong Ale,,unknown,True,True,False,True,Barrel Aged
11,0,Three Sheets Barleywine,Ballast Point Brewing,American Barleywine,,9.0,False,True,False,True,,Cabernet Barrel Aged Three,512 Brewing Company,Abbey Tripel,,9.5,False,True,False,False,Cabernet Barrel Aged
12,1,The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,,7.0,True,True,False,False,maple,The Maple Collaboration,Shipyard Brewing Company,Amber Ale,,6.7,True,True,False,False,maple
