id,label,left_name,left_brewery,left_primary_style,left_secondary_style,left_abv,left_is_amber,left_is_ale,left_is_lager,left_is_imperial,left_special_ingredients,right_name,right_brewery,right_primary_style,right_secondary_style,right_abv,right_is_amber,right_is_ale,right_is_lager,right_is_imperial,right_special_ingredients
0,0,C N Red Imperial Red Ale,Redwood Lodge,Red Ale,,8.1,False,True,False,True,none,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,Red Ale,,9.3,False,True,False,True,none
1,1,Sanibel Red Island Ale,Point Ybel Brewing Company,Red Ale,Amber,5.6,True,True,False,False,none,Sanibel Red Island Ale,Point Ybel Brewing Company,Red Ale,Amber,5.6,True,True,False,False,none
2,0,Kniksen India Red Ale,7 Fjell Bryggeri,Red Ale,,6.8,True,True,False,False,none,Boneyard Skunkape India Red Ale,Boneyard Beer Company,IPA,,6.5,True,True,False,False,none
3,0,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,Amber Ale,,unknown,True,True,False,False,none,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,,5.0,True,True,False,False,none
4,1,Poor Richard's Ale,Dry Dock Brewing Company,Red Ale,,6.5,True,True,False,False,,Poor Richard's Ale,21st Amendment Brewery,Ale,,7.0,False,True,False,False,
5,0,Redeemer Imperial Red Ale,Boston Beer Works Canal Street,American Red Ale,,8.2,True,True,False,True,none,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House Brewery,American Strong Ale,,8.6,True,True,False,True,none
6,0,Big Axe Red Ale,Big Axe Brewing Company,Red Ale,,6.8,True,True,False,False,,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Spruce Brewing,Red Ale,Amber,unknown,True,True,False,False,
7,0,Roundabout Imperial Red Ale,Bonfire Brewing Co.,Red Ale,,8.8,True,True,False,True,none,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,Red Ale,,8.0,True,True,False,True,none
8,0,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,Red Ale,,4.56,True,True,False,True,none,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,Red Ale,,7.8,True,True,False,True,none
9,0,Extra Special Red Ale,Alpha Brewing Company,Red Ale,,5.0,True,True,False,False,none,Ecliptic Phobos Extra Red Ale,Ecliptic Brewing,Red Ale,,5.2,True,True,False,False,none
10,0,Aorta Ale,Short's Brewing Company,Red Ale,,8.3,True,True,False,False,none,Destihl Barrel Aged Deadhead Double Red Ale,Destihl Brewery,Strong Ale,,unknown,False,True,False,False,none
11,0,Three Sheets Barleywine,Ballast Point Brewing Company,Barleywine,unknown,9.0,False,True,False,False,barrel aged,Three Sheets Barleywine,512 Brewing Company,Tripel,unknown,9.5,False,True,False,False,
12,1,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,Red Ale,American Amber,7.0,True,True,False,False,none,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Red Ale,Amber,6.7,True,True,False,False,none
13,0,Bourbon Barrel Red Oak Ale,Tornado Brewing Company,Red Ale,,unknown,False,True,False,False,none,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,Red Ale,,10.0,False,True,False,True,bourbon barrel aged
14,0,John Barleycorn - Bourbon Barrel Aged,Mad River Brewing Company,Barleywine,,12.5,False,True,False,True,bourbon barrel aged,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barleywine,,11.0,False,True,False,True,bourbon barrel aged
15,1,Royal Amber Ale,Hops Grillhouse & Brewery,Red Ale,,4.5,True,True,False,False,none,Kalamazoo Royal Amber Ale,Bells Brewery,Red Ale,,unknown,True,True,False,False,none
16,1,The Gentle Mongoose,Holy City Brewing,Red Ale,,6.9,True,True,False,False,none,The Gentle Mongoose,Holy City Brewing,Red Ale,,6.9,True,True,False,False,none
17,0,Hop Around Imperial Red Ale,Big Bay Brewing Co.,Red Ale,,9.0,True,True,False,True,none,ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,Red Ale,,6.8,False,True,False,True,none
18,0,3 Sisters American Red Ale,Wild Ride Brewing Co.,Red Ale,American Amber,6.0,True,True,False,False,,Saimaan Brewer's Special American Red Ale,Saimaan Juomatehdas,Red Ale,,4.7,True,True,False,False,
19,0,Dread Double Red Ale,Bullfrog Brewery,Red Ale,,7.8,True,True,False,False,,Wildcard Double Down Imperial Red Ale,Wildcard Brewing Company,Ale,Imperial Red,7.5,False,True,False,True,
20,0,Love Rhino,Breckenridge Brewery,Red Ale,,8.9,True,True,False,True,none,Madhouse Venture Series Oak Aged Imperial Red,Madhouse Brewing Company,Red Ale,,8.5,True,False,False,True,oak aged
21,1,Cow Catcher Red,Mountain Town Station Brewing Co.,Red Ale,,unknown,True,True,False,False,,Cow Catcher Red Ale,Mountain Town Brewing Company,Red Ale,Amber,5.8,True,True,False,False,
22,0,Texas Red Amber Ale,Big Texan Brewery,Red Ale,Amber,4.5,True,True,False,False,none,William Street Red Sky Amber Ale,William Street Beer Company,Red Ale,Amber,5.0,True,True,False,False,none
23,0,6th Anniversary Ale,Kern River Brewing Company,Red Ale,,8.0,True,True,False,True,none,Rollin Dirty Red Ale - Wood Aged,Cigar City Brewing,Red Ale,,5.0,True,True,False,False,wood aged
24,0,Saint Gleason Imperial Red Ale,Abita Brewing Co.,Red Ale,,unknown,False,True,False,True,none,Mission Carrack Imperial Red Ale,Mission Brewery,Strong Ale,,10.2,False,True,False,True,none
25,0,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,Red Ale,,unknown,False,True,False,True,none,Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,Red Ale,,8.0,False,True,False,True,none
26,0,Ruby River Ruby Red Ale,Ruby River Steakhouse & Brewery,Red Ale,,4.0,True,True,False,False,,Pokertree Red Earl Ruby Ale,Pokertree,Red Ale,Amber,5.5,True,True,False,False,
27,0,Stone Liberty Station Outbreak Series Red Ale,Stone Brewing Co.,Red Ale,,7.0,True,True,False,False,none,Liberty High Point Rockets Red Ale,Liberty Brewery & Grill - High Point,Red Ale,,unknown,True,True,False,False,none
28,0,Channary Imperial Red Ale,Narrows Brewing Co.,Red Ale,,9.4,True,True,False,True,none,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,Strong Ale,,8.5,False,True,False,True,rye whiskey
29,0,Constance's Hoppy Red Ale,Bomber Brewing,Red Ale,,6.2,True,True,False,False,,Spiteful Angry Adam Hoppy Red Ale,Spiteful Brewing,Red Ale,,6.0,True,True,False,False,
30,0,Arsenal Imperial Red Ale,Great River Brewery,Red Ale,,9.0,True,True,False,True,none,Wynwood Fox Imperial Red Ale,Wynwood Brewing Company,Ale,,7.7,False,True,False,True,none
31,0,Double Dragon Imperial Red Ale,Phillips Brewing Company,Red Ale,,8.2,True,True,False,True,none,Edge Imperial Red Ale ( Spring Seasonal ),Edge Brewing Company,Strong Ale,,8.5,False,True,False,True,none
32,0,Bourbon Barrel Aged Auld Bitch,Tahoe Mountain Brewing Co.,Barleywine,,11.0,False,True,False,True,bourbon,Aspen Bourbon Barrel Aged Conundrum Red Ale,Aspen Brewing Company,Ale,Red,6.5,True,True,False,False,bourbon
33,1,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,Barleywine,,17.0,False,True,False,True,none,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing,Barleywine,,17.5,False,True,False,True,none
34,0,Lavery Imperial Red Ale,Lavery Brewing Company,Red Ale,,8.2,True,True,False,True,none,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co.,Red Ale,,9.5,True,True,False,True,none
35,0,Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,Red Ale,,8.5,True,True,False,True,none,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,Red Ale,Imperial,10.0,True,True,False,True,none
36,1,Gorgon Red Ale,Ballistic Brewing Co.,Red Ale,Amber,5.5,True,True,False,False,none,Gorgon Red Ale,Ballistic Brewing,Red Ale,Amber,5.5,True,True,False,False,none
37,1,Hearthstone Red Rye Ale,Hearthstone Brewery,Red Ale,,5.0,True,True,False,False,rye,Hearthstone Red Rye Ale,Hearthstone Brewery,Red Ale,,5.0,True,True,False,False,rye
38,1,River Otter Ale,Union Station Brewery,Amber Ale,,5.1,True,True,False,False,none,River Otter Ale,Sacramento Brewing Company,Pale Ale,,5.5,False,True,False,False,none
