id,label,left_name,left_brewery,left_primary_style,left_secondary_style,left_abv,left_is_amber,left_is_ale,left_is_lager,left_is_imperial,left_special_ingredients,right_name,right_brewery,right_primary_style,right_secondary_style,right_abv,right_is_amber,right_is_ale,right_is_lager,right_is_imperial,right_special_ingredients
0,0,C N Red Imperial Red Ale,Redwood Lodge,American Amber / Red Ale,,8.1,True,True,False,True,unknown,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,,9.3,False,True,False,True,unknown
1,1,Sanibel Red Island Ale,Point Ybel Brewing Company,American Amber / Red Ale,,5.6,True,True,False,False,unknown,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,,5.6,False,True,False,False,unknown
2,0,Kniksen India Red Ale,7 Fjell Bryggeri,American Amber / Red Ale,,6.8,True,True,False,False,,Boneyard Skunkape India Red Ale,Boneyard Beer Company,India Pale Ale (IPA),,6.5,False,True,False,False,
3,0,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,American Amber / Red Ale,,unknown,True,True,False,False,Bourbon Barrel Aged,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,,5.0,True,True,False,False,Rum Barrel Aged
4,1,Poor Richard's Ale,Dry Dock Brewing Co.,American Amber / Red Ale,,6.5,True,True,False,False,,Poor Richard's Ale,21st Amendment Brewery,Traditional Ale,,7.0,False,True,False,False,
5,0,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,,8.2,True,True,False,True,unknown,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Strong Ale,,8.6,False,True,False,True,unknown
6,0,Big Axe Red Ale,Big Axe Brewing Company,American Amber Ale,,6.8,True,True,False,False,,Regatta Red Ale,Big Spruce Brewing,Amber Ale,,unknown,True,True,False,False,
7,0,Roundabout Imperial Red Ale,Bonfire Brewing Co.,Red Ale,,8.8,False,True,False,True,unknown,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,Red Ale,,8.0,False,True,False,True,unknown
8,0,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,,4.56,True,True,False,True,unknown,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong Ale,,7.8,False,True,False,True,unknown
9,0,Extra Special Red Ale,Alpha Brewing Company,American Amber / Red Ale,,5.0,True,True,False,False,,Ecliptic Phobos Extra Red Ale,Ecliptic Brewing,Amber Ale,,5.2,True,True,False,False,
10,0,Aorta Ale,Short's Brewing Company,American Red Ale,,8.3,True,True,False,False,,Destihl Barrel Aged Deadhead Double Red Ale,Destihl Brewery,American Strong Ale,,unknown,False,True,False,True,
11,0,Three Sheets Barleywine Barrel Aged,Ballast Point Brewing Company,American Barleywine,,9.0,False,True,False,True,unknown,(512) Cabernet Barrel Aged Three,(512) Brewing Company,Abbey Tripel,,9.5,False,True,False,True,unknown
12,1,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber Ale,,7.0,True,True,False,False,unknown,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,,6.7,True,True,False,False,unknown
13,0,Bourbon Barrel Red Oak Ale,Tornado Brewing Company,American Amber / Red Ale,,unknown,True,True,False,False,,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,,10.0,False,True,False,True,
14,0,John Barleycorn Bourbon Barrel Aged,Mad River Brewing Company,American Barleywine,,12.5,False,True,False,True,Bourbon Barrel Aged,AleSmith Old Numbskull Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,,11.0,False,True,False,True,Bourbon Barrel Aged
15,1,Royal Amber Ale,Hops Grillhouse & Brewery,American Amber / Red Ale,,4.5,True,True,False,False,,Kalamazoo Royal Amber Ale,Bells Brewery,Amber Ale,,unknown,True,True,False,False,
16,1,The Gentle Mongoose,Holy City Brewing,American Red Ale,,6.9,True,True,False,False,unknown,Holy City The Gentle Mongoose,Holy City Brewing,Amber Ale,,6.9,True,True,False,False,unknown
17,0,Hop Around Imperial Red Ale,Big Bay Brewing Co.,American Amber / Red Ale,,9.0,True,True,False,True,unknown,ShuBrew Heart and Sole Imperial Red Ale,ShuBrew,American Strong Ale,,6.8,False,True,False,True,unknown
18,0,Three Sisters American Red Ale,Wild Ride Brewing Company,American Amber Ale,,6.0,True,True,False,False,null,Saimaan Brewer's Special American Red Ale,Saimaan Juomatehdas,Amber Ale,,4.7,True,True,False,False,null
19,0,Dread Double Red Ale,Bullfrog Brewery,Red Ale,,7.8,False,True,False,False,,Wildcard Double Down Imperial Red Ale,Wildcard Brewing Company,Strong Ale,,7.5,False,True,False,True,
20,0,Mountain Series Love Rhino,Breckenridge Brewery,American Red Ale,,8.9,True,True,False,True,,Madhouse Venture Series Oak Aged Imperial Red,Madhouse Brewing Company,American Strong Ale,,8.5,True,True,False,True,
21,1,Cow Catcher Red,Mountain Town Station Brewing Co.,American Amber Ale,,unknown,True,True,False,False,null,Mountain Town Cow Catcher Red Ale,Mountain Town Brewing Company,Amber Ale,,5.8,True,True,False,False,null
22,0,Texas Red Amber Ale,Big Texan Brewery,American Amber / Red Ale,,4.5,True,True,False,False,,William Street Red Sky Amber Ale,William Street Beer Co.,Amber Ale,,5.0,True,True,False,False,
23,0,6th Anniversary Ale,Kern River Brewing Company,American Red Ale,,8.0,True,True,False,True,null,Rollin Dirty Red Ale,Cigar City Brewing,Irish Ale,,5.0,False,True,False,False,null
24,0,Saint Gleason Imperial Red Ale,Abita Brewing Co.,American Amber / Red Ale,,unknown,True,True,False,True,,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,,10.2,False,True,False,True,
25,0,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,Red Ale,,unknown,False,True,False,True,,Sick N Twisted Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Company,Red Ale,,8.0,True,True,False,True,
26,0,Ruby River Red Ale,Ruby River Steakhouse & Brewery,American Amber / Red Ale,,4.0,True,True,False,False,unknown,Pokertree Red Earl Ruby Ale,Pokertree,Amber Ale,,5.5,True,True,False,False,unknown
27,0,Stone Liberty Station Outbreak Series Red Ale,Stone Brewing Company,American Amber Ale,,7.0,True,True,False,False,,Liberty High Point Rocket Red Ale,Liberty Brewery and Grill - High Point,Irish Ale,,unknown,False,True,False,False,
28,0,Channary Imperial Red Ale,Narrows Brewing Co.,American Amber / Red Ale,,9.4,True,True,False,True,unknown,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,American Strong Ale,,8.5,True,True,False,True,unknown
29,0,Constanza's Hoppy Red Ale,Bomber Brewing,Red Ale,,6.2,True,True,False,False,,Spiteful Angry Adam Hoppy Red Ale,Spiteful Brewing,Amber Ale,,6.0,True,True,False,False,
30,0,Arsenal Imperial Red Ale,Great River Brewery,American Amber / Red Ale,,9.0,True,True,False,True,,Wynwood Fox Imperial Red Ale,Wynwood Brewing Company,American Strong Ale,,7.7,False,True,False,True,
31,0,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,,8.2,True,True,False,True,unknown,Edge Imperial Red Ale ( Spring Seasonal ),Edge Brewing Company,American Strong Ale,,8.5,False,True,False,True,unknown
32,0,Bourbon Barrel Aged Auld Bitch,Tahoe Mountain Brewing Company,American Barleywine,,11.0,False,True,False,True,Bourbon,Aspen Bourbon Barrel Aged Conundrum Red Ale,Aspen Brewing Company,Amber Ale,,6.5,True,True,False,False,Bourbon
33,1,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,American Barleywine,,17.0,False,True,False,True,,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing,Barley Wine,,17.5,False,True,False,True,
34,0,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,,8.2,True,True,False,True,unknown,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Company,American Strong Ale,,9.5,False,True,False,True,unknown
35,0,Broadhead Bourbon Barrel Aged Red,Bainbridge Island Brewing Company,Red Ale,,8.5,True,True,False,False,Bourbon Barrel,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,Red Ale,,10.0,False,True,False,True,Bourbon Barrel
36,1,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing Company,Red Ale,,5.5,True,True,False,False,,Ballistic Brewing Gorgon Red Ale,Indian Wells Brewing,Amber Ale,,5.5,True,True,False,False,
37,1,Hearthstone Red Rye Ale,Hearthstone Brewery,American Amber / Red Ale,,5.0,True,True,False,False,unknown,Hearthstone Red Rye Ale,Hearthstone Brewery,American Amber / Red Ale,,5.0,True,True,False,False,Specialty Grain
38,1,River Otter Ale,Union Station Brewery,American Amber / Red Ale,,5.1,True,True,False,False,,Sacramento River Otter Ale,Sacramento Brewing Company,English Pale Ale,,5.5,False,True,False,False,
39,0,Deputation Imperial Red Ale,Brannon's Pub and Brewery,Red Ale,,8.0,True,True,False,True,,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,,7.5,True,True,False,True,
40,0,Batch 200 Olympus Mons Imperial Red Ale,Due South Brewing Company,American Amber Ale,,9.2,True,True,False,True,unknown,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,American Strong Ale,,9.2,False,True,False,True,unknown
41,0,Climax Noel - Imperial Red Ale,Eel River Brewing Company,American Amber/Ale,,9.2,True,True,False,True,,Fulton The Libertine Imperial Red Ale,Fulton Beer Company,American Strong/Ale,Heaven Hill Rye Whiskey Barrel Aged,8.5,True,True,False,True,
42,0,Old Cascade Amber Ale,Roosterfish Brewing Co.,American Amber / Red Ale,,5.5,True,True,False,False,unknown,Central Coast Old Mission Amber Ale,Central Coast Brewing,Amber Ale,,5.5,True,True,False,False,unknown
43,0,Single Hop Amber Ale,Three Palms Brewing Company,Amber Ale,,6.8,True,True,False,False,Citra,Lancaster Hop Buggy Amber Ale,Lancaster Brewing Company,Amber Ale,,5.6,True,True,False,False,
