id,label,left_Beer_Name,right_Beer_Name,left_Brew_Factory_Name,right_Brew_Factory_Name,left_Style,right_Style,left_ABV,right_ABV,left_name,left_brewery,left_primary_style,left_secondary_style,left_abv,left_is_amber,left_is_ale,left_is_lager,left_is_imperial,left_special_ingredients,right_name,right_brewery,right_primary_style,right_secondary_style,right_abv,right_is_amber,right_is_ale,right_is_lager,right_is_imperial,right_special_ingredients
0,0,C N Red Imperial Red Ale,Kinetic Infrared Imperial Red Ale,Redwood Lodge,Kinetic Brewing Company,American Amber / Red Ale,American Strong Ale,8.10 %,9.30 %,C N Red Imperial Red Ale,Redwood Lodge,Red Ale,Imperial Amber,8.1,true,true,false,true,none,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,Red Ale,Imperial Strong,9.3,false,true,false,true,none
1,1,Sanibel Red Island Ale,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Point Ybel Brewing Company,American Amber / Red Ale,Irish Ale,5.60 %,5.60 %,Sanibel Red Island Ale,Point Ybel Brewing Company,Red Ale,Amber,5.6,true,true,false,false,none,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Red Ale,Amber,5.6,true,true,false,false,none
2,0,Kniksen India Red Ale,Boneyard Skunkape India Red Ale,7 Fjell Bryggeri,Boneyard Beer Company,American Amber / Red Ale,India Pale Ale &#40; IPA &#41;,6.80 %,6.50 %,Kniksen India Red Ale,7 Fjell Bryggeri,Red Ale,Amber,6.8,true,true,false,false,none,Boneyard Skunkape India Red Ale,Boneyard Beer Company,IPA,India Red Ale,6.5,false,true,false,false,none
3,0,Buffalo Trace Bourbon Barrel Aged Amber Ale,Ballast Point Calico Amber Ale - Rum Barrel Aged,Wolf Hills Brewing Company,Ballast Point Brewing Company,American Amber / Red Ale,Amber Ale,-,5 %,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,Amber Ale,Barrel-Aged,,true,true,false,false,bourbon,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,Barrel-Aged,5.0,true,true,false,false,rum
4,1,Poor Richard 's Ale,21st Amendment Poor Richards Ale,Dry Dock Brewing Co. .,21st Amendment Brewery,American Amber / Red Ale,Traditional Ale,6.50 %,7 %,Poor Richard's Ale,Dry Dock Brewing Co.,Red Ale,Amber,6.5,true,true,false,false,none,21st Amendment Poor Richards Ale,21st Amendment Brewery,Ale,Traditional,7.0,false,true,false,false,none
5,0,Redeemer Imperial Red Ale,Laurelwood Organic Deranger Imperial Red Ale,Boston Beer Works - Canal Street,Laurelwood Public House & Brewery,American Amber / Red Ale,American Strong Ale,8.20 %,8.60 %,Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,Red Ale,Imperial,8.2,true,true,false,true,none,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,Ale,Imperial,8.6,false,true,false,true,organic
6,0,Big Axe Red Ale,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Axe Brewing Company,Big Spruce Brewing,American Amber / Red Ale,Amber Ale,6.80 %,-,Big Axe Red Ale,Big Axe Brewing Company,Red Ale,Amber,6.8,true,true,false,false,none,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Spruce Brewing,Red Ale,Amber Ale,,true,true,false,false,none
7,0,Roundabout Imperial Red Ale,Anacapa Riptide Imperial Red Ale,Bonfire Brewing Co. .,Anacapa Brewing Company,American Amber / Red Ale,American Strong Ale,8.80 %,8 %,Roundabout Imperial Red Ale,Bonfire Brewing Co.,Red Ale,Imperial,8.8,true,true,false,true,none,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,Red Ale,Imperial,8.0,false,true,false,true,none
8,0,Merry Prankster Imperial Red Ale,Tumbledown Imp Imperial Red Ale,Rock Bottom Restaurant & Brewery,Tumbledown Brewing LLC,American Amber / Red Ale,American Strong Ale,4.56 %,7.80 %,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,Red Ale,Imperial,4.56,true,true,false,true,none,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,Red Ale,Imperial Strong,7.8,false,true,false,true,none
9,0,Extra Special Red Ale,Ecliptic Phobos Extra Red Ale,Alpha Brewing Company,Ecliptic Brewing,American Amber / Red Ale,Amber Ale,5.00 %,5.20 %,Extra Special Red Ale,Alpha Brewing Company,Red Ale,Amber,5.0,True,True,False,False,,Ecliptic Phobos Extra Red Ale,Ecliptic Brewing,Red Ale,Amber,5.2,true,true,false,false,none
10,0,Aorta Ale ( Double Red Ale ),Destihl Barrel Aged Deadhead Double Red Ale,Short 's Brewing Company,Destihl Brewery,American Amber / Red Ale,American Strong Ale,8.30 %,-,Aorta Ale,Short's Brewing Company,Red Ale,Double,8.3,false,true,false,false,,Destihl Barrel Aged Deadhead Double Red Ale,Destihl Brewery,Red Ale,Double Barrel-Aged,,False,True,False,False,
11,0,Three Sheets Barleywine ( Barrel Aged ),&#40; 512 &#41; Cabernet Barrel Aged Three,Ballast Point Brewing Company,&#40; 512 &#41; Brewing Company,American Barleywine,Abbey Tripel,9.00 %,9.50 %,Three Sheets Barleywine ( Barrel Aged ),Ballast Point Brewing Company,Barleywine,American Barrel-Aged,9.0,false,true,false,false,barrel-aged,(512) Cabernet Barrel Aged Three,(512) Brewing Company,Tripel,Belgian Barrel-Aged,9.5,false,true,false,false,"cabernet, barrel-aged"
