id,label,left_title,left_authors,left_venue,left_year,left_vldb,right_title,right_authors,right_venue,right_year,right_vldb
0,0,web caching for database applications with oracle web cache,"jordan parker, jesse anton, zheng zeng, lawrence jacobs, tie zhong, xiang liu",sigmod conference,2002,VAL -,form-based proxy caching for database-backed web sites,"qiong luo, jeffrey f. naughton",VAL -,2001,VLDB
1,0,oracle industrial exhibit 1998,amy pogue,VLDB,VAL -,,objectivity industrial exhibit objectivity very large data bases,VAL -,VLDB,1998,
2,0,extracting large-scale knowledge bases from the web,"andrew tomkins, prabhakar raghavan, ravi kumar, sridhar rajagopalan",VLDB,1999,VLDB,amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems (tods),VAL -,VAL -,VAL -,VAL -
3,1,efficient optimistic concurrency control using loosely synchronized clocks sigmod conference,"barbara liskov, atul adya, robert gruber, umesh maheshwari",VAL -,1995,VAL -,efficient optimistic concurrency control using loosely synchronized clocks,"atul adya, robert gruber, barbara liskov, umesh maheshwari",SIGMOD Conference,1995,SIGMOD
4,0,odefs : a file system interface to an object-oriented database,VAL -,VAL -,1994,VAL -,unisql/x unified relational and object-oriented database system,VAL -,SIGMOD Conference,1994,VAL -
5,1,emergent semantics and the multimedia semantic web 2002,"william i. grosky, farshad fotouhi, d. v. sreenath",ACM SIGMOD Record,VAL -,,emergent semantics and the multimedia semantic web,"w. i. grosky, d. v. sreenath, f. fotouhi",ACM SIGMOD Record,2002,
6,0,dwms : data warehouse management system narendra mohan,VAL -,VLDB,1996,,strudel : a web site management system,"mary fernandez, daniela florescu, jaewoo kang, alon levy, dan suciu",SIGMOD Conference,VAL -,
7,0,data mining techniques sigmod conference,jiawei han,VAL -,1996,,"data mining : concepts and techniques by jiawei han and micheline kamber fernando berzal , nicolf &#225; s mat &#237; n acm sigmod record",VAL -,ACM SIGMOD Record,2002,
8,0,qursed : querying and reporting semistructured data,VAL -,SIGMOD Conference,2002,,extracting schema from semistructured data,VAL -,SIGMOD Conference,1998,
9,0,advances in databases and information systems ( adbis ) 2002,"albertas caplinskas, johann eder, olega vasilecas",ACM SIGMOD Record,VAL -,,"amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises amit sheth , robert meersman",VAL -,ACM SIGMOD Record,2002,
10,0,query unnesting in object-oriented databases,VAL -,sigmod conference,VAL -,,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system",VAL -,VAL -,1996,
11,1,data management for pervasive computing,VAL -,VAL -,2001,VAL -,data management for pervasive computing,VAL -,VLDB,2001,VLDB
12,0,secure transaction processing in firm real-time database systems,VAL -,SIGMOD Conference,1997,VAL -,databases and transaction processing : an application-oriented approach,VAL -,ACM SIGMOD Record,2002,VAL -
13,0,declarative updates of relational databases,weidong chen,ACM Trans. Database Syst.,1995,VAL -,enhanced abstract data types in object-relational databases,praveen seshadri,VLDB Journal,1998,VLDB Journal
14,1,"a taxonomy for secure object-oriented databases sebastiaan h. von solms , martin s. olivier",VAL -,ACM Trans . Database Syst .,1994,VAL -,a taxonomy for secure object-oriented databases,"martin s. olivier , sebastiaan h. von solms",ACM Transactions on Database Systems (TODS),1994,VAL -
15,0,what is the data warehousing problem ? ( are materialized views the answer ? ),VAL -,VAL -,VAL -,,algorithms for materialized view design in data warehousing environment,VAL -,VLDB,VAL -,
16,1,"enterprise objects framework , a second generation object-relational enabler",VAL -,SIGMOD Conference,1995,,enterprise objects framework : a second generation object-relational enabler,VAL -,International Conference on Management of Data,1995,
17,0,"effective timestamping in databases christian s. jensen , kristian torp , richard t. snodgrass",VAL -,VAL -,VAL -,VLDB Journal,"priority assignment in real-time active databases rajendran m. sivasankaran , john a. stankovic , don towsley , bhaskar purimetla , krithi ramamritham",VAL -,VLDB Journal,1996,VLDB Journal
18,0,lambda-db : an odmg-based object-oriented dbms 2000,"arvind rajendran, david maier, leonidas fegaras, chandrasekhar srinivasan",sigmod conference,VAL -,,odmg-93 : a standard for object-oriented dbmss r. g. g. cattell,VAL -,international conference on management of data,1994,
19,1,"compressing sql workloads surajit chaudhuri , ashish kumar gupta , vivek r. narasayya",VAL -,SIGMOD Conference,2002,VAL -,compressing sql workloads,"surajit chaudhuri , ashish kumar gupta , vivek narasayya",SIGMOD Conference,2002,VAL -
20,0,"the algres testbed of chimera : an active object-oriented database system giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali",VAL -,SIGMOD Conference,1995,VAL -,the trigs active object-oriented database system - an overview,"g. kappel , w. retschitzegger",ACM SIGMOD Record,1998,VAL -
21,1,on wrapping query languages and efficient xml integration sigmod conference,"jérôme siméon, vassilis christophides, sophie cluet",VAL -,2000,,on wrapping query languages and efficient xml integration,"vassilis christophides, sophie cluet, Jérôme Siméon",SIGMOD Conference,2000,
22,0,document management as a database problem,VAL -,VLDB,VAL -,,is web-site management a database problem ?,VAL -,VLDB,VAL -,
23,0,"index nesting - an efficient approach to indexing in object-oriented databases jiawei han , beng chin ooi , hongjun lu , kian-lee tan",VAL -,VLDB Journal,1996,,converting relational to object-oriented databases 1997,joseph fong,ACM SIGMOD Record,1997,
24,1,controlling data warehouses with knowledge networks,"jan-dirk becker, matthias jarke, andreas boehmer, elvira schaefer",VLDB,2000,,controlling data warehouses with knowledge networks,"elvira schaefer, jan-dirk becker, andreas boehmer, matthias jarke",VLDB,2000,
25,0,temporal database system implementations michael h. böhlen 1995,VAL -,SIGMOD Conference,VAL -,,temporal conditions and integrity constraints in active database systems international conference on management of data,"a. prasad sistla, ouri wolfson",International Conference on Management of Data,1995,
26,1,ansi sql hierarchical processing can fully integrate native xml sigmod record,michael m. david,VAL -,2003,,ansi sql hierarchical processing can fully integrate native xml acm sigmod record,michael m. david,VAL -,VAL -,
