id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
0,0,Web Caching for Database Applications with Oracle Web Cache,"Jordan Parker, Jesse Anton, Zheng Zeng, Lawrence Jacobs, Tie Zhong, Xiang Liu",SIGMOD Conference,2002,Form-Based Proxy Caching for Database-Backed Web Sites,"Qiong Luo, Jeffrey F. Naughton",VLDB,2001
1,0,Oracle Industrial Exhibit,Amy Pogue,VLDB,1998,Objectivity Industrial Exhibit Objectivity Very Large Data Bases,VAL -,VAL -,1998
2,0,Extracting Large-Scale Knowledge Bases from the Web,"Andrew Tomkins, Prabhakar Raghavan, Ravi Kumar, Sridhar Rajagopalan",VLDB,1999,Amalgamating Knowledge Bases V. S. Subrahmanian ACM Transactions on Database Systems (TODS),VAL -,TODS,1994
3,1,Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks,"Barbara Liskov, Atul Adya, Robert Gruber, Umesh Maheshwari",SIGMOD Conference,1995,Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks,"Atul Adya, Robert Gruber, Barbara Liskov, Umesh Maheshwari",International Conference on Management of Data,1995
4,0,ODEFS : A File System Interface to an Object-Oriented Database,"Narain H. Gehani, William D. Roome, H. V. Jagadish",VLDB,1994,UNISQL/X Unified Relational and Object-Oriented Database System,Won Kim,SIGMOD Conference,VAL -
5,1,Emergent Semantics and the Multimedia Semantic Web,"William I. Grosky, Farshad Fotouhi, D. V. Sreenath",ACM SIGMOD Record,2002,Emergent Semantics and the Multimedia Semantic Web,"W. I. Grosky, D. V. Sreenath, F. Fotouhi",ACM SIGMOD Record,2002
6,0,DWMS : Data Warehouse Management System,Narendra Mohan,VLDB,1996,Strudel: A Web Site Management System,"Mary Fernandez, Daniela Florescu, Jaewoo Kang, Alon Levy, Dan Suciu",SIGMOD Conference,VAL -
7,0,Data Mining Techniques,Jiawei Han,SIGMOD Conference,1996,"Data Mining: Concepts and Techniques by Jiawei Han and Micheline Kamber Fernando Berzal, Nicolá Á S Matín ACM SIGMOD Record",VAL -,ACM SIGMOD Record,2002
8,0,Qursed: Querying and Reporting Semistructured Data,"Yannis Papakonstantinou, Michalis Petropoulos, Vasilis Vassalos",SIGMOD Conference,2002,Extracting Schema from Semistructured Data,"Svetlozar Nestorov, Serge Abiteboul, Rajeev Motwani",International Conference on Management of Data,1998
9,0,Advances in Databases and Information Systems (ADbis) 2002,"Albertas Caplinskas, Johann Eder, Olegas Vasilecas",ACM SIGMOD Record,2002,"Amicalola Report: Database and Information Systems Research Challenges and Opportunities in Semantic Web and Enterprises Amit Sheth, Robert Meersman ACM SIGMOD Record",VAL -,ACM SIGMOD Record,2002
