id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,left_vldb,right_vldb
0,0,web caching for database applications with oracle web cache,"Jordan Parker, Jesse Anton, Zheng Zeng, Lawrence Jacobs, Tie Zhong, Xiang Liu",SIGMOD Conference,2002,form-based proxy caching for database-backed web sites very large data bases,"Qiong Luo, Jeffrey F. Naughton",VAL -,2001,,
1,0,Oracle Industrial Exhibit,Amy Pogue,VLDB,VAL -,Objectivity Industrial Exhibit Very Large Data Bases,VAL -,VAL -,1998,,
2,0,extracting large-scale knowledge bases from the web,"Andrew Tomkins, Prabhakar Raghavan, Ravi Kumar, Sridhar Rajagopalan",VLDB,1999,amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( TODS ),VAL -,VAL -,1994,,
3,1,efficient optimistic concurrency control using loosely synchronized clocks SIGMOD Conference,"Barbara Liskov, Atul Adya, Robert Gruber, Umesh Maheshwari",VAL -,1995,efficient optimistic concurrency control using loosely synchronized clocks,"Atul Adya, Robert Gruber, Barbara Liskov, Umesh Maheshwari",SIGMOD Conference,1995,VAL -,VAL -
4,0,odefs : a file system interface to an object-oriented database,"Narain H. Gehani, William D. Roome, H. V. Jagadish",VAL -,1994,unisql/x unified relational and object-oriented database system,Won Kim,SIGMOD Conference,VAL -,VAL -,VAL -
5,1,emergent semantics and the multimedia semantic web,"william i. grosky , farshad fotouhi , d. v. sreenath",ACM SIGMOD Record,VAL -,"emergent semantics and the multimedia semantic web w. i. grosky , d. v. sreenath , f. fotouhi",VAL -,ACM SIGMOD Record,2002,,
6,0,dwms : data warehouse management system narendra mohan,VAL -,VLDB,1996,strudel : a web site management system 1997,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",SIGMOD Conference,VAL -,VLDB,VAL -
7,0,data mining techniques sigmod conference,jiawei han,SIGMOD Conference,1996,"data mining : concepts and techniques by jiawei han and micheline kamber fernando berzal , nicolf á s mat í n ACM SIGMOD Record",VAL -,ACM SIGMOD Record,2002,VAL -,VAL -
8,0,"qursed : querying and reporting semistructured data yannis papakonstantinou , michalis petropoulos , vasilis vassalos sigmod conference","Yannis Papakonstantinou, Michalis Petropoulos, Vasilis Vassalos",SIGMOD Conference,2002,"extracting schema from semistructured data svetlozar nestorov , serge abiteboul , rajeev motwani","Svetlozar Nestorov, Serge Abiteboul, Rajeev Motwani",International Conference on Management of Data,1998,,
9,0,Advances in Databases and Information Systems (ADbis) 2002,"Albertas Caplinskas, Johann Eder, Olegas Vasilecas",ACM SIGMOD Record,VAL -,"Amicalola Report: Database and Information Systems Research Challenges and Opportunities in Semantic Web and Enterprises Amit Sheth, Robert Meersman ACM SIGMOD Record",VAL -,ACM SIGMOD Record,2002,,
10,0,query unnesting in object-oriented databases,VAL -,SIGMOD Conference,VAL -,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system","georges gardarin, fei sha, zhao-hui tang",Very Large Data Bases,1996,VAL -,VLDB
11,1,"data management for pervasive computing mitch cherniack , stanley b. zdonik , michael j. franklin vldb",VAL -,VAL -,2001,"data management for pervasive computing mitch cherniack , michael j. franklin , stanley b. zdonik very large data bases 2001",VAL -,Very Large Data Bases,VAL -,VLDB Journal,VLDB
12,0,Secure transaction processing in firm real-time database systems,"Binto George, Jayant R. Haritsa",SIGMOD Conference,1997,Databases and transaction processing : an application-oriented approach,"Philip M. Lewis, Arthur Bernstein, Michael Kifer",ACM SIGMOD Record,2002,VAL -,VAL -
13,0,declarative updates of relational databases,weidong chen,ACM Trans. Database Syst.,1995,enhanced abstract data types in object-relational databases,praveen seshadri,VLDB Journal,1998,VAL -,VLDB Journal
14,1,"A taxonomy for secure object-oriented databases Sebastiaan H. von Solms , Martin S. Olivier","Sebastiaan H. von Solms, Martin S. Olivier",ACM Trans. Database Syst.,1994,A taxonomy for secure object-oriented databases,"Martin S. Olivier , Sebastiaan H. von Solms",ACM Trans. Database Syst. (TODS),1994,,
15,0,What is the data warehousing problem? (Are materialized views the answer?),"Inderpal Singh Mumick, Ashish Gupta",VAL -,1996,Algorithms for Materialized View Design in Data Warehousing Environment,"Jian Yang, Kamalakar Karlapalem, Qing Li",VLDB,1997,VAL -,VLDB
