id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year,left_vldb,right_vldb
0,0,Web caching for database applications with Oracle Web Cache,"Jordan Parker, Jesse Anton, Zheng Zeng, Lawrence Jacobs, Tie Zhong, Xiang Liu",SIGMOD Conference,2002,Form-based proxy caching for database-backed web sites Very Large Data Bases,"Qiong Luo, Jeffrey F. Naughton",VAL -,2001,,
1,0,Oracle Industrial Exhibit,Amy Pogue,VLDB,VAL -,Objectivity Industrial Exhibit Objectivity Very Large Data Bases,VAL -,VAL -,1998,,
2,0,Extracting Large-scale Knowledge Bases from the Web,"Andrew Tomkins, Prabhakar Raghavan, Ravi Kumar, Sridhar Rajagopalan",VLDB,1999,Amalgamating Knowledge Bases VLDB Journal,VAL -,VLDB Journal,VAL -,,
3,1,Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks,"Barbara Liskov, Atul Adya, Robert Gruber, Umesh Maheshwari",VAL -,1995,Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks,"Atul Adya, Robert Gruber, Barbara Liskov, Umesh Maheshwari",SIGMOD Conference,1995,,
4,0,odefs: a file system interface to an object-oriented database,VAL -,VAL -,1994,unisql/x unified relational and object-oriented database system,VAL -,SIGMOD Conference,VAL -,VAL -,VAL -
5,1,Emergent semantics and the multimedia semantic web,"William I. Grosky, Farshad Fotouhi, D. V. Sreenath",ACM SIGMOD Record,VAL -,Emergent semantics and the multimedia semantic web,VAL -,ACM SIGMOD Record,2002,VAL -,VAL -
6,0,dwms: data warehouse management system,VAL -,VLDB,1996,strudel: a web site management system,"Mary Fernandez, Daniela Florescu, Jaewoo Kang, Alon Levy, Dan Suciu",SIGMOD Conference,VAL -,,
7,0,Data Mining Techniques,Jiawei Han,SIGMOD Conference,1996,Data Mining: Concepts and Techniques,"Fernando Berzal, Nicolf Á s Mat n",ACM SIGMOD Record,2002,VAL -,VAL -
8,0,Qursed: Querying and Reporting Semistructured Data,VAL -,SIGMOD Conference,2002,Extracting Schema from Semistructured Data,"Svetlozar Nestorov, Serge Abiteboul, Rajeev Motwani",International Conference on Management of Data,1998,,
9,0,Advances in Databases and Information Systems,"Albertas Caplinskas, Johann Eder, Olegas Vasilecas",ACM SIGMOD Record,VAL -,Amicalola Report: Database and Information Systems Research Challenges and Opportunities in Semantic Web and Enterprises,VAL -,ACM SIGMOD Record,2002,,
10,0,Query Unnesting in Object-Oriented Databases,VAL -,SIGMOD Conference,VAL -,"Calibrating the Query Optimizer Cost Model of IRO-DB, an Object-Oriented Federated Database System","Georges Gardarin, Fei Sha, Zhao-Hui Tang",VLDB,1996,,
11,1,Data Management for Pervasive Computing,VAL -,VAL -,2001,Data Management for Pervasive Computing,"Mitch Cherniak, Michael J. Franklin, Stanley B. Zdunik",Very Large Data Bases,2001,,
12,0,Secure Transaction Processing in Firm Real-Time Database Systems,VAL -,SIGMOD Conference,1997,Databases and Transaction Processing: An Application-Oriented Approach,"Philip M. Lewis, Arthur Bernstein, Michael Kifer",ACM SIGMOD Record,2002,VAL -,VAL -
13,0,Declarative Updates of Relational Databases,Weidong Chen,ACM Trans. Database Syst.,1995,Enhanced Abstract Data Types in Object-Relational Databases,Praveen Seshadri,VLDB Journal,1998,,
14,1,A Taxonomy For Secure Object-Oriented Databases,VAL -,ACM Transactions on Database Systems (TODS),1994,A Taxonomy For Secure Object-Oriented Databases,"Martin S. Olivier, Sebastiaan H. Von Solms",ACM Transactions on Database Systems (TODS),1994,,
15,0,What is the Data Warehousing Problem?,VAL -,VAL -,VAL -,Algorithms for Materialized View Design in Data Warehousing Environment,"Jian Yang, Kamalakar Karlapalem, Qing Li",Very Large Data Bases,1997,,
16,1,Enterprise Objects Framework,VAL -,SIGMOD Conference,1995,Enterprise Objects Framework: A Second Generation Object-Relational Enabler,VAL -,International Conference on Management of Data,1995,,
17,0,Effective Timestamping in Databases,VAL -,VLDB Journal,2000,Priority Assignment in Real-Time Active Databases,"Rajendran M. Sivasankaran, John A. Stankovic, Don Towsley, Bhaskar Purimetla, Krithi Ramamritham",VLDB Journal,1996,,
18,0,Lambda-db : an Odmg-based Object-oriented Dbms,"Arvind Rajendran, David Maier, Leonidas Fegaras, Chandrasekhar Srinivasan",SIGMOD Conference,VAL -,Odmg-93 : A Standard For Object-oriented Dbms,VAL -,International Conference on Management of Data,1994,,
19,1,Compressing SQL Workloads,VAL -,SIGMOD Conference,2002,Compressing SQL Workloads,"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek Narasayya",International Conference on Management of Data,2002,,
20,0,The Algres Testbed of Chimera,VAL -,SIGMOD Conference,1995,The Trigs Active Object-Oriented Database System - An Overview,"G. Kappel, W. Retschitzegger",ACM SIGMOD Record,1998,VAL -,VAL -
21,1,On Wrapping Query Languages and Efficient XML Integration,"Jérôme Siméon, Vassilis Christophides, Sophie Cluet",VAL -,2000,On Wrapping Query Languages and Efficient XML Integration,"Vassilis Christophides, Sophie Cluet, Jérôme Siméon",SIGMOD Conference,VAL -,,
22,0,Document Management as a Database Problem,VAL -,VLDB,VAL -,Is Web-Site Management a Database Problem?,"Daniela Florescu, Alon Y. Levy, Dan Suciu",Very Large Data Bases,1998,,
23,0,Index Nesting,"Han Jiawei, Ooi Beng Chin, Lu Hongjun, Tan Kian-Lee",VLDB Journal,1996,Converting Relational to Object-Oriented Databases,Fong Joseph,ACM SIGMOD Record,VAL -,,
24,1,Controlling Data Warehouses with Knowledge Networks,"Jan-Dirk Becker, Matthias Jarke, Andreas Boehmer, Elvira Schaefer",VLDB,2000,Controlling Data Warehouses with Knowledge Networks,"Elvira Schaefer, Jan-Dirk Becker, Andreas Boehmer, Matthias Jarke",VAL -,VAL -,,
