"id","label","left_title","right_title","left_authors","right_authors","left_venue","right_venue","left_year","right_year"
0,0,"web caching for database applications with oracle web cache","form-based proxy caching for database-backed web sites very large data bases","jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu","qiong luo , jeffrey f. naughton","sigmod conference","","2002","2001"
1,0,"oracle industrial exhibit 1998","objectivity industrial exhibit objectivity very large data bases","amy pogue","","vldb","","","1998"
2,0,"extracting large-scale knowledge bases from the web","amalgamating knowledge bases v. s. subrahmanian acm transactions on database systems ( tods )","andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan","","vldb","","1999","1994"
3,1,"efficient optimistic concurrency control using loosely synchronized clocks sigmod conference","efficient optimistic concurrency control using loosely synchronized clocks","barbara liskov , atul adya , robert gruber , umesh maheshwari","atul adya , robert gruber , barbara liskov , umesh maheshwari","","international conference on management of data","1995","1995"
4,0,"odefs : a file system interface to an object-oriented database narain h. gehani , william d. roome , h. v. jagadish vldb","unisql/x unified relational and object-oriented database system won kim 1994","","","","international conference on management of data","1994",""
5,1,"emergent semantics and the multimedia semantic web 2002","emergent semantics and the multimedia semantic web w. i. grosky , d. v. sreenath , f. fotouhi","william i. grosky , farshad fotouhi , d. v. sreenath","","sigmod record","acm sigmod record","","2002"
6,0,"dwms : data warehouse management system narendra mohan","strudel : a web site management system 1997","","mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu","vldb","international conference on management of data","1996",""
7,0,"data mining techniques sigmod conference","data mining : concepts and techniques by jiawei han and micheline kamber fernando berzal , nicolf &#225; s mat &#237; n acm sigmod record","jiawei han","","","","1996","2002"
8,0,"qursed : querying and reporting semistructured data yannis papakonstantinou , michalis petropoulos , vasilis vassalos sigmod conference 2002","extracting schema from semistructured data svetlozar nestorov , serge abiteboul , rajeev motwani 1998","","","","international conference on management of data","",""
9,0,"advances in databases and information systems ( adbis ) 2002","amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises amit sheth , robert meersman acm sigmod record","albertas caplinskas , johann eder , olegas vasilecas","","sigmod record","","","2002"
10,0,"query unnesting in object-oriented databases leonidas fegaras 1998","calibrating the query optimizer cost model of iro-db , an object-oriented federated database system georges gardarin , fei sha , zhao-hui tang very large data bases","","","sigmod conference","","","1996"
11,1,"data management for pervasive computing mitch cherniack , stanley b. zdonik , michael j. franklin vldb","data management for pervasive computing mitch cherniack , michael j. franklin , stanley b. zdonik very large data bases 2001","","","","","2001",""
12,0,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference","databases and transaction processing : an application-oriented approach philip m. lewis , arthur bernstein , michael kifer","","","","acm sigmod record","1997","2002"
13,0,"declarative updates of relational databases","enhanced abstract data types in object-relational databases","weidong chen","praveen seshadri","acm trans . database syst .","the vldb journal -- the international journal on very large data bases","1995","1998"
14,1,"a taxonomy for secure object-oriented databases sebastiaan h. von solms , martin s. olivier","a taxonomy for secure object-oriented databases","","martin s. olivier , sebastiaan h. von solms","acm trans . database syst .","acm transactions on database systems ( tods )","1994","1994"
15,0,"what is the data warehousing problem ? ( are materialized views the answer ? ) inderpal singh mumick , ashish gupta vldb 1996","algorithms for materialized view design in data warehousing environment jian yang , kamalakar karlapalem , qing li 1997","","","","very large data bases","",""
16,1,"enterprise objects framework , a second generation object-relational enabler charly kleissner sigmod conference 1995","enterprise objects framework : a second generation object-relational enabler charly kleissner international conference on management of data 1995","","","","","",""
17,0,"effective timestamping in databases christian s. jensen , kristian torp , richard t. snodgrass vldb j. 2000","priority assignment in real-time active databases rajendran m. sivasankaran , john a. stankovic , don towsley , bhaskar purimetla , krithi ramamritham the vldb journal -- the international journal on very large data bases","","","","","","1996"
18,0,"lambda-db : an odmg-based object-oriented dbms 2000","odmg-93 : a standard for object-oriented dbmss r. g. g. cattell","arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan","","sigmod conference","international conference on management of data","","1994"
19,1,"compressing sql workloads surajit chaudhuri , ashish kumar gupta , vivek r. narasayya sigmod conference","compressing sql workloads international conference on management of data","","surajit chaudhuri , ashish kumar gupta , vivek narasayya","","","2002","2002"
20,0,"the algres testbed of chimera : an active object-oriented database system giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali","the trigs active object-oriented database system - an overview","","g. kappel , w. retschitzegger","sigmod conference","acm sigmod record","1995","1998"
21,1,"on wrapping query languages and efficient xml integration sigmod conference","on wrapping query languages and efficient xml integration vassilis christophides , sophie cluet , j &#233; r &#466; me sim &#232; on 2000","jérôme siméon , vassilis christophides , sophie cluet","","","international conference on management of data","2000",""
22,0,"document management as a database problem rudolf bayer 1995","is web-site management a database problem ? daniela florescu , alon y. levy , dan suciu very large data bases 1998","","","vldb","","",""
23,0,"index nesting - an efficient approach to indexing in object-oriented databases jiawei han , beng chin ooi , hongjun lu , kian-lee tan","converting relational to object-oriented databases 1997","","joseph fong","vldb j.","acm sigmod record","1996",""
24,1,"controlling data warehouses with knowledge networks","controlling data warehouses with knowledge networks very large data bases 2000","jan-dirk becker , matthias jarke , andreas boehmer , elvira schaefer","elvira schaefer , jan-dirk becker , andreas boehmer , matthias jarke","vldb","","2000",""
25,0,"temporal database system implementations michael h. böhlen 1995","temporal conditions and integrity constraints in active database systems international conference on management of data","","a. prasad sistla , ouri wolfson","sigmod record","","","1995"
26,1,"ansi sql hierarchical processing can fully integrate native xml sigmod record","ansi sql hierarchical processing can fully integrate native xml acm sigmod record 2003","michael m. david","michael m. david","","","2003",""
27,1,"warping indexes with envelope transforms for query by humming dennis shasha , yunyue zhu","warping indexes with envelope transforms for query by humming yunyue zhu , dennis shasha","","","sigmod conference","international conference on management of data","2003","2003"
28,0,"reminiscences on influential papers theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross 2002","influential papers ken ross acm sigmod record","","","sigmod record","","","2002"
29,0,"database research at ut arlington sigmod record 2003","database research at arizona state university","sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh","susan d. urban , suzanne w. dietrich , forouzan golshani","","acm sigmod record","","1996"
30,0,"lore : a database management system for semistructured data sigmod record","dwms : data warehouse management system narendra mohan very large data bases 1996","roy goldman , serge abiteboul , jennifer widom , dallan quass , jason mchugh","","","","1997",""
31,0,"discover : keyword search in relational databases 2002","converting relational to object-oriented databases 1997","vagelis hristidis , yannis papakonstantinou","joseph fong","vldb","acm sigmod record","",""
32,0,"incremental computation and maintenance of temporal aggregates jun yang , jennifer widom","incremental maintenance of recursive views using relational calculus/sql","","guozhu dong , jianwen su","vldb j.","acm sigmod record","2003","2000"
33,0,"procedures in object-oriented query languages kazimierz subieta , jacek leszczylowski , yahiko kambayashi 1995","an effective deductive object-oriented database through language integration maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn very large data bases 1994","","","vldb","","",""
34,1,"opossum : desk-top schema management through customizable visualization vldb 1995","opossum : desk-top schema management through customizable visualization very large data bases","miron livny , eben m. haber , yannis e. ioannidis","eben m. haber , yannis e. ioannidis , miron livny","","","","1995"
35,0,"dms : a parallel data mining server felicity a. w. george","scalable parallel data mining for association rules eui-hong han , george karypis , vipin kumar international conference on management of data","","","vldb","","1998","1997"
36,1,"naos - efficient and modular reactive capabilities in an object-oriented database system thierry coupaye , t. svensen , christine collet","naos - efficient and modular reactive capabilities in an object-oriented database system 1994","","christine collet , thierry coupaye , t. svensen","vldb","very large data bases","1994",""
37,0,"user-adaptive exploration of multidimensional data 2000","a foundation for multi-dimensional databases marc gyssens , laks v. s. lakshmanan","sunita sarawagi","","vldb","very large data bases","","1997"
38,1,"a query language for multidimensional arrays : design , implementation , and optimization techniques sigmod conference","a query language for multidimensional arrays : design , implementation , and optimization techniques 1996","limsoon wong , rona machlin , leonid libkin","leonid libkin , rona machlin , limsoon wong","","international conference on management of data","1996",""
39,1,"comprehension syntax limsoon wong , dan suciu , val tannen , peter buneman , leonid libkin sigmod record","comprehension syntax","","peter buneman , leonid libkin , dan suciu , val tannen , limsoon wong","","acm sigmod record","1994","1994"
40,0,"buffering accesses to memory-resident index structures 2003","efficient index structures for string databases tamer kahveci , ambuj k. singh 2001","jingren zhou , kenneth a. ross","","vldb","very large data bases","",""
41,0,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference","revisiting commit processing in distributed database systems 1997","","ramesh gupta , jayant haritsa , krithi ramamritham","","international conference on management of data","1997",""
42,0,"semint : a system prototype for semantic integration in heterogeneous databases","a scalable architecture for autonomous heterogeneous database interactions very large data bases","wen-syan li , chris clifton","steven milliner , athman bouguettaya , mike p. papazoglou","sigmod conference","","1995","1995"
43,0,"mining system audit data : opportunities and challenges wei fan , wenke lee 2001","amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises amit sheth , robert meersman acm sigmod record","","","sigmod record","","","2002"
44,0,"sit-in : a real-life spatio-temporal information system stefano de francisci , rossella molinaro , orietta gargano , mario paolucci , leonardo tininini , giuseppe sindoni , paola patteri , amedea ambrosetti , pina ticca , cristina bedeschi 2001","environmental information systems oliver g &#252; nther acm sigmod record","","","vldb","","","1997"
45,0,"partial results for online query processing joseph m. hellerstein , vijayshankar raman sigmod conference","sequence query processing praveen seshadri , miron livny , raghu ramakrishnan","","","","international conference on management of data","2002","1994"
46,1,"beyond market baskets : generalizing association rules to correlations","beyond market baskets : generalizing association rules to correlations international conference on management of data","rajeev motwani , sergey brin , craig silverstein","sergey brin , rajeev motwani , craig silverstein","sigmod conference","","1997","1997"
47,0,"tracing the lineage of view data in a warehousing environment acm trans . database syst . 2000","lineage tracing for general data warehouse transformations yingwei cui , jennifer widom very large data bases","janet l. wiener , yingwei cui , jennifer widom","","","","","2001"
48,0,"editorial vldb j.","editorial","peter m. g. apers , stefano ceri , richard t. snodgrass","richard snodgrass","","acm transactions on database systems ( tods )","2002","2001"
49,0,"mining fuzzy association rules in databases ada wai-chee fu , man hon wong , chan man kuok sigmod record","a new sql-like operator for mining association rules very large data bases","","rosa meo , giuseppe psaila , stefano ceri","","","1998","1996"
50,0,"query optimization in the presence of limited access patterns dan suciu , ioana manolescu , daniela florescu , alon y. levy sigmod conference","minimization of tree pattern queries sihem amer-yahia , sungran cho , laks v. s. lakshmanan , divesh srivastava 2001","","","","international conference on management of data","1999",""
51,0,"query optimization for selections using bitmaps ming-chuan wu","query optimization in compressed database systems","","zhiyuan chen , johannes gehrke , flip korn","sigmod conference","international conference on management of data","1999","2001"
52,0,"reminiscences on influential papers christos h. papadimitriou , anant jhingran , yannis e. ioannidis , kenneth a. ross sigmod record 2000","reminiscences on influential papers","","kenneth a. ross","","acm sigmod record","","2003"
53,1,"user-defined table operators : enhancing extensibility for ordbms vldb 1999","user-defined table operators : enhancing extensibility for ordbms michael jaedicke , bernhard mitschang very large data bases 1999","bernhard mitschang , michael jaedicke","","","","",""
54,0,"distance browsing in spatial databases hanan samet , gísli r. hjaltason","selectivity estimation in spatial databases","","swarup acharya , viswanath poosala , sridhar ramaswamy","acm trans . database syst .","international conference on management of data","1999","1999"
55,0,"answering xml queries on heterogeneous data sources ioana manolescu , donald kossmann , daniela florescu vldb","describing and using query capabilities of heterogeneous sources","","vasilis vassalos , yannis papakonstantinou","","very large data bases","2001","1997"
56,0,"index configuration in object-oriented databases elisa bertino vldb j. 1994","a cost model for clustered object-oriented databases very large data bases 1995","","georges gardarin , jean-robert gruser , zhao-hui tang","","","",""
57,0,"reminiscences on influential papers z. meral özsoyoglu , philip s. yu , nick roussopoulos , krithi ramamritham , alberto o. mendelzon , richard t. snodgrass , laura m. haas , jennifer widom , jan paredaens sigmod record","influential papers","","ken ross","","acm sigmod record","1998","2002"
58,0,"reminiscences on influential papers sigmod record","reminiscences on influential papers richard snodgrass acm sigmod record 1998","kaladhar voruganti , renée j. miller , kenneth a. ross , flip korn","","","","2002",""
59,1,"filtering with approximate predicates hector garcia-molina , narayanan shivakumar , chandra chekuri 1998","filtering with approximate predicates narayanan shivakumar , hector garcia-molina , chandra chekuri 1998","","","vldb","very large data bases","",""
60,0,"sql query optimization : reordering for a general class of queries sigmod conference","probabilistic optimization of top n queries donko donjerkovic , raghu ramakrishnan very large data bases 1999","piyush goel , balakrishna r. iyer","","","","1996",""
61,1,"hierarchical compact cube for range-max queries hua-gang li , sin yeung lee , tok wang ling 2000","hierarchical compact cube for range-max queries 2000","","sin yeung lee , tok wang ling , hua-gang li","vldb","very large data bases","",""
62,0,"index configuration in object-oriented databases elisa bertino vldb j. 1994","opt + + : an object-oriented implementation for extensible database query optimization the vldb journal -- the international journal on very large data bases","","navin kabra , david j. dewitt","","","","1999"
63,0,"further improvements on integrity constraint checking for stratifiable deductive databases sin yeung lee , tok wang ling vldb 1996","implementing deductive databases by mixed integer programming colin bell , anil nerode , raymond t. ng , v. s. subrahmanian","","","","acm transactions on database systems ( tods )","","1996"
64,0,"hierarchical prefix cubes for range-sum queries vldb 1999","dynamic update cube for range-sum queries very large data bases","chee yong chan , yannis e. ioannidis","seok-ju chun , chin-wan chung , ju-hong lee , seok-lyong lee","","","","2001"
65,0,"hypergraph based reorderings of outer join queries with complex predicates sigmod conference 1995","factorizing complex predicates in queries to exploit indexes 2003","gautam bhargava , balakrishna r. iyer , piyush goel","surajit chaudhuri , prasanna ganesan , sunita sarawagi","","international conference on management of data","",""
66,0,"the aditi deductive database system kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi 1994","space optimization in deductive databases 1995","","divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton","vldb j.","acm transactions on database systems ( tods )","",""
67,0,"static detection of security flaws in object-oriented databases keishi tajima sigmod conference 1996","unisql/x unified relational and object-oriented database system won kim 1994","","","","international conference on management of data","",""
68,0,"strudel : a web-site management system alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu 1997","using the calanda time series management system werner dreyer , angelika kotz dittrich , duri schmidt 1995","","","sigmod conference","international conference on management of data","",""
69,0,"tree pattern query minimization","efficient algorithms for minimizing tree pattern queries prakash ramanan international conference on management of data 2002","divesh srivastava , sungran cho , laks v. s. lakshmanan , sihem amer-yahia","","vldb j.","","2002",""
70,0,"implementation of magic-sets in a relational database system sigmod conference","on efficiently implementing schemasql on an sql database system","inderpal singh mumick , hamid pirahesh","laks v. s. lakshmanan , fereidoon sadri , subbu n. subramanian","","very large data bases","1994","1999"
71,0,"a robust , optimization-based approach for approximate answering of aggregate queries 2001","the aqua approximate query answering system swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy 1999","vivek r. narasayya , gautam das , surajit chaudhuri","","sigmod conference","international conference on management of data","",""
72,0,"selectivity estimation for spatio-temporal queries to moving objects yong-jin choi , chin-wan chung sigmod conference 2002","selectivity estimation in spatial databases","","swarup acharya , viswanath poosala , sridhar ramaswamy","","international conference on management of data","","1999"
73,0,"on supporting containment queries in relational database management systems sigmod conference 2001","integrating modelling systems for environmental management information systems 1997","guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang","david j. abel , kerry taylor , dean kun","","acm sigmod record","",""
74,0,"vist : a dynamic index method for querying xml data by tree structures wei fan , sanghyun park , philip s. yu , haixun wang sigmod conference 2003","efficient index structures for string databases tamer kahveci , ambuj k. singh 2001","","","","very large data bases","",""
75,0,"foundations of preferences in database systems werner kießling 2002","secure buffering in firm real-time database systems 2000","","binto george , jayant r. haritsa","vldb","the vldb journal -- the international journal on very large data bases","",""
76,1,"towards automated performance tuning for complex workloads michael j. carey , manish mehta , miron livny , kurt p. brown","towards automated performance tuning for complex workloads kurt p. brown , manish mehta , michael j. carey , miron livny 1994","","","vldb","very large data bases","1994",""
77,0,"book review column karl aberer","book reviews acm sigmod record 2002","","karl aberer","sigmod record","","2003",""
78,0,"groupwise processing of relational queries kenneth a. ross , damianos chatziantoniou vldb","cache conscious algorithms for relational query processing ambuj shatdal , chander kant , jeffrey f. naughton","","","","very large data bases","1997","1994"
79,0,"efficiently instantiating view-objects from remote relational databases vldb j.","converting relational to object-oriented databases 1997","gio wiederhold , byung suk lee","joseph fong","","acm sigmod record","1994",""
80,0,"constructing the next 100 database management systems andreas geppert , klaus r. dittrich sigmod record","the mariposa distributed database management system acm sigmod record","","jeff sidell","","","1994","1996"
81,0,"report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) joachim hammer sigmod record 2002","report on the fourth international conference on flexible query answering systems ( fqas 2000 ) acm sigmod record","","patrick bosc , amihai motro , gabriella pasi","","","","2001"
82,0,"reminiscences on influential papers sigmod record","influential papers ken ross acm sigmod record","kenneth a. ross , kyuseok shim , mary f. fernandez","","","","2002","2002"
