id,label,left_name,left_address,left_city,left_phone,left_category,left_class,right_name,right_address,right_city,right_phone,right_category,right_class
0,0,toulouse,b peachtree rd.,Atlanta,404-351-9533,french,92,white house restaurant,3172 peachtree rd. ne,Atlanta,404-237-7601,diners,719
1,0,Gallagher's,228 West 52nd Street,New York,212-245-5336,american,254,La Grenouille,3 East 52nd Street,New York City,212-752-1495,french (classic),623
2,0,Center Stage Plaza Hotel,1 Main St.,Las Vegas,702-386-2512,american,436,Chinois on Main,2709 Main St.,Santa Monica,310-392-9025,pacific new wave,5
3,0,`satsuki`,3043 Buford Highway,Atlanta,404-325-5285,asian,415,`havana sandwich shop`,2905 Buford Highway,Atlanta,404-636-4094,cuban,695
4,0,Pinot Bistro,12969 Ventura Boulevard,Los Angeles,818-990-0500,french,18,Mulberry St.,17040 Ventura Boulevard,Encino,818-906-8881,pizza,580
5,0,China Grill,60 West 53rd Street,New York,212-333-7788,american,219,Seryna,11 East 53rd Street,New York City,212-980-9393,japanese,59
6,0,lespinasse,2 East 0.55th Street,New York,212-339-6719,american,43,La Caravelle,33 West 0.55th Street,New York City,212-586-4252,french (classic),39
7,0,Tang Pavillion,65 West 55th Street,New York City,212-956-6888,asian,356,Menchanko-Tei,39 West 55th Street,New York City,212-247-1585,japanese,627
8,0,aquavit,13 West 54th Street,New York,212-307-7311,continental,24,oceana,55 East 54th Street,New York City,212-759-5941,seafood,50
9,0,abbey,163 Ponce de Leon Avenue,Atlanta,404-876-8532,international,379,eats,600 Ponce de Leon Avenue,Atlanta,404-888-9149,italian,690
10,0,fifty seven fifty seven,57 E. 57th Street,New York,212-758-5757,american,239,oceana,55 E. 54th Street,New York City,212-759-5941,seafood,50
11,0,Grand Cafe Hotel Monaco,501 Geary Street,San Francisco,415-292-0101,american,473,Mel's Drive-In,3355 Geary Street,San Francisco,415-387-2244,hamburgers,739
12,0,Horseradish Grill,4320 Powers Ferry Road,Atlanta,404-255-7277,southern,398,Carey's Corner,1215 Powers Ferry Road,Marietta,770-933-0909,hamburgers,686
13,0,Luna Si,1931 Peachtree Road,Atlanta,404-355-5993,continental,405,Original Pancake House (at),4330 Peachtree Road,Atlanta,404-237-4116,american,708
14,0,bruno,240 E. 58th Street,New York,212-688-4190,italian,195,Les Celebrites,155 W. 58th Street,New York City,212-484-5113,french (classic),42
15,0,eclipse,8800 Melrose Avenue,Los Angeles,310-724-5959,californian,132,mo better meatty meat,7261 Melrose Avenue,Los Angeles,213-935-5280,hamburgers,579
16,0,Pacific Dining Car,6th Street,Los Angeles,213-483-6000,american,153,Andre's French Restaurant,401 S. 6th St.,Las Vegas,702-385-5016,french (classic),656
17,1,Rainbow Room,30 Rockefeller Plaza,New York,212-632-5000,american,55,Rainbow Room,30 Rockefeller Plaza,New York City,212-632-5000,american (new),55
18,1,Cafe Claude,7 Claude La,San Francisco,415-392-3505,french,97,Cafe Claude,7 Claude Ln,San Francisco,415-392-3505,french bistro,97
19,0,Yolie's,3900 Paradise Road,Las Vegas,702-794-0700,steak houses,452,Nicky Blair's,3925 Paradise Road,Las Vegas,702-792-9900,italian,668
20,0,heera of india,595 Piedmont Avenue Rio Shopping Mall,Atlanta,404-876-4408,asian,83,rose of india,308 E. Sixth St.,New York City,212-533-5011,indian,638
21,0,osteria del forno,519 Columbus Avenue,San Francisco,415-982-1124,italian,490,campo santo,240 Columbus Avenue,San Francisco,415-433-9623,mexican,724
22,0,Bertolini's,3570 Las Vegas Boulevard S,Las Vegas,702-735-4663,italian,427,Moongate,3400 Las Vegas Boulevard S,Las Vegas,702-791-7352,chinese,666
23,0,maykadeh,470 Green Street,San Francisco,415-362-8286,greek and middle eastern,495,greenwood's,1087 Green Street,Roswell,770-992-5383,southern/soul,693
24,0,dawat,210 East 58th Street,New York,212-355-7555,asian,32,petrossian,182 West 58th Street,New York City,212-245-2214,russian,52
25,0,the bacchanal,3570 Las Vegas Boulevard S,Las Vegas,702-731-7525,only in las vegas,449,steak house the,2880 Las Vegas Boulevard S,Las Vegas,702-734-0410,steakhouses,72
26,0,posto,14928 Ventura Boulevard,Sherman Oaks,818-784-4400,italian,156,Rubin's Red Hots,15322 Ventura Boulevard,Encino,818-905-6515,hot dogs,590
27,0,Antonio's,3700 W. Flamingo,Las Vegas,702-252-7737,italian,423,Buzio's in the Rio,3700 W. Flamingo Road,Las Vegas,702-252-7697,seafood,658
28,0,Ruth's Chris',148 W. 51st St.,New York,212-245-9600,american,338,Le Bernardin,155 W. 51st St.,New York City,212-489-1515,seafood,41
29,0,Tommy Tang's,7313 Melrose Avenue,Los Angeles,213-937-5733,asian,167,Patina,5955 Melrose Avenue,Los Angeles,213-467-1108,californian,16
30,0,circus circus,2880 las vegas boulevard s,las vegas,702-734-0410,buffets,437,sterling brunch,3645 las vegas boulevard s,las vegas,702-739-4651,eclectic,673
31,0,l'orangerie,903 N. La Cienega Blvd.,Los Angeles,310-652-9770,french,11,matsuhisa,129 N. La Cienega Blvd.,Beverly Hills,310-659-9639,seafood,14
32,0,vong,200 East 54th Street,New York City,212-486-9592,american,373,Sparks Steak House,210 East 46th Street,New York City,212-687-4855,steakhouses,641
33,0,Margarita's Mexican Cantina,3120 Las Vegas Boulevard S,Las Vegas,702-794-8200,mexican,444,Steak House The,2880 Las Vegas Boulevard S,Las Vegas,702-734-0410,steakhouses,72
34,0,The Dining Room Ritz-Carlton Buckhead,3434 Peachtree Road,Atlanta,404-237-2700,international,90,The Palm (Atlanta),3391 Peachtree Road NE,Atlanta,404-814-1955,steakhouses,709
35,0,dante's down the hatch buckhead,3380 Peachtree Road,Atlanta,404-266-1600,continental,393,abruzzi,2355 Peachtree Road NE,Atlanta,404-261-8186,italian,74
36,0,Helmand,430 Broadway,San Francisco,415-362-0641,greek and middle eastern,479,La Caridad,2199 Broadway,New York City,212-874-2780,cuban,622
37,0,Ralph's Diner,3000 Las Vegas Boulevard S,Las Vegas,702-732-6330,coffee shops/diners,448,Tre Visi,3799 Las Vegas Boulevard S,Las Vegas,702-891-7331,italian,674
