id,label,left_name,left_address,left_city,left_phone,left_category,left_class,right_name,right_address,right_city,right_phone,right_category,right_class
0,0,Toulouse,B Peachtree Rd.,Atlanta,404-351-9533,french,92.0,White House Restaurant,3172 Peachtree Rd Ne,Atlanta,404-237-7601,diners,719.0
1,0,Gallagher's,228 West 52nd Street,New York City,212-245-5336,american,254.0,La Grenouille,3 East 52nd Street,New York City,212-752-1495,french ( classic ),623.0
2,0,Center Stage Plaza Hotel,1 Main St.,Las Vegas,702-386-2512,american,436.0,Chinois on Main,2709 Main St.,Santa Monica,310-392-9025,pacific new wave,5.0
3,0,sa tsu ki,3043 Buford Hwy.,Atlanta,404-325-5285,asian,415.0,havana sandwich shop,2905 Buford Hwy.,Atlanta,404-636-4094,cuban,695.0
4,0,Pinot Bistro,12969 Ventura Boulevard,Los Angeles,818-990-0500,french,18.0,Mulberry St.,17040 Ventura Boulevard,Encino,818-906-8881,pizza,580.0
5,0,china grill,60 W 53rd St,New York City,212-333-7788,american,219.0,seryna,11 E 53rd St,New York City,212-980-9393,japanese,59.0
6,0,lespinasse,2 E 55th St,New York City,212-339-6719,american,43.0,La Caravelle,33 W 55th St,New York City,212-586-4252,french ( classic ),39.0
7,0,,,,,,,,,,,,
8,0,Aquavit,13 West 54th Street,New York City,212-307-7311,continental,24.0,Oceana,55 East 54th Street,New York City,212-759-5941,seafood,50.0
9,0,abbey,163 Ponce De Leon Ave.,Atlanta,404-876-8532,international,379.0,eats,600 Ponce De Leon Ave.,Atlanta,404-888-9149,italian,690.0
10,0,fifty seven fifty seven,57 E 57th St,New York City,212-758-5757,american,239.0,oceana,55 E 54th St,New York City,212-759-5941,seafood,50.0
11,0,Grand Cafe Hotel Monaco,501 Geary St.,San Francisco,415-292-0101,american,473.0,Mel's Drive-In,3355 Geary St.,San Francisco,415-387-2244,hamburgers,739.0
12,0,Horseradish Grill,4320 Powers Ferry Rd.,Atlanta,404-255-7277,southern,398.0,Carey's Corner,1215 Powers Ferry Rd.,Marietta,770-933-0909,hamburgers,686.0
13,0,luna si,1931 Peachtree Rd.,Atlanta,404-355-5993,continental,405.0,Original Pancake House (at),4330 Peachtree Rd.,Atlanta,404-237-4116,american,708.0
14,0,bruno,240 E 58th St,New York City,212-688-4190,italian,195.0,Les Celebrites,155 W 58th St,New York City,212-484-5113,french ( classic ),42.0
15,0,,,,,,,,,,,,
16,0,Pacific Dining Car,6th St.,Los Angeles,213-483-6000,american,153.0,Andre's French Restaurant,401 S. 6th St.,Las Vegas,702-385-5016,french ( classic ),656.0
