id,label,left_name,left_address,left_city,left_phone,left_category,left_class,right_name,right_address,right_city,right_phone,right_category,right_class
0,0,Toulouse,B Peachtree Rd,Atlanta,4043519533,french,92,White House Restaurant,3172 Peachtree Rd Ne,Atlanta,4042377601,diners,719
1,0,gallagher's,228 w 52nd st,new york,212-245-5336,american,254,la grenouille,3 e 52nd st,new york city,212-752-1495,french classic,623
2,0,center stage plaza hotel,1 main st,Los Angeles,7023862512,american,436,chinois on main,2709 main st,Santa Monica,3103929025,pacific new wave,5
3,0,sa tsu ki,3043 buford hwy,atlanta,4043255285,asian,415,havana sandwich shop,2905 buford hwy,atlanta,4046364094,cuban,695
4,0,pinot bistro,12969 ventura blvd,los angeles,8189900500,french,18,mulberry st,17040 ventura blvd,encino,8189068881,pizza,580
5,0,china grill,60 w 53rd st,new york city,212/333 -7788,american,219,seryna,11 e 53rd st,new york city,212-980-9393,japanese,59
6,0,lespinasse,2 e 55th st,new york city,2123396719,american,43,la caravelle,33 w 55th st,new york city,2125864252,french classic,39
7,0,tang pavillion,65 w 55th st,new york city,2129566888,asian,356,menchanko-tei,39 w 55th st,new york city,2122471585,japanese,627
8,0,aquavit,13 w 54th st,new york city,2123077311,continental,24,oceana,55 e 54th st,new york city,2127595941,seafood,50
9,0,abbey,163 ponce de leon ave,atlanta,4048768532,international,379,eats,600 ponce de leon ave,atlanta,4048889149,italian,690
10,0,fifty seven fifty seven,57 e 57th st,new york city,2127585757,american,239,oceana,55 e 54th st,new york city,2127595941,seafood,50
11,0,grand cafe hotel monaco,501 geary st,san francisco,4152920101,american,473,mel's drive-in,3355 geary st,san francisco,4153872244,hamburgers,739
12,0,horseradish grill,4320 powers ferry rd,atlanta,404-255-7277,southern,398,carey's corner,1215 powers ferry rd,marietta,770-933-0909,hamburgers,686
13,0,luna si,1931 peachtree rd,atlanta,404-355-5993,continental,405,original pancake house,4330 peachtree rd,atlanta,404-237-4116,american,708
14,0,bruno,240 e 58th st,new york city,2126884190,italian,195,les celebrites,155 w 58th st,new york city,212-484-5113,french classic,42
15,0,eclipse,8800 melrose ave,los angeles,3107245959,californian,132,mo better meatty meat,7261 melrose ave,los angeles,2139355280,hamburgers,579
16,0,pacific dining car,6th st,los angeles,2134836000,american,153,andre's french restaurant,401 s 6th st,las vegas,7023855016,french classic,656
17,1,rainbow room,30 rockefeller plaza,new york city,2126325000,american,55,rainbow room,30 rockefeller plaza,new york city,212-632-5000,american ( new ),55
18,1,cafe claude,7 claude la,san francisco,4153923505,french,97,cafe claude,7 claude ln,san francisco,415-392-3505,french bistro,97
19,0,Yolie's,3900 Paradise Rd,Los Angeles,7027940700,steak houses,452,Nicky Blair's,3925 Paradise Rd,Los Angeles,7027929900,italian,668
20,0,heera of india,595 piedmont ave rio shopping mall,atlanta,4048764408,asian,83,rose of india,308 e sixth st,new york city,2125335011,indian,638
21,0,l'osteria del forno,519 columbus ave,san francisco,4159821124,italian,490,campo santo,240 columbus ave,san francisco,4154339623,mexican,724
22,0,bertolini's,3570 las vegas blvd s,los angeles,7027354663,italian,427,moongate,3400 las vegas blvd s,las vegas,7027917352,chinese,666
23,0,maykadeh,470 green st,san francisco,4153628286,greek and middle eastern,495,greenwood's,1087 green st,roswell,7709925383,southern/soul,693
24,0,dawat,210 e 58th st,new york city,2123557555,asian,32,petrossian,182 w 58th st,new york city,2122452214,russian,52
25,0,the bacchanal,3570 las vegas blvd s,los angeles,7027317525,only in los angeles,449,steak house the,2880 las vegas blvd s,las vegas,7027340410,steakhouses,72
26,0,posto,14928 Ventura Blvd,Sherman Oaks,8187844400,italian,156,Rubin's Red Hots,15322 Ventura Blvd,Encino,8189056515,hot dogs,590
27,0,antonio's,3700 w flamingo,los angeles,7022527737,italian,423,buzio's in the rio,3700 w flamingo rd,las vegas,7022527697,seafood,658
28,0,ruth's chris,148 w 51st st,new york city,2122459600,american,338,le bernardin,155 w 51st st,new york city,212-489-1515,seafood,41
29,0,tommy tang's,7313 melrose ave,los angeles,2139375733,asian,167,patina,5955 melrose ave,los angeles,2134671108,californian,16
