id,label,left_name,left_address,left_city,left_phone,left_category,left_class,right_name,right_address,right_city,right_phone,right_category,right_class
0,0,Toulouse,B Peachtree Rd.,Atlanta,404-351-9533,french bistro,92,White House Restaurant,3172 Peachtree Rd. NE,Atlanta,404-237-7601,diners,719
1,0,Gallagher's,228 W 52nd St,New York,212-245-5336,american,254,La Grenouille,3 E 52nd St,New York City,212-752-1495,french (classic),623
2,0,Center Stage Plaza Hotel,1 Main St.,Las Vegas,702-386-2512,american,436,Chinois on Main,2709 Main St.,Santa Monica,310-392-9025,pacific new wave,5
3,0,Sa Tsu Ki,3043 Buford Hwy.,Atlanta,404-325-5285,asian,415,Havana Sandwich Shop,2905 Buford Hwy.,Atlanta,404-636-4094,cuban,695
4,0,Pinot Bistro,12969 Ventura Blvd.,Los Angeles,818-990-0500,french bistro,18,Mulberry St.,17040 Ventura Blvd.,Encino,818-906-8881,pizza,580
5,0,China Grill,60 W 53rd St,New York,212-333-7788,american,219,Seryna,11 E 53rd St,New York City,212-980-9393,japanese,59
6,0,lespinasse,2 E 55th St,New York,212-339-6719,american (new),43,La Caravelle,33 W 55th St,New York City,212-586-4252,french (classic),39
7,0,Tang Pavilion,65 W 55th St,New York,212-956-6888,asian,356,Menchanko-Tei,39 W 55th St,New York City,212-247-1585,japanese,627
8,0,Aquavit,13 W. 54th St.,New York,212-307-7311,continental,24,Oceana,55 E. 54th St.,New York City,212-759-5941,seafood,50
9,0,abbey,163 Ponce De Leon Ave.,Atlanta,404-876-8532,international,379,eats,600 Ponce De Leon Ave.,Atlanta,404-888-9149,italian,690
10,0,Fifty Seven Fifty Seven,57 E 57th St,New York,212-758-5757,american,239,Oceana,55 E 54th St,New York City,212-759-5941,seafood,50
11,0,Grand Cafe Hotel Monaco,501 Geary St.,San Francisco,415-292-0101,american,473,Mel's Drive-In,3355 Geary St.,San Francisco,415-387-2244,hamburgers,739
12,0,Horseradish Grill,4320 Powers Ferry Rd.,Atlanta,404-255-7277,southern,398,Carey's Corner,1215 Powers Ferry Rd.,Marietta,770-933-0909,hamburgers,686
13,0,Luna Si,1931 Peachtree Rd.,Atlanta,404-355-5993,continental,405,Original Pancake House,4330 Peachtree Rd.,Atlanta,404-237-4116,american,708
14,0,Bruno,240 E. 58th St.,New York,212-688-4190,italian,195,Les Celebrites,155 W. 58th St.,New York City,212-484-5113,french (classic),42
15,0,Eclipse,8800 Melrose Ave.,Los Angeles,310-724-5959,californian,132,Mo Better Meatty Meat,7261 Melrose Ave.,Los Angeles,213-935-5280,hamburgers,579
16,0,Pacific Dining Car,6th St.,Los Angeles,213-483-6000,american,153,Andre's French Restaurant,401 S. 6th St.,Las Vegas,702-385-5016,french (classic),656
17,1,Rainbow Room,30 Rockefeller Plaza ,New York,212-632-5000,american,55,Rainbow Room,30 Rockefeller Plaza ,New York City,212-632-5000,american (new),55
18,1,cafe claude,7 claude la .,san francisco,415-392-3505,french,97,cafe claude,7 claude ln .,san francisco,415-392-3505,french bistro,97
