id,label,left_title,right_title
0,1,Transcend 4GB Class 2 SDHC Flash Memory Card,Transcend 4GB Class 2 SDHC Secure Digital Flash Memory Card
1,0,Veho Muvi Pro Micro Black,Chromo 216 LED CI-216 Dimmable Camera Light for Canon Nikon Pentax Panasonic Sony Samsung Olympus
2,0,Sony RMTDSLR2 Wireless Remote,Sony Alpha a6000 Mirrorless Digital Camera
3,0,Hasselblad X1D Digital Medium Format Mirrorless Camera,Panasonic Lumix DMC-FX75S 14.1 Megapixel Digital Camera
4,1,Action Camera Suction Cup with Plate,Action Camera Suction Cup with Plate
5,0,Uniden UDR444 Guardian 4.3-Inch Video Surveillance System with 2 Cameras,Security Camera System with 4 Dome Infrared Cameras and Internet DVR
6,0,GoPro Head Strap and QuickClip,GoPro Front Head Mount
7,1,Tamron AF 18-270mm f/3.5-6.3 Di-II VC LD Aspherical Macro Lens for Nikon,Tamron AF 18-270mm f/3.5-6.3 Di II VC PZD Lens for Nikon
8,0,Panasonic Lumix G 14-45mm f/3.5-5.6 ASPH. MEGA O.I.S. Micro Four Thirds Lens,Sigma 8-16mm f/4.5-5.6 DC HSM Ultra-Wide Zoom Lens for Sony/Minolta
9,0,AXIS 5800-481 Dome Camera,GoPro Head Strap and QuickClip
10,0,GoPro Accessory Kit for GoPro Hero 4/3+/3/2/SJCAM and Xiaomi Yi Camera,Canon 200EG Deluxe Camera Backpack
11,0,SanDisk Ultra 16GB CompactFlash Flash Memory Card,32GB CompactFlash Flash Memory Card
12,0,D-Link DCS-8200LH Panoramic HD Camera,D-Link DCS-2310L Outdoor HD PoE Day/Night Camera
13,1,Canon BG-E11 Battery Grip,Canon BG-E11 Battery Grip for 5D Mark III 5DS 5DSR
14,1,Foscam FI9901EP 4MP Outdoor PoE IP Camera,Foscam FI9901EP 4MP PoE IP Camera
15,0,Nikon D5300 DSLR Camera with 18-55mm VR Lens,Nikon D3200 Digital SLR Camera with 18-55mm VR Lens
16,0,Nikon SB-300 Speedlight Flashgun,Nikon SB-700 Speedlight Flashgun
17,0,GoPro Accessory Kit for Hero 3 2 1 5 4 3+ Session SJ4000 SJ5000 SJ6000 Xiaomi Yi,Canon 100EG Camera Bag
18,0,Sony HXR-NX100 Black Camcorder,Sony SEL1670Z 16-70mm f/4 Zoom Lens for APS-C E-Mount Mirrorless Camera
