id,label,left_title,right_title,left_brand,right_brand
0,1,Transcend NAND SDHC Flash Memory Card 4GB Class 2 Speed Rating,Transcend TS4GSDHC BUB 4GB SDHC Secure Digital Class 2,,
1,0,Veho VCC-003 Muvi Pro Micro Camera (Black),"Chromo 216 LED Video Digital SLR Camera Light for Canon, Nikon, Pentax, Panasonic, SONY, Samsung and Olympus Cameras",,
2,0,Sony Wireless Remote RMTDSLR2 for Alpha & NEX,Sony Alpha a6000 Mirrorless Digital Camera - Body only,,
3,0,Hasselblad X1D Digital Medium Format Mirrorless Camera Body,14.1 Megapixel Lumix Digital Camera Panasonic DMC-FX75S,,
4,1,Action Outdoor Suction Cup with Plate,Action Outdoor Suction Cup with Plate,,
5,0,,,,
6,0,GoPro Head Strap QuickClip,Frontal Helmet Fixation Kit GoPro Camera - 17'',,
7,1,Tamron AF 18-270mm f/3.5-6.3 Di-II VC LD Asph. (IF) Macro Lens for Nikon Digital SLR Cameras,Tamron AF 18-270mm F/3.5-6.3 Di II VC PZD Nikon Mount,,
8,0,Panasonic Lumix G Vario 14-45mm f3.5-5.6 ASPH MEGA OIS Micro Four Thirds Mount,Sigma 8-16mm F4.5-5.6 DC HSM Ultrasonic Motor Ultra-Wide Zoom Lens Sony Minolta Digital SLR,,
9,0,AXIS Clear Dome Camera Dome Bubble,GoPro Head Strap + QuickClip,,
10,0,MCOCEAN 7 in 1 Accessories Kit for GoPro Hero 4/3+/3/2/SJCAM and Xiaomi Yi Camera,Canon Deluxe 200EG Back Pack,,
11,0,,,,
12,0,mydlink Home Panoramic HD Camera DCS-8200LH,Outdoor HD PoE Day/Night Cloud Camera DCS-2310L,,
13,1,Canon BG-E11 Battery Grip,"Canon BG-E11 Battery Grip for 5D MKIII, 5DS, 5DSR Cameras",,
14,1,Foscam FI9901EP PoE 4MP Outdoor IP Camera,Foscam FI9901EP POE 4.0 Mpx IP KAMERA P2P,,
15,0,Nikon D5300 DSLR Camera with 18-55mm Vibration Reduction Lens,Nikon D3200 Digital SLR Camera With AF-S DX NIKKOR 18-55mm 3.5-5.6G Vibration Reduction Lens (Black) (Black),,
16,0,Nikon SB-300 Speedlight Flashgun,Nikon SB-700 flash cobra,,
17,0,GoPro Hero 5 4 3+ 3 2 1 Session Accessory Kit Flotation Handle Head Strap Chest Strap US Professional Video SJ4000 SJ5000 SJ6000 Xiaomi Yi,Canon Deluxe Gadget Bag 100EG-US Camera Case,,
18,0,Sony HXR-NX100 Camera,Sony SEL1670Z 16-70mm f/4 Zoom Lens for APS-C sensor E-mount mirrorless cameras,,
19,0,"Netgear Replaceable Silicone Skins, Black, 3-Pack VMA1200B-10000S","Mydlink Home HD Monitor 360 Cam, Black",,
20,0,MCOCEAN 7 in 1 Accessories Kit for GoPro Hero 4/3+/3/2/SJCAM and Xiaomi Yi Camera-US Camcorder Bundles,Soft Digits Accessories Kit for GoPro Hero 5 4 3+ 3 2 1 Session Action Camera SJ4000 SJ5000 SJ6000 Xiaomi Yi-Flotation Handle+Head Strap+Chest Strap-US Camera Supports & Stabilizers,,
21,0,Nikon AF 50mm f/1.8D Lens,Nikon AF-S Nikkor 50mm f/1.8G Lens,,
22,0,Hidden Camera System 4 Covert PIR Security Cameras Invisible IR DVR System with Spy Cameras Video Surveillance,MCOCEAN Accessories Set for GoPro Hero 4 / 3 Plus 2 and Camera Body Mounted Cameras Video Gear Outlet,,
23,0,Avermedia VISIONU50 Document Camera,Canon Deluxe Gadget Bag 100EG (Holds 1-2 Cameras and 3-4 Lenses),,
24,0,Smart Home HD Starter Kit,PowerLine HD Day Night Cloud Camera Kit,,
25,1,Sony Electronic Viewfinder Kit FDA-EV1MK Digital Camera Attachment and Accessories,Sony Electronic Viewfinder Kit FDAEV1MK (Black) Accessories,,
26,0,Panasonic Full-HD 3MOS Advanced O.I.S. Surround Sound Camcorder HDC-SD100,Panasonic 12.1 Megapixel Digital Camera DMC-FS15K,,
27,0,GoPro Mic Stand,Action Outdoor Dual Battery Charger,,
28,1,Canon Vixia HF G10 Camera (Black),Canon Vixia G10 Camera,,
29,0,"Chromo 216 LED CI-216 Dimmable Ultra High Power Panel Camera Light for Canon, Nikon, Pentax, Panasonic, SONY, Samsung and Olympus Cameras",Nikon D300S DSLR Camera (Body Only),,
30,1,Wireless 2.4GHz (802.11b) Internet Camera DCS-1000w,Wireless 2.4GHz (802.11b) Internet Camera DCS-1000w,,
31,0,Canon Speedlite 270EX II Flash,Canon XF105 Camcorder,,
32,1,DCS-5020L mydlink Cloud IR WiFi Panoramic Zoom Camera,D-Link DCS-5020L Wireless Day & Night Network Surveillance Camera,,
33,0,Samsung SMART 20.3 Megapixel Digital Camera,Nikon D3200 Digital SLR Camera With AF-S DX NIKKOR 18-55mm 3.5-5.6G VR Lens (Black),,
34,0,GoPro Wi-Fi Remote - GoPro Control,GoPro Auto Charger with Dual USB Ports,,
35,0,Logitech BCC950 Conferencecam Full HD 1080p Motorized Pan Zoom USB Win7 XP MAC,Manfrotto Video Camera Plate 504PLONG,,
36,0,SanDisk SDXC Class 4 64GB,Transcend SDXC Class 10 64GB,,
37,1,SanDisk Extreme 64GB CompactFlash Card,SanDisk Extreme 64GB CompactFlash Memory Card,,
38,0,Sony Alpha a6000 Mirrorless Camera with 16-50mm and 55-210mm Lenses Black,Samsung SMART 20.3 Megapixel Digital Camera - EV-NX300ZBATUS,,
39,1,D-Link Full HD Wireless Day Night Network Camera DCS-2230L,PROFESSIONAL IP CAMERA FULL HD CLOUD WIRELESS Black Friday 2017,,
40,0,Canon Vixia HF G10 Camera (Black),Transcend 32GB CompactFlash Flash Memory Card,,
41,0,GoPro HERO3 Black Edition Camera,GoPro Composite Cable,,
42,0,Manfrotto 190 MK190XPRO3-BHQ2 Tripod,Manfrotto 055 Series 67 3-Section Carbon Fiber Tripod,,
43,0,Ksix Wrist Support For GoPro Camera,GoPro Mic Stand,,
44,0,Manfrotto 504HD Tripod System,Manfrotto Carbon Fiber MT055CXPRO3 Tripod,,
45,0,GoPro HERO3+ Silver Edition US Video Camera,MCOCEAN Accessories Set for GoPro Hero 4 / 3 Plus 2 and Camera Body Mounted Cameras,,
46,0,Canon EVF-DC1 Electronic Viewfinder A,Canon BG-E11 Grip 5D MKIII,,
