id,label,left_title_left,right_title
0,1,"Transcend NAND SDHC Flash Memory Card (4GB, Class 2 Speed Rating),  Transcend Rating)  Overview - CNET (4GB","Transcend TS4GSDHC BUB 4GB SDHC Secure Digital Class 2 Retail"
1,0,"Veho VCC-003 Muvi Pro Micro (Black),  Veho (Black)  Prices - CNET","Chromo 216 LED CI-216 Dimmable Ultra High Power Panel / Camcorder Video Digital SLR Camera Light for Canon, Nikon, Pentax, Panasonic,SONY, Samsung and Olympus Cameras-US On-Camera Lights | Come As You Arts-US"
2,0,"Sony RMTDSLR2 Wireless Remote for Alpha & NEX NEX (RMTDSLR2)","Sony Alpha a6000 Mirrorless Digital Camera - Body only-US Digital Cameras Page 4 | EISF-US"
3,0,"X1D Digital Medium Format Mirrorless Camera Body","14.1 Megapixel Lumix Digital Camera DMC-FX75S ,  Panasonic Product Support - DMC-FX75S"
4,1,"Action outdoor Suction Cup with Plate Plate comprar y ofertas en Smashinn","Action outdoor Suction Cup with Plate Goalinn Plate kopen en aanbiedingen"
5,0,"Uniden UDR444 Guardian 4.3-Inch Video Surveillance System with 2 Cameras (UDR444 (UDR444 - The Open Box Store","Security Camera System, 4 Dome Infrared Cameras, Internet DVR, iDVR System | Cameras"
6,0,"Correa de Cabeza y QuickClip GoPro@es","Fixation Frontale Casque 00 € Kit de fixation camera frontale casque gopro - à 17"
7,1,"Tamron AF 18-270mm f/3.5-6.3 Di-II VC LD Asph. (IF) Macro Lens for Nikon Digital SLR Cameras Cameras - Fumfie.com","Tamron AF 18-270mm F/3.5-6.3 Di II VC PZD (Nikon Mount)  Tamron Mount) | Digital SLR Camera Cameras Toronto Canada Store Aden"
8,0,"Panasonic Lumix G Vario 14-45mm f3.5-5.6 ASPH. MEGA O.I.S (Micro Four Thirds Mount)  Aden Camera  Panasonic | Digital SLR Cameras Toronto Canada Store","Sigma 8-16mm F4.5-5.6 DC HSM Ultra-Wide Zoom Lens f/Sony/Minolta Digital SLR SLR - Fumfie.com"
9,0,"AXIS Clear Dome camera dome bubble  AXIS bubble - 5800-481 Physical Security & IP Cameras CDW.com","GoPro Head Strap + QuickClip  GoPro | Unique Photo"
10,0,"MCOCEAN 7 in 1 Accessories Kit for GoPro Hero 4/ 3+/ 3/ 2/ SJCAM and Xiaomi Yi Camera-US Video - Page 31 | EISF-US","Deluxe Back Pack 200EG Canon Deluxe 200EG | Canon Online Store"
11,0,"SanDisk Ultra - flash memory card 16 GB CompactFlash  SanDisk CompactFlash SDCFHS-016G-A46 Flash Memory Cards CDWG.com","32GB CF Compact Flash Card 50MB/s 133X"
12,0,"mydlink Home Panoramic HD Camera@da DCS-8200LH mydlink Camera | D-Link Denmark@da","Outdoor HD PoE Day/Night Cloud Camera@nb DCS-2310L Outdoor Camera | D-Link Norge@nb"
13,1,"Canon BG-E11 - battery grip  Canon grip 5261B001 Digital Camera Accessories CDW.com","Canon BG-E11 Battery Grip (for 5D MKIII, 5DS, 5DSR) 5DSR) | Digital SLR Camera Aden  5DS Cameras Toronto Canada Store  Canon MKIII"
14,1,"Foscam FI9901EP PoE 4MP Outdoor IP Camera  Foscam | Vesternet","IP KAMERA IP Foscam FI9901EP POE 4.0 Mpx P2P"
15,0,"Nikon D5300 DSLR Camera with 18-55mm VR Lens Lens - Fumfie.com","Nikon D3200 Digital SLR Camera With AF-S DX NIKKOR 18-55mm 3.5-5.6G VR Lens (Black) (Black) - Fumfie.com"
16,0,"Nikon SB-300 Speedlight Flashgun","NIKON SB-700 flash cobra Flash cobra NIKON en stock au meilleur prix - Miss Numerique"
17,0,"Soft Digits Accessories Kit for GoPro Hero 5 4 3+ 3 2 1 Session Accessory Bundle Set Action Camera SJ4000 SJ5000 SJ6000 Xiaomi Yi-Flotation Handle+Head Strap+Chest Strap-US Professional Video - Page | Come As You Arts-US","Canon Deluxe Gadget Bag 100EG-US Camera Cases | EISF-US"
18,0,"Sony HXR-NX100 Zwart - Prijzen  Tweakers","Sony SEL1670Z 16-70mm f/4  Sony f/4 Zoom lens for APS-C sensor E-mount mirrorless cameras at Crutchfield.com"
19,0,"Netgear Replaceable Black Silicone Skins, Black, 3-Pack 3-Pack (VMA1200B-10000S) Skins","Mydlink Home Hd Monitor 360 Cam@es Cam - Black Friday 2017 @es"
20,0,"MCOCEAN 7 in 1 Accessories Kit for GoPro Hero 4/ 3+/ 3/ 2/ SJCAM and Xiaomi Yi Camera-US Camcorder Bundles - Page 2 | Come As You Arts-US","Soft Digits Accessories Kit for GoPro Hero 5 4 3+ 3 2 1 Session Accessory Bundle Set Action Camera SJ4000 SJ5000 SJ6000 Xiaomi Yi-Flotation Handle+Head Strap+Chest Strap-US Camera Supports & Stabilizers - Page | Come As You Arts-US"
21,0,"Nikon AF 50mm f/1.8D - Reviews  Krylinck Userreviews Tweakers","Nikon AF-S Nikkor 50mm f/1.8G Lens Lens - Fumfie.com"
22,0,"Hidden Camera System, 4 Covert PIR Security Cameras, Invisible IR, DVR System with Spy Cameras for Video Surveillance","MCOCEAN Accessories Set for GoPro Hero 4 / 3 Plus 2 and Camera (33 Items) Body Mounted Cameras | Video Gear Outlet"
23,0,"Avermedia VISIONU50 Document Cameras - Page 7 | Office Supplies Authority","Canon Deluxe Gadget Bag 100EG (Holds 1-2 Cameras and 3-4 Lenses) Lenses) (6227A001)"
24,0,"Smart Home HD Starter Kit@es DCH-100KT Smart Kit | D-Link España@es","PowerLine HD Day Night Cloud Camera Kit@nl DCS-6045LKT PowerLine Day/Night Kit | D-Link@nl"
25,1,"Sony FDA-EV1MK Electronic Viewfinder Kit  Digital Camera Attachment and Accessories | Unique Photo","Sony FDAEV1MK Electronic Viewfinder Kit (Black)-US Accessories - Page 888 | EISF-US"
26,0,"Full-HD 3MOS SD Camcorder with Advanced O.I.S., 5.1 Surround Sound , HDC-SD100  Panasonic Product Support - HDC-SD100","12.1 Megapixel Digital Camera DMC-FS15K ,  Panasonic Product Support - DMC-FS15K"
27,0,"Gopro Mic Stand Out Out kup i oferty Smashinn","Action outdoor Dual Battery Charger Charger acheter et offres sur Runnerinn"
28,1,"Canon Vixia HF G10 (Black) (Black) Prices - CNET","VIXIA HF G10 Canon VIXIA G10 | Canon Online Store"
29,0,"Chromo 216 LED CI-216 Dimmable Ultra High Power Panel / Camcorder Video Digital SLR Camera Light for Canon, Nikon, Pentax, Panasonic,SONY, Samsung and Olympus Cameras-US On-Camera Lights | Come As You Arts-US","D300S DSLR Camera (Body Only) Nikon 25464 B&H Photo Video"
30,1,"Wireless 2.4GHz (802.11b) Internet Camera@de DCS-1000w Wireless Camera | D-Link Deutschland@de","Wireless 2.4GHz (802.11b) Internet Camera@sv DCS-1000w Wireless Camera | D-Link Sweden@sv"
31,0,"Canon Speedlite 270EX II  Canon II | Digital SLR Camera Toronto Canada Store Cameras Aden","canon xf105-US Canon XF105 and XF100 Professional Camcorders - ecoustics.com-US"
32,1,"DCS-5020L mydlink Cloud IR WiFi panoram. Inclinaison Zoom","D-Link DCS-5020L Cámara vigilancia inalámbrica diurna/nocturna en Red@es"
33,0,"Samsung SMART 20.3 Megapixel Black Digital Camera Camera - EV-NX300ZBATUS Abt","Nikon D3200 Digital SLR Camera With AF-S DX NIKKOR 18-55mm 3.5-5.6G VR Lens (Black) (Black) - Fumfie.com"
34,0,"GoPro Wi-Fi Remote - camcorder remote control,  GoPro control  Prices CNET","GoPro Auto Charger with Dual USB Ports for GoPro HERO  | Unique Photo"
35,0,"Logitech BCC950 Conferencecam Full HD 1080p Motorized Pan w/ Remote Control USB Win7 XP MAC ConferenceCam - NCIX","Manfrotto Video Camera Plate - 504PLONG  Manfrotto 504PLONG | WTS Broadcast"
36,0,"SanDisk Secure Digital Card (SDXC) CLASS 4 64GB -","Transcend 64GB SDXC Class 10 Flash Memory Card Up to 30MB/s (TS64GSDXC10E)-US Computer Accessories & Peripherals - Page 4 | Laptops Outlet Direct-US"
37,1,"SanDisk Extreme 64GB Compact Flash Card  - Optics4Birding","SanDisk - Extreme 64GB CompactFlash (CF) Memory Card-US"
38,0,"Sony - Alpha a6000 Mirrorless Camera with 16-50mm and 55-210mm Lenses Black-US","Samsung SMART 20.3 Megapixel Black Digital Camera Camera - EV-NX300ZBATUS Abt"
39,1,"Full HD Wireless Day Night Network Camera@fi DCS-2230L Full Camera | D-Link Finland@fi","PROFESSIONAL IP CAMERA FULL HD CLOUD WIRELESS@es WIRELESS - Black Friday 2017 @es"
40,0,"Canon Vixia HF G10 (Black) (Black) Prices - CNET","Transcend - flash memory card 32 GB CompactFlash  Transcend CompactFlash TS32GCF133 Flash Memory Cards CDW.com"
41,0,"GoPro HERO3: Black Edition -US GoPro | Come As You Arts-US","GoPro Composite Cable  Cables and Wires | Unique Photo"
