id,label,left_title,right_title
0,1,Transcend SDHC Secure Digital Class 2 Flash Memory Card (4GB),Transcend TS4GSDHC BUB 4GB SDHC Secure Digital Class 2 Retail
1,0,Veho Muvi Pro Micro Black,Chromo CI-216 LED Ultra High Power Panel
2,0,Sony RMTDSLR2 Wireless Remote,Sony Alpha a6000 Mirrorless Digital Camera
3,0,Hasselblad X1D Digital Medium Format Mirrorless Camera Body,Panasonic Lumix DMC-FX75S 14.1 Megapixel Digital Camera
4,1,Action Outdoor Suction Cup with Plate,Action Outdoor Suction Cup with Plate
5,0,Uniden UDR444 Guardian 4.3-Inch Video Surveillance System with 2 Cameras,"Security Camera System, 4 Dome Infrared Cameras, Internet DVR, iDVR System"
6,0,GoPro Head Strap QuickClip,Frontal Camera Mount Kit
7,1,Tamron AF 18-270mm f/3.5-6.3 Di-II VC LD Asph. (IF) Macro Lens for Nikon Digital SLR Cameras,Tamron AF 18-270mm F/3.5-6.3 Di II VC PZD (Nikon Mount)
8,0,Panasonic Lumix G Vario 14-45mm f3.5-5.6 ASPH. MEGA O.I.S Micro Four Thirds Mount,Sigma 8-16mm F4.5-5.6 DC HSM Ultra-Wide Zoom Lens
9,0,AXIS Clear Dome Camera Dome Bubble AXIS Bubble - 5800-481,GoPro Head Strap Plus QuickClip
10,0,MCOCEAN 7 in 1 Accessories Kit for GoPro Hero 4/3+/3/2/SJCAM/Xiaomi Yi Camera,Canon Deluxe Back Pack 200EG
11,0,SanDisk Ultra 16GB CompactFlash,32GB CF Compact Flash Card
12,0,D-Link DCS-8200LH Panoramic HD Camera,D-Link DCS-2310L Outdoor Day/Night Cloud Camera
13,1,Canon BG-E11 Battery Grip,Canon BG-E11 Battery Grip
14,1,Foscam FI9901EP PoE 4MP Outdoor IP Camera,IP KAMERA IP Foscam FI9901EP POE 4.0 Mpx P2P
15,0,Nikon DSLR D5300 with 18-55mm VR Lens,Nikon DSLR D3200 with AF-S DX NIKKOR 18-55mm VR Lens
16,0,Nikon SB-300 Speedlight Flashgun,Nikon SB-700 Flash
17,0,GoPro Hero5 4 3+ 3 2 1 Session Accessory Bundle Set,Canon Deluxe Gadget Bag
18,0,Sony HXR-NX100,Sony SEL1670Z 16-70mm f/4
19,0,"Netgear Replaceable Black Silicone Skins, Black, 3-Pack",Mydlink Home HD Monitor 360 Cam
20,0,MCOCEAN 7 in 1 Accessories Kit for GoPro Hero 4/3+/3/2/SJCAM/Xiaomi Yi Camera,Soft Digits Accessory Bundle Set Action Camera SJ4000/SJ5000/SJ6000/Xiaomi Yi
