id,label,left_title,right_title
0,0,HP 388504-B21 Storageworks Server Part,HP 449363-B21 SC40Ge Host Bus Adapter
1,0,,
2,1,Corsair Vengeance LPX 64GB (4x16GB) DDR4-2666 CL16 DIMM Kit,Corsair Vengeance LPX CMK64GX4M4A2666C16 64GB (4x16GB) DDR4-2666 CL16 DIMM Kit
3,0,HP 36.4-GB U320 SCSI 15K Server Part,HP 36 GB 10K rpm FC Server Part
4,1,HP Xeon E5607 BL460c G7 Server Part,HP 637414-B21 Xeon E5607 2.26GHz BL460c G7 Server Part
5,0,HP 458418-B21 ML370 G5 2.33GHz Xeon Server Part,HP 488039-B21 ML370 G5 3.33GHz Xeon Server Part
6,0,Transcend 32GB microSDHC UHS-I Flash Memory Card,Transcend JetFlash 500 8GB USB 2.0 Flash Drive
7,0,"HP 417190-002 72GB 15K 3.5"" SAS HDD","HP 512743-001 72GB 15K 2.5"" SAS HDD"
8,0,HP 494267-B21 Opteron 8384 2.7GHz Server Part,HP 458418-B21 E5410 2.33GHz ML370 G5 Server Part
9,0,Apple Mac Mini MGEN2LL/A 2.6GHz Dual-Core i5,Apple MacBook Pro 13-inch MD213LL/A 2.9GHz Quad-Core i7
10,0,Gigabyte Radeon RX 580 Gaming 4GB GDDR5 Graphics Card,AMD Radeon Pro WX 4100 4GB Graphics Card
11,0,HP 662078-B21 Xeon E5-2650L 1.8GHz Server Part,HP BL460c G7 Xeon E5607 Server Part
12,0,HP 175924-001 256MB DDR PC1600 ECC Server Memory,HP 175924-001 256MB DDR SDRAM ECC Server Memory
13,0,HP 242469-001 15/30GB External SCSI Server Tape Drive,HP BD1465822C 146.8GB 10K FC-AL HDD
14,0,Samsung ECC RDIMM M390S0823DT1-C75 64MB PC3-10600 133MHz,Kingston DataTraveler SE9 G2 16GB USB 3.0 Flash Drive
15,0,Corsair AF120 120mm Performance Fan 2-Pack,Corsair SP120 Performance 120mm Fan 2-Pack
16,0,,
17,0,,
18,1,,
19,0,"Samsung 840 EVO SSD 250GB 2.5"" SATA 6Gb/s","Western Digital Blue WDS100T1B0A 1TB 2.5"" SATA 6Gb/s SSD"
20,0,ASUS PCE-AC55BT Wireless Network Adapter,ASUS PCE-AC55BT Wireless Network Adapter
21,0,HP DL360R G3 Xeon 2.8GHz 512MB Server Part,COMPAQ ML530R G3 Xeon 3.0GHz 1GB Server Part
22,0,,
23,0,TP-Link AV1000 Powerline Adapter Kit TL-PA7020P,TP-Link TL-WN881ND PCI-E Wireless Adapter
24,0,Kingston 8GB DDR3-1333 ECC UDIMM,HP 500670-B21 2GB DDR3-1333 ECC UDIMM
25,1,HP 238921-B21 72.8GB 10K FC-AL HDD,HP 238921-B21 72.8GB 10K FC-AL HDD
26,0,HP Pavilion Power 15-cb008ns i7-7700HQ 8GB 1TB GTX1050 2GB 15.6 Laptop,Asus VivoBook Max K541UA-GO1205T i7-7500u 12GB 1TB GT920 2GB 15.6 Laptop
27,0,Zebra ZXP7 Card Printer Z71-R00W0000EM00,HP LaserJet Pro M102w Wireless Laser Printer G3Q35A
28,0,ASUS Xonar Essence STX II 7.1 Sound Card,ASUS DUAL-GTX1060-3G GPU
29,0,Lenovo ThinkPad 11e Chromebook Celeron N3160 4GB 16GB Notebook,Lenovo ThinkPad Yoga 11e G3 Celeron N3160 4GB 16GB Chromebook 20GE0003US
30,0,Corsair CMU32GX4M4C3000C15 32GB (2x16GB) DDR4-3000 CL15 DIMM Kit,Corsair Vengeance LED CMU64GX4M4C3000C15 64GB (2x32GB) DDR4-3000 CL15 DIMM Kit
31,0,HP Pavilion 32 Monitor,Apple 12.9 ML0G2LL/A iPad Pro Wi-Fi 32GB Tablet
32,0,Corsair Obsidian 350D Micro ATX Case CC-9011028-WW,Corsair Carbide Series 400Q Mid Tower Case CC-9011100-WW
33,0,Kingston ValueRAM 256MX64 DDR2-800 240-Pin DIMM Server Memory,Kingston ValueRAM KVR13N9S8HK2/8 8GB (2x4GB) DDR3-1333 CL9 240-Pin DIMM Kit
34,0,Samsung 16GB (2x8GB) DDR3-1600 CL11 DIMM Kit,4GB (1x4GB) DDR3-1600 CL9 SODIMM
35,1,Corsair AX860i PSU,Corsair AX860i 80+ Platinum PSU
36,0,HP 453475-B21 Xeon L5335 2.0GHz Server Part,HP Xeon E7-4830 2.0GHz Server Part
37,1,Logitech C270 USB 2.0 3MP Webcam,Logitech C270 USB Webcam
38,0,Gigabyte Brix GB-BKi5HA-7200 Kit Intel Core i5-7200U Processor,Apple Mac mini 2.8GHz Intel Core i5 i5-4260U 4GB RAM 500GB HD5000
39,0,HP ZBook Studio G3 Xeon E3-1505M 16GB 512GB SSD 15.6 W7Pro Laptop,Asus ROG G501VW i7-6700HQ 8GB 1TB GTX960 15.6 W10 Laptop
40,1,Intel Core i7-4790 3.6GHz Quad-Core Processor BX80646I74790,Intel Core i7-4790 3.6GHz Quad-Core Processor S1150
41,0,Intel Core i5-7600K 3.8GHz Quad-Core Processor BX80677I57600K,Intel Core i5-6400 2.7GHz Quad-Core Processor
42,0,"HP 804587-B21 240GB 2.5"" SATA SSD","Intel DC S3500 120GB 2.5"" SATA SSD"
43,0,HP 359461-005 72.8GB 10K FC-AL HDD,HP 359461-007 300GB 10K FC-AL HDD
44,0,HP OMEN 17-ap000na Gaming Laptop GTX 1070,Gigabyte GeForce GTX 1060 3GB GV-N1060G1 GAMING-3GD
45,0,PNY Elite Performance 64GB SDXC Flash Memory Card,SanDisk Extreme microSDXC 64GB Flash Memory Card
46,1,HP 359623-B21 BL20p G2 Xeon 2.8GHz 1M 512MB Server Part,HP 359623-B21 BL20p G2 Xeon 2.8GHz 1M 512MB Server Part
47,1,,
48,1,,
49,1,,
50,0,HP ML350T G4p Xeon 3.2GHz 512MB Server Part,HP DL370 G6 Xeon E5540 2.53GHz Server Part
51,1,Seagate ST2000DM001 2TB HDD,Seagate Barracud 2TB 7200.14 HDD
52,0,"HP Spectre x360 13-ac004na 13.3"" Laptop","HP OMEN X 17-ap000na 17.3"" Gaming Laptop"
53,0,Intel Core i7 6700K 4.0 GHz Processor,Intel Core i5 6600K 3.5GHz Processor
54,0,Intel Pentium G4560 3.50GHz LGA1151 Processor,Intel Core i5-3570 3.40GHz CPU
55,0,Corsair Vengeance 8GB (2x4GB) DDR3-1333 CL9 240-Pin DIMM Kit,Corsair Vengeance CMZ8GX3M2A1866C9 8GB (2x4GB) DDR3-1866 CL9 240-Pin DIMM Kit
