id,label,left_title,right_title
0,0,HP Storageworks Internal 388504-B21,HP SC40Ge Host Bus Adapter 449363-B21
1,0,Sun 73GB 10K XTA-3510-73GB-10K (540-5629),HP 300GB 10K FC-AL HDD 359461-007
2,1,Corsair Vengeance LPX 64GB (4x16GB) DDR4 2666MHz Quad Channel Kit CMK64GX4M4A2666C16,Corsair Vengeance LPX 64GB DDR4 2666MHz Kit CMK64GX4M4A2666C16
3,0,HP 36.4GB U320 SCSI 15K BF036863B5,HP 36GB 10K FC disk hard drive 238590-B21
4,1,HP BL460c G7 Xeon E5607 Processor Kit,HP Xeon E5607 2.26GHz BL460c G7 637414-B21
5,0,HP ML370 G5 E5410 2.33GHz 458418-B21,HP ML370 G5 X5470 3.33GHz 488039-B21
6,0,Transcend 32GB microSDHC UHS-I Flash Memory Card TS32GUSDU3,Transcend JetFlash 500 8GB USB Flash Drive TS8GJF500
7,0,HP 72GB 15K 3.5in DP SAS HDD 417190-002,HP 72GB 15K 2.5in DP SAS 512743-001
8,0,AMD Opteron 8384 2.7GHz BL685c G5 494267-B21,HP E5410 2.33GHz ML370 G5 458418-B21
9,0,Apple Mac Mini 2.6GHz i5 (Late 2014) MGEN2LL/A,Apple MacBook Pro 13-inch 2.9GHz i7 (Late 2012) MD213LL/A
10,0,Gigabyte Radeon RX 580 Gaming 4GB GDDR5 PCI-Express Graphics Card,AMD Radeon Pro WX 4100 4GB Graphics Card
11,0,HP Xeon E5-2650L 1.8GHz 662078-B21 G8,HP BL460c G7 Xeon E5607 Processor Kit
12,0,HP 249674-001 256MB PC1600,HP 175924-001 256MB DDR SDRAM
13,0,HP 242469-001 SCSI DLT 15/30-GB,HP BD1465822C 146.8-GB 10K FC-AL HDD
14,0,Samsung M390S0823DT1-C75 64MB ECC RDIMM,Kingston DataTraveler SE9 G2 16GB USB 3.0
15,0,Corsair AF120 120mm Performance Fan 2pk CO-9050004-WW,Corsair SP120 Performance Series 120mm Fan Dual Pack CO-9050008-WW
16,0,Seagate ST31000524NS 1TB 7.2K 3.5in SATA,HP G8 G9 500GB 7.2K 3.5in SATA 658071-B21
17,0,HP Xeon E5504 2.0GHz 470065-235,HP Xeon E5335 2.0GHz 442992-B21
18,1,HP DG0300FARVV 300GB 10K 2.5in SAS HDD,HP DG0300FARVV 300GB 10K 2.5in SAS HDD
19,0,Samsung SSD 840 EVO 1TB,WD Blue WDS100T1B0A 1TB SATA 6Gb/s SSD
20,0,ASUS PCE-AC55BT Network Adapter,ASUS PCE-AC55BT B1
21,0,HP DL360R G3 Xeon 2.8GHz 512MB 308724-001,COMPAQ ML530R G3 Xeon 3.0GHz 1GB
22,0,Kingston HyperX Fury 16GB DDR3,Corsair Vengeance 8GB (2x4GB) DDR3-1866 CMZ8GX3M2A1866C9
23,0,TP-Link AV1000 2-Port Gigabit Passthrough Powerline Starter Kit TL-PA7020P KIT,TP-Link TL-WN881ND PCI-E N 300Mbps
24,0,8GB 2RX8 10600 9 UDIMM,HP 500670-B21 CNJ 2GB DDR3-1333 ECC UDIMM
25,1,HP 72.8GB 10K FC-AL HDD 238921-B21,HP 72.8GB 10K FC-AL HDD 238921-B21
26,0,HP Pavilion Power 15-cb008ns i7-7700HQ 8GB 1TB GTX1050 2GB,Asus VivoBook Max K541UA i7-7500u 12GB 1TB GT920 2GB
27,0,Zebra ZXP7 ZXP7 cod.Z71-R00W0000EM00,HP LaserJet Pro M102w Wireless Laser Printer G3Q35A
28,0,Asus Xonar Essence STX II 7.1 90YA00NN-M0UA00,Asus DUAL-GTX1060-3G
29,0,Lenovo ThinkPad 11e Chromebook Celeron N3160 4GB RAM 16GB 20GF0003US,Lenovo ThinkPad Yoga 11e G3 Celeron N3160 4GB 16GB 20GE0003US
30,0,Corsair CMU32GX4M4C3000C15,Corsair Vengeance LED CMU64GX4M4C3000C15
31,0,HP Pavilion 32 Monitor,Apple 12.9-inch iPad Pro Wi-Fi 32GB ML0G2LL/A
32,0,Corsair Obsidian 350D Micro ATX Case CC-9011028-WW,Corsair Carbide 400Q Mid Tower Case CC-9011100-WW
33,0,256MX64 DDR2-800 CL5,Kingston ValueRAM DDR3 8GB 2x4GB 240-pin KVR13N9S8HK2/8
34,0,Samsung M393B2G70DB0-YK0 16GB DDR3 PC12800 Memory,4GB DDR3 PC3-12800 SODIMM RAM
35,1,Corsair AX860i,Corsair AX860i 80+ Platinum
36,0,HP Xeon L5335 2.0GHz 453475-B21,HP Intel Xeon E7-4830
37,1,Logitech C270 3MP 1280 x 720pixels USB 2.0 Webcam 960-001063,Logitech C270 Webcam
38,0,Gigabyte Brix i5-7200U,Apple Mac mini i5-4260U 4GB RAM 500GB HD
39,0,HP ZBook Studio G3 Xeon E3-1505M 16GB 512GB SSD 4GB Quadro M1000 15.6 4K W7Pro,Asus ROG G501VW i7-6700HQ 8GB 1TB GTX960 2GB W10 15.6
40,1,Intel Core i7-4790 Processor BX80646I74790,Intel Core i7-4790 Processor S1150
41,0,Intel Core i5-7600K 3.8GHz Quad-Core Processor BX80677I57600K,Intel Core i5-6400 2.7GHz Skylake Processor
42,0,HP 240GB 6G 2.5in SATA SSD 804587-B21,Intel DC S3500 Series 120GB SATA SSD SSDSC2BB120G401
43,0,HP 72.8GB 10K FC-AL HDD 359461-005,HP 300GB 10K FC-AL HDD 359461-007
44,0,HP OMEN X 17-ap000na Gaming Laptop GTX 1070,Gigabyte GeForce GTX 1060 3GB GV-N1060G1 GAMING-3GD
45,0,PNY Elite Performance 64GB SDXC,Sandisk Extreme 64GB microSDXC
46,1,HP BL20p G2 Xeon 2.8GHz 1M 512MB 359623-B21,HP BL20p G2 Xeon 2.8GHz 1M 512MB 359623-B21
47,1,HP DL580R G2 Xeon 2.8GHz 325134-001,HP DL580R G2 Xeon 2.8GHz 325134-001
48,1,2.5 Inch Intel S3710 800GB SATA SSD LN62837 SSDSC2BA800G401,Intel S3710 800GB SATA SSD DC SSDSC2BA800G401
49,1,HP G8 G9 400GB 6G 2.5in SAS SLC SSD 632429-003,HP G8 G9 400GB 6G 2.5in SAS SLC SSD 632429-003
50,0,HP ML350T G4p Xeon 3.2 2MB 512MB 356816-001,HP DL370 G6 Xeon E5540 2.53GHz 519577-005
51,1,Seagate ST2000DM001 2TB HDD,Seagate Desktop 7200.14 2TB SATA HDD
52,0,HP Spectre x360 13-ac004na 4K Laptop,HP OMEN X 17-ap000na Gaming Laptop GTX 1070
53,0,Intel Core i7 6700K 4.0 GHz,Intel Core i5 6600K 3.5GHz Skylake BX80662I56600K
54,0,Intel Pentium G4560 3.50GHz Kaby Lake LGA1151 Processor,Intel Core i5-3570
55,0,Corsair 8GB (2x4GB) DDR3-1866 Memory CMV4GX3M2A1333C9,Corsair Vengeance 8GB (2x4GB) DDR3-1866 Memory CMZ8GX3M2A1866C9
56,0,HP DL740R Xeon L5335 1MB 221275-B21,HP DL140 G3 Xeon L5335 2.0GHz 453475-B21
57,0,Corsair 32GB DDR4 Vengeance LPX 3000MHz 2x16GB CMK32GX4M2B3000C15,Corsair Vengeance LPX 32GB DDR4 3200MHz 2x16GB CMK32GX4M2B3200C16
58,0,NETGEAR ReadyNAS 212 Diskless Network Attached Storage RN212,WD Black 6TB SATA-600
59,0,Apple iPad Pro 12.9-Inch Charcoal Gray MQ0G2ZM/A,Apple iPad Pro 10.5-Inch Midnight Blue MQ092ZM/A
60,1,Zotac GeForce GTX 1060 AMP Edition 3GB GDDR5 Graphics Card,ZOTAC GeForce GTX 1060 AMP! Edition 3GB Graphics Card
61,0,IronWolf Pro 3.5in 8TB 7200RPM 256MB Cache SATA 6Gb/s,WD Purple Surveillance 2TB 64MB Cache 3.5in SATA HDD WD20PURZ
