id,label,left_title,right_title
0,0,388504-B21 HP Storageworks Internal,449363-B21 HP SC40Ge Host Bus Adapter
1,0,XTA-3510-73-GB-10K (540-5629),HP 300-GB 10K FC-AL HDD (359461-007)
2,1,Corsair Vengeance LPX Black 64GB (4x16GB) DDR4 PC4-21300 2666MHz CMK64GX4M4A2666C16,Corsair Vengeance LPX 64GB DDR4 PC4-21300 2666MHz CMK64GX4M4A2666C16
3,0,BF036863B5 HP 36.4-GB U320 SCSI 15K,HP 36 GB 10K rpm FC disk hard drive (238590-B21)
4,1,HP BL460c G7 Intel Xeon E5607 Processor Kit,HP Xeon E5607 2.26GHz BL460c G7
5,0,458418-B21 HP E5410 2.33GHz ML370 G5,488039-B21 HP X5470 3.33GHz ML370 G5
6,0,Transcend Ultimate - flash memory card 32GB microSDHC UHS-I Transcend UHS-I TS32GUSDU3 Flash Memory Card,Transcend JetFlash 500 - USB flash drive 8GB Transcend GB TS8GJF500 Thumb Drive
7,0,HP 72-GB 15K 3.5 DP SAS HDD 417190-002,HP 72-GB 15K 2.5 DP SAS 512743-001
8,0,494267-B21 AMD Opteron 8384 2.7GHz BL685c G5,458418-B21 HP E5410 2.33GHz ML370 G5
9,0,Mac Mini Aluminum Unibody 2.6GHZ Dual Core i5 (Late 2014) Apple MGEN2LL/A,"Apple MacBook Pro 13-inch 2.9GHz Core i7 (Retina, Late 2012) MD213LL/A"
10,0,Gigabyte Radeon RX 580 Gaming 4096MB GDDR5 PCI-Express Graphics Card,AMD Radeon Pro WX 4100 4GB
11,0,662078-B21 HP Intel Xeon E5-2650L 1.8GHz BL460c G8,HP BL460c G7 Intel Xeon E5607 Processor Kit
12,0,249674-001 HP 256MB 200MHz DDR PC1600,175924-001 HP 256MB DDR SDRAM Memory
13,0,HP 242469-001 15/30-GB Ext SCSI DLT,HP BD1465822C 146.8-GB 10K FC-AL HDD
14,0,Samsung M390S0823DT1-C75 ASI 64MB 168p PC133 CL3 9c 8x8 1Rx8 3.3v SDRAM ECC RDIMM,Kingston DataTraveler SE9 G2 16GB USB 3.0 Kingston 3.0 - DTSE9G2/16GB
15,0,Corsair CO-9050004-WW co9050004ww 2pk Air Series AF120 120mm Performance Ed High Airflow Fan,Corsair SP120 Performance Series High Pressure - Dual Pack (CO-9050008-WW) Corsair
16,0,ST31000524NS Seagate 1-TB 7.2K 3.5in SATA ST31000524NS,658071-B21 HP G8 G9 500-GB 6G 7.2K 3.5in SATA 658071-B21
17,0,470065-235 DL320 G6 Xeon E5504 2.0GHz,442992-B21 HP DL140 G3 Xeon E5335 2.0GHz
18,1,DG0300FARVV HP 300-GB 6G 10K 2.5 DP SAS HDD DG0300FARVV,DG0300FARVV HP 300-GB 6G 10K 2.5 DP SAS DG0300FARVV
19,0,Samsung SSD 840 EVO 1,WD Blue WDS100T1B0A SSD 1 To SATA 6Gb/s
20,0,ASUS PCE-AC55BT - network adapter ASUS adapter,Asus PCE-AC55BT B1 - Prijzen
21,0,308724-001 DL360R G3 Xeon 2.8GHz 512MB,COMPAQ PL ML530R G3 Xeon 3.0GHz 1GB
22,0,Kingston HyperX Fury 16GB,Corsair Vengeance 8GB (2 x 4GB) DDR3-1866 Memory (CMZ8GX3M2A1866C9)
23,0,TP-Link AV1000 2-Port Gigabit Passthrough Powerline Starter Kit (TL-PA7020P KIT) TP-Link,TP-Link TL-WN881ND PCI-E N 300Mbps
