id,label,left_title,right_title
0,0,HP 388504-B21 Storageworks Internal Server Part,HP 449363-B21 SC40Ge Host Bus Adapter Adapter
1,0,Sun XTA-3510-73-GB-10K FC-AL 73GB HDD,HP 359461-007 300-GB 10K FC-AL HDD
2,1,Corsair Vengeance LPX Black 64GB (4x16GB) DDR4-21300 2666MHz Quad Channel Kit,Corsair Vengeance LPX CMK64GX4M4A2666C16 64GB (4x16GB) DDR4-21300 2666MHz
3,0,HP BF036863B5 36.4GB U320 SCSI 15K HDD,HP 36 GB 10K rpm FC disk hard drive
4,1,HP Xeon E5607 BL460c G7 Processor Kit,HP Xeon E5607 2.26GHz BL460c G7 Processor Kit
5,0,HP 458418-B21 E5410 2.33GHz ML370 G5 Server Part,HP 488039-B21 X5470 3.33GHz ML370 G5 Server Part
6,0,Transcend Ultimate TS32GUSDU3 32GB microSDHC UHS-I Flash Memory Card,Transcend JetFlash 500 TS8GJF500 8GB USB Flash Drive
7,0,HP 417190-002 72GB 15K 3.5 DP SAS HDD,HP 512743-001 72GB 6G 15K 2.5 DP SAS SSD 5 Pack
8,0,AMD Opteron 8384 2.7GHz BL685c G5 Processor,HP E5410 2.33GHz ML370 G5 Processor
9,0,Apple Mac Mini MGEN2LL/A 2014 2.6GHz Dual Core i5,Apple MacBook Pro MD213LL/A 13 Retina (Late 2012) 2.9GHz Core i7
10,0,Gigabyte Radeon RX 580 Gaming 4096MB GDDR5 PCI-Express Graphics Card,AMD Radeon Pro WX 4100 4GB
11,0,HP Intel Xeon E5-2650L 1.8GHz 662078-B21 BL460c G8 Server Part,HP BL460c G7 Intel Xeon E5607 Processor Kit
12,0,HP 249674-001 256MB DDR PC1600 (200MHz) SDRAM Memory,HP 175924-001 256MB DDR SDRAM Memory
13,0,HP 242469-001 15GB SCSI DLT Tape Drive,HP BD1465822C 146.8GB 10K FC-AL HDD
14,0,Samsung ASI 64MB 168p PC133 CL3 9c 8x8 1Rx8 3.3v SDRAM ECC RDIMM,Kingston DataTraveler SE9 G2 16GB USB 3.0
15,0,Corsair Air Series AF120 2pk co9050004ww 120mm High Airflow Fan,Corsair SP120 Performance Series High Pressure Dual Pack CO-9050008-WW
16,0,Seagate ST31000524NS 1TB 7200RPM 3.5 SATA 3Gb/s HDD,HP 658071-B21 G8 G9 500GB 7200RPM 3.5 SATA 6Gb/s HDD 5 Pack
17,0,HP 470065-235 DL320 G6 Xeon E5504 2.0GHz Server Part,HP 442992-B21 DL140 G3 Xeon E5335 2.0GHz Server Part
18,1,"HP DG0300FARVV 300GB 6G 10K 2.5"" SAS HDD","HP DG0300FARVV 300GB 6G 10K 2.5"" SAS HDD"
19,0,,
20,0,ASUS PCE-AC55BT 802.11ac Wireless AC PCIe Adapter,Asus PCE-AC55BT B1
21,0,HP DL360R G3 Xeon 2.8GHz 512MB Server Part,COMPAQ ML530R G3 Xeon 3.0GHz 1GB Server Part
22,0,Kingston HyperX Fury 16GB (2x8GB) DDR3-1866 CL9 240-Pin DIMM Kit,Corsair Vengeance 8GB (2 x 4GB) DDR3-1866 CL9 Memory (CMZ8GX3M2A1866C9)
23,0,TP-Link AV1000 2-Port Gigabit Passthrough Powerline Starter Kit TL-PA7020P KIT,Tp-Link TL-WN881ND PCI-E N 300Mbps
24,0,Kingston RAM 8GB (2RX8) DDR3-10600 CL9 240-Pin UDIMM Kit,HP Original 500670-B21 CNJ 2GB (1x2GB) PC3-10600 CL9 ECC UDIMM Retail
25,1,HP 238921-B21 72.8GB 10K FC-AL HDD,HP 238921-B21 72.8GB 10K FC-AL HDD
26,0,HP Pavilion Power i7-7700HQ 8GB 1TB Nvidia GTX1050 2GB 15.6 Pro x2 612 G2 2 en 1 Core M3-7Y30 128GB SSD Tactil 12 FHD,Asus VivoBook i7-7500u 12GB 1TB Nvidia GT920 2GB 15.6 W10 Chocolate K541UA-GO1205T 8GB Gris
27,0,Zebra Card Printer ZXP7 cod.Z71-R00W0000EM00,HP LaserJet Pro M102w Wireless Laser Printer G3Q35A
28,0,Asus Xonar Essence STX II 7.1 Sound Card 90YA00NN-M0UA00,Asus DUAL-GTX1060-3G GPU
29,0,Lenovo ThinkPad 11e Chromebook Celeron N3160 4GB RAM 16GB SSD,Open Box Lenovo ThinkPad Yoga 11e G3 Celeron N3160 1.6GHz 4GB 16GB eMMC ac BT WC 3C
30,0,Corsair CMU32GX4M4C3000C15 32GB (4x8GB) DDR4-3000 CL15,Corsair Vengeance LED CMU64GX4M4C3000C15 64GB (4x16GB) DDR4-3000 CL15
31,0,HP Pavilion 32 Monitor,Apple 12.9 iPad Pro Wi-Fi 32GB Tablet
32,0,Corsair Obsidian 350D Micro ATX Case - Black (CC-9011028-WW),Corsair Carbide Series 400Q Mid Tower Case (CC-9011100-WW)
33,0,Kingston ValueRAM DDR2-800 (2x4GB) CL5 240-Pin DIMM Kit,Kingston ValueRAM KVR13N9S8HK2/8 8GB (2x4GB) DDR3-1333 CL9 240-Pin DIMM Kit
34,0,Samsung 16GB (2x8GB) DDR3 PC12800 Memory,4GB DDR3 PC3-12800 SODIMM RAM Memory
35,1,Corsair AX860i PSU,Corsair AX860i 80+ Platinum PSU
36,0,HP 453475-B21 Xeon L5335 2.0GHz DL140 G3 Server Part,HP Intel Xeon E7-4830 Server Part
37,1,Logitech C270 3MP 1280 x 720pixels USB 2.0 Black webcam,WebCam HD C270 Retail
38,0,Gigabyte Brix GB-BKi5HA-7200 Kit Intel Core i5-7200U Processor,Apple Mac mini 2.8GHz Intel Core i5-4260U 4GB RAM 500GB HD
39,0,HP ZBook Studio G3 Xeon E3-1505M 16GB 512GB SSD M1000 4GB 15.6 4K W7Pro ProBook 430 G4 i5-7200U 128GB 13.3 W10Pro,Asus ROG G501VW-FW106T i7-6700HQ 8GB 1TB Nvidia GTX960 2GB W10 15.6
40,1,Intel Core i7-4790 4Core 3.6Ghz 8Mb HD4600 84W Processor,"Intel Core i7-4790 (4Core, 3.60Ghz, 8Mb, HD4600, 84W) Boite"
41,0,Intel Core i5-7600K 3.8GHz Quad-Core Processor BX80677I57600K,Intel Core i5-6400 2.70GHz Skylake Socket LGA1151 Processor
42,0,"HP 804587-B21 G8 G9 240GB 6G 2.5"" SATA III SC SSD",Intel Solid-State Drive DC S3500 Series SSDSC2BB120G401 120GB SATA 6Gb/s
43,0,HP 359461-005 72.8GB 10K FC-AL HDD,HP 359461-007 300GB 10K FC-AL (2Pack) HDD
44,0,HP OMEN X 17-ap000na Gaming Laptop,Gigabyte GeForce GTX 1060 3GB G1 Gaming Video Card
45,0,PNY Elite Performance SDXC 64GB,Sandisk Extreme microSDXC 64GB
46,1,HP 359623-B21 BL20p G2 Xeon 2.8GHz 1M 512MB Server Part,HP 359623-B21 BL20p G2 Xeon 2.8GHz 512MB Server Part
47,1,HP 325134-001 DL580R G2 (2P) Xeon 2.8GHz 2MB Server Part,HP 325134-001 DL580R G2 Xeon (2) 2.8GHz 2MB Server Part
48,1,"Intel Data Center S3710 Enterprise SSD SSD 800GB 2.5"" SATA 6Gb/s",Intel Solid-State Drive DC S3710 Series 800GB SATA 6Gb/s
49,1,HP G8 G9 632429-003 400GB 2.5 SAS SLC SSD 6G,HP G8 G9 632429-003 400GB 2.5 SAS SLC SSD 6G
50,0,HP ML350T G4p Xeon 3.2 2MB 512MB Server Part,HP DL370 G6 Xeon E5540 2.53GHz Server Part
51,1,,
52,0,HP Spectre x360 13-ac004na 4K Convertible Laptop,OMEN X by HP 17-ap000na Gaming Laptop - GTX 1070
53,0,Intel Core i7 6700K 4.0 GHz,Intel Core i5 6600K 3.5GHz Socket LGA1151 (Skylake)
54,0,Intel Pentium G4560 3.50GHz (Kaby Lake) Socket LGA1151 Processor,Intel Core i5-3570 3.4GHz (Ivy Bridge) Socket LGA1155 Processor
55,0,Corsair CMV4GX3M2A1333C9 DDR3-1333 RAM,Corsair Vengeance 8GB (2 x 4GB) DDR3-1866 CL9 Memory Kit CMZ8GX3M2A1866C9
56,0,HP 221275-B21 DL740R (4P) Xeon Hz 1MB Server Part,HP 453475-B21 Xeon L5335 2.0GHz DL140 G3 Server Part
57,0,Corsair Vengeance LPX DDR4 32GB (2x16GB) 3000MHz Kit CMK32GX4M2B3000C15,Corsair Vengeance LPX DDR4 32GB (2x16GB) 3200MHz Kit CMK32GX4M2B3200C16
58,0,NETGEAR ReadyNAS 212 Diskless Network Attached Storage,WD Black SATA-600 6TB (2016)
