id,label,left_title,right_title,left_brand,left_productType,left_series,left_modelPartNo,left_capacity,left_formFactor,left_interfaceBus,left_keySpecs,left_kitCount,left_editionColor,right_brand,right_productType,right_series,right_modelPartNo,right_capacity,right_formFactor,right_interfaceBus,right_keySpecs,right_kitCount,right_editionColor,left_speedPerf,right_speedPerf,left_product_type,left_interface,right_product_type,right_interface,left_Brand,left_Product Type,left_Capacity,left_Interface/Bus,left_Speed/Perf,right_Brand,right_Product Type,right_Capacity,right_Interface/Bus,right_Speed/Perf
0,0,HP Storageworks Internal 388504-B21 388504-B21 Internal,HP SC40Ge Host Bus Adapter 449363-B21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,XTA 3510 73GB 10K SSD (540-5629),HP 300GB 10K FC-AL HDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Corsair Vengeance LPX Black 64GB (4x16GB) DDR4-21300 2666MHz Quad Channel Kit,Corsair Vengeance LPX CMK64GX4M4A2666C16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,HP 36.4 GB U320 SCSI 15K SSD,HP 36 GB 10K rpm FC Disk Hard Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,HP BL460c G7 Intel Xeon E5607 Processor Kit,HP Xeon E5607 2.26GHz BL460c G7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,HP ML370 G5 E5410 2.33GHz 2TB SATA 3.0Gb/s 4GB DDR2-667 FCL RAM Kit,HP ML370 G5 X5470 3.33GHz Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,Transcend MicroSDHC UHS-I 32GB,Transcend JetFlash 500 USB Flash Drive 8GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,HP 72GB 15K 3.5 SAS HDD,HP 72GB 6G 15K 2.5 SAS 5 Pack,HP,HDD,,417190-002,72GB,"3.5""",SAS,"15K, DP",,,HP,SAS,,512743-001,72GB,"2.5""",SAS,"15K, 6G, DP",5 Pack,,,,,,,,,,,,,,,,,
8,0,AMD Opteron 8384 2.7GHz BL685c G5,HP E5410 2.33GHz ML370 G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,Apple Mac Mini Dual Core i5 2.6GHz (Late 2014) MGEN2LL/A,Apple MacBook Pro Retina 13-inch 2.9GHz Core i7 (Late 2012) MD213LL/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
