id,label,left_title,right_title
0,0,HP 388504-B21 Internal Storage,HP SC40Ge Host Bus Adapter
1,0,XTA 3510-73GB-10K 73GB SATA 6Gb/s HDD,HP 359461-007 300GB 10K FC-AL HDD
2,1,Corsair Vengeance LPX CMK64GX4M4A2666C16 64GB (4x16GB) DDR4-2666 CL16 Quad Channel Kit,Corsair Vengeance LPX CMK64GX4M4A2666C16 64GB (4x16GB) DDR4-2666 CL16 Quad Channel Kit
3,0,HP BF036863B5 36GB U320 SCSI HDD,HP 36GB FC Disk Hard Drive
4,1,HP Xeon E5607 2.26GHz BL460c G7 Processor Kit,HP Xeon E5607 2.26GHz BL460c G7 Processor
5,0,HP 458418-B21 E5410 2.33GHz ML370 G5 Server Part,HP 488039-B21 X5470 3.33GHz ML370 G5 Server Part
6,0,Transcend Ultimate 32GB microSDHC UHS-I Flash Memory Card,Transcend JetFlash 500 USB 2.0 8GB Flash Drive
7,0,"HP 417190-002 72GB 15K 3.5"" SAS HDD","HP 512743-001 72GB 6G 15K 2.5"" SAS HDD"
8,0,HP 494267-B21 AMD Opteron 8384 2.7GHz BL685c Server Part,HP 458418-B21 E5410 2.33GHz ML370 Server Part
9,0,,
10,0,Gigabyte Radeon RX 580 Gaming 4GB GDDR5 PCIe Graphics Card,AMD Radeon Pro WX 4100 4GB
11,0,HP 662078-B21 BL460c G8 Intel Xeon E5-2650L 1.8GHz Server Part,HP BL460c G7 Intel Xeon E5607 Processor Kit
12,0,HP 249674-001 256MB DDR SDRAM PC1600,HP 175924-001 256MB DDR SDRAM
13,0,HP 242469-001 15/30GB External SCSI DLT,HP BD1465822C 146.8GB 10K FC-AL HDD
14,0,Samsung M390S0823DT1-C75 64MB PC133 CL3 SDRAM ECC RDIMM,Kingston DataTraveler SE9 G2 USB 3.0 DTSE9G2/16GB Flash Drive
15,0,Corsair CO-9050004-WW 2pk Air Series AF120 120mm Performance Ed High Airflow Fan,Corsair SP120 Performance Series High Pressure Dual Pack CO-9050008-WW
16,0,"Seagate ST31000524NS 1TB 7.2K RPM 3.5"" SATA 6Gb/s HDD","HP 658071-B21 500GB 6G 7.2K RPM 3.5"" SATA HDD"
