id,label,left_title,right_title
0,0,HP Storageworks Internal 388504-B21,HP SC40Ge Host Bus Adapter 449363-B21
1,0,Sun 73GB 10K XTA-3510-73GB-10K (540-5629),HP 300GB 10K FC-AL HDD 359461-007
2,1,Corsair Vengeance LPX Black 64GB (4x16GB) DDR4 2666MHz Quad Channel Kit CMK64GX4M4A2666C16,Corsair Vengeance LPX CMK64GX4M4A2666C16
3,0,HP 36.4GB U320 SCSI 15K,HP 36GB 10K rpm FC disk hard drive
4,1,HP BL460c G7 Intel Xeon E5607 Processor Kit,HP BL460c G7 Xeon E5607 2.26GHz
5,0,HP E5410 2.33GHz ML370 G5 458418-B21,HP X5470 3.33GHz ML370 G5 488039-B21
6,0,Transcend Ultimate - flash memory card 32 GB microSDHC UHS-I Transcend UHS-I TS32GUSDU3,Transcend JetFlash 500 - USB flash drive 8 GB Transcend TS8GJF500 Thumb Drives
7,0,HP 72GB 15K 3.5 DP SAS HDD 417190-002,HP 72GB 6G 15K 2.5 DP SAS 512743-001
8,0,AMD Opteron 8384 2.7GHz BL685c G5,HP E5410 2.33GHz ML370 G5
9,0,Apple Mac Mini 2.6GHz Dual Core i5 Late 2014 MGEN2LL/A,Apple MacBook Pro 13-inch 2.9GHz Core i7 Retina Late 2012 MD213LL/A
10,0,Gigabyte Radeon RX 580 Gaming 4096MB GDDR5 PCI-Express Graphics Card,AMD Radeon Pro WX 4100 4GB
11,0,HP Intel Xeon E5-2650L 1.8GHz BL460c G8,HP BL460c G7 Intel Xeon E5607 Processor Kit
12,0,HP 256MB200MHz DDR PC1600 EC Null,HP 256MB DDR SDRAM Memory New Null Wholesale Price 175924-001
13,0,HP 15/30-GB Ext SCSI DLT,HP 146.8-GB 10K FC-AL HDD
14,0,Samsung M390S0823DT1-C75 ASI 64MB PC133 CL3 ECC RDIMM,Kingston DataTraveler SE9 G2 16GB USB 3.0 Thumb Drive
15,0,Corsair CO-9050004-WW 2pk Air Series Af120 Performance Ed High Airflow Fan,Corsair SP120 Performance Series High Pressure - Dual Pack (CO-9050008-WW)
16,0,Seagate ST31000524NS 1TB 7.2K 3.5in SATA,HP G8 G9 500GB 7.2K 3.5in SATA 658071-B21
17,0,HP DL320 G6 Xeon E5504 2.0GHz,HP Xeon E5335 2.0GHz DL140 G3
18,1,HP DG0300FARVV 300GB 6G 10K 2.5 DP SAS HDD,HP DG0300FARVV 300GB 6G 10K 2.5 DP SAS HDD
19,0,Samsung SSD 840 EVO 1TB SATA 6Gb/s,WD Blue WDS100T1B0A 1 To SATA 6Gb/s
20,0,ASUS PCE-AC55BT network adapter Wireless Adapters & Accessories,Asus PCE-AC55BT B1
21,0,DL360R G3 Xeon 2.8GHz 512MB,COMPAQ PL ML530R G3 Xeon 3.0GHz 1GB
22,0,Kingston HyperX Fury 16GB,Corsair Vengeance 8GB DDR3-1866 Memory PCPartPicker CMZ8GX3M2A1866C9
23,0,TP-Link AV1000 2-Port Gigabit Passthrough Powerline Starter Kit (TL-PA7020P),Tp-Link TL-WN881ND PCI-E N 300Mbps
24,0,RAM 8GB 10600 UDIMM,HP Original CNJ 2GB PC3-10600 CL9 DDR3-1333 ECC UDIMM
25,1,HP 72.8GB 10K FC-AL HDD 238921-B21,HP 72.8GB 10K FC-AL 238921-B21
26,0,HP Pavilion Power 15-cb008ns i7-7700HQ 8GB 1TB Nvidia GTX1050 2GB,Asus VivoBook Max K541UA i7-7500u 12GB 1TB Nvidia GT920 2GB
27,0,Zebra Card Printer ZXP7,HP LaserJet Pro M102w Wireless Laser Printer
28,0,Asus Xonar Essence STX II 7.1 (90YA00NN-M0UA00),Asus DUAL-GTX1060-3G
29,0,Lenovo ThinkPad 11e Chromebook - 11.6 Celeron N3160 4GB RAM Lenovo S 20GF0003US Notebook,Open Box Lenovo ThinkPad Yoga 11e G3 Celeron N3160 1.6GHz 4GB Chrome (20GE0003US)
30,0,Corsair CMU32GX4M4C3000C15,Corsair Vengeance LED CMU64GX4M4C3000C15
31,0,HP Pavilion 32 Monitor,Apple 12.9-inch iPad Pro Wi-Fi - tablet 32 GB 12.9 Apple ML0G2LL/A Tablets
32,0,Corsair Obsidian 350D Micro ATX Case - Black (CC-9011028-WW),Corsair Carbide Series 400Q Mid Tower Case | CC-9011100-WW
33,0,256MX64 DDR2-800 CL5,Kingston ValueRAM - DDR3 8 GB: 2 x 4 GB DIMM 240-pin Kingston KVR13N9S8HK2/8 Server Memory
34,0,Samsung M393B2G70DB0-YK0 16GB DDR3 PC12800 Memory,4GB DDR3 PC3-12800 Unbuffered NON-ECC SODIMM RAM
35,1,Corsair AX860i,Corsair AX860i 80+ Platinum
36,0,HP Xeon L5335 2.0GHz DL140 G3,HP Intel Xeon E7-4830
37,1,Logitech C270 3MP USB 2.0 Black Webcam,Logitech HD C270 Retail Webcam
38,0,Gigabyte Brix GB-BKi5HA-7200 Kit - Intel Core i5-7200U Processor - Wired Systems Cebu Philippines,Apple Mac mini 2.8GHz Intel Core i5@es i5-4260U 4GB RAM 500GB HD5000 Sierra @es
39,0,HP ZBook Studio G3 Xeon E3-1505M 16GB 512GB SSD M1000,Asus ROG G501VW-FW106T i7-6700HQ 8GB 1TB Nvidia GTX960
40,1,Intel Core i7-4790 Processor Intel Processor - BX80646I74790 Add-In Processors (CPUs),S1150 Core i7-4790 4Core 3.60Ghz 8Mb HD4600 84W
41,0,Intel Core i5-7600K 3.8GHz Quad-Core Processor BX80677I57600K,Intel Core i5-6400 2.70GHz Skylake Socket LGA1151 Processor
42,0,HP G8 G9 240GB 6G 2.5 SATA RI SC SSD 804587-B21,Intel Solid-State Drive DC S3500 Series 120 GB SATA SSDSC2BB120G401
43,0,HP 72.8GB 10K FC-AL HDD 359461-005,HP 300GB 10K FC-AL HDD 359461-007
44,0,OMEN X by HP Gaming Laptop GTX 1070,Gigabyte GeForce GTX 1060 G1 Gaming Video Card
45,0,PNY Elite Performance 64GB SDXC,Sandisk Extreme microSDXC 64GB
46,1,HP BL20p G2 Xeon 2.8GHz 512MB,HP BL20p G2 2.8GHz/1M 512MB
47,1,HP DL580R G2 (2P) Xeon 2.8GHz,HP DL580R G2 Xeon 2.8GHz
48,1,2.5in 800GB SATA Intel S3710 Enterprise SSD SSDSC2BA800G401,Intel S3710 Series 800 GB SATA SSD SSDSC2BA800G401
49,1,HP G8 G9 400GB 6G 2.5 SAS SLC SSD 632429-003,HP G8 G9 400GB 6G 2.5 SAS SLC SSD 632429-003
50,0,HP ML350T G4p Xeon 3.2GHz 512MB,HP DL370 G6 Xeon E5540 2.53GHz
51,1,Seagate Duro Interio HDD ST2000DM001,Seagate Desktop 7200.14 2TB SATA3 64MB Cache
52,0,HP Spectre x360 13-ac004na 4K Convertible Laptop,OMEN X by HP 17-ap000na Gaming Laptop - GTX 1070
53,0,Intel Core i7 6700K 4GHz,6th Generation Intel Core i5 6600K 3.5GHz Socket LGA1151 Skylake Processor - Retail Skylake BX80662I56600K Novatech
54,0,Intel Pentium G4560 3.5GHz Socket LGA1151 Processor,Intel Core i5-3570 Comprar Intel i5-3570
55,0,Corsair CMV4GX3M2A1333C9,Corsair Vengeance 8GB DDR3-1866 Memory (CMZ8GX3M2A1866C9) PCPartPicker
56,0,HP DL740R (4P) Xeon,HP Xeon L5335 2.0GHz DL140 G3
57,0,Corsair 32GB DDR4 Vengeance LPX Memory Kit 2x16GB CMK32GX4M2B3000C15,Corsair Vengeance LPX DDR4 32 GB: 2 x 16 GB DIMM CMK32GX4M2B3200C16 System Memory
58,0,NETGEAR ReadyNAS 212 Diskless NAS,WD Black 6TB SATA-600
59,0,Apple iPad Pro 12.9-Inch Charcoal Gray Smart Cover,Apple iPad Pro 10.5-Inch Midnight Blue Smart Cover
