id,label,left_title,right_title
0,0,HP 388504-B21 Internal Server Part,HP 449363-B21 SC40Ge Host Bus Adapter
1,0,Sun XTA-3510-73GB-10K Server HDD,HP 359461-007 300GB 10K FC-AL HDD
2,1,Corsair Vengeance LPX CMK64GX4M4A2666C16 64GB (4x16GB) DDR4 PC4-21300 2666MHz Quad Channel Kit,Corsair Vengeance LPX CMK64GX4M4A2666C16 64GB (4x16GB) DDR4 PC4-21300 2666MHz Quad Channel Kit
3,0,HP 36.4GB U320 SCSI 15K Server Hard Drive,HP 36 GB 10K rpm FC disk hard drive
4,1,HP BL460c G7 Intel Xeon E5607 Processor Kit,HP 637414-B21 Xeon E5607 2.26GHz BL460c G7 Server Part
5,0,HP 458418-B21 E5410 2.33GHz ML370 G5 Server Part,HP 488039-B21 X5470 3.33GHz ML370 G5 Server Part
6,0,Transcend Ultimate - flash memory card 32 GB microSDHC UHS-I,Transcend JetFlash 500 - USB flash drive 8 GB
7,0,HP 417190-002 72GB 15K SAS HDD,HP 512743-001 72GB 6G 15K SAS HDD
8,0,AMD Opteron 8384 2.7GHz BL685c G5 Server Part,HP E5410 2.33GHz ML370 G5 Server Part
9,0,Apple Mac Mini MGEN2LL/A Dual Core i5,Apple MacBook Pro MD213LL/A Core i7
10,0,Gigabyte Radeon RX 580 Gaming 4096MB GDDR5 PCI-E Graphics Card,AMD Radeon Pro WX 4100 4GB
11,0,HP 662078-B21 Intel Xeon E5-2650L 1.8GHz BL460c G8 Server Part,HP BL460c G7 Intel Xeon E5607 Processor Kit
12,0,HP 249674-001 256MB DDR PC1600 Server Memory,HP 175924-001 256MB DDR SDRAM Server Memory
13,0,HP 242469-001 15/30GB Ext SCSI DLT Server Part,HP BD1465822C 146.8GB 10K FC-AL HDD Server Part
14,0,Samsung M390S0823DT1-C75 ASI 64MB PC133 CL3 SDRAM ECC RDIMM,Kingston DataTraveler SE9 G2 16 GB USB 3.0 Thumb Drive
15,0,Corsair Air Series AF120 2pk 120mm Performance Edition High Airflow Fan,Corsair Performance Series SP120 High Pressure Dual Pack
16,0,"Seagate ST31000524NS 1TB 3.5"" SATA HDD","HP 658071-B21 500GB 3.5"" SATA HDD"
17,0,HP 470065-235 DL320 G6 Xeon E5504 2.0GHz Server Part,HP 442992-B21 DL140 G3 Xeon E5335 2.0GHz Server Part
18,1,"HP DG0300FARVV 300GB 2.5"" SAS HDD","HP DG0300FARVV 300GB 2.5"" SAS HDD"
19,0,Samsung SSD 840 EVO 1TB SATA 6Gb/s,Western Digital Blue WDS100T1B0A 1TB SATA 6Gb/s
20,0,ASUS PCE-AC55BT Wireless Network Adapter,Asus PCE-AC55BT B1 Wireless Network Adapter
21,0,HP 308724-001 DL360R G3 Xeon 2.8GHz Server Part,Compaq PL ML530R G3 Xeon 3.0GHz Server Part
