id,label,left_title,right_title
0,0,HP Storageworks Internal 388504-B21,HP SC40Ge Host Bus Adapter 449363-B21
1,0,73GB 10K Sun XTA-3510-73GB-10K,300GB 10K HP 359461-007
2,1,Corsair Vengeance LPX Black 64GB (4x16GB) DDR4 PC4-21300 2666MHz Quad Channel Kit CMK64GX4M4A2666C16 Novatech,Corsair Vengeance LPX CMK64GX4M4A2666C16
3,0,HP 36.4-GB U320 SCSI 15K,HP 36 GB 10K rpm FC disk hard drive Product data HP drive internal drives (238590-B21)
4,1,HP BL460c G7 Intel Xeon E5607 Processor Kit,HP BL460c G7 2.26GHz Intel Xeon E5607
5,0,"HP E5410 2.33GHz ML370 G5, New 458418-B21",HP X5470 3.33GHz ML370 G5 Null
6,0,Transcend Ultimate flash memory card 32 GB microSDHC UHS-I Transcend UHS-I TS32GUSDU3 CDW.com,Transcend JetFlash 500 USB flash drive 8 GB Transcend TS8GJF500 Thumb Drives CDW.com
7,0,72-GB 15K 3.5in SAS HDD HP Part# -417190-002,"72-GB 6G 15K 2.5in SAS, 512743-001-5Pack New"
8,0,AMD Opteron 8384 2.7GHz BL685c G5,HP E5410 2.33GHz ML370 G5
9,0,Mac Mini Aluminum Unibody 2.6GHz Dual Core i5 Late 2014 MGEN2LLA Used Mac,Apple MacBook Pro 13-inch 2.9GHz Core i7 Retina Late 2012 MD213LLA MacBook Retina 13
10,0,Gigabyte Radeon RX 580 Gaming 4096MB GDDR5 PCI-Express Graphics Card | OcUK,AMD Radeon Pro WX 4100 4GB
11,0,HP BL460c G8 Intel Xeon E5-2650L 1.8GHz,HP BL460c G7 Intel Xeon E5607 Processor Kit
12,0,HP 256MB DDR PC1600 EC,HP 256MB DDR SDRAM Memory Null
13,0,HP 242469-001 15/30GB Ext SCSI DLT,HP 146.8GB 10K FC-AL HDD
14,0,Samsung M390S0823DT1-C75 ASI ECC RDIMM,Kingston DataTraveler SE9 G2 16GB USB 3.0 Thumb Drive
15,0,Corsair co9050004ww Af120 High Airflow Fan 2pk,Corsair SP120 Performance Series Dual Pack High Pressure
16,0,Seagate ST31000524NS 1-TB SATA,HP 658071-B21 G8/G9 500-GB SATA
17,0,"DL320 G6 Xeon E5504 2.0GHz, 470065-235","HP Xeon E5335 2.0GHz DL140 G3, 442992-B21"
