id,label,left_title,right_title
0,0,HP Storageworks Internal,HP SC40Ge Host Bus Adapter
1,0,HPE 73GB 10K FC AL HDD XTA351073GB10K,HP 300GB 10K FC AL HDD
2,1,Corsair Vengeance LPX Black 64GB (4x16GB) DDR4 PC4-21300 2666MHz Quad Channel Kit,Corsair Vengeance LPX CMK64GX4M4A2666C16
3,0,HP 36.4-GB U320 SCSI 15K,HP 36 GB 10K rpm FC disk hard drive
4,1,HP BL460c G7 Intel Xeon E5607 Processor Kit,HP Xeon E5607 2.26GHz BL460c G7
5,0,HP E5410 2.33GHz ML370 G5,HP X5470 3.33GHz ML370 G5
6,0,Transcend Ultimate - flash memory card 32 GB microSDHC UHS-I Transcend UHS-I TS32GUSDU3 Flash Memory Cards,Transcend JetFlash 500 - USB flash drive 8 GB Transcend GB TS8GJF500 Thumb Drives
7,0,HP 72-GB 15K 3.5 DP SAS HDD,HP 72-GB 6G 15K 2.5 DP SAS HDD
8,0,AMD Opteron 8384 2.7GHz BL685c G5,HP E5410 2.33GHz ML370 G5
9,0,Mac Mini Aluminum Unibody 2.6GHZ Dual Core i5 (Late 2014). - Apple MGEN2LL/A  Used Mac 2014) MGEN2LL/A GainSaver,"Apple MacBook Pro 13-inch 2.9GHz Core i7 (Retina, Late 2012) MD213LL/A MacBook Retina 13 (Late | macofalltrades"
10,0,Gigabyte Radeon RX 580 Gaming 4096MB GDDR5 PCI-Express Graphics Card,AMD Radeon Pro WX 4100 4GB
11,0,HP Intel Xeon E5-2650L 1.8GHz BL460c G8,HP BL460c G7 Intel Xeon E5607 Processor Kit
12,0,HP 256MB200MHz DDR PC1600 EC Null,HP 256MB DDR SDRAM Memory
13,0,HP 15/30-GB Ext SCSI DLT,HP 146.8-GB 10K FC-AL HDD
14,0,Samsung M390S0823DT1-C75 ASI 64MB 168p PC133 CL3 9c 8x8 1Rx8 3.3v SDRAM ECC RDIMM,Kingston DataTraveler SE9 G2 16 GB USB 3.0 Kingston 3.0 - DTSE9G2/16GB Thumb Drives
