id,label,left_title,right_title
0,0,HP Storageworks Internal 388504-B21,"Null, 449363-B21 HP SC40Ge Host Bus Adapter Adapter Wholesale 449363-B21 Price 449363-B21"
1,0,XTA-3510-73GB-10K (540-5629) Sun 73GB Null Wholesale XTA-3510-73GB-10K,359461-007 HP 300GB 10K FC-AL HDD
2,1,Corsair Vengeance LPX Black 64GB (4x16GB) DDR4 PC4-21300 2666MHz Quad Channel Kit  4x16GB CMK64GX4M4A2666C16,Corsair Vengeance LPX CMK64GX4M4A2666C16
3,0,BF036863B5 HP 36.4GB U320 SCSI 15K HDD,HP 36 GB 10K rpm FC disk hard drive Product data HP drive internal drives (238590-B21)
4,1,HP BL460c G7 Intel Xeon E5607 Processor Kit,HP Xeon E5607 2.26GHz BL460c G7
5,0,458418-B21 HP E5410 2.33GHz ML370 G5,HP X5470 3.33GHz ML370 G5
6,0,Transcend Ultimate flash memory card 32GB microSDHC UHS-I Transcend UHS-I TS32GUSDU3 Flash Memory Cards,Transcend JetFlash 500 - USB flash drive 8GB Transcend GB TS8GJF500 Thumb Drives
7,0,417190-002 HP 72GB 15K 3.5 DP SAS HDD,512743-001 HP 72GB 6G 15K 2.5 DP SAS
8,0,494267-B21 AMD Opteron 8384 2.7GHz BL685c G5,458418-B21 HP E5410 2.33GHz ML370 G5
9,0,Mac Mini Aluminum Unibody 2.6GHz Dual Core i5 (Late 2014) Apple MGEN2LL/A Used Mac 2014 MGEN2LL/A GainSaver,"Apple MacBook Pro 13-inch 2.9GHz Core i7 (Retina, Late 2012) MD213LL/A MacBook Retina 13"
10,0,Gigabyte Radeon RX 580 Gaming 4096MB GDDR5 PCI-Express Graphics Card,AMD Radeon Pro WX 4100 4GB
11,0,662078-B21 HP Intel Xeon E5-2650L 1.8GHz BL460c G8,HP BL460c G7 Intel Xeon E5607 Processor Kit
12,0,249674-001 HP 256MB200MHz DDR PC1600 EC,"175924-001 HP 256MB DDR SDRAM Memory, Null New 175924-001 Memory Wholesale Price"
13,0,HP 242469-001 15/30GB Ext SCSI DLT Null,BD1465822C HP 146.8GB 10K FC-AL HDD
14,0,Samsung M390S0823DT1-C75 ASI ECC SDRAM RDIMM,Kingston DataTraveler SE9 G2 16GB USB 3.0 Kingston 3.0 DTSE9G2/16GB Thumb Drive
15,0,Corsair CO-9050004-WW co9050004ww 2pk Air Series Af120 120mm Performance Ed High Airflow Fan,Corsair SP120 Performance Series High Pressure - Dual Pack (CO-9050008-WW) Corsair
16,0,ST31000524NS Seagate 1-TB 7.2K 3.5 3G SATA,"Null, HP G8 G9 500-GB 6G 7.2K 3.5 SATA SC New 658071-B21 5 Pack Wholesale Price"
17,0,470065-235 DL320 G6 Xeon E5504 2.0GHz,HP Xeon E5335 2.0GHz DL140 G3
18,1,DG0300FARVV HP 300-GB 6G 10K 2.5 DP SAS HDD,DG0300FARVV HP 300GB 6G 10K 2.5 DP SAS
19,0,Samsung SSD 840 EVO 1,WD Blue WDS100T1B0A SSD 1TB SATA 6Gb/s
20,0,ASUS PCE-AC55BT - network adapter ASUS Wireless Adapters Accessories CDW.com,Asus PCE-AC55BT B1 - Prijzen
21,0,308724-001 DL360R G3 Xeon 2.8GHz 512MB,COMPAQ PL ML530R G3 Xeon 3GHz 1GB Null
22,0,Kingston HyperX Fury 16 Go,Corsair Vengeance 8GB 2 x 4GB DDR3-1866 Memory CMZ8GX3M2A1866C9 PCPartPicker
23,0,TP-Link AV1000 2-Port Gigabit Passthrough Powerline Starter Kit (TL-PA7020P KIT),Tp-Link TL-WN881ND PCI-E N 300Mbps
24,0,RAM 8GB 2RX8 10600 9 UDIMM UDIMM,HP Original 500670-B21 CNJ 2GB 240P PC3-10600 CL9 18c 128x8 DDR3-1333 1.5V ECC UDIMM Retail
25,1,238921-B21 HP 72.8GB 10K FC-AL HDD,238921-B21 HP 72.8GB 10K FC-AL Null
26,0,HP Pavilion Power 15-cb008ns i7-7700HQ 8GB 1TB Nvidia GTX1050 2GB 15.6@es Pro x2 612 G2 2 en 1 Core M3-7Y30 128GB SSD Tactil 12 FHD W1,Asus P541UJ-1TB Nvidia GT920 2GB VivoBook Max K541UA-GO1205T 8GB
27,0,Zebra Card Printer ZXP7 Zebra ZXP7 cod.Z71-R00W0000EM00,HP LaserJet Pro M102w Wireless Laser Printer (G3Q35A)
28,0,Placa Som Asus Xonar Essence STX II 7.1@pt 7.1 (90YA00NN-M0UA00) - PCDIGA@pt,Asus DUAL-GTX1060-3G
29,0,Lenovo ThinkPad 11e Chromebook - 11.6 Celeron N3160 4 GB RAM 16 Lenovo S 20GF0003US Notebook Computers,Open Box Lenovo ThinkPad Yoga 11e G3 Celeron N3160 1.6GHz 4GB RAM 16GB Storage ac BT WC 3C 11.6 HD MT Chrome
30,0,Corsair CMU32GX4M4C3000C15,Corsair Vengeance LED CMU64GX4M4C3000C15
31,0,HP Pavilion 32 Monitor,Apple 12.9-inch iPad Pro Wi-Fi - tablet 32GB 12.9 Apple 12.9 ML0G2LL/A Tablets
