id,label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
0,0,Illusion (feat. Echosmith),Zedd,True Colors,"Dance, Music, Electronic",USD 1.29,2015 Interscope Records,06:30,2015-05-18,Transmission (feat. X Ambassadors),Zedd,True Colors,Dance & Electronic,USD 1.29,(C) 2015 Interscope Records,04:02,2015-05-18
1,0,I'm a Machine (feat. Crystal Nicole and Tyrese Gibson),David Guetta,Nothing But the Beat,"Dance, Music, Rock, House, Electronic",USD 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",03:34,2011-08-26,I Can Only Imagine (feat. Chris Brown & Lil Wayne),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,USD 0.99,VAL -,03:29,VAL -
2,1,Silver and Gold,Little Big Town,Pain Killer,"Country, Music, Honky Tonk, Contemporary Country",USD 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",03:33,2014-10-21,Silver and Gold,Little Big Town,Pain Killer,Country,USD 1.29,VAL -,03:31,2014-10-21
3,0,Dangerous (feat. Sam Martin) [Robin Schulz Remix] [Radio Edit],David Guetta,Listen (Deluxe Version),"Dance, Music, Rock, House, Electronic, French Pop",USD 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",03:20,2014-11-24,I'll Keep Loving you (feat. Birdy & Jaymes Young),David Guetta,Listen (Deluxe),Dance & Electronic,USD 1.29,VAL -,03:08,VAL -
4,0,True Colors (feat. Nicki Minaj),Wiz Khalifa,Blacc Hollywood,Hip-Hop/Rap,USD 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:15,2014-08-19,Still Down (feat. Chevy Woods & Ty Dolla $ ign) [Explicit],Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,USD 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:16,2014-08-19
5,0,I'm a Machine (feat. Crystal Nicole and Tyrese Gibson),David Guetta,Nothing But the Beat,"Dance, Music, House, Electronic, Rock",USD 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",03:34,2011-08-26,In My Head (feat. Nervo),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,USD 0.99,VAL -,03:51,2011-08-26
6,0,Dangerous (feat. Sam Martin) [Robin Schulz Remix] [Radio Edit],David Guetta,Listen (Deluxe Version),"Dance, Music, Rock, House, Electronic, French Pop",USD 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",03:20,2014-11-24,Bloody War (Album Version (Edited)) [feat. BG] [Clean],David Banner,Certified (Edited Version),Rap & Hip-Hop,USD 0.99,"( C ) 2014 Island Records , a division of UMG Recordings , Inc.",04:27,VAL -
7,0,Lick It (Norman Doray Remix),Kaskade & Skrillex,VAL -,"Dance, Music, Electronic",USD 1.29,"2012 Ultra Records, Inc.",06:14,2012-04-17,Take ÌÏ There (feat. Kiesza) [Netsky Remix],Skrillex & Diplo,VAL -,Dance & Electronic,USD 1.29,VAL -,03:29,VAL -
8,0,Whatcha Say (Klubjumpers Remix Radio),Jason Derulo,Reloaded,"Pop, Music, Rock, R&B / Soul, Contemporary R&B, Dance",USD 1.29,P2011 Warner Bros. Records Inc.,04:02,2011-12-16,The Sky 's The Limit (Ayo Remix),Jason Derulo,Reloaded,Pop,USD 1.29,"( C ) 2006 DTP Records , LLC",03:25,2011-12-16
9,0,Because of Your Love,Kenny Chesney,VAL -,"Country, Music, Contemporary Country, Urban Cowboy",USD 0.99,2000 BMG Entertainment,04:16,2000-09-26,"Ruby, Do n't Take Your Love To Town",Kenny Rogers,49 All Time Greatest Hits,"Country, Traditional Country, Cowboy",USD 0.89,( c ) 2008 Goldenlane Records,02:55,2008-08-01
10,0,Where Are '`` Now (with Justin Bieber) [Ember Island Remix],Skrillex & Diplo,Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP,"Dance, Music",USD 1.29,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,02:31,VAL -,Scary Monsters And Nice Sprites (Zedd Remix),Skrillex,Scary Monsters And Nice Sprites EP [ Explicit ],"Electronica, Dance & Electronic, Dubstep",USD 1.29,( c ) 2013 Digitop Ltd,05:57,2010-12-21
11,0,Second Chance (Live Acoustic from Kansas City),Shinedown,Somewhere In the Stratosphere (Live),"Rock, Music, Metal, Alternative, Hard Rock",USD 1.29,2011 Atlantic Recording Corporation,05:06,2011-04-18,Burning Bright (Live From Washington State),Shinedown,Somewhere In The Stratosphere,Rock,USD 1.29,( C ) 2005 MCA Nashville,03:53,VAL -
12,0,If I Am a Stranger (Live in Amsterdam),Ryan Adams,Live After Deaf (Live) [Complete Collection],"Singer/Songwriter, Music, Rock",USD 0.99,VAL -,05:10,2012-07-02,Dear Chicago (Live in Stockholm),Ryan Adams,Live After Deaf (Collection),"Folk, Rock",USD 0.99,VAL -,02:29,2012-07-02
13,0,Autonomy (Cold Blank Mix),Zedd,Autonomy - EP,"Dance, Music",USD 0.99,VAL -,04:59,VAL -,Autonomy (Lucky Date Mix),Zedd,Zedd - Autonomy,"Electronica, Dance & Electronic",USD 0.99,( C ) 2014 Wolf Tone Limited,05:59,2011-03-28
14,0,Closer (feat. Mike Posner),Nick Jonas,Nick Jonas (Deluxe Version),"Pop, Music, Teen Pop, Pop/Rock, Rock",USD 1.29,"2014 Island Records, a division of UMG Recordings, Inc. / Safehouse Records, LLC",03:48,2014-11-10,Numb (feat. Angel Haze) [Clean],Nick Jonas,Nick Jonas (Deluxe) [Clean],VAL -,USD 1.29,"(C) 2014 Island Records/Safehouse Records LLC, a division of UMG Recordings, Inc.",03:57,2014-11-10
15,0,Second Chance (Live Acoustic from Kansas City),Shinedown,Somewhere In the Stratosphere (Live),"Rock, Music, Metal, Alternative, Hard Rock",USD 1.29,VAL -,05:06,2011-04-18,45 (Live Acoustic From Kansas City),Shinedown,Somewhere In The Stratosphere,Rock,USD 1.29,( C ) 2005 MCA Nashville,06:12,2011-04-18
16,0,Starry Eyed (AN21 and Max Vangeli Remix),Ellie Goulding,Starry Eyed (Remixes) - EP,"Dance, Music, Pop, Rock",USD 1.29,2011 Polydor Ltd. (UK),08:14,2011-02-15,Lights (Shook Remix),Ellie Goulding,Lights (The Remixes Part 1),Pop,USD 1.29,(C) 2011 Polydor Ltd. (UK),03:49,2011-05-23
17,0,Lick It (Norman Doray Remix),Kaskade & Skrillex,Lick It (Remixes) - EP,"Dance, Music, Electronic",USD 1.29,VAL -,06:14,2012-04-17,Scary Monsters And Nice Sprites (Phonat Remix),Skrillex,More Monsters And Sprites EP,"Dance & Electronic, Dubstep",USD 1.29,VAL -,03:39,2011-06-07
18,0,Titanium (Spanish Version),David Guetta,VAL -,"Dance, Music, Electronic",USD 1.29,"2012 What A Music Ltd , Licence exclusive Parlophone Music France",03:58,2012-08-20,Titanium (feat. Sia) [Cazzette's Ant Seeking Hamster Mix],David Guetta,Titanium (feat. Sia),Dance & Electronic,USD 0.99,"2011 What A Music Ltd , licence exclusive Parlophone Music France",06:37,2012-01-20
19,1,Halcyon (feat. Ellie Goulding),VAL -,Halcyon Days (Deluxe Edition),"Pop, Music, Dance, Rock",VAL -,© 2013 Polydor Ltd. (UK),03:24,2013-08-27,Halcyon (Ellie Goulding),VAL -,Halcyon,Pop,USD 1.29,(C) 2013 Polydor Ltd. (UK),03:24,2013-08-27
20,0,Toyfriend (feat. Wynter Gordon) [Continuous Mix Version],David Guetta,One Love (Deluxe Version),"Dance, Music",USD 1.29,2010 Gum Prod licence exclusive Parlophone Music France,02:51,VAL -,Gettin' Over (feat. Chris Willis) [Continuous Mix Version],David Guetta,One Love (Deluxe Version),Dance & Electronic,USD 1.29,(C) 2014 Swedish House Mafia Holdings Ltd (BVI) under exclusive license to Virgin Records Ltd,03:31,2009-08-21
21,0,The Whisperer (feat. Sia),David Guetta,Listen,"Dance, Music, Electronic, House, Rock, French Pop",USD 1.29,VAL -,03:54,2014-11-24,Dangerous (feat. Sam Martin),David Guetta,Listen (Deluxe),Dance & Electronic,USD 1.29,2015 If Moving Your Mine,03:23,2014-11-24
