id,label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
0,0,Illusion (feat. Echosmith),Zedd,True Colors,"Dance, Music, Electronic",USD 1.29,2015 Interscope Records,06:30,2015-05-18,Transmission (feat. X Ambassadors),Zedd,True Colors,Dance & Electronic,1.29,(C) 2015 Interscope Records,04:02,2015-05-18
1,0,I'm a Machine (feat. Crystal Nicole and Tyrese Gibson),David Guetta,Nothing But the Beat,"Dance, Music, Rock, House, Electronic",1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",03:34,2011-08-26,I Can Only Imagine (feat. Chris Brown & Lil Wayne),David Guetta,Nothing But the Beat 2.0,Dance & Electronic,0.99,VAL -,03:29,2011-08-26
2,1,Silver and Gold,Little Big Town,Pain Killer,"Country, Music, Honky Tonk, Contemporary Country",1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",03:33,2014-10-21,Silver And Gold (feat. Little Big Town),Little Big Town,Pain Killer,Country,1.29,(C) 2014 Little Big Town LLC Under exclusive license to Capitol Records Nashville,03:31,2014-10-21
3,0,Dangerous (feat. Sam Martin) [Robin Schulz Remix] [Radio Edit],David Guetta,Listen (Deluxe Version),"Dance, Music, Rock, House, Electronic, French Pop",1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",03:20,2014-11-24,I'll Keep Loving you (feat. Birdy & Jaymes Young),David Guetta,Listen (Deluxe),Dance & Electronic,1.29,2015 If Moving Your Mine,03:08,2014-11-24
4,0,True Colors (feat. Nicki Minaj),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap, Music, Rap, East Coast Rap, Hardcore Rap, Rock",1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:15,2014-08-19,Still Down (feat. Chevy Woods & Ty Dolla $ign) [Explicit],Wiz Khalifa,Blacc Hollywood [Explicit],Rap & Hip-Hop,1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:16,2014-08-19
5,0,I'm a Machine (feat. Crystal Nicole and Tyrese Gibson),David Guetta,Nothing But the Beat,"Dance, Music, House, Electronic, Rock",1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",03:34,2011-08-26,In My Head (feat. Nervo),David Guetta,Nothing But the Beat 2.0,Dance & Electronic,0.99,VAL -,03:51,2011-08-26
6,0,Dangerous (feat. Sam Martin) [Robin Schulz Remix] [Radio Edit],David Guetta,Listen (Deluxe Version),"Dance, Music, Rock, House, Electronic, French Pop",1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",03:20,2014-11-24,Bloody War (Album Version (Edited)) (feat. BG) [Clean],David Banner,Certified (Edited Version),Rap & Hip-Hop,0.99,"(C) 2014 Island Records, a division of UMG Recordings, Inc.",04:27,2005-09-20
7,0,Lick It (Norman Doray Remix),Kaskade & Skrillex,Lick It (Remixes) - EP,"Dance, Music, Electronic",1.29,"2012 Ultra Records, Inc.",06:14,2012-04-17,Take ÌÏ There (feat. Kiesza) [Netsky Remix],Skrillex & Diplo,Take ÌÏ There,Dance & Electronic,1.29,2010 Robbins Entertainment LLC,03:29,2014-12-23
8,0,Whatcha Say (Klubjumpers Remix Radio),Jason Derulo,Reloaded,"Pop, Music, Rock, R&B / Soul, Contemporary R&B, Dance",1.29,2011 This Compilation P2011 Warner Bros. . Records Inc.,04:02,2011-12-16,The Sky's The Limit (Ayo Remix),Jason Derulo,Reloaded,Pop,1.29,"(C) 2006 DTP Records, LLC",03:25,2011-12-16
9,0,Because of Your Love,Kenny Chesney,Greatest Hits,"Country, Music, Contemporary Country, Urban Cowboy",1.29,2000 BMG Entertainment,04:16,2000-09-26,"Ruby, Do n't Take Your Love To Town",Kenny Rogers,49 All Time Greatest Hits,"Country, Traditional Country, Cowboy",1.29,(c) 2008 Goldenlane Records,02:55,2008-08-01
10,0,Where Are '`` Now (with Justin Bieber) [Ember Island Remix],Skrillex & Diplo,Where Are '`` Now (with Justin Bieber) [Remixes] - EP,"Dance, Music",1.29,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,02:31,2015-06-16,Scary Monsters And Nice Sprites (Zedd Remix),Skrillex,Scary Monsters And Nice Sprites EP,"Electronica, Dance & Electronic, Dubstep",1.29,(C) 2013 Digitop Ltd,05:57,2010-12-21
11,0,Second Chance (Live Acoustic from Kansas City),Shinedown,Somewhere In the Stratosphere (Live),"Rock, Music, Metal, Alternative, Hard Rock",1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:06,2011-04-18,Burning Bright (Live From Washington State),Shinedown,Somewhere In The Stratosphere,Rock,1.29,(C) 2005 MCA Nashville,03:53,2005-04-18
12,0,If I Am a Stranger (Live In Amsterdam),Ryan Adams,Live After Deaf (Live) [Complete Collection],"Singer/Songwriter, Music, Rock",0.99,2012 PAXAM RECORDS,05:10,2012-07-02,Dear Chicago (Live in Stockholm),Ryan Adams,Live After Deaf (Collection),"Folk, Rock",1.29,2012 PAXAM RECORDS,02:29,2012-07-02
13,0,Autonomy (Cold Blank Mix),Zedd,Autonomy - EP,"Dance, Music",1.29,2011 Bugeyed Records,04:59,2011-03-28,Autonomy (Lucky Date Mix),Zedd,Autonomy,"Electronica, Dance & Electronic",USD 0.99,(C) 2014 Wolf Tone Limited,05:59,2011-03-28
14,0,Closer (feat. Mike Posner),Nick Jonas,Nick Jonas (Deluxe Version),"Pop, Music, Teen Pop, Pop/Rock, Rock",1.29,"2014 Island Records, a division of UMG Recordings, Inc. / Safehouse Records, LLC",03:48,2014-11-10,Numb (feat. Angel Haze),Nick Jonas,Nick Jonas (Deluxe) [Clean],Pop,1.29,"(C) 2014 Island Records/Safehouse Records LLC, a division of UMG Recordings, Inc.",03:57,2014-11-10
15,0,Second Chance (Live Acoustic from Kansas City),Shinedown,Somewhere In the Stratosphere (Live),"Rock, Music, Metal, Alternative, Hard Rock",1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:06,2011-04-18,45 (Live Acoustic From Kansas City),Shinedown,Somewhere In The Stratosphere,Rock,1.29,(C) 2005 MCA Nashville,06:12,2005-04-18
16,0,Starry Eyed (AN21 and Max Vangeli Remix),Ellie Goulding,Starry Eyed (Remixes) - EP,"Dance, Music, Pop, Rock",1.29,2011 Polydor Ltd. (UK),08:14,2011-02-15,Lights (Shook Remix),Ellie Goulding,Lights (The Remixes Part 1),Pop,1.29,(C) 2011 Polydor Ltd. (UK),03:49,2011-05-23
17,0,Lick It (Norman Doray Remix),Kaskade & Skrillex,Lick It (Remixes) - EP,"Dance, Music, Electronic",1.29,"2012 Ultra Records, Inc.",06:14,2012-04-17,Scary Monsters And Nice Sprites (Phonat Remix),Skrillex,More Monsters And Sprites EP,"Dance & Electronic, Dubstep",1.29,2011 Rory Bourke Music Co. (BMI),03:39,2011-06-07
18,0,Titanium (Spanish Version),David Guetta,Titanium (Spanish Version) - Single,"Dance, Music, Electronic",1.29,"2012 What A Music Ltd , Licence exclusive Parlophone Music France",03:58,2012-08-20,Titanium (feat. Sia),David Guetta,Titanium (Feat. Sia),Dance & Electronic,0.99,"2011 What A Music Ltd , licence exclusive Parlophone Music France",06:37,2012-01-20
19,1,Halcyon (feat. Ellie Goulding),VAL -,Halcyon Days (Deluxe Edition),"Pop, Music, Dance, Rock",1.29,2013 Polydor Ltd. (UK),03:24,2013-08-27,Halcyon (feat. Ellie Goulding),VAL -,Halcyon,Pop,1.29,(C) 2013 Polydor Ltd. (UK),03:24,2013-08-27
20,0,Toyfriend (feat. Wynter Gordon),David Guetta,One Love (Deluxe Version),"Dance, Music",1.29,2010 Gum Prod licence exclusive Parlophone Music France,02:51,2009-08-21,Gettin' Over (feat. Chris Willis; Continuous Mix Version),David Guetta,One Love (Deluxe Version),Dance & Electronic,1.29,(C) 2014 Swedish House Mafia Holdings Ltd (BVI) under exclusive license to Virgin Records Ltd,03:31,2009-08-21
21,0,The Whisperer (feat. Sia),David Guetta,Listen,"Dance, Music, Electronic, House, Rock, French Pop",1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",03:54,2014-11-24,Dangerous (feat. Sam Martin),David Guetta,Listen (Deluxe),Dance & Electronic,1.29,2015 If Moving Your Mine,03:23,2014-11-24
22,0,Slow Down (Sure Shot Rockers Reggae Dub Remix),Selena Gomez,Slow Down (Reggae Remixes) - Single,"Reggae, Music, Electronic, Dance, Rock",1.29,"2013 Hollywood Records, Inc.",03:15,2013-08-20,Good For You (Yellow Claw & Cesqeaux Remix) (feat. A$AP Rocky),Selena Gomez,Good For You (Remixes),Pop,1.29,(C) 2015 Interscope Records,03:01,2015-09-04
23,1,True Colors (feat. Nicki Minaj),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap, Music, Rap, East Coast Rap, Hardcore Rap, Rock",1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:15,2014-08-19,True Colors (feat. Nicki Minaj) [Explicit],Wiz Khalifa,Blacc Hollywood [Explicit],Rap & Hip-Hop,1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:15,2014-08-19
24,1,"Turn Around (5,4,3,2,1) [DJ Bam Bam Radio Remix]",Flo Rida,"Turn Around (5,4,3,2,1) - Deluxe Single","Hip-Hop/Rap, Music, Electronic, Rap, Dirty South, Dance",1.29,© 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States.,03:35,2010-11-16,"Turn Around (5,4,3,2,1)",Flo Rida,Only One,Rap & Hip-Hop,1.29,2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,03:20,2010-11-26
25,0,Lifted (feat. Emeli Sandé & Professor Green),Naughty Boy,Hotel Cabana (Deluxe Version),"Pop, Music, Rock, R&B / Soul, Contemporary R&B, Dance,Electronic,Hip-Hop / Rap, Pop/Rock",1.29,2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,04:15,2014-05-06,One Way (feat. Mic Righteous),Naughty Boy,Hotel Cabana (Deluxe Version),Pop,1.29,(C) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,03:26,2014-05-06
26,0,"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,Mac and Devin Go to High School (Music from and Inspired By the Movie) [Deluxe Version],"Soundtrack,Music,Hip-Hop / Rap, West Coast Rap, Gangsta Rap, Hardcore Rap, Rap, Soundtrack",1.99,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,04:12,2011-12-12,Can You Control Yo Hoe (Album Version (Explicit)) [feat. Soopafly] [Explicit],Snoop Dogg,R&G (Rhythm & Gangsta) : The Masterpiece (Explicit Version),"Gangsta & Hardcore, Rap & Hip-Hop",1.29,(C) 2004 Geffen Records,03:08,2004-11-16
27,1,Gone The Weeknd,The Weeknd,Trilogy,"R&B / Soul, Music, Rock, Contemporary R&B",1.29,"2012 XO & co. , Inc.",08:07,2012-11-13,Gone (Album Version (Edited)) (feat. Crystal Nicole and Tyrese Gibson),The Weeknd,Trilogy (Edited Version),R&B,1.29,"(C) 2013 XO & co. , Inc.",08:07,2015-09-18
28,0,If I Am a Stranger (Live In Amsterdam) Live After Deaf (Live) [Complete Collection],Ryan Adams,Live After Deaf,"Singer/Songwriter, Music, Rock",1.29,2012 PAXAM RECORDS,05:10,2012-07-02,Lucky Now (Live At Carnegie Hall),Ryan Adams,Live At Carnegie Hall [ Explicit ],Rock,1.29,(C) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records,06:01,2015-04-21
29,0,Masterpiece (feat. Jordan Rakei),Disclosure,Caracal,"Electronic, Music, Dance, Garage, House, Rock",VAL -,"2015 Island Records, a division of Universal Music Operations Limited",04:01,VAL -,Holding On (feat. Gregory Porter),Disclosure,Caracal,"Electronica, Dance & Electronic",1.29,"(C) 2015 Island Records, a division of Universal Music Operations Limited",05:15,2015-09-25
30,0,Dangerous (feat. Sam Martin) [Robin Schulz Remix] [Radio Edit],David Guetta,Listen (Deluxe Version),"Dance, Music, Rock, House, Electronic, French Pop",1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",03:20,2014-11-24,I'll Keep Loving you (feat. Birdy & Jaymes Young),David Guetta,Listen (Deluxe),Dance & Electronic,1.29,2015 If Moving Your Mine,03:08,2014-11-24
31,0,El Perd'n (Forgiveness),Nicky Jam & Enrique Iglesias,El Perd'n (Forgiveness) - Single,"Pop, Music",1.29,2015 Sony Music Entertainment US Latin LLC,03:26,2015-07-10,El PerdÌ_n (Gregor Salto Remix),Nicky Jam & Enrique Iglesias,El PerdÌ_n (The Remixes),"International, Latin Music, Latin Hip-Hop",1.29,2015 Real Sounds,04:09,2015-07-01
32,0,Take Care (feat. Rihanna),Drake,Take Care (Deluxe Version),"Hip-Hop/Rap, Music",1.29,(C) 2011 Cash Money Records Inc.,04:37,2011-11-15,Make Me Proud (feat. Nicki Minaj),Drake,Take Care (Deluxe Edition),Rap & Hip-Hop,1.29,(C) 2012 Cash Money Records Inc.,03:39,2012-03-20
33,0,Whateva (feat. Monty),Fetty Wap,Fetty Wap (Deluxe),"Hip-Hop/Rap, Music, Rap",VAL -,2015 300 Entertainment/RGF Productions,05:11,VAL -,My Way (feat. Monty) [Explicit],Fetty Wap,Fetty Wap (Deluxe) [Explicit],Rap & Hip-Hop,1.29,"(C) 2000 Mute Records Ltd., a BMG Company, under exclusive license to INgrooves",03:33,2015-09-25
34,1,I Ain't Livin' Long Like This Take It to the Bank - EP,Chris Janson,Take It to the Bank - EP,"Country, Music",1.29,2014 Sony Music Entertainment,04:13,2014-02-24,I Ain't Livin' Long Like This (feat. Chris Janson),VAL -,Take It to the Bank (EP),Country,1.29,(C) 2012 Cash Money Records Inc.,04:13,2014-02-24
35,1,I Can't Go There (Acoustic Version),Kenny Chesney,"No Shoes, No Shirt, No Problems","Country, Music, Contemporary Country, Urban Cowboy",0.99,2002 BMG,03:45,2002-04-02,I Can't Go There (Acoustic Version),Kenny Chesney,"No Shoes, No Shirt, No Problems",Country,0.99,Underground Avenue,03:45,2002-04-02
36,0,Second Chance (Live Acoustic from Kansas City),Shinedown,Somewhere In the Stratosphere (Live),"Rock, Music, Metal, Alternative, Hard Rock",1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:06,2011-04-18,Times Like These (Live Acoustic From Kansas City),Shinedown,Somewhere In The Stratosphere,Rock,1.29,(C) 2005 MCA Nashville,04:07,2005-04-18
37,1,Who I Am With You (feat. Chris Young),VAL -,A.M.,"Country, Music, Urban Cowboy, Contemporary Country",1.29,2013 Sony Music Entertainment,03:13,2013-09-16,Who I Am With You,Chris Young,A.M.,Country,1.29,"(C) 2010 Hollywood Records, Inc.",03:11,2013-09-16
38,0,If I Am a Stranger (Live In Amsterdam),Ryan Adams,Live After Deaf (Live) [Complete Collection],"Singer/Songwriter, Music, Rock",1.29,2012 PAXAM RECORDS,05:10,2012-07-02,16 Days (Live in London 2 Bonus Track),Ryan Adams,Live After Deaf (Collection),"Folk, Rock",1.29,2012 PAXAM RECORDS,04:56,2012-07-02
39,0,Gold (feat. Eighty4 Fly),Macklemore & Ryan Lewis,The Heist (Deluxe Edition),"Hip-Hop/Rap, Music, Rap, Alternative Rap, West Coast Rap",1.29,"(C) 2012 Macklemore, LLC.",04:11,2012-08-01,Neon Cathedral (feat. Allen Stone),Macklemore & Ryan Lewis,The Heist,Rap & Hip-Hop,1.29,2014 Selena Garcia & Steven Gomez,04:34,2014-10-09
40,0,The Whisperer (feat. Sia),David Guetta,Listen,"Dance, Music, Electronic, House, Rock, French Pop",1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",03:54,2014-11-24,S.T.O.P (feat. Ryan Tedder),David Guetta,Listen (Deluxe),Dance & Electronic,1.29,2015 If Moving Your Mine,03:34,2014-11-24
41,0,As Long As You Love Me (feat. Big Sean) [Audien Luvstep Mix],Justin Bieber,As Long As You Love Me (Remixes),"Dance, Music, Rock",USD 1.29,2012 The Island Def Jam Music Group,04:40,2012-09-11,Love Me Like You Do (Sax Instrumental Version),Justin Ward,Love Me Like You Do - Made Popular By Ellie Goulding,Pop,0.89,(C) 2015 Covered Records,03:16,VAL -
42,1,Doin' My Thing,Luke Bryan,Doin' My Thing,"Country, Music, Contemporary Country",1.29,"2009 Capitol Records Nashville. All rights reserved. Unauthorized reproduction is a violation of applicable laws. Manufactured by Capitol Records Nashville, 3322 West End Avenue, 11th Floor, Nashville, TN 37203",03:09,2009-10-02,Doin' My Thing (feat. Luke Bryan),Luke Bryan,Doin' My Thing,Country,USD 1.29,(C) 2009 Capitol Records Nashville,03:09,2009-10-02
43,0,Remember You (feat. The Weeknd),Wiz Khalifa,O.N.I.F.C. (Deluxe Version),"Hip-Hop/Rap, Music, Hardcore Rap, East Coast Rap, Rap",1.99,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:20,2012-12-04,KK (feat. Project Pat & Juicy J) [Explicit],Wiz Khalifa,Blacc Hollywood (Deluxe) [Explicit],Rap & Hip-Hop,1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:09,2014-08-19
44,0,"Turn Around (5,4,3,2,1) [AK Remix]",Flo Rida,"Turn Around (5,4,3,2,1) [Remixes]","Dance,Music,Hip-Hop / Rap, Dirty South, Rap, Electronic",1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:09,2011-04-19,Gdfr (feat. Sage The Gemini & Lookas) [K. Theory Remix],Flo Rida,Gdfr (feat. Sage The Gemini & Lookas) [Remixes],Rap & Hip-Hop,1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,03:08,2015-01-21
45,0,Fake (Demo) Us and Them (Deluxe Version),Shinedown,Us and Them (Deluxe Version),"Rock, Music, Metal, Hard Rock, Alternative",1.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:05,2009-10-04,Left Out [Demo],Shinedown,Leave A Whisper (Deluxe),Rock,USD 1.29,2015 Mad Decent,03:36,2003-05-27
46,1,Whateva (feat. Monty),Fetty Wap,Fetty Wap (Deluxe),"Hip-Hop/Rap, Music, Rap",VAL -,2015 300 Entertainment/RGF Productions,05:11,VAL -,Whateva (feat. Monty) [Clean],Fetty Wap,Deluxe [Clean],Rap & Hip-Hop,1.29,"(C) 2000 Mute Records Ltd., a BMG Company, under exclusive license to INgrooves",05:11,2015-09-25
47,0,Every Time You Go Bright Lights (Deluxe Version),Ellie Goulding,Bright Lights,"Pop, Music, Dance, Rock",1.29,2010 Polydor Ltd. (UK),03:25,2010-11-29,I Know You Care (feat. Ellie Goulding),Ellie Goulding,Halcyon (Deluxe),Pop,1.29,(C) 2013 Polydor Ltd. (UK),03:26,2013-08-27
48,1,Goner twenty one pilots,VAL -,Blurryface,"Alternative, Music, Rock, Adult Alternative, Indie Rock, Hip-Hop / Rap, Rap, Underground Rap",1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,03:56,2015-05-15,Goner twenty one pilots,VAL -,Blurryface,Alternative Rock,1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,03:56,2015-05-15
49,0,Toyfriend (feat. Wynter Gordon),David Guetta,One Love (Deluxe Version),"Dance, Music",1.29,2010 Gum Prod licence exclusive Parlophone Music France,02:51,2010-08-21,Gettin' Over (feat. Chris Willis; Continuous Mix Version),David Guetta,One Love (Deluxe Version),Dance & Electronic,1.29,(C) 2014 Swedish House Mafia Holdings Ltd (BVI) under exclusive license to Virgin Records Ltd,03:31,2009-08-21
50,0,Dangerous (feat. Sam Martin) [Robin Schulz Remix] [Radio Edit],David Guetta,Listen (Deluxe Version),"Dance, Music, Rock, House, Electronic, French Pop",1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",03:20,2014-11-24,Gettin' Over You (feat. Fergie & LMFAO),David Guetta,One Love (Deluxe Version),Dance & Electronic,1.29,(C) 2014 Swedish House Mafia Holdings Ltd (BVI) under exclusive license to Virgin Records Ltd,03:07,2009-08-21
51,0,Obsession (feat. JD Davis & Miss B),David Guetta,Pop Life,"Dance, Music, Rock, Pop, House, Electronic, Electronica, Adult Alternative",VAL -,(C) 2007 Gum Records,03:06,2007-09-18,Gettin' Over (feat. Chris Willis; Continuous Mix Version),David Guetta,One Love (Deluxe Version),Dance & Electronic,1.29,(C) 2014 Swedish House Mafia Holdings Ltd (BVI) under exclusive license to Virgin Records Ltd,03:31,2009-08-21
52,0,Epilogue (feat. George the Poet),Naughty Boy,Hotel Cabana,"Pop, Music, R&B / Soul, Contemporary R&B, Hip-Hop/Rap, Pop/Rock, Rock",1.29,2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,01:28,2014-05-06,Wonder (feat. Emeli Sandé),Naughty Boy,Hotel Cabana (Deluxe Version),Pop,1.29,(C) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,03:27,2014-05-06
