id,label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
0,0,Illusion (feat. Echosmith) - Zedd,Zedd,VAL -,"Dance, Music, Electronic",USD 1.29,VAL -,06:30,2015-05-18,Transmission [feat. X Ambassadors],Zedd,True Colors,Dance & Electronic,VAL -,VAL -,04:02,2015-05-18
1,0,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,VAL -,USD 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",03:34,VAL -,I Can Only Imagine ( feat . Chris Brown & Lil Wayne ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],VAL -,USD 0.99,VAL -,VAL -,VAL -
2,1,Silver and Gold 3:33,Little Big Town,Pain Killer,"Country, Music, Honky Tonk, Contemporary Country",USD 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",VAL -,2014-10-21,Silver And Gold Little Big Town Country,Little Big Town,Pain Killer,VAL -,USD 1.29,VAL -,VAL -,2014-10-21
3,0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),VAL -,USD 1.29,VAL -,3:20,2014-11-24,I 'll Keep Loving you ( feat . Birdy & Jaymes Young ),David Guetta,Listen ( Deluxe ),Dance & Electronic,USD 1.29,VAL -,3:08,2014-11-24
4,0,True Colors ( feat . Nicki Minaj ) Wiz Khalifa,VAL -,Blacc Hollywood,Hip-Hop/Rap,USD 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:15,VAL -,Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ],Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,USD 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:16,2014-08-19
5,0,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance, Music, House, Electronic, Rock",VAL -,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",03:34,VAL -,In My Head ( feat . Nervo ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 0.99,VAL -,03:51,2011-08-26
6,0,Dangerous (feat. Sam Martin) [Robin Schulz Remix] [Radio Edit] David Guetta,David Guetta,VAL -,"Dance, Music, Rock, House, Electronic, French Pop",USD 1.29,"What A Music Ltd. under exclusive license to Parlophone/Warner Music France, under exclusive license to Atlantic Recording Corporation for the United States. All rights reserved.",03:20,2014-11-24,Bloody War (Album Version (Edited)) [feat. BG] [Clean],David Banner,Certified (Edited Version),Rap & Hip-Hop,USD 0.99,"( C ) 2014 Island Records, a division of UMG Recordings, Inc.",04:27,VAL -
7,0,Lick It ( Norman Doray Remix ) Lick It ( Remixes ) - EP,Kaskade & Skrillex,VAL -,"Dance, Music, Electronic",USD 1.29,"2012 Ultra Records, Inc.",06:14,2012-04-17,Take ÌÏ There ( feat . Kiesza ) [ Netsky Remix ],Skrillex & Diplo,VAL -,Dance & Electronic,USD 1.29,VAL -,VAL -,VAL -
8,0,Whatcha Say (Klubjumpers Remix Radio) Jason Derulo,VAL -,Reloaded,Pop,USD 1.29,VAL -,04:02,2011-12-16,The Sky's The Limit (Ayo Remix) Jason Derulo,VAL -,Reloaded,Pop,USD 1.29,"( C ) 2006 DTP Records , LLC",03:25,2011-12-16
9,0,Because of Your Love Greatest Hits,Kenny Chesney,VAL -,VAL -,VAL -,2000 BMG Entertainment,04:16,2000-09-26,"Ruby, Do n't Take Your Love To Town",Kenny Rogers,49 All Time Greatest Hits,Country,0.89,( c ) 2008 Goldenlane Records,VAL -,2008-08-01
