id,label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
0,0,Illusion,Zedd feat. Echosmith,VAL -,"Dance, Music, Electronic",USD 1.29,Interscope Records,06:30,2015-05-18,Transmission,Zedd feat. X Ambassadors,True Colors,Dance & Electronic,USD 1.29,Interscope Records,04:02,2015-05-18
1,0,I'm a Machine,David Guetta,Nothing But the Beat,Dance,USD 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,VAL -,I Can Only Imagine,David Guetta,Nothing But the Beat 2.0 [Explicit],Dance & Electronic,USD 0.99,VAL -,3:29,2011-08-26
2,1,Silver and Gold,Little Big Town,Pain Killer,Country,USD 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",VAL -,2014-10-21,Silver And Gold,Little Big Town,Pain Killer,Country,USD 1.29,2014 Little Big Town LLC Under exclusive license to Capitol Records Nashville,3:31,2014-10-21
3,0,Dangerous (feat. Sam Martin) [Robin Schulz Remix],David Guetta,Listen (Deluxe Version),Dance,USD 1.29,"What A Music Ltd. under exclusive license to Parlophone/Warner Music France, under exclusive license to Atlantic Recording Corporation for the United States. All rights reserved.",03:20,2014-11-24,I'll Keep Loving You (feat. Birdy & Jaymes Young),David Guetta,Listen (Deluxe Version),Dance & Electronic,USD 1.29,VAL -,03:08,2015-11-24
4,0,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,Hip-Hop/Rap,USD 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,VAL -,Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ],Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,USD 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:16,VAL -
5,0,I'm a Machine,David Guetta,Nothing But the Beat,Dance,USD 1.29,"2011 What A Music Ltd, Licence exclusive Parlophone Music France",3:34,VAL -,In My Head,David Guetta,Nothing But the Beat 2.0 [Explicit],Dance & Electronic,USD 0.99,VAL -,3:51,2011-08-26
6,0,Dangerous (feat. Sam Martin) [Robin Schulz Remix] [Radio Edit],David Guetta,VAL -,Dance,USD 1.29,What A Music Ltd.,03:20,2014-11-24,Bloody War (Album Version),David Banner ft. BG,Certified (Edited Version),Rap & Hip-Hop,USD 0.99,Island Records,04:27,VAL -
7,0,Lick It ( Norman Doray Remix ),Kaskade & Skrillex,VAL -,"Dance , Music , Electronic",USD 1.29,"2012 Ultra Records , Inc.",06:14,2012-04-17,Take ÌÏ There ( feat . Kiesza ) [ Netsky Remix ],Skrillex & Diplo,Take ÌÏ There ( feat . Kiesza ) [ Remixes ],Dance & Electronic,USD 1.29,VAL -,03:29,2014-12-23
8,0,Whatcha Say ( Klubjumpers Remix Radio ),Jason Derulo,Reloaded,Pop,USD 1.29,VAL -,4:02,2011-12-16,The Sky 's The Limit ( Ayo Remix ),Jason Derulo,Reloaded,Pop,USD 1.29,"(C) 2006 DTP Records, LLC",3:25,2011-12-16
9,0,Because of Your Love,Kenny Chesney,VAL -,Country,USD 0.99,2000 BMG Entertainment,04:16,26-Sep-00,"Ruby, Do n't Take Your Love To Town",Kenny Rogers,49 All Time Greatest Hits,"Country, Traditional Country, Cowboy",USD 0.89,(c) 2008 Goldenlane Records,VAL -,2008-08-01
