id,label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
0,0,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic 2015 Interscope Records 6:30",Zedd - Echosmith,True Colors,"Dance, Music, Electronic",$ 1.29,2015 Interscope Records,06:30,18-May-15,Transmission [ feat . X Ambassadors ] Dance & Electronic $ 1.29 ( C ) 2015 Interscope Records 4:02,Zedd - X Ambassadors,True Colors,"Dance, Music, Electronic",$ 1.29,2015 Interscope Records,04:02,"May 18 , 2015"
1,0,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance, Music, Rock, House, Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,I Can Only Imagine ( feat . Chris Brown & Lil Wayne ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 0.99,,3:29,2011-08-26
2,1,,,,,,,,,,,,,,,,
3,0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),,$ 1.29,"What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,2014-11-24,I 'll Keep Loving you ( feat . Birdy & Jaymes Young ),David Guetta,Listen ( Deluxe ),Dance & Electronic,$ 1.29,"If Moving Your Mine November 24 , 2014",3:08,
4,0,,,,,,,,,,,,,,,,
5,0,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , House , Electronic , Rock",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,In My Head ( feat . Nervo ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 0.99,,3:51,26-Aug-11
6,0,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ),David Guetta,Deluxe Version,"Dance, Music, Rock, House, Electronic, French Pop",$ 1.29,"What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,2014-11-24,Bloody War ( Album Version ( Edited ) ) [ feat . BG ] [ Clean ],David Banner,Edited Version,Rap & Hip-Hop,$ 0.99,"( C ) 2014 Island Records , a division of UMG Recordings , Inc.",4:27,2005-09-20
7,0,Lick It ( Norman Doray Remix ) Lick It ( Remixes ) - EP,Kaskade & Skrillex,VAL -,"Dance , Music , Electronic",$ 1.29,"2012 Ultra Records , Inc.",6:14,17-Apr-12,"Take ÌÏ There ( feat . Kiesza ) [ Netsky Remix ] 2010 Robbins Entertainment LLC 3:29 December 23 , 2014",Skrillex & Diplo,Take ÌÏ There ( feat . Kiesza ) [ Remixes ],Dance & Electronic,$ 1.29,VAL -,3:29,2014-12-23
8,0,Whatcha Say ( Klubjumpers Remix Radio ) Jason Derulo,Jason Derulo,Reloaded,"Pop, Music, Rock, R&B / Soul, Contemporary R&B, Dance",$ 1.29,This Compilation P2011 Warner Bros. . Records Inc.,4:02,16-Dec-11,The Sky 's The Limit ( Ayo Remix ) Jason Derulo,Jason Derulo,Reloaded,Pop,$ 1.29,"( C ) 2006 DTP Records , LLC",3:25,2011-12-16
9,0,"Because of Your Love Greatest Hits Country , Music , Contemporary Country , Urban Cowboy $ 0.99",Kenny Chesney,VAL -,"Country, Music, Contemporary Country, Urban Cowboy",$ 0.99,2000 BMG Entertainment,4:16,26-Sep-00,"Ruby , Do n't Take Your Love To Town 2:55",Kenny Rogers,49 All Time Greatest Hits,"Country , Traditional Country , Cowboy",$ 0.89,( c ) 2008 Goldenlane Records,VAL -,"August 1 , 2008"
10,0,Where Are '' Now ( with Justin Bieber ) [ Remixes ] - EP,Skrillex & Diplo,Where Are '' Now ( with Justin Bieber ) [ Remixes ] - EP,"Dance, Music",$ 1.29,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,16-Jun-15 - VAL -,-VAL-,"Scary Monsters And Nice Sprites ( Zedd Remix ) Skrillex Scary Monsters And Nice Sprites EP [ Explicit ] Electronica, Dance & Electronic, Dubstep",Skrillex,Scary Monsters And Nice Sprites EP [ Explicit ],"Electronica, Dance & Electronic, Dubstep",$ 1.29,(c) 2013 Digitop Ltd,05:57,2010-12-21
