"id","label","left_Album_Name","right_Album_Name","left_Artist_Name","right_Artist_Name","left_CopyRight","right_CopyRight","left_Genre","right_Genre","left_Price","right_Price","left_Released","right_Released","left_Song_Name","right_Song_Name","left_Time","right_Time"
0,0,"","True Colors","","Zedd","","","","","$ 1.29","","18-May-15","May 18 , 2015","Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic 2015 Interscope Records 6:30","Transmission [ feat . X Ambassadors ] Dance & Electronic $ 1.29 ( C ) 2015 Interscope Records 4:02","",""
1,0,"Nothing But the Beat","Nothing But the Beat 2.0 [ Explicit ]","David Guetta","","2011 What A Music Ltd , Licence exclusive Parlophone Music France","","","","$ 1.29","$ 0.99","","","I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) Dance , Music , Rock , House , Electronic 26-Aug-11","I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) David Guetta Dance & Electronic 2015 Real Sounds 3:29 August 26 , 2011","3:34",""
2,1,"Pain Killer","Pain Killer","Little Big Town","","2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville","","Country , Music , Honky Tonk , Contemporary Country","","$ 1.29","$ 1.29","21-Oct-14","October 21 , 2014","Silver and Gold 3:33","Silver And Gold Little Big Town Country ( C ) 2014 Little Big Town LLC Under exclusive license to Capitol Records Nashville 3:31","",""
3,0,"Listen ( Deluxe Version )","","","","","","","Dance & Electronic","","","","","Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14","I 'll Keep Loving you ( feat . Birdy & Jaymes Young ) David Guetta Listen ( Deluxe ) $ 1.29 2015 If Moving Your Mine November 24 , 2014","3:20","3:08"
4,0,"Blacc Hollywood","Blacc Hollywood [ Explicit ]","","Wiz Khalifa","2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company","","","Rap & Hip-Hop","$ 1.29","","","","True Colors ( feat . Nicki Minaj ) Wiz Khalifa Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock 4:15 19-Aug-14","Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ] $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 4:16 August 19 , 2014","",""
5,0,"Nothing But the Beat","Nothing But the Beat 2.0 [ Explicit ]","","","2011 What A Music Ltd , Licence exclusive Parlophone Music France","","","","","$ 0.99","","","I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) David Guetta Dance , Music , House , Electronic , Rock $ 1.29 3:34 26-Aug-11","In My Head ( feat . Nervo ) David Guetta Dance & Electronic 2015 Real Sounds 3:51 August 26 , 2011","",""
6,0,"","Certified ( Edited Version )","","David Banner","","( C ) 2014 Island Records , a division of UMG Recordings , Inc.","","Rap & Hip-Hop","","$ 0.99","","","Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] David Guetta Listen ( Deluxe Version ) Dance , Music , Rock , House , Electronic , French Pop $ 1.29 2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved . 24-Nov-14","Bloody War ( Album Version ( Edited ) ) [ feat . BG ] [ Clean ] September 20 , 2005","3:20","4:27"
7,0,"","Take ÌÏ There ( feat . Kiesza ) [ Remixes ]","Kaskade & Skrillex","Skrillex & Diplo","2012 Ultra Records , Inc.","","Dance , Music , Electronic","Dance & Electronic","$ 1.29","$ 1.29","17-Apr-12","","Lick It ( Norman Doray Remix ) Lick It ( Remixes ) - EP","Take ÌÏ There ( feat . Kiesza ) [ Netsky Remix ] 2010 Robbins Entertainment LLC 3:29 December 23 , 2014","6:14",""
8,0,"Reloaded","","","","","( C ) 2006 DTP Records , LLC","","Pop","","","16-Dec-11","December 16 , 2011","Whatcha Say ( Klubjumpers Remix Radio ) Jason Derulo Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance $ 1.29 2011 This Compilation P2011 Warner Bros. . Records Inc. 4:02","The Sky 's The Limit ( Ayo Remix ) Jason Derulo Reloaded $ 1.29 3:25","",""
9,0,"","49 All Time Greatest Hits","Kenny Chesney","Kenny Rogers","2000 BMG Entertainment","( c ) 2008 Goldenlane Records","","Country , Traditional Country , Cowboy","","$ 0.89","26-Sep-00","August 1 , 2008","Because of Your Love Greatest Hits Country , Music , Contemporary Country , Urban Cowboy $ 0.99","Ruby , Do n't Take Your Love To Town 2:55","4:16",""
10,0,"Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP","","Skrillex & Diplo","","2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company","","Dance , Music","","$ 1.29","","","December 21 , 2010","Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ] 2:31 16-Jun-15","Scary Monsters And Nice Sprites ( Zedd Remix ) Skrillex Scary Monsters And Nice Sprites EP [ Explicit ] Electronica , Dance & Electronic , Dubstep $ 1.29 ( c ) 2013 Digitop Ltd","","5:57"
11,0,"Somewhere In the Stratosphere ( Live )","","","Shinedown","","( C ) 2005 MCA Nashville","Rock , Music , Metal , Alternative , Hard Rock","","","","","","Second Chance ( Live Acoustic from Kansas City ) Shinedown $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 18-Apr-11","Burning Bright ( Live From Washington State ) Somewhere In The Stratosphere Rock $ 1.29 April 18 , 2011","5:06","3:53"
12,0,"","","","Ryan Adams","","","","Folk , Rock","","$ 0.99","","July 2 , 2012","If I Am a Stranger ( Live In Amsterdam ) Ryan Adams Live After Deaf ( Live ) [ Complete Collection ] Singer/Songwriter , Music , Rock $ 0.99 2012 PAXAM RECORDS 5:10 2-Jul-12","Dear Chicago ( Live in Stockholm ) Live After Deaf ( Collection ) 2012 PAXAM RECORDS","","2:29"
13,0,"","Zedd - Autonomy","Zedd","","","( C ) 2014 Wolf Tone Limited","Dance , Music","","$ 0.99","$ 0.99","","","Autonomy ( Cold Blank Mix ) Autonomy - EP 2011 Bugeyed Records 28-Mar-11","Autonomy ( Lucky Date Mix ) Zedd Electronica , Dance & Electronic 5:59 March 28 , 2011","4:59",""
14,0,"Nick Jonas ( Deluxe Version )","Nick Jonas ( Deluxe ) [ Clean ]","","Nick Jonas","","","Pop , Music , Teen Pop , Pop/Rock , Rock","","","","10-Nov-14","November 10 , 2014","Closer ( feat . Mike Posner ) Nick Jonas $ 1.29 2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC 3:48","Numb [ feat . Angel Haze ] [ Clean ] Pop $ 1.29 ( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc. 3:57","",""
15,0,"","","Shinedown","Shinedown","","( C ) 2005 MCA Nashville","","Rock","$ 1.29","$ 1.29","18-Apr-11","April 18 , 2011","Second Chance ( Live Acoustic from Kansas City ) Somewhere In the Stratosphere ( Live ) Rock , Music , Metal , Alternative , Hard Rock 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 5:06","45 ( Live Acoustic From Kansas City ) Somewhere In The Stratosphere","","6:12"
16,0,"","","Ellie Goulding","","2011 Polydor Ltd. ( UK )","( C ) 2011 Polydor Ltd. ( UK )","","","","$ 1.29","","","Starry Eyed ( AN21 and Max Vangeli Remix ) Starry Eyed ( Remixes ) - EP Dance , Music , Pop , Rock $ 1.29 15-Feb-11","Lights ( Shook Remix ) Ellie Goulding Lights ( The Remixes Part 1 ) Pop 3:49 May 23 , 2011","8:14",""
17,0,"","","Kaskade & Skrillex","Skrillex","","","","","$ 1.29","$ 1.29","","","Lick It ( Norman Doray Remix ) Lick It ( Remixes ) - EP Dance , Music , Electronic 2012 Ultra Records , Inc. 6:14 17-Apr-12","Scary Monsters And Nice Sprites ( Phonat Remix ) More Monsters And Sprites EP Dance & Electronic , Dubstep 2011 Rory Bourke Music Co. ( BMI ) June 7 , 2011","","3:39"
18,0,"","Titanium ( Feat . Sia )","","David Guetta","2012 What A Music Ltd , Licence exclusive Parlophone Music France","2011 What A Music Ltd , licence exclusive Parlophone Music France","","Dance & Electronic","","","20-Aug-12","","Titanium ( Spanish Version ) David Guetta Titanium ( Spanish Version ) - Single Dance , Music , Electronic $ 1.29","Titanium ( feat . Sia ) [ Cazzette 's Ant Seeking Hamster Mix ] $ 0.99 January 20 , 2012","3:58","6:37"
19,1,"Halcyon Days ( Deluxe Edition )","Halcyon","","","","","Pop , Music , Dance , Rock","","","$ 1.29","27-Aug-13","","Halcyon Ellie Goulding $ 1.29 ‰ ãÑ 2013 Polydor Ltd. ( UK )","Halcyon Ellie Goulding Pop ( C ) 2013 Polydor Ltd. ( UK ) 3:24 August 27 , 2013","3:24",""
20,0,"","","David Guetta","","2010 Gum Prod licence exclusive Parlophone Music France","","","","","$ 1.29","","","Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] One Love ( Deluxe Version ) Dance , Music $ 1.29 21-Aug-09","Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ) David Guetta One Love ( Deluxe Version ) Dance & Electronic ( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd August 21 , 2009","2:51","3:31"
