id,label,left_title,left_category,left_brand,left_modelno,left_price,right_title,right_category,right_brand,right_modelno,right_price
0,0,Elite Screens CineWhite Cinema235 Series Fixed Frame Wide Screen - 85 Diagonal,Electronics - General,Elite Screens,R85WH1-WIDE,409.0,CineGray EZFrame Series Fixed Frame Screen - 150 Diagonal,Projection Screens,Elite,unknown,879.0
1,0,San Diego Padres iPhone 4 Case Silicone Cover,Electronics - General,Tribeca,FVA3959,24.99,Georgia Bulldogs iPhone 4 Case Silicone Cover,Computers Accessories,Tribeca,unknown,17.99
2,0,Innovera D3010 Black Compatible High-Yield Toner Print Cartridge,Stationery & Office Machinery,Innovera,D3010,68.35,Premium Compatible HP 11X Toner Cartridge HP Q6511X . Black Print Cartridge High Yield HP 12000 Pages . .,Inkjet Printer Ink,Compatible,HP-Q6511X,28.92
3,0,Da-Lite Da-Plex Base Rear Projection Screen - 57 3/4 x 77 Video Format,Electronics - General,da-lite,27528,2608.99,Da-Lite 27514 Da-Plex Unframed Rear Projection Screen - 108 x 144 Video Format,Projection Screens,da-lite,unknown,unknown
4,0,PC Treasures Wireless Optical Mouse 2.4 GHz Purple,Mice,PC Treasures,07227,17.82,Inland Pro 2.4 GHz Wireless Optical Mouse,Mice,Inland,07441,12.98
5,0,HON Metal Bookcase 34-1 2W x 12-5 8D x 81-1 8H,Furniture,HON,S82ABCP,369.0,New-Hon S60ABCQ - Metal Bookcase 4 Shelves 34-1 2W x 12-5 8D x 59H Light Gray - Hons60ABCQ,Laminating Supplies,HON,NaN,334.0
6,0,MSI ATI Radeon HD6670 1GB DDR5 PCI-Express Video Card,Electronics - General,MSI,R6670-MD1GD5,107.0,XFX ATI Radeon HD6570 1 GB DDR3 VGA DVI HDMI PCI-Express Video Card HD657XZHf2,Graphics Cards,XFX,HD657XZHf2,77.64
7,1,SLR Camera Sling Pack,Cases Bags,Sumdex,144952,39.99,SLR Camera Sling Pack,Cases Bags,Sumdex,POC-484BK,44.59
8,1,Xerox Imaging Unit for Phaser 6300 and 6350 Printer,printers,Xerox,108R00645,244.84,Xerox Printers Imaging Unit for Phaser 6300 and 6350,printers,Xerox,108R00645,253.79
9,0,HP CE278A Black LaserJet Print Cartridge,Printers,HP,HP CE278A,69.84,HP 85A LaserJet Black Toner Print Cartridge - Retail Packaging CE285A,Laser Printer Toner,HP,CE285A,unknown
10,0,Micronet MDE1000 1TB Fantom G-Force Megadisk USB 2.0 ESATA RAID Sub System,Hard Drives,Micronet,MDE1000,159.0,Fantom G Force Megadisk 4 TB USB 2.0 ESATA MDE4000,External Hard Drives,Micronet,MDE4000,233.08
11,1,Toshiba Ph3100U-1E3S 1TB USB 3.0 Desktop Hard Drive,Hard Drives,Toshiba,PH3100U-1E3S,89.0,Toshiba 1 TB USB 3.0 External Hard Drive PH3100U-1E3S Black Silver,External Hard Drives,Toshiba,PH3100U-1E3S,80.23
12,0,Incipio Smart Feather for Apple iPad 2 Light Blue,Electronics - General,Incipio,IPAD-227,33.25,Incipio iPad-209 Feather for Apple iPad 2 - Iridescent Purple,Touch Screen Tablet Accessories,Incipio,IPAD-209,21.16
13,0,Avery Shipping Labels for Color Laser Copier 3-3 4 x 4-3 4 Matte White 100 Pack,Stationery & Office Machinery,Avery,,16.67,Avery 5692 - Laser CD DVD Labels Matte White 40 Pack,Computers Accessories,Avery,,unknown
14,0,Da-Lite Da-Plex Standard Rear Projection Screen - 60 x 80 Video Format,Electronics - General,da-lite,27544,2931.99,Da-Lite Da-Plex Standard Rear Projection Screen - 96 x 96 AV Format,Projection Screens,da-lite,unknown,5912.99
