id,label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,left_has_featured_artists,left_featured_artists,left_is_remix,left_remix_type,left_album_type,left_is_explicit,left_primary_genre,left_secondary_genres,left_duration_seconds,left_release_year,left_record_label,left_normalized_song_core,left_normalized_artist_core,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released,right_has_featured_artists,right_featured_artists,right_is_remix,right_remix_type,right_album_type,right_is_explicit,right_primary_genre,right_secondary_genres,right_duration_seconds,right_release_year,right_record_label,right_normalized_song_core,right_normalized_artist_core,left_core_identity,left_metadata_block,left_weighted_text,right_core_identity,right_metadata_block,right_weighted_text
448,0,Baby When the Light ( David Guetta & Fred Rister Remix ),David Guetta,Pop Life ( Extended Version ) [ Bonus Version ],"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",$ 1.29,‰ ãÑ 2007 Gum Records,6:17,18-Sep-07,False,[],True,<NULL>,album,False,dance,"['music', 'rock', 'pop', 'house', 'electronic', 'electronica', 'adult alternative']",377,0,gum records,baby when the light,david guetta,Revolver ( Madonna Vs. David Guetta Feat . Lil ' Wayne ) ( One Love Remix ),David Guetta,One Love ( Deluxe Version ),Dance & Electronic,$1.29,(C) 2014 Swedish House Mafia Holdings Ltd (BVI) under exclusive license to Virgin Records Ltd,3:18,"August 21, 2009",True,"['Madonna', 'Lil Wayne']",True,one love,deluxe,False,dance & electronic,[],198,2009,virgin records,revolver,david guetta,Baby When the Light ( David Guetta & Fred Rister Remix ) baby when the light 6:17,377 Pop Life ( Extended Version ) [ Bonus Version ] dance <NULL> [] 18-Sep-07 $ 1.29 album False True,Baby When the Light ( David Guetta & Fred Rister Remix ) Baby When the Light ( David Guetta & Fred Rister Remix ) baby when the light baby when the light 6:17 Pop Life ( Extended Version ) [ Bonus Version ] dance,Revolver ( Madonna Vs. David Guetta Feat . Lil ' Wayne ) ( One Love Remix ) revolver 3:18,"198 One Love ( Deluxe Version ) dance & electronic one love ['Madonna', 'Lil Wayne'] August 21, 2009 $1.29 deluxe True True",Revolver ( Madonna Vs. David Guetta Feat . Lil ' Wayne ) ( One Love Remix ) Revolver ( Madonna Vs. David Guetta Feat . Lil ' Wayne ) ( One Love Remix ) revolver revolver 3:18 One Love ( Deluxe Version ) dance & electronic
287,1,Outversion,Mark Ronson,Version,"Pop , Music , R&B / Soul,Soul,Dance,Rock,Jazz,Hip-Hop / Rap,Electronic,Hip-Hop , Pop/Rock , Adult Alternative",$ 0.99,2007 Mark Ronson under exclusive license to SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited except Track 9 ( P ) 2006 Rapster Records / BBE Records,1:50,10-Jul-07,False,[],False,<NULL>,album,False,pop,"['music', 'r&b / soul', 'soul', 'dance', 'rock', 'jazz', 'hip-hop / rap', 'electronic', 'hip-hop', 'pop/rock', 'adult alternative']",110,0,rapster records,outversion,mark ronson,Outversion,Mark Ronson,Version [ Explicit ],Pop,$ 0.99,( c ) 2011 J'adore Records,1:50,"July 10 , 2007",False,[],False,<NULL>,album,True,pop,[],110,2007,<NULL>,outversion,mark ronson,Outversion outversion 1:50,110 Version pop <NULL> [] 10-Jul-07 $ 0.99 album False False,Outversion Outversion outversion outversion 1:50 Version pop,Outversion outversion 1:50,"110 Version [ Explicit ] pop <NULL> [] July 10 , 2007 $ 0.99 album False False",Outversion Outversion outversion outversion 1:50 Version [ Explicit ] pop
534,0,Peer Pressure ( feat . Traci Nelson ),Snoop Dogg,Doggumentary,"Hip-Hop/Rap , Music , Rock , Gangsta Rap , West Coast Rap",$ 1.29,"‰ ãÑ 2011 Capitol Records , LLC . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records , LLC , 1750 North Vine Street , Hollywood , CA 90028 .",4:07,29-Mar-11,False,[],False,<NULL>,album,False,hip-hop/rap,"['music', 'rock', 'gangsta rap', 'west coast rap']",247,0,capitol records,peer pressure,snoop dogg,Boom ( ( Feat . T-Pain ) [ Edited ] ),Snoop Dogg,Doggumentary [ Edited ],"Rap & Hip-Hop , West Coast",$ 1.29,"( C ) 2011 Capitol Records , LLC",3:50,"March 29 , 2011",False,[],False,<NULL>,album,False,rap & hip-hop,['west coast'],230,2011,capitol records,boom   ),snoop dogg,Peer Pressure ( feat . Traci Nelson ) peer pressure 4:07,247 Doggumentary hip-hop/rap <NULL> [] 29-Mar-11 $ 1.29 album False False,Peer Pressure ( feat . Traci Nelson ) Peer Pressure ( feat . Traci Nelson ) peer pressure peer pressure 4:07 Doggumentary hip-hop/rap,Boom ( ( Feat . T-Pain ) [ Edited ] ) boom   ) 3:50,"230 Doggumentary [ Edited ] rap & hip-hop <NULL> [] March 29 , 2011 $ 1.29 album False False",Boom ( ( Feat . T-Pain ) [ Edited ] ) Boom ( ( Feat . T-Pain ) [ Edited ] ) boom   ) boom   ) 3:50 Doggumentary [ Edited ] rap & hip-hop
181,1,Stars Come Out ( Tim Mason Remix ),Zedd,Stars Come Out ( Remixes ) - EP,"Dance, Music, Electronic, House",$1.29,2012 Dim Mak Inc.,5:49,20-May-14,False,[],True,tim mason remix,ep,False,dance,"['music', 'electronic', 'house']",349,2014,dim mak inc.,stars come out,zedd,Stars Come Out ( Dillon Francis Remix ),Zedd,Stars Come Out [ Dillon Francis Remix ],Dance & Electronic,$1.29,2012 Dim Mak Inc.,4:08,"May 20 , 2014",False,[],True,dillon francis,single,False,dance & electronic,[],248,2014,dim mak inc.,stars come out,zedd,Stars Come Out ( Tim Mason Remix ) stars come out 5:49,349 Stars Come Out ( Remixes ) - EP dance tim mason remix [] 20-May-14 $1.29 ep False True,Stars Come Out ( Tim Mason Remix ) Stars Come Out ( Tim Mason Remix ) stars come out stars come out 5:49 Stars Come Out ( Remixes ) - EP dance,Stars Come Out ( Dillon Francis Remix ) stars come out 4:08,"248 Stars Come Out [ Dillon Francis Remix ] dance & electronic dillon francis [] May 20 , 2014 $1.29 single False True",Stars Come Out ( Dillon Francis Remix ) Stars Come Out ( Dillon Francis Remix ) stars come out stars come out 4:08 Stars Come Out [ Dillon Francis Remix ] dance & electronic
485,0,Jump ( feat . Nelly Furtado ),Flo Rida,R.O.O.T.S. ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,‰ ãÑ 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:28,30-Mar-09,False,[],False,<NULL>,album,False,hip-hop/rap,['music'],208,0,<NULL>,jump,flo rida,"Yayo [ Feat . Brisco , Billy Blue , Ball Greezy , Rick Ross , Red Eyezz , Bred , Pitbull & Ace Hood ] ( Amended Bonus Version )",Flo Rida,R.O.O.T.S. ( Route Of Overcoming The Struggle ) ( Amended Amazon Exclusive ) [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2012 Motown Records , a Division of UMG Recordings , Inc.",7:53,"March 30 , 2009",False,[],False,<NULL>,album,False,rap & hip-hop,[],473,2009,motown records,yayo,flo rida,Jump ( feat . Nelly Furtado ) jump 3:28,208 R.O.O.T.S. ( Deluxe Version ) hip-hop/rap <NULL> [] 30-Mar-09 $ 1.29 album False False,Jump ( feat . Nelly Furtado ) Jump ( feat . Nelly Furtado ) jump jump 3:28 R.O.O.T.S. ( Deluxe Version ) hip-hop/rap,"Yayo [ Feat . Brisco , Billy Blue , Ball Greezy , Rick Ross , Red Eyezz , Bred , Pitbull & Ace Hood ] ( Amended Bonus Version ) yayo 7:53","473 R.O.O.T.S. ( Route Of Overcoming The Struggle ) ( Amended Amazon Exclusive ) [ Clean ] rap & hip-hop <NULL> [] March 30 , 2009 $ 1.29 album False False","Yayo [ Feat . Brisco , Billy Blue , Ball Greezy , Rick Ross , Red Eyezz , Bred , Pitbull & Ace Hood ] ( Amended Bonus Version ) Yayo [ Feat . Brisco , Billy Blue , Ball Greezy , Rick Ross , Red Eyezz , Bred , Pitbull & Ace Hood ] ( Amended Bonus Version ) yayo yayo 7:53 R.O.O.T.S. ( Route Of Overcoming The Struggle ) ( Amended Amazon Exclusive ) [ Clean ] rap & hip-hop"
11,0,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,False,[],False,<NULL>,album,False,alternative,"['music', 'rock', 'adult alternative']",85,0,<NULL>,vhs outro,x ambassadors,Smoke ( Interlude ) [ Explicit ],X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:24,"June 30 , 2015",False,[],False,<NULL>,album,True,alternative rock,[],24,2015,<NULL>,smoke,x ambassadors,VHS Outro ( Interlude ) vhs outro 1:25,85 VHS alternative <NULL> [] 30-Jun-15 $ 1.29 album False False,VHS Outro ( Interlude ) VHS Outro ( Interlude ) vhs outro vhs outro 1:25 VHS alternative,Smoke ( Interlude ) [ Explicit ] smoke 0:24,"24 VHS [ Explicit ] alternative rock <NULL> [] June 30 , 2015 $ 1.29 album False False",Smoke ( Interlude ) [ Explicit ] Smoke ( Interlude ) [ Explicit ] smoke smoke 0:24 VHS [ Explicit ] alternative rock
420,0,Make It Bun Dem ( Alvin Risk Remix ),Skrillex & Damian `` Jr. . Gong '' Marley,Make It Bun Dem After Hours ( Remixes ),"Dance , Music , Electronic",$1.29,2012 OWSLA and Big Beat Records for the United States and WEA International for the world outside the United States .,3:58,28-Aug-12,False,[],True,alvin risk remix,single,False,dance,"['music', 'electronic']",238,2012,owsla and big beat records,make it bun dem,skrillex & damian jr. . gong marley,Make It Bun Dem ( David Heartbreak Remix ),Skrillex & Damian Jr Gong '' Marley '',Make It Bun Dem After Hours EP,Dance & Electronic,$ 1.29,2015 RGK,3:29,"August 28 , 2012",False,[],True,<NULL>,album,False,dance & electronic,[],209,2012,<NULL>,make it bun dem,skrillex & damian jr gong '' marley '',Make It Bun Dem ( Alvin Risk Remix ) make it bun dem 3:58,238 Make It Bun Dem After Hours ( Remixes ) dance alvin risk remix [] 28-Aug-12 $1.29 single False True,Make It Bun Dem ( Alvin Risk Remix ) Make It Bun Dem ( Alvin Risk Remix ) make it bun dem make it bun dem 3:58 Make It Bun Dem After Hours ( Remixes ) dance,Make It Bun Dem ( David Heartbreak Remix ) make it bun dem 3:29,"209 Make It Bun Dem After Hours EP dance & electronic <NULL> [] August 28 , 2012 $ 1.29 album False True",Make It Bun Dem ( David Heartbreak Remix ) Make It Bun Dem ( David Heartbreak Remix ) make it bun dem make it bun dem 3:29 Make It Bun Dem After Hours EP dance & electronic
493,1,Here 's to the Good Times,Florida Georgia Line,Here 's to the Good Times,"Country , Music , Urban Cowboy , Honky Tonk , Contemporary Country",$ 1.29,"‰ ãÑ 2012 Big Machine Label Group , LLC",4:11,4-Dec-12,False,[],False,<NULL>,album,False,country,"['music', 'urban cowboy', 'honky tonk', 'contemporary country']",251,0,<NULL>,here 's to the good times,florida georgia line,Here 's To The Good Times,Florida Georgia Line,Here 's To The Good Times,Country,$ 1.29,"( C ) 2012 Big Machine Label Group , LLC",4:10,"December 4 , 2012",False,[],False,<NULL>,album,False,country,[],250,2012,<NULL>,here 's to the good times,florida georgia line,Here 's to the Good Times here 's to the good times 4:11,251 Here 's to the Good Times country <NULL> [] 4-Dec-12 $ 1.29 album False False,Here 's to the Good Times Here 's to the Good Times here 's to the good times here 's to the good times 4:11 Here 's to the Good Times country,Here 's To The Good Times here 's to the good times 4:10,"250 Here 's To The Good Times country <NULL> [] December 4 , 2012 $ 1.29 album False False",Here 's To The Good Times Here 's To The Good Times here 's to the good times here 's to the good times 4:10 Here 's To The Good Times country
270,0,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,<NULL>,False,[],False,<NULL>,album,False,hip-hop/rap,"['music', 'rap']",311,0,300 entertainment,whateva,fetty wap,For My Team ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap ( Deluxe ) [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:28,"September 25 , 2015",False,[],False,<NULL>,album,False,rap & hip-hop,[],208,2015,mute records ltd,for my team,fetty wap,Whateva ( feat . Monty ) whateva 5:11,311 Fetty Wap ( Deluxe ) hip-hop/rap <NULL> [] <NULL> Album Only album False False,Whateva ( feat . Monty ) Whateva ( feat . Monty ) whateva whateva 5:11 Fetty Wap ( Deluxe ) hip-hop/rap,For My Team ( feat . Monty ) [ Clean ] for my team 3:28,"208 Fetty Wap ( Deluxe ) [ Clean ] rap & hip-hop <NULL> [] September 25 , 2015 $ 1.29 album False False",For My Team ( feat . Monty ) [ Clean ] For My Team ( feat . Monty ) [ Clean ] for my team for my team 3:28 Fetty Wap ( Deluxe ) [ Clean ] rap & hip-hop
477,0,"Girion , Lord of Dale ( Extended Version )",Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,4:15,10-Dec-13,False,[],False,<NULL>,album,False,soundtrack,"['music', 'soundtrack', 'classical', 'original score']",255,0,watertower music,"girion , lord of dale",howard shore,Path of Destruction,James Newton Howard,Maleficent ( Original Motion Picture Soundtrack ),Soundtracks,$ 1.29,"( C ) 2014 Disney Enterprises , Inc.",1:48,"May 27 , 2014",False,[],False,<NULL>,album,False,soundtracks,[],108,2014,<NULL>,path of destruction,james newton howard,"Girion , Lord of Dale ( Extended Version ) girion , lord of dale 4:15",255 The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] soundtrack <NULL> [] 10-Dec-13 $ 1.29 album False False,"Girion , Lord of Dale ( Extended Version ) Girion , Lord of Dale ( Extended Version ) girion , lord of dale girion , lord of dale 4:15 The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] soundtrack",Path of Destruction path of destruction 1:48,"108 Maleficent ( Original Motion Picture Soundtrack ) soundtracks <NULL> [] May 27 , 2014 $ 1.29 album False False",Path of Destruction Path of Destruction path of destruction path of destruction 1:48 Maleficent ( Original Motion Picture Soundtrack ) soundtracks
126,0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance, Music",$1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,True,['Wynter Gordon'],True,continuous mix,deluxe,False,dance,['music'],171,2009,parlophone music france,toyfriend,david guetta,When Love Takes Over ( Feat . Kelly Rowland ) [ Explicit ],David Guetta,One More Love [ Explicit ],Dance & Electronic,$ 1.29,"( C ) 2014 Lazy Hooks , LLC Under Exclusive License To Capitol Records , LLC",3:11,"November 24 , 2010",False,[],False,<NULL>,album,True,dance & electronic,[],191,2010,<NULL>,when love takes over,david guetta,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] toyfriend 2:51,171 One Love ( Deluxe Version ) dance continuous mix ['Wynter Gordon'] 21-Aug-09 $1.29 deluxe True True,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] toyfriend toyfriend 2:51 One Love ( Deluxe Version ) dance,When Love Takes Over ( Feat . Kelly Rowland ) [ Explicit ] when love takes over 3:11,"191 One More Love [ Explicit ] dance & electronic <NULL> [] November 24 , 2010 $ 1.29 album False False",When Love Takes Over ( Feat . Kelly Rowland ) [ Explicit ] When Love Takes Over ( Feat . Kelly Rowland ) [ Explicit ] when love takes over when love takes over 3:11 One More Love [ Explicit ] dance & electronic
156,0,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),David Guetta,Nothing But the Beat,"Dance , Music , Rock , House , Electronic",$ 1.29,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",3:34,26-Aug-11,False,[],False,<NULL>,album,False,dance,"['music', 'rock', 'house', 'electronic']",214,0,what a music ltd,i 'm a machine,david guetta,I Can Only Imagine ( feat . Chris Brown & Lil Wayne ),David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 0.99,2015 Real Sounds,3:29,"August 26 , 2011",False,[],False,<NULL>,album,True,dance & electronic,[],209,2011,<NULL>,i can only imagine,david guetta,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) i 'm a machine 3:34,214 Nothing But the Beat dance <NULL> [] 26-Aug-11 $ 1.29 album False False,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ) i 'm a machine i 'm a machine 3:34 Nothing But the Beat dance,I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) i can only imagine 3:29,"209 Nothing But the Beat 2.0 [ Explicit ] dance & electronic <NULL> [] August 26 , 2011 $ 0.99 album False False",I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) I Can Only Imagine ( feat . Chris Brown & Lil Wayne ) i can only imagine i can only imagine 3:29 Nothing But the Beat 2.0 [ Explicit ] dance & electronic
469,0,The Motto ( Bonus Track ) [ feat . Lil Wayne ],Drake,Take Care ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,‰ ãÑ 2011 Cash Money Records Inc.,3:01,15-Nov-11,False,[],False,<NULL>,album,False,hip-hop/rap,['music'],181,0,cash money records,the motto,drake,Too Much [ feat . Sampha ] [ Explicit ],Drake,Nothing Was The Same ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,( C ) 2013 Cash Money Records Inc.,4:21,"September 24 , 2013",False,[],False,<NULL>,album,True,rap & hip-hop,[],261,2013,cash money records,too much,drake,The Motto ( Bonus Track ) [ feat . Lil Wayne ] the motto 3:01,181 Take Care ( Deluxe Version ) hip-hop/rap <NULL> [] 15-Nov-11 $ 1.29 album False False,The Motto ( Bonus Track ) [ feat . Lil Wayne ] The Motto ( Bonus Track ) [ feat . Lil Wayne ] the motto the motto 3:01 Take Care ( Deluxe Version ) hip-hop/rap,Too Much [ feat . Sampha ] [ Explicit ] too much 4:21,"261 Nothing Was The Same ( Deluxe ) [ Explicit ] rap & hip-hop <NULL> [] September 24 , 2013 $ 1.29 album False False",Too Much [ feat . Sampha ] [ Explicit ] Too Much [ feat . Sampha ] [ Explicit ] too much too much 4:21 Nothing Was The Same ( Deluxe ) [ Explicit ] rap & hip-hop
