id,label,left_text,right_text
0,0,"C N Red Imperial Red Ale by Redwood Lodge. Style: Red Ale, Amber. ABV: 8.1%. Type: ale, amber, imperial. Ingredients: none.","Kinetic Infrared Imperial Red Ale by Kinetic Brewing Company. Style: Red Ale, Imperial Strong. ABV: 9.3%. Type: ale, imperial. Ingredients: none."
1,1,"Sanibel Red Island Ale by Point Ybel Brewing Company. Style: Red Ale, Amber. ABV: 5.6%. Type: ale, amber. Ingredients: none.","Point Ybel Sanibel Red Island Ale by Point Ybel Brewing Company. Style: Red Ale, Irish. ABV: 5.6%. Type: ale. Ingredients: none."
2,0,"Kniksen India Red Ale by 7 Fjell Bryggeri. Style: Red Ale, Amber. ABV: 6.8%. Type: ale, amber. Ingredients: none.","Boneyard Skunkape India Red Ale by Boneyard Beer Company. Style: IPA, India Red Ale. ABV: 6.5%. Type: ale. Ingredients: none."
3,0,"Buffalo Trace Bourbon Barrel Aged Amber Ale by Wolf Hills Brewing Company. Style: Amber Ale, Barrel-Aged. ABV: %. Type: ale, amber. Ingredients: bourbon.","Ballast Point Calico Amber Ale - Rum Barrel Aged by Ballast Point Brewing Company. Style: Amber Ale, Barrel-Aged. ABV: 5.0%. Type: ale, amber. Ingredients: rum."
4,1,"Poor Richard's Ale by Dry Dock Brewing Co. Style: Red Ale, Amber. ABV: 6.5%. Type: ale, amber. Ingredients: none.",21st Amendment Poor Richards Ale by 21st Amendment Brewery. Style: Traditional Ale. ABV: 7.0%. Type: ale. Ingredients: none.
5,0,"Redeemer Imperial Red Ale by Boston Beer Works - Canal Street. Style: Red Ale, Imperial. ABV: 8.2%. Type: ale, amber. Ingredients: none.","Laurelwood Organic Deranger Imperial Red Ale by Laurelwood Public House & Brewery. Style: Red Ale, Imperial. ABV: 8.6%. Type: ale, imperial. Ingredients: none."
6,0,"Big Axe Red Ale by Big Axe Brewing Company. Style: Red Ale, Amber. ABV: 6.8%. Type: ale, amber. Ingredients: none.","Big Spruce Ready Yer Knot ... Regatta Red Ale by Big Spruce Brewing. Style: Red Ale, Amber. ABV: nan%. Type: ale, amber. Ingredients: none."
7,0,"Roundabout Imperial Red Ale by Bonfire Brewing Co.. Style: Red Ale, Imperial. ABV: 8.8%. Type: ale, amber, imperial. Ingredients: none.","Anacapa Riptide Imperial Red Ale by Anacapa Brewing Company. Style: Red Ale, Imperial. ABV: 8.0%. Type: ale, imperial. Ingredients: none."
8,0,"Merry Prankster Imperial Red Ale by Rock Bottom Restaurant & Brewery. Style: Red Ale, Imperial. ABV: 4.56%. Type: ale, amber, imperial. Ingredients: none.","Tumbledown Imp Imperial Red Ale by Tumbledown Brewing LLC. Style: Ale, Imperial. ABV: 7.8%. Type: ale, imperial. Ingredients: none."
9,0,"Extra Special Red Ale by Alpha Brewing Company. Style: Red Ale, Amber. ABV: 5.0%. Type: ale, amber. Ingredients: none.","Ecliptic Phobos Extra Red Ale by Ecliptic Brewing. Style: Red Ale, Extra Amber. ABV: 5.2%. Type: ale, amber. Ingredients: none."
