id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price,left_canonical_name,left_base_product,left_brand,left_version,left_edition,left_category,left_is_upgrade,left_platform,right_canonical_name,right_base_product,right_brand,right_version,right_edition,right_category,right_is_upgrade,right_platform,left_windows_version
1,0,microsoft visio standard 2007 version upgrade,microsoft,129.95,adobe cs3 design standard upgrade,,413.99,visio standard 2007,visio,microsoft,2007,standard,office,True,windows,cs3 design standard,creative suite,adobe,cs3,standard,design,True,unknown,
2,0,microsoft mappoint 2006 with gps,microsoft,349.0,microsoft student with encarta premium 2008 complete package,,43.6,mappoint 2006,mappoint,microsoft,2006,with gps,utility,False,windows,student with encarta premium 2008,encarta,microsoft,2008,premium,education,False,unknown,
3,0,adobe after effects professional 7.0,adobe,999.0,adobe flash cs3 professional ( mac ),,699.0,after effects professional,after effects,adobe,7.0,professional,design,False,unknown,flash cs3 professional,flash,adobe,cs3,professional,design,False,mac,
4,1,motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu,395.0,motu digital performer dp5 software music production software,,319.95,motu digital performer 5,digital performer,motu,5,digital audio software competitive upgrade,audio,True,mac,digital performer dp5,digital performer,motu,dp5,unknown,music production,False,unknown,
5,1,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,adobe illustrator cs3 for mac academic,adobe-education-box,199.99,illustrator cs3,illustrator,adobe,cs3,unknown,design,False,mac,illustrator cs3,adobe illustrator,adobe,cs3,academic,design,False,mac,
6,0,quickbooks premier non-profit edition 2005,intuit inc.,499.95,quickbooks ( r ),,199.99,quickbooks premier non-profit edition,quickbooks,intuit,2005,non-profit,education,False,,quickbooks ( r ),quickbooks,intuit,r,unknown,education,False,,
7,0,mavis beacon typing 17 ( win/mac ),encore software,19.99,broderbund mavis beacon teaches typing standard17,,22.99,mavis beacon typing 17,mavis beacon,encore software,17,typing,education,False,windows/mac,mavis beacon teaches typing standard17,mavis beacon,broderbund,standard17,standard,education,False,unknown,
8,0,adobe premiere pro cs3,adobe,799.0,adobe soundbooth cs3 academic,,95.99,premiere pro cs3,premiere pro,adobe,cs3,pro,media,False,unknown,soundbooth cs3 academic,soundbooth,adobe,cs3,academic,utility,False,unknown,
9,0,adobe photoshop cs2 advanced techniques by julieanne kost,software cinema,,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,,537.65,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
10,0,reader rabbit learning system 1st grade,encore software,29.99,dr. seuss reading learning system 2008 encore,,19.95,reader rabbit learning system,reader rabbit,encore software,1st grade,unknown,education,False,unknown,dr. seuss reading learning system 2008 encore,reading learning system,unknown,2008,encore,education,False,unknown,
11,0,adobe premiere pro cs3 upgrade,adobe,299.0,adobe cs3 design premium,,1865.99,premiere pro cs3,premiere pro,adobe,cs3,unknown,video editing,True,windows,cs3 design premium,creative suite,adobe,cs3,premium,design,False,unknown,
12,0,punch ! home design architectural series 18,punch ! software,129.99,punch software 17100 punch ! super home suite v. 3.0 complete product architectural 1 user complete productcomplete productstandard english pc,,45.97,punch ! home design architectural series,punch ! home design,punch ! software,18,architectural series,education,False,unknown,punch software punch super home suite,punch,unknown,v. 3.0,complete product standard,utility,False,pc,
13,0,3d home architect landscape designer v8,encore software,29.99,encore inc 3d home architect home design deluxe version 9,,25.49,3d home architect landscape designer v8,3d home architect,encore software,v8,unknown,utility,False,unknown,3d home architect home design deluxe version 9,3d home architect,encore inc,9,deluxe,design,False,unknown,
14,0,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0,c8a-00066 microsoft dynamics crm professional v. 3.0 product upgrade license 20,,9676.92,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,dynamics crm professional v. 3.0,dynamics crm,microsoft,v. 3.0,professional,education,True,unknown,
15,0,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft windows vista business full version,,249.95,microsoft office frontpage 2003 academic version,office,microsoft,2003,academic,office,False,windows,windows vista business,windows vista,microsoft,vista,business,operating system,False,windows,
16,0,adobe creative suite cs3 web standard,adobe,999.0,adobe creative suite 3 web standard complete package academic cd mac,,369.0,creative suite cs3 web standard,creative suite,adobe,cs3,web standard,design,False,unknown,creative suite 3 web standard,creative suite,adobe,cs3,web standard,design,False,mac,
17,0,printmaster gold v 17.0,encore software,19.99,print master platinum v17,,29.9,printmaster gold v17.0,printmaster,encore software,v17.0,gold,design,False,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
18,0,microsoft windows xp professional full version with sp2,microsoft,299.99,adobe production premium cs3 software suite for windows professional editing software,,1698.95,windows xp professional,windows,microsoft,xp,professional,operating system,False,unknown,production premium cs3 software suite,creative suite,adobe,cs3,premium,design,False,windows,
