id,label,name_left,name_right,addr_left,addr_right,city_left,city_right,phone_left,phone_right,type_left,type_right,class_left,class_right,left_canonical_name,left_standardized_address,left_standardized_city,left_standardized_phone,left_standardized_class,left_standardized_cuisine,right_canonical_name,right_standardized_address,right_standardized_city,right_standardized_phone,right_standardized_class,right_standardized_cuisine
0,0,toulouse,` white house restaurant ',' b peachtree rd. ',' 3172 peachtree rd. ne ',atlanta,atlanta,404/351 -9533,404-237-7601,french,diners,92,719,toulouse,b peachtree road,Atlanta,4043519533,unknown,french,white house restaurant,3172 peachtree road ne,Atlanta,4042377601,unknown,diners
1,0,` gallagher \ 's ',` la grenouille ',' 228 w. 52nd st. ',' 3 e. 52nd st. ',` new york ',` new york city ',212/245 -5336,212-752-1495,american,` french ( classic ) ',254,623,gallagher s,228 w. 52nd street,new york,2122455336,unknown,american,la grenouille,3 e 52nd street,New York City,2127521495,unknown,french
2,0,` center stage plaza hotel ',` chinois on main ',' 1 main st. ',' 2709 main st. ',` las vegas ',` santa monica ',702/386 -2512,310-392-9025,american,` pacific new wave ',436,5,center stage plaza hotel,1 main street,Las Vegas,7023862512,unknown,american,chinois on main,2709 main street,santa monica,3103929025,unknown,pacific new wave
3,0,` sa tsu ki ',` havana sandwich shop ',' 3043 buford hwy . ',' 2905 buford hwy . ',atlanta,atlanta,404/325 -5285,404-636-4094,asian,cuban,415,695,sa tsu ki,3043 buford hwy,atlanta,4043255285,unknown,asian,havana sandwich shop,2905 buford hwy.,atlanta,4046364094,unknown,cuban
4,0,` pinot bistro ',` mulberry st. ',' 12969 ventura blvd. ',' 17040 ventura blvd. ',` los angeles ',encino,818/990 -0500,818-906-8881,french,pizza,18,580,pinot bistro,12969 ventura boulevard,Los Angeles,8189900500,unknown,french,mulberry,17040 ventura boulevard,Encino,8189068881,unknown,pizza
5,0,` china grill ',seryna,'60 w. 53rd st. ','11 e. 53rd st. ',` new york ',` new york city ',212/333 -7788,212-980-9393,american,japanese,219,59,china grill,60 w 53rd street,new york,2123337788,unknown,american,seryna,11 e. 53rd street,new york city,2129809393,unknown,japanese
6,0,lespinasse,` la caravelle ',' 2 e. 55th st. ','33 w. 55th st. ',` new york ',` new york city ',212/339 -6719,212-586-4252,american,` french ( classic ) ',43,39,lespinasse,2 e street,New York,2123396719,unknown,american,la caravelle,33 w. 55th street,New York City,2125864252,unknown,french
7,0,` tang pavillion ',menchanko-tei,'65 w. 55th st. ','39 w. 55th st. ',` new york ',` new york city ',212/956 -6888,212-247-1585,asian,japanese,356,627,tang pavillion,65 w 55th street,New York,2129566888,unknown,asian,menchanko-tei,39 west 55th street,New York City,2122471585,unknown,japanese
8,0,aquavit,oceana,'13 w. 54th st. ','55 e. 54th st. ',` new york ',` new york city ',212/307 -7311,212-759-5941,continental,seafood,24,50,aquavit,13 w. 54th street,New York,2123077311,unknown,continental,oceana,55 e street,New York City,2127595941,unknown,seafood
9,0,abbey,eats,' 163 ponce de leon ave. ',' 600 ponce de leon ave. ',atlanta,atlanta,404/876 -8532,404-888-9149,international,italian,379,690,abbey,163 ponce de leon avenue,atlanta,4048768532,unknown,international,eats,600 ponce de leon avenue,Atlanta,4048889149,unknown,italian
10,0,` fifty seven fifty seven ',oceana,'57 e. 57th st. ','55 e. 54th st. ',` new york ',` new york city ',212/758 -5757,212-759-5941,american,seafood,239,50,fifty seven fifty seven,57 e street,new york,2127585757,unknown,american,oceana,55 e 54th street,new york city,2127595941,unknown,seafood
11,0,` grand cafe hotel monaco ',` mel \ 's drive-in ',' 501 geary st. ',' 3355 geary st. ',` san francisco ',` san francisco ',415/292 -0101,415-387-2244,american,hamburgers,473,739,grand cafe hotel monaco,501 geary street,san francisco,4152920101,unknown,american,mel s drive in,3355 geary street,San Francisco,4153872244,unknown,hamburgers
12,0,` horseradish grill ',` carey \ 's corner ',' 4320 powers ferry rd. ',' 1215 powers ferry rd. ',atlanta,marietta,404/255 -7277,770-933-0909,southern,hamburgers,398,686,horseradish grill,4320 powers ferry road,Atlanta,4042557277,unknown,southern,carey s corner,1215 powers ferry road,Marietta,7709330909,unknown,hamburgers
13,0,` luna si ',` original pancake house ( at ) ',' 1931 peachtree rd. ',' 4330 peachtree rd. ',atlanta,atlanta,404/355 -5993,404-237-4116,continental,american,405,708,luna si,1931 peachtree road,atlanta,4043555993,unknown,continental,original pancake house,4330 peachtree road,Atlanta,4042374116,unknown,american
14,0,bruno,` les celebrites ',' 240 e. 58th st. ',' 155 w. 58th st. ',` new york ',` new york city ',212/688 -4190,212-484-5113,italian,` french ( classic ) ',195,42,bruno,240 east 58th street,New York,2126884190,unknown,italian,les celebrites,155 w 58th street,New York City,2124845113,unknown,french
15,0,eclipse,` mo better meatty meat ',' 8800 melrose ave. ',' 7261 melrose ave. ',` los angeles ',la,310/724 -5959,213-935-5280,californian,hamburgers,132,579,eclipse,8800 melrose avenue,los angeles,3107245959,unknown,californian,mo better meatty meat,7261 melrose avenue,la,2139355280,unknown,hamburgers
16,0,` pacific dining car ',` andre \ 's french restaurant ',' 6th st. ',' 401 s. 6th st. ',` los angeles ',` las vegas ',213/483 -6000,702-385-5016,american,` french ( classic ) ',153,656,pacific dining car,6th street,los angeles,2134836000,unknown,american,andres french restaurant,401 s 6th street,Las Vegas,7023855016,unknown,french
17,1,` rainbow room ',` rainbow room ','30 rockefeller plaza ','30 rockefeller plaza ',` new york ',` new york city ',212/632 -5000,212-632-5000,` or 212/632 -5100 american ',` american ( new ) ',55,55,rainbow room,30 rockefeller plaza,New York,2126325000,unknown,american,rainbow room,30 rockefeller plaza,new york city,2126325000,unknown,american
18,1,` cafe claude ',` cafe claude ',' 7 claude la . ',' 7 claude ln . ',` san francisco ',` san francisco ',415/392 -3505,415-392-3505,french,` french bistro ',97,97,cafe claude,7 claude la street,San Francisco,4153923505,unknown,french,cafe claude,7 claude ln,San Francisco,4153923505,97,french
19,0,` yolie \ 's ',` nicky blair \ 's ',' 3900 paradise rd. ',' 3925 paradise rd. ',` las vegas ',` las vegas ',702/794 -0700,702-792-9900,` steak houses ',italian,452,668,yolie s,3900 paradise road,las vegas,7027940700,unknown,steak houses,nicky blair,3925 paradise road,las vegas,7027929900,unknown,italian
