id,label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released,left_song_name,left_featured_artists,left_artist_name,left_album_name,left_is_explicit,left_primary_genre,left_secondary_genres,left_price,left_copyright_year,left_copyright_holder,left_duration_seconds,left_release_date,left_record_label,right_song_name,right_featured_artists,right_artist_name,right_album_name,right_is_explicit,right_primary_genre,right_secondary_genres,right_price,right_copyright_year,right_copyright_holder,right_duration_seconds,right_release_date,right_record_label,left_remix_by,right_artist_names,right_remix_by,left_artist_names,left_location,left_copyright_years,left_copyright_holders,left_copyright_year_2014,left_copyright_year_2015
448,0,Baby When the Light ( David Guetta & Fred Rister Remix ),David Guetta,Pop Life ( Extended Version ) [ Bonus Version ],"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",$ 1.29,‰ ãÑ 2007 Gum Records,6:17,18-Sep-07,Revolver ( Madonna Vs. David Guetta Feat . Lil ' Wayne ) ( One Love Remix ),David Guetta,One Love ( Deluxe Version ),Dance & Electronic,$ 1.29,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,3:18,"August 21 , 2009",Baby When the Light,"['David Guetta', 'Fred Rister']",David Guetta,Pop Life (Extended Version),False,Dance,"['Rock', 'Pop', 'House', 'Electronic', 'Electronica', 'Adult Alternative']",1.29,2007,Gum Records,377.0,2007-09-18,Gum Records,Revolver,"['Madonna', 'Lil Wayne']",David Guetta,One Love,False,Dance & Electronic,[],1.29,2014.0,Swedish House Mafia Holdings Ltd (BVI),198.0,2009-08-21,Virgin Records,,,,,,,,,
287,1,Outversion,Mark Ronson,Version,"Pop , Music , R&B / Soul,Soul,Dance,Rock,Jazz,Hip-Hop / Rap,Electronic,Hip-Hop , Pop/Rock , Adult Alternative",$ 0.99,2007 Mark Ronson under exclusive license to SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited except Track 9 ( P ) 2006 Rapster Records / BBE Records,1:50,10-Jul-07,Outversion,Mark Ronson,Version [ Explicit ],Pop,$ 0.99,( c ) 2011 J'adore Records,1:50,"July 10 , 2007",Outversion,[],Mark Ronson,Version,False,Pop,"['R&B/Soul', 'Dance', 'Rock', 'Jazz', 'Hip-Hop/Rap', 'Electronic', 'Hip-Hop']",0.99,2007,Mark Ronson,110.0,2007-07-10,,Outversion,[],Mark Ronson,Version,True,Pop,[],0.99,2011.0,J'adore Records,110.0,2007-07-10,J'adore Records,,,,,,,,,
534,0,Peer Pressure ( feat . Traci Nelson ),Snoop Dogg,Doggumentary,"Hip-Hop/Rap , Music , Rock , Gangsta Rap , West Coast Rap",$ 1.29,"‰ ãÑ 2011 Capitol Records , LLC . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records , LLC , 1750 North Vine Street , Hollywood , CA 90028 .",4:07,29-Mar-11,Boom ( ( Feat . T-Pain ) [ Edited ] ),Snoop Dogg,Doggumentary [ Edited ],"Rap & Hip-Hop , West Coast",$ 1.29,"( C ) 2011 Capitol Records , LLC",3:50,"March 29 , 2011",Peer Pressure,['Traci Nelson'],Snoop Dogg,Doggumentary,False,Hip-Hop/Rap,"['Rock', 'Gangsta Rap', 'West Coast Rap']",1.29,2011,"Capitol Records, LLC",247.0,2011-03-29,,Boom,['T-Pain'],Snoop Dogg,Doggumentary,False,Rap & Hip-Hop,['West Coast'],1.29,2011.0,"Capitol Records, LLC",230.0,2011-03-29,,,,,,,,,,
181,1,Stars Come Out ( Tim Mason Remix ),Zedd,Stars Come Out ( Remixes ) - EP,"Dance , Music , Electronic , House",$ 1.29,2012 Dim Mak Inc.,5:49,20-May-14,Stars Come Out ( Dillon Francis Remix ),Zedd,Stars Come Out [ Dillon Francis Remix ],Dance & Electronic,$ 1.29,2012 Dim Mak Inc.,4:08,"May 20 , 2014",Stars Come Out,[],Zedd,Stars Come Out (Remixes),False,Dance,"['Electronic', 'House']",1.29,2012,Dim Mak Inc.,349.0,2014-05-20,,Stars Come Out,['Dillon Francis'],Zedd,Stars Come Out,False,Dance & Electronic,[],1.29,2012.0,Dim Mak Inc.,248.0,2014-05-20,Dim Mak Inc.,,,,,,,,,
485,0,Jump ( feat . Nelly Furtado ),Flo Rida,R.O.O.T.S. ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,‰ ãÑ 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:28,30-Mar-09,"Yayo [ Feat . Brisco , Billy Blue , Ball Greezy , Rick Ross , Red Eyezz , Bred , Pitbull & Ace Hood ] ( Amended Bonus Version )",Flo Rida,R.O.O.T.S. ( Route Of Overcoming The Struggle ) ( Amended Amazon Exclusive ) [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2012 Motown Records , a Division of UMG Recordings , Inc.",7:53,"March 30 , 2009",Jump,['Nelly Furtado'],Flo Rida,R.O.O.T.S.,False,Hip-Hop/Rap,['Music'],1.29,2009,"Atlantic Recording Corporation (US), WEA International Inc. (worldwide)",208.0,2009-03-30,"Atlantic Recording Corporation (US), WEA International Inc. (worldwide)",Yayo,"['Brisco', 'Billy Blue', 'Ball Greezy', 'Rick Ross', 'Red Eyezz', 'Bred', 'Pitbull', 'Ace Hood']",Flo Rida,R.O.O.T.S.,False,Hip-Hop/Rap,[],1.29,2012.0,"Motown Records, a Division of UMG Recordings, Inc.",473.0,2009-03-30,"UMG Recordings, Inc.",,,,,,,,,
11,0,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,Smoke ( Interlude ) [ Explicit ],X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:24,"June 30 , 2015",VHS Outro ( Interlude ),[],X Ambassadors,VHS,False,Alternative,"['Rock', 'Adult Alternative']",1.29,2015,KIDinaKORNER/Interscope Records,85.0,2015-06-30,,Smoke ( Interlude ),[],X Ambassadors,VHS,True,Alternative Rock,[],1.29,2015.0,KIDinaKORNER/Interscope Records,24.0,2015-06-30,KIDinaKORNER/Interscope Records,,,,,,,,,
420,0,Make It Bun Dem ( Alvin Risk Remix ),Skrillex & Damian `` Jr. . Gong '' Marley,Make It Bun Dem After Hours ( Remixes ),"Dance , Music , Electronic",$ 1.29,2012 OWSLA and Big Beat Records for the United States and WEA International for the world outside the United States .,3:58,28-Aug-12,Make It Bun Dem ( David Heartbreak Remix ),Skrillex & Damian Jr Gong '' Marley '',Make It Bun Dem After Hours EP,Dance & Electronic,$ 1.29,2015 RGK,3:29,"August 28 , 2012",Make It Bun Dem,['Alvin Risk'],Skrillex & Damian Marley,Make It Bun Dem After Hours (Remixes),False,Electronic,"['Dance', 'Music']",1.29,2012,"OWSLA and Big Beat Records for the United States, WEA International for the world outside the United States",238.0,2012-08-28,"OWSLA, Big Beat Records, WEA International",,,,,,,,,,,,,,,,,,,,,,
493,1,Here 's to the Good Times,Florida Georgia Line,Here 's to the Good Times,"Country , Music , Urban Cowboy , Honky Tonk , Contemporary Country",$ 1.29,"‰ ãÑ 2012 Big Machine Label Group , LLC",4:11,4-Dec-12,Here 's To The Good Times,Florida Georgia Line,Here 's To The Good Times,Country,$ 1.29,"( C ) 2012 Big Machine Label Group , LLC",4:10,"December 4 , 2012",Here 's to the Good Times,[],Florida Georgia Line,Here 's to the Good Times,False,Country,"['Urban Cowboy', 'Honky Tonk', 'Contemporary Country']",1.29,2012,"Big Machine Label Group, LLC",251.0,2012-12-04,Big Machine Label Group,Here 's To The Good Times,[],Florida Georgia Line,Here 's To The Good Times,False,Country,[],1.29,2012.0,"Big Machine Label Group, LLC",250.0,2012-12-04,,,,,,,,,,
270,0,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,For My Team ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap ( Deluxe ) [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:28,"September 25 , 2015",Whateva,['Monty'],Fetty Wap,Fetty Wap (Deluxe),False,Hip-Hop/Rap,"['Rap', 'Music']",,2015,300 Entertainment/RGF Productions,311.0,,300 Entertainment/RGF Productions,For My Team,['Monty'],Fetty Wap,Fetty Wap (Deluxe),False,Rap & Hip-Hop,[],1.29,2000.0,Mute Records Ltd.,208.0,2015-09-25,INgrooves,,,,,,,,,
477,0,"Girion , Lord of Dale ( Extended Version )",Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,4:15,10-Dec-13,Path of Destruction,James Newton Howard,Maleficent ( Original Motion Picture Soundtrack ),Soundtracks,$ 1.29,"( C ) 2014 Disney Enterprises , Inc.",1:48,"May 27 , 2014","Girion , Lord of Dale ( Extended Version )",[],Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],False,Soundtrack,"['Classical', 'Original Score']",1.29,2013,WaterTower Music,255.0,2013-12-10,,Path of Destruction,[],James Newton Howard,Maleficent (Original Motion Picture Soundtrack),False,Soundtracks,[],1.29,2014.0,"Disney Enterprises, Inc.",108.0,2014-05-27,,,,,,,,,,
