id,label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,left_has_featured_artists,left_featured_artists,left_is_remix,left_remix_type,left_album_type,left_is_explicit,left_primary_genre,left_secondary_genres,left_duration_seconds,left_release_year,left_record_label,left_normalized_song_core,left_normalized_artist_core,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released,right_has_featured_artists,right_featured_artists,right_is_remix,right_remix_type,right_album_type,right_is_explicit,right_primary_genre,right_secondary_genres,right_duration_seconds,right_release_year,right_record_label,right_normalized_song_core,right_normalized_artist_core
448,0,Baby When the Light ( David Guetta & Fred Rister Remix ),David Guetta,Pop Life ( Extended Version ) [ Bonus Version ],"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",$ 1.29,‰ ãÑ 2007 Gum Records,6:17,18-Sep-07,False,[],True,,album,False,dance,"['music', 'rock', 'pop', 'house', 'electronic', 'electronica', 'adult alternative']",377,0,gum records,baby when the light,david guetta,Revolver ( Madonna Vs. David Guetta Feat . Lil ' Wayne ) ( One Love Remix ),David Guetta,One Love ( Deluxe Version ),Dance & Electronic,$1.29,(C) 2014 Swedish House Mafia Holdings Ltd (BVI) under exclusive license to Virgin Records Ltd,3:18,"August 21, 2009",True,"['Madonna', 'Lil Wayne']",True,one love,deluxe,False,dance & electronic,[],198,2009,virgin records,revolver,david guetta
287,1,Outversion,Mark Ronson,Version,"Pop , Music , R&B / Soul,Soul,Dance,Rock,Jazz,Hip-Hop / Rap,Electronic,Hip-Hop , Pop/Rock , Adult Alternative",$ 0.99,2007 Mark Ronson under exclusive license to SONY BMG MUSIC ENTERTAINMENT ( UK ) Limited except Track 9 ( P ) 2006 Rapster Records / BBE Records,1:50,10-Jul-07,False,[],False,,album,False,pop,"['music', 'r&b / soul', 'soul', 'dance', 'rock', 'jazz', 'hip-hop / rap', 'electronic', 'hip-hop', 'pop/rock', 'adult alternative']",110,0,rapster records,outversion,mark ronson,Outversion,Mark Ronson,Version [ Explicit ],Pop,$ 0.99,( c ) 2011 J'adore Records,1:50,"July 10 , 2007",False,[],False,,album,True,pop,[],110,2007,,outversion,mark ronson
534,0,Peer Pressure ( feat . Traci Nelson ),Snoop Dogg,Doggumentary,"Hip-Hop/Rap , Music , Rock , Gangsta Rap , West Coast Rap",$ 1.29,"‰ ãÑ 2011 Capitol Records , LLC . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records , LLC , 1750 North Vine Street , Hollywood , CA 90028 .",4:07,29-Mar-11,False,[],False,,album,False,hip-hop/rap,"['music', 'rock', 'gangsta rap', 'west coast rap']",247,0,capitol records,peer pressure,snoop dogg,Boom ( ( Feat . T-Pain ) [ Edited ] ),Snoop Dogg,Doggumentary [ Edited ],"Rap & Hip-Hop , West Coast",$ 1.29,"( C ) 2011 Capitol Records , LLC",3:50,"March 29 , 2011",False,[],False,,album,False,rap & hip-hop,['west coast'],230,2011,capitol records,boom   ),snoop dogg
181,1,Stars Come Out ( Tim Mason Remix ),Zedd,Stars Come Out ( Remixes ) - EP,"Dance, Music, Electronic, House",$1.29,2012 Dim Mak Inc.,5:49,20-May-14,False,[],True,tim mason remix,ep,False,dance,"['music', 'electronic', 'house']",349,2014,dim mak inc.,stars come out,zedd,Stars Come Out ( Dillon Francis Remix ),Zedd,Stars Come Out [ Dillon Francis Remix ],Dance & Electronic,$1.29,2012 Dim Mak Inc.,4:08,"May 20 , 2014",False,[],True,dillon francis,single,False,dance & electronic,[],248,2014,dim mak inc.,stars come out,zedd
485,0,Jump ( feat . Nelly Furtado ),Flo Rida,R.O.O.T.S. ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,‰ ãÑ 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:28,30-Mar-09,False,[],False,,album,False,hip-hop/rap,['music'],208,0,,jump,flo rida,"Yayo [ Feat . Brisco , Billy Blue , Ball Greezy , Rick Ross , Red Eyezz , Bred , Pitbull & Ace Hood ] ( Amended Bonus Version )",Flo Rida,R.O.O.T.S. ( Route Of Overcoming The Struggle ) ( Amended Amazon Exclusive ) [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2012 Motown Records , a Division of UMG Recordings , Inc.",7:53,"March 30 , 2009",False,[],False,,album,False,rap & hip-hop,[],473,2009,motown records,yayo,flo rida
11,0,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,False,[],False,,album,False,alternative,"['music', 'rock', 'adult alternative']",85,0,,vhs outro,x ambassadors,Smoke ( Interlude ) [ Explicit ],X Ambassadors,VHS [ Explicit ],Alternative Rock,$ 1.29,( C ) 2015 KIDinaKORNER/Interscope Records,0:24,"June 30 , 2015",False,[],False,,album,True,alternative rock,[],24,2015,,smoke,x ambassadors
420,0,Make It Bun Dem ( Alvin Risk Remix ),Skrillex & Damian `` Jr. . Gong '' Marley,Make It Bun Dem After Hours ( Remixes ),"Dance , Music , Electronic",$1.29,2012 OWSLA and Big Beat Records for the United States and WEA International for the world outside the United States .,3:58,28-Aug-12,False,[],True,alvin risk remix,single,False,dance,"['music', 'electronic']",238,2012,owsla and big beat records,make it bun dem,skrillex & damian jr. . gong marley,Make It Bun Dem ( David Heartbreak Remix ),Skrillex & Damian Jr Gong '' Marley '',Make It Bun Dem After Hours EP,Dance & Electronic,$ 1.29,2015 RGK,3:29,"August 28 , 2012",False,[],True,,album,False,dance & electronic,[],209,2012,,make it bun dem,skrillex & damian jr gong '' marley ''
493,1,Here 's to the Good Times,Florida Georgia Line,Here 's to the Good Times,"Country , Music , Urban Cowboy , Honky Tonk , Contemporary Country",$ 1.29,"‰ ãÑ 2012 Big Machine Label Group , LLC",4:11,4-Dec-12,False,[],False,,album,False,country,"['music', 'urban cowboy', 'honky tonk', 'contemporary country']",251,0,,here 's to the good times,florida georgia line,Here 's To The Good Times,Florida Georgia Line,Here 's To The Good Times,Country,$ 1.29,"( C ) 2012 Big Machine Label Group , LLC",4:10,"December 4 , 2012",False,[],False,,album,False,country,[],250,2012,,here 's to the good times,florida georgia line
270,0,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,False,[],False,,album,False,hip-hop/rap,"['music', 'rap']",311,0,300 entertainment,whateva,fetty wap,For My Team ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap ( Deluxe ) [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:28,"September 25 , 2015",False,[],False,,album,False,rap & hip-hop,[],208,2015,mute records ltd,for my team,fetty wap
477,0,"Girion , Lord of Dale ( Extended Version )",Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,4:15,10-Dec-13,False,[],False,,album,False,soundtrack,"['music', 'soundtrack', 'classical', 'original score']",255,0,watertower music,"girion , lord of dale",howard shore,Path of Destruction,James Newton Howard,Maleficent ( Original Motion Picture Soundtrack ),Soundtracks,$ 1.29,"( C ) 2014 Disney Enterprises , Inc.",1:48,"May 27 , 2014",False,[],False,,album,False,soundtracks,[],108,2014,,path of destruction,james newton howard
126,0,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],David Guetta,One Love ( Deluxe Version ),"Dance, Music",$1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,21-Aug-09,True,['Wynter Gordon'],True,continuous mix,deluxe,False,dance,['music'],171,2009,parlophone music france,toyfriend,david guetta,When Love Takes Over ( Feat . Kelly Rowland ) [ Explicit ],David Guetta,One More Love [ Explicit ],Dance & Electronic,$ 1.29,"( C ) 2014 Lazy Hooks , LLC Under Exclusive License To Capitol Records , LLC",3:11,"November 24 , 2010",False,[],False,,album,True,dance & electronic,[],191,2010,,when love takes over,david guetta
