id,label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
448,0,Baby When the Light (David Guetta & Fred Rister Remix),David Guetta,Pop Life,"Dance, Music, Rock, Pop, House, Electronic, Electronica, Adult Alternative",$1.29,2007 Gum Records,6:17,"September 18, 2007",Revolver (One Love Remix),David Guetta,One Love,Dance & Electronic,$1.29,2014 Swedish House Mafia Holdings Ltd under exclusive license to Virgin Records Ltd,3:18,"August 21, 2009"
287,1,Outversion,Mark Ronson,Version,"Pop, Music, R&B/Soul, Soul, Dance, Rock, Jazz, Hip-Hop/Rap, Electronic, Hip-Hop, Pop/Rock, Adult Alternative",$0.99,2007 Mark Ronson under exclusive license to SONY BMG MUSIC ENTERTAINMENT (UK) Limited except Track 9 (P) 2006 Rapster Records/BBE Records,1:50,"July 10, 2007",Outversion,Mark Ronson,Version,Pop,$0.99,(c) 2011 J'adore Records,1:50,"July 10, 2007"
534,0,Peer Pressure,Snoop Dogg,Doggumentary,"Hip-Hop/Rap, Music, Rock, Gangsta Rap, West Coast Rap",$1.29,"2011 Capitol Records, LLC. All rights reserved. Unauthorized reproduction is a violation of applicable laws.",4:07,"March 29, 2011",Boom (Edited),Snoop Dogg,Doggumentary,"Rap & Hip-Hop, West Coast",$1.29,"(C) 2011 Capitol Records, LLC",3:50,"March 29, 2011"
181,1,Stars Come Out ( Tim Mason Remix ),Zedd,Stars Come Out ( Remixes ) - EP,"Dance, Music, Electronic, House",$1.29,2012 Dim Mak Inc.,5:49,"May 20, 2014",Stars Come Out (Dillon Francis Remix),Zedd,Stars Come Out,Dance & Electronic,$1.29,2012 Dim Mak Inc.,4:08,"May 20, 2014"
485,0,Jump (Nelly Furtado),Flo Rida,R.O.O.T.S.,"Hip-Hop/Rap, Music",$1.29,2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:28,"March 30, 2009",Yayo (Amended Bonus Version),Flo Rida,R.O.O.T.S.,Rap & Hip-Hop,$1.29,"(C) 2012 Motown Records, a Division of UMG Recordings, Inc.",7:53,"March 30, 2009"
11,0,VHS Outro (Interlude),X Ambassadors,VHS,"Alternative, Music, Rock, Adult Alternative",$1.29,2015 KIDinaKORNER/Interscope Records,1:25,"June 30, 2015",Smoke (Interlude),X Ambassadors,VHS,Alternative Rock,$1.29,(C) 2015 KIDinaKORNER/Interscope Records,0:24,"June 30, 2015"
420,0,Make It Bun Dem (Alvin Risk Remix),Skrillex & Damian Gong Marley,Make It Bun Dem After Hours (Remixes),"Dance, Music, Electronic",$1.29,2012 OWSLA and Big Beat Records for the United States and WEA International for the world outside the United States.,3:58,"August 28, 2012",Make It Bun Dem (David Heartbreak Remix),Skrillex & Damian Jr Gong Marley,Make It Bun Dem After Hours EP,Dance & Electronic,$1.29,2015 RGK,3:29,"August 28, 2012"
493,1,Here 's to the Good Times,Florida Georgia Line,Here s to the Good Times,"Country, Music, Urban Cowboy, Honky Tonk, Contemporary Country",$1.29,"2012 Big Machine Label Group, LLC",4:11,"December 04, 2012",Here's To The Good Times,Florida Georgia Line,Here's To The Good Times,Country,$1.29,"2012 Big Machine Label Group, LLC",4:10,"December 4, 2012"
270,0,,,,,,,,,For My Team (Clean),Fetty Wap,Fetty Wap,Rap & Hip-Hop,$1.29,"2000 Mute Records Ltd, a BMG Company under exclusive license to INgrooves",3:28,"September 25, 2015"
477,0,"Girion , Lord of Dale ( Extended Version )",Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ),"Soundtrack, Music, Classical, Original Score",$1.29,2013 WaterTower Music,4:15,"December 10, 2013",Path of Destruction,James Newton Howard,Maleficent (Original Motion Picture Soundtrack),Soundtracks,$1.29,"(C) 2014 Disney Enterprises, Inc.",1:48,"May 27, 2014"
126,0,Toyfriend ( Continuous Mix Version ),David Guetta,One Love,"Dance, Music",$1.29,2010 Gum Prod licence exclusive Parlophone Music France,2:51,"August 21, 2009",When Love Takes Over (Featuring Kelly Rowland),David Guetta,One More Love,Dance & Electronic,$1.29,"2014 Lazy Hooks, LLC under exclusive license to Capitol Records, LLC",3:11,"November 24, 2010"
