id,label,left_name,right_name,left_addr,right_addr,left_city,right_city,left_phone,right_phone,left_category,right_category,left_class,right_class
0,0,toulouse,` white house restaurant ',' b peachtree rd. ',' 3172 peachtree rd. ne ',atlanta,atlanta,404/351 -9533,404-237-7601,french,diners,92,719
1,0,` gallagher \ 's ',` la grenouille ',' 228 w. 52nd st. ',' 3 e. 52nd st. ',` new york ',` new york city ',212/245 -5336,212-752-1495,american,` french ( classic ) ',254,623
2,0,` center stage plaza hotel ',` chinois on main ',' 1 main st. ',' 2709 main st. ',` las vegas ',` santa monica ',702/386 -2512,310-392-9025,american,` pacific new wave ',436,5
3,0,` sa tsu ki ',` havana sandwich shop ',' 3043 buford hwy . ',' 2905 buford hwy . ',atlanta,atlanta,404/325 -5285,404-636-4094,asian,cuban,415,695
4,0,` pinot bistro ',` mulberry st. ',' 12969 ventura blvd. ',' 17040 ventura blvd. ',` los angeles ',encino,818/990 -0500,818-906-8881,french,pizza,18,580
5,0,` china grill ',seryna,'60 w. 53rd st. ','11 e. 53rd st. ',` new york ',` new york city ',212/333 -7788,212-980-9393,american,japanese,219,59
6,0,lespinasse,` la caravelle ',' 2 e. 55th st. ','33 w. 55th st. ',` new york ',` new york city ',212/339 -6719,212-586-4252,american,` french ( classic ) ',43,39
7,0,` tang pavillion ',menchanko-tei,'65 w. 55th st. ','39 w. 55th st. ',` new york ',` new york city ',212/956 -6888,212-247-1585,asian,japanese,356,627
8,0,aquavit,oceana,'13 w. 54th st. ','55 e. 54th st. ',` new york ',` new york city ',212/307 -7311,212-759-5941,continental,seafood,24,50
9,0,abbey,eats,' 163 ponce de leon ave. ',' 600 ponce de leon ave. ',atlanta,atlanta,404/876 -8532,404-888-9149,international,italian,379,690
10,0,` fifty seven fifty seven ',oceana,'57 e. 57th st. ','55 e. 54th st. ',` new york ',` new york city ',212/758 -5757,212-759-5941,american,seafood,239,50
11,0,` grand cafe hotel monaco ',` mel \ 's drive-in ',' 501 geary st. ',' 3355 geary st. ',` san francisco ',` san francisco ',415/292 -0101,415-387-2244,american,hamburgers,473,739
12,0,` horseradish grill ',` carey \ 's corner ',' 4320 powers ferry rd. ',' 1215 powers ferry rd. ',atlanta,marietta,404/255 -7277,770-933-0909,southern,hamburgers,398,686
13,0,` luna si ',` original pancake house ( at ) ',' 1931 peachtree rd. ',' 4330 peachtree rd. ',atlanta,atlanta,404/355 -5993,404-237-4116,continental,american,405,708
14,0,bruno,` les celebrites ',' 240 e. 58th st. ',' 155 w. 58th st. ',` new york ',` new york city ',212/688 -4190,212-484-5113,italian,` french ( classic ) ',195,42
15,0,eclipse,` mo better meatty meat ',' 8800 melrose ave. ',' 7261 melrose ave. ',` los angeles ',la,310/724 -5959,213-935-5280,californian,hamburgers,132,579
16,0,` pacific dining car ',` andre \ 's french restaurant ',' 6th st. ',' 401 s. 6th st. ',` los angeles ',` las vegas ',213/483 -6000,702-385-5016,american,` french ( classic ) ',153,656
17,1,` rainbow room ',` rainbow room ','30 rockefeller plaza ','30 rockefeller plaza ',` new york ',` new york city ',212/632 -5000,212-632-5000,` or 212/632 -5100 american ',` american ( new ) ',55,55
18,1,` cafe claude ',` cafe claude ',' 7 claude la . ',' 7 claude ln . ',` san francisco ',` san francisco ',415/392 -3505,415-392-3505,french,` french bistro ',97,97
19,0,` yolie \ 's ',` nicky blair \ 's ',' 3900 paradise rd. ',' 3925 paradise rd. ',` las vegas ',` las vegas ',702/794 -0700,702-792-9900,` steak houses ',italian,452,668
20,0,` heera of india ',` rose of india ',' 595 piedmont ave. rio shopping mall ',' 308 e. sixth st. ',atlanta,` new york city ',404/876 -4408,212-533-5011,asian,indian,83,638
21,0,` l \ ` osteria del forno ',` campo santo ',' 519 columbus ave. ',' 240 columbus ave. ',` san francisco ',` san francisco ',415/982 -1124,415-433-9623,italian,mexican,490,724
22,0,` bertolini \ 's ',moongate,' 3570 las vegas blvd. s ',' 3400 las vegas blvd. s. ',` las vegas ',` las vegas ',702/735 -4663,702-791-7352,italian,chinese,427,666
