id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price
1,0,Microsoft Visio Standard 2007,Microsoft,129.95,Adobe CS3 Design Standard Upgrade,unknown,413.99
2,0,Microsoft MapPoint 2006 with GPS,Microsoft,349.0,Microsoft Student with Encarta Premium 2008 Complete Package,unknown,43.6
3,0,Adobe After Effects Professional,Adobe,999.0,Adobe Flash CS3 Professional,unknown,699.0
4,1,Motu Digital Performer 5 Digital Audio Software Competitive Upgrade (Mac Only),Motu,395.0,Motu Digital Performer DP5 Software Music Production Software,unknown,319.95
5,1,Illustrator CS3,Adobe Education Box,199.0,Adobe Illustrator CS3 for Mac Academic,Adobe Education Box,199.99
6,0,QuickBooks Premier Non-Profit Edition,Intuit Inc.,499.95,QuickBooks,unknown,199.99
7,0,Mavis Beacon Typing 17,Encore Software,19.99,Broderbund Mavis Beacon Teaches Typing Standard17,unknown,22.99
8,0,Adobe Premiere Pro CS3,Adobe,799.0,Adobe Soundbooth CS3 Academic,Unknown,95.99
9,0,Adobe Photoshop CS2 Advanced Techniques by Julieanne Kost,Software Cinema,,Adobe Photoshop CS3 (v10.0) Mac,,537.65
10,0,Reader Rabbit Learning System 1st Grade,Encore Software,29.99,Dr. Seuss Reading Learning System 2008 Encore,unknown,19.95
11,0,Adobe Premiere Pro CS3 Upgrade,Adobe,299.0,Adobe CS3 Design Premium,unknown,1865.99
12,0,Punch Home Design Architectural Series,Punch Software,129.99,Punch Software 17100 Punch! Super Home Suite V. 3.0 Complete Product Architectural 1 User,,45.97
13,0,3D Home Architect Landscape Designer v8,Encore Software,29.99,Encore Inc. 3D Home Architect Home Design Deluxe Version 9,unknown,25.49
14,0,Microsoft CRM Professional Cal 3.0 Product Upgrade License Pack User Cal,Microsoft Software,98.8,Microsoft Dynamics CRM Professional V. 3.0 Product Upgrade License,Microsoft,9676.92
15,0,Microsoft Office FrontPage 2003 Academic Version Windows,Microsoft,159.98,Microsoft Windows Vista Business,unknown,249.95
16,0,Adobe Creative Suite CS3 Web Standard,Adobe,999.0,Adobe Creative Suite 3 Web Standard Complete Package Academic CD Mac,unknown,369.0
17,0,PrintMaster Gold V 17.0,Encore Software,19.99,Print Master Platinum V17,unknown,29.9
18,0,Microsoft Windows XP Professional Full Version with SP2,Microsoft,299.99,Adobe Production Premium CS3 Software Suite for Windows Professional Editing Software,Unknown,1698.95
19,0,Microsoft Licenses Win Svr 2003 Ext Conn Lic,Microsoft,3371.85,Microsoft Windows Terminal Server 2003 Client Additional License for Users - 5 User (824048),Unknown,719.04
20,0,Microsoft Office & Windows Training Professional,Topics Entertainment,49.95,Adobe After Effects CS3 Professional Software for Windows,unknown,998.95
21,0,DK Smart Steps 3rd Grade,Global Software Publishing,9.99,Smart Steps 4th Grade,Dorling Kindersley Multimedia,11.95
22,0,Microsoft Office Small Business 2007 Full Version,Microsoft,449.95,Microsoft Office,Unknown,219.99
23,0,Best of Card Games,On-Hand Software,9.99,Geometry,Unknown,9.59
24,0,Instant Immersion German Audio,Topics Entertainment,unknown,Topics Entertainment Instant Immersion Italian 2.0,unknown,17.55
25,0,Microsoft PowerPoint 2004 (Mac),Microsoft,109.99,Microsoft Money 2004 Standard,Unknown,29.99
26,0,OnOne Software Pxl Smartscale Windows and Macintosh,OnOne Software,unknown,OneOnOne Software Inc. MPR-40212,OneOnOne Software Inc.,66.27
27,0,Microsoft Visual Studio Team Edition for Software Developers 2005 with MSDN Premium,Microsoft,5479.0,Visual Studio Pro 2005 Upgrade (PC) Microsoft,,549.0
28,1,Microsoft Word 2007 Version Upgrade,Microsoft,109.95,Microsoft Word 2007,Unknown,109.95
29,0,Microsoft Word 2007 Version Upgrade,Microsoft,109.95,Word Mac 2004 Upgrade,Microsoft,97.36
30,0,Adobe Dreamweaver CS3 Upgrade,Adobe,199.0,Adobe Creative Suite 3 Design Suite Standard Upgrade (Mac),Adobe,859.96
31,1,Hoyle Classic Collection 2006,Encore,19.99,Encore Software 11052 Hoyle: Classic Collection 2006 Win,unknown,18.97
32,0,Adobe InDesign CS3 Upgrade from PageMaker,Adobe,199.0,Adobe CS3 Design Premium Academic,unknown,575.99
33,0,Midway Arcade Treasures (Jewel Case),Encore Software,9.99,Cross Stitch Design Studio,M-and-R-Technologies,9.59
34,0,Digital Vault,StompSoft Inc.,29.99,Digital Video & Audio Prod Book,Sony Pictures Digital Entertainment,27.5
35,0,Microsoft Windows Vista Business,Microsoft,299.95,Microsoft PowerPoint Mac 2004 Version Upgrade,unknown,89.99
36,0,Zero-G Pro Pack for GarageBand (AppleLoops),Zero-G,169.95,Apple GarageBand Jam Pack: Symphony Orchestra,unknown,95.99
37,0,Microsoft ASP .Net Web Matrix,Microsoft,30.0,Microsoft Word 2007,unknown,109.99
38,0,Instant Immersion German Deluxe 2.0,Topics Entertainment,39.99,Instant Immersion Japanese 2.0,unknown,22.43
39,0,Punch ! Professional Home Design Platinum V10,Punch ! Software,99.0,Punch Software - Home Design: Architectural Series,Punch Software,118.99
40,0,Instant Immersion German Deluxe,Topics Entertainment,39.99,Instant Immer's French Deluxe,,27.57
41,0,Adobe Creative Suite CS3 Design Standard,Adobe,1199.0,Adobe Creative Suite 3 Web Premium Complete Package 1 User CD Mac Univ,Unknown,1691.87
42,0,Microsoft CRM Small Business Ed Cal 3.0 License Pack User Cal,Microsoft Software,9929.0,R18-00144 Microsoft Windows Server License & Software Assurance 1 CAL Open Business,Microsoft,41.58
43,0,Digidesign Music Production Toolkit (Pro Tools LE),Digidesign,495.0,Apple/Emagic Logic Pro 7.2 Software Music Production Software,unknown,999.0
44,0,Adobe Creative Suite CS3 Master Collection,Adobe,1999.0,Adobe CS3 After Effects,unknown,1025.99
45,0,Hoyle Kids' Games,Encore,9.99,Hoyle Card Games,unknown,9.95
46,0,Net Ad Creator,Laughing Bird,39.99,Laughingbird The Logo Creator,unknown,34.99
47,1,Reel Deal Slots,Phantom EFX,9.99,Phantom EFX Reel Deal Slots V 2.0,unknown,7.36
48,0,Adobe Creative Suite CS3 Web Standard,Adobe,999.0,Adobe Production Premium CS3 Software Suite for Mac Av Production Software,unknown,1698.95
49,0,Adobe Creative Suite CS3 Design Premium,Adobe,1599.0,Adobe Creative Suite 3 Web Premium Complete Package,unknown,1691.87
50,0,Windows Vista Business Spanish Full Version,Microsoft,329.95,Microsoft Windows Vista Business Full Version,unknown,249.95
51,0,QuickBooks POS: Pro Multistore 6.0,Intuit Inc.,1399.95,QuickBooks (R) Pro 2007 Edition 3-User,unknown,499.99
52,0,Microsoft Office Mac 2004 English 3PK DSP,Microsoft Corporation,,Microsoft (R) Office Word 2004 for Mac Full Version,unknown,231.29
53,0,Instant Immersion Spanish Deluxe 2.0,Topics Entertainment,49.99,Instant Immersion Italian 2.0,Topics Entertainment,20.99
54,0,Adobe Software Acrobat Pro,Adobe Software,273.0,Adobe Acrobat V8.0 Professional for Mac,unknown,405.99
55,0,Apple Final Cut Studio,Apple,1299.0,Adobe Flash CS3 Professional,Unknown,699.0
56,0,Reference Success Deluxe,Topics Entertainment,49.95,High School Success Deluxe,unknown,7.9
57,0,Microsoft Windows Vista Business 32-Bit for System Builders,Microsoft,179.99,Microsoft Windows Vista Home Basic,unknown,99.99
58,0,Microsoft Visual Studio Professional 2005,Microsoft Software,549.0,Microsoft Excel 2007,Unknown,109.99
59,0,Peachtree by Sage Premium Accounting 2007,Sage Software,499.99,Vernfp2007RT Premium Accounting for Nonprofits 2007,unknown,590.35
60,0,Adobe Creative Suite CS3 Production Premium,Adobe,1699.0,Adobe CS3 Production Premium Upgrade,unknown,822.99
61,0,Microsoft SQL Server Developer Edition 2005 CD/DVD,Microsoft Software,49.95,Microsoft Exchange Server 2007 Enterprise Edition Complete Package 1 Server,microsoft,6594.2
62,0,Computrace LoJack for Laptops 1 Year License (Mac),Absolute Software,49.95,Computrace LoJack for Laptops Subscription Package 1 Year 1 Notebook,Unknown,39.95
63,0,Valuesoft Tune Transfer for iPod Software for Windows XP,Valuesoft,29.95,Pinnacle Mobile Media Converter Software for Windows iPod Software,unknown,29.95
64,0,Sibelius 4 Professional Edition,Sibelius Software Ltd.,599.99,Sibelius Sibelius 5 Software Music Production Software,Sibelius Software Ltd.,449.95
65,0,Microsoft Entertainment Pack CE,Microsoft,49.5,Entertainment Partners EP Budgeting for Film,unknown,415.99
66,0,Adobe Premiere Pro 2.0,Adobe,849.0,Premiere Pro CS3 Mac,Unknown,320.25
67,0,Microsoft Office Small Business 2007,Microsoft Software,735.33,Microsoft Windows Vista Business Retail No Open Box Returns,unknown,299.99
68,1,World of Rainbow Fish,Global Software Publishing,19.99,World of Rainbow Fish,Global Software Publishing,19.19
69,0,McAfee Internet Security Suite 2007 3 Users,Mcafee,89.99,F-Secure Internet Security 2007 (Global Marketing Partners),Global Marketing Partners,63.35
70,0,SonicWall GMS Standard Edition 10 Node License,SonicWall,unknown,01-ssc-7309 SonicWall CFS Standard Edition for SonicWall Pro 1260/2040/3060 / 4060 Subscription,unknown,2124.92
71,0,Microsoft Windows Vista Ultimate Full Version,Microsoft,399.95,Microsoft Windows Vista Home Premium,unknown,239.99
72,1,IrisPen Express Translator,Iris,149.99,Iris Inc IrisPen Express Translator,,142.29
73,0,Microsoft Office 2004 Standard,Microsoft,239.99,Microsoft Mappoint 2006 with GPS Locator,unknown,349.99
74,0,Adobe InDesign CS3 Upgrade from Pagemaker,Adobe,199.0,Adobe Dreamweaver CS3 Upgrade for Windows,,236.74
75,0,Microsoft PowerPoint 2004,Microsoft,229.99,Microsoft Office Ultimate 2007,unknown,539.95
76,0,Microspot MacDraft Professional,Microspot Ltd.,349.99,Adobe Acrobat V8.0 Professional for Mac,unknown,405.99
77,0,Adobe Photoshop Elements 4.0 Plus Adobe Premiere Elements 2.0 Complete Package,Adobe Systems Inc,unknown,Adobe Photoshop CS3 Extended Complete Package 1 User Academic CD Mac,Unknown,279.0
78,1,Snap Spelling (Jewel Case),Topics Entertainment,19.95,Spelling,unknown,4.93
79,0,NetManage Rumba Unix-Hp Edition V. 7.3 Upgrade License,NetManage,,Bhe3Dus InstallAnywhere Enterprise Edition V. 8 Product Upgrade License + 1 Year,unknown,4746.16
80,0,ZoneAlarm Internet Security Suite,Zone Labs,49.99,Panda Software Panda Internet Security 2007,unknown,69.99
81,0,MediaFour MacDrive 6 for Windows,Mediafour Corporation,49.99,Quark QuarkXPress 7 Upgrade for Mac & Windows,unknown,244.99
82,0,Microsoft Office Student and Teacher Edition 2004 Macintosh,Microsoft,149.99,Microsoft (R) Office 2004 for Mac Student and Teacher Edition,unknown,146.95
83,1,Microsoft Visio Standard 2007 Version Upgrade,Microsoft,129.95,Microsoft Office Visio Standard 2007,Unknown,129.95
84,0,Quicken Premier,Intuit,79.95,QuickBooks Pro 2007 3 User,Intuit,398.99
85,0,Microsoft Office 2004 Standard Upgrade,Microsoft,239.99,Microsoft Word 2007,unknown,109.99
86,0,Peachtree by Sage Premium Accounting 2007,Sage Software,499.99,Laser Checks for Peachtree (R) Accounting for Windows,unknown,106.29
87,0,Adobe Dreamweaver CS3 Upgrade,Adobe,199.0,Adobe CS3 Flash Professional Upgrade,unknown,205.99
88,1,National Geographic Presents: Redshift 5 Planetarium Software,Topics Entertainment,39.99,Redshift 5 (National Geographic Presents),unknown,39.99
89,0,The Print Shop 22,Encore,49.99,Encore Software 11941 The Print Shop Zoom,Unknown,17.97
90,0,Panda Antivirus,Panda Software,29.95,Norton Antivirus 2007 3 User Pack,unknown,49.95
91,0,Adobe Creative Suite CS3 Production Premium Upgrade,Adobe,799.0,Adobe Acrobat V8.0 Professional for Mac Upgrade,unknown,145.99
92,0,Power Production Storyboard Artist 4,Power Production,unknown,Power Production Storyboard Quick 5 Software,unknown,299.0
93,0,Adobe CS3 Design Standard for Mac OS X DVD,Adobe,399.0,Adobe CS3 Web Standard,unknown,1035.99
94,0,Peachtree by Sage Premium Accounting 2007,Sage Software,499.99,Peachtree (R) Compatible Continuous Checks - Office Accounting 12.0,unknown,91.59
95,0,Adobe After Effects CS3,Adobe,299.0,Adobe Contribute CS3 Upgrade,unknown,82.99
96,0,Symantec Backup Exec SBS AWS Win Agent for Windows Systems,Symantec,447.74,Symantec Backup Exec 11d for Windows Servers Agent for DB2 on Windows Servers,unknown,644.84
97,0,Station Access Collection,Sony Creative Software,29.99,Ultimate Puzzle Collection,unknown,9.95
98,0,Microsoft Powerpoint 2004 Upgrade,Microsoft,109.99,Microsoft Windows Vista Home Basic Upgrade (PC),Unknown,99.99
99,0,Microsoft Office 2004 Standard (Mac),Microsoft,399.99,Microsoft Word 2007,Unknown,109.95
100,0,Instant Immersion Spanish (Audio Book),Topics Entertainment,,Instant Immer's Italian Deluxe,unknown,36.11
101,0,RollerCoaster Tycoon 3,Aspyr Media,49.99,Roller Coaster Tycoon 3 for PC,unknown,29.99
102,0,Peachtree by Sage Complete Accounting 2007,Sage Software,269.99,Sage (PTree) Premium Accounting for Manufacturing 2007 Multi-User,unknown,1180.37
103,0,Recam Remote Monitoring Software,Mobi Technologies Inc.,129.0,Corel Ulead DVD Workshop 2 Authoring Software,unknown,299.95
104,0,QuickBooks Premier Professional Services Edition 2007,Intuit,399.95,Adobe Production Premium CS3 Software Suite for Windows Professional Editing Software,,1698.95
105,1,Logic Pro 6 Upgrade from Logic Platinum/Gold 5 & 6,Apple,199.99,Apple Software Logic Platinum / Gold 5 & 6 to Logic Pro 6 Update,Apple Software,149.0
106,0,Britannica Deluxe,Avanquest Software,29.95,Britannica Deluxe 2008,unknown,26.5
107,0,TLC Arthur's Kindergarten Learning System,Encore,19.99,Encore Software 13871 TLC Reader Rabbit 1st Grade Learning System 2008,,17.97
108,0,Tonka Town,Atari,9.99,Geometry,Unknown,9.59
109,0,Punch 5-in-1 Home Design,Punch! Software,39.99,Punch Software Home Design Architectural Series 18,Punch Software,118.99
110,0,Adobe Creative Suite CS3 Web Premium,Adobe,1399.0,Adobe CS3 Master Collection,Unknown,2054.99
111,0,Illustrator CS3,Adobe Education Box,199.0,Adobe Illustrator CS3 (Mac),unknown,599.0
112,1,Microsoft Windows Vista Business,Microsoft,299.95,Microsoft Windows Vista Business,unknown,299.99
113,0,Instant Play Guitar Deluxe V2,Topics Entertainment,39.48,Instant Immersion Spanish Deluxe 2.0 Topics,unknown,39.99
114,0,Microsoft Windows Terminal Server 2003 Client Additional License for Users - 5 User,Microsoft,669.0,Microsoft Windows Server 2003 Client Access License 20-Pack (per User),Microsoft,688.99
115,0,Adventure Workshop,Encore Software,19.99,Encore Software Adventure Workshop Preschool 1st Grade 7th Ed SB CS by Riverdeep,unknown,17.97
116,0,Jumpstart Advanced Preschool V2.0,Knowledge Adventure,19.99,Jumpstart Advanced 3rd Grade (PC/Mac) Knowledge Adventure,unknown,19.99
117,1,Aquarium 3-in-One Collection,Encore Software,19.99,Aquarium 3-in-One Limited Edition,,19.95
118,0,Hoyle Casino,Encore,19.99,Hoyle (R) Card Games 2007,unknown,19.99
119,0,McAfee Total Protection 2007 3 Users,McAfee,99.99,Mtp07Emb3RuA McAfee Total Protection 2007 Complete Package 3 Users CD Mini-box Wi,unknown,86.94
120,0,Microsoft Visio Standard 2007,Microsoft,259.95,Microsoft Windows Vista Business Full Version,unknown,249.95
121,0,Adobe Premiere Pro CS3,Adobe,299.0,Premiere Pro CS3 Mac,unknown,808.15
122,0,ProCurve VPN Client Software Unlimited Client Licenses,Hewlett Packard,unknown,SaferNet SoftRemote VPN Client License 5 Users Win,unknown,184.57
123,0,Adobe Illustrator CS3,Adobe,599.0,Adobe InDesign CS3 for Mac,Unknown,205.99
124,0,Punch Home Design Architectural Series,Punch ! Software,129.99,Punch Software 38100 Punch Super Home Suite Complete Product,unknown,45.97
125,0,Microsoft Office 2004 Professional,Microsoft,499.99,Web Easy (R) Professional 6,unknown,49.99
126,0,Microsoft OneNote 2007 Upgrade,Microsoft,79.95,Microsoft (R) Office 2004 for Mac Standard Edition,unknown,234.95
127,0,Adobe Creative Suite CS3 Web Premium,Adobe,1399.0,Adobe CS3 Production Premium Upgrade,unknown,822.99
128,0,Adobe After Effects 7.0 Professional,Adobe,999.0,Adobe After Effects CS3 Professional Software for Windows,unknown,998.95
129,0,Microsoft PowerPoint 2004 Upgrade (Mac),microsoft,109.99,Microsoft Access 2007,unknown,109.99
130,0,Computrace LoJack for Laptops 3 Year License,Absolute Software,99.95,Absolute Software LFL-N2-36 Computrace Lojack for Laptops 3 Year License,Absolute Software,85.97
131,0,Punch ! 5 in 1 Home Design,Punch ! Software,39.99,Punch Software 84100 Punch ! Home Design Architectural Series 4000 v. 10.0 Architectural PC,unknown,168.97
132,0,Family Tree Maker Version 16 Essentials,Encore,29.95,Encore Inc Family Tree Maker 2008 Platinum,unknown,85.07
133,0,High School Advantage,Encore Software,29.95,Encore Inc Math Advantage 2008,unknown,33.89
134,0,Adobe Photoshop Elements 4.0 Plus Adobe Premiere Elements 2.0 Complete Package,Adobe Systems Inc.,,Adobe Premiere Elements 3 and Photoshop Elements 5 Software for Windows Consumer Video Editing Software,,149.95
135,0,Adobe InDesign CS3,Adobe,199.0,Adobe Photoshop CS3 for Mac,Unknown,189.99
136,1,TurboCAD Mac 3D for Mac,IMSI,249.99,Imsi Design LLC Turbocad Mac 3D,unknown,204.67
137,0,Microsoft Windows XP Professional Upgrade with SP2,Microsoft Software,199.99,Adobe After Effects Professional 7 Software for Windows Effects Software,unknown,999.0
138,0,Quicken 2007 Premier,Intuit,79.95,Intuit Inc QuickBooks Premier Edition 2007 5 User,unknown,1309.31
139,0,Microsoft Office & Windows Training Professional,Topics Entertainment,49.95,Microsoft Office 2004 Software Suite OEM Mac Apple & Mac Software,unknown,239.95
