id,label,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
448,0,Baby When the Light (David Guetta & Fred Rister Remix),David Guetta,Pop Life (Extended Version) [Bonus],Pop,1.29,ãÑ 2007 Gum Records,6:17,2007-09-18,Revolver (Madonna vs David Guetta Feat Lil Wayne) (One Love Remix),David Guetta,One Love (Deluxe Version),Dance & Electronic,1.29,Swedish House Mafia Holdings Ltd under exclusive license to Virgin Records Ltd,3:18,2009-08-21
287,1,Outversion,Mark Ronson,Version,Pop,0.99,2007 Mark Ronson under exclusive license to Sony Music Entertainment Ltd except Track 9 2006 Rapster Records BBE Records,1:50,2007-07-10,Outversion,Mark Ronson,Version Explicit,Pop,0.99,2011 J'adore Records,1:50,2007-07-10
534,0,Peer Pressure (feat. Traci Nelson),Snoop Dogg,Doggumentary,Hip-Hop,1.29,"Capitol Records, LLC. All rights reserved.",4:07,2011-03-29,Boom (Feat. T-Pain),Snoop Dogg,Doggumentary,Hip-Hop,1.29,"Capitol Records, LLC",3:50,2011-03-29
181,1,Stars Come Out ( Tim Mason Remix ),Zedd,Stars Come Out - EP,Electronic,1.29,Dim Mak Inc.,5:49,2014-05-20,Stars Come Out Dillon Francis Remix,Zedd,Stars Come Out Dillon Francis Remix,Electronic,1.29,Dim Mak Inc.,4:08,2014-05-20
485,0,Jump ( feat . Nelly Furtado ),Flo Rida,R.O.O.T.S.,Hip-Hop,1.29, Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:28,2009-03-30,Yayo feat Brisco Billy Blue Ball Greezy Rick Ross Red Eyezz Bred Pitbull Ace Hood,Flo Rida,R.O.O.T.S Route Of Overcoming The Struggle Amended Amazon Exclusive Clean,Hip-Hop,1.29,Motown Records a Division of UMG Recordings Inc.,7:53,2009-03-30
11,0,VHS Outro,X Ambassadors,VHS,Alternative,1.29,2015 Interscope Records,1:25,2015-06-30,Smoke Interlude Explicit,X Ambassadors,VHS Explicit,Alternative Rock,1.29,KIDinaKORNER/Interscope Records,0:24,2015-06-30
420,0,Make It Bun Dem (Alvin Risk Remix),Skrillex & Damian Jr Gong Marley,Make It Bun Dem After Hours (Remixes),Electronic,1.29,2012 OWSLA and Big Beat Records for the United States and WEA International for the world outside the United States.,3:58,2012-08-28,Make It Bun Dem (David Heartbreak Remix),Skrillex & Damian Jr Gong Marley,Make It Bun Dem After Hours EP,Electronic,1.29,2015 RGK,3:29,2012-08-28
493,1,Here 's to the Good Times,Florida Georgia Line,Here 's to the Good Times,Country,1.29,2012 Big Machine Label Group LLC,4:11,2012-12-04,Here's to the Good Times,Florida Georgia Line,Here's to the Good Times,Country,1.29,"Big Machine Label Group LLC, 2012",4:10,2012-12-04
270,0,Whateva (feat. Monty),Fetty Wap,Fetty Wap (Deluxe Version),Hip-Hop/Rap,unknown,2015 300 Entertainment RGF Productions,5:11,unknown,For My Team (feat. Monty) [Clean],Fetty Wap,Fetty Wap (Deluxe) [Clean],Hip-Hop,1.29,"2000 Mute Records Ltd., a BMG Company, under exclusive license to INgrooves",3:28,2015-09-25
477,0,"Girion, Lord of Dale (Extended Version)",Howard Shore,The Hobbit: The Desolation of Smaug (Original Motion Picture Soundtrack) [Special Edition],Soundtrack,1.29,WaterTower Music 2013,4:15,2013-12-10,Path of Destruction,James Newton Howard,Maleficent Original Motion Picture Soundtrack,Soundtracks,1.29,2014 Disney Enterprises Inc.,1:48,2014-05-27
