id,label,left_name,left_brewery,left_primary_style,left_secondary_style,left_abv,left_is_amber,left_is_ale,left_is_lager,left_is_imperial,left_special_ingredients,right_name,right_brewery,right_primary_style,right_secondary_style,right_abv,right_is_amber,right_is_ale,right_is_lager,right_is_imperial,right_special_ingredients
0,0,C N Red Imperial Red Ale,Redwood Lodge,American Amber,Red Ale,8.1,True,True,False,True,,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company,American Strong Ale,,9.3,False,True,False,True,
1,1,Sanibel Red Island Ale,Point Ybel Brewing Company,Red Ale,Amber,5.6,True,True,False,False,,Point Ybel Sanibel Red Island Ale,Point Ybel Brewing Company,Irish Ale,,5.6,False,True,False,False,
2,0,Kniksen India Red Ale,7 Fjell Bryggeri,Red Ale,Amber,6.8,True,True,False,False,,Boneyard Skunkape India Red Ale,Boneyard Beer Company,IPA,,6.5,False,True,False,False,
3,0,Buffalo Trace Bourbon Barrel Aged Amber Ale,Wolf Hills Brewing Company,Amber Ale,,unknown,True,True,False,False,bourbon,Ballast Point Calico Amber Ale - Rum Barrel Aged,Ballast Point Brewing Company,Amber Ale,,5.0,True,True,False,False,rum
4,1,Poor Richard's Ale,Dry Dock Brewing Company,American Amber,,6.5,True,True,False,False,,21st Amendment Poor Richards Ale,21st Amendment Brewery,Traditional Ale,,7.0,False,True,False,False,
5,0,Redeemer Imperial Red Ale,Boston Beer Works Canal Street,American Amber,,8.2,True,False,False,True,,Laurelwood Organic Deranger Imperial Red Ale,Laurelwood Public House & Brewery,Red Ale,,8.6,True,True,False,True,
6,0,Big Axe Red Ale,Big Axe Brewing Company,Amber,,6.8,True,True,False,False,,Big Spruce Ready Yer Knot ... Regatta Red Ale,Big Spruce Brewing,Amber Ale,,unknown,True,True,False,False,
7,0,Roundabout Imperial Red Ale,Bonfire Brewing Company,Red Ale,,8.8,True,True,False,True,,Anacapa Riptide Imperial Red Ale,Anacapa Brewing Company,American Strong Ale,unknown,8.0,False,True,False,True,
8,0,Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,Red Ale,,4.56,True,True,False,True,,Tumbledown Imp Imperial Red Ale,Tumbledown Brewing LLC,American Strong Ale,,7.8,False,True,False,True,
9,0,Extra Special Red Ale,Alpha Brewing Company,American Amber,,5.0,True,True,False,False,none,Ecliptic Phobos Extra Red Ale,Ecliptic Brewing,Amber Ale,,5.2,True,True,False,False,
10,0,Aorta Ale,Short's Brewing Company,Red Ale,,8.3,True,True,False,False,,Destihl Barrel Aged Deadhead Double Red Ale,Destihl Brewery,American Strong Ale,unknown,unknown,False,False,False,False,unknown
11,0,Three Sheets Barleywine ( Barrel Aged ),Ballast Point Brewing Company,Barleywine,,9.0,False,True,False,False,barrel-aged, (512) Cabernet Barrel Aged Three,(512) Brewing Company,Tripel,,9.5,False,True,False,False,cabernet
12,1,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber,,7.0,True,True,False,False,,Peak Organic The Maple Collaboration,Shipyard Brewing Company,Amber Ale,unknown,6.7,True,True,False,False,
13,0,unknown,unknown,unknown,unknown,unknown,False,False,False,False,unknown,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing,American Strong Ale,,10.0,False,True,False,True,bourbon
