id,label,left_title,left_manufacturer,left_price,right_title,right_manufacturer,right_price,left_normalized_title,right_normalized_title,left_brand,right_brand,left_product_line,right_product_line,left_version,right_version,left_edition,right_edition,left_is_upgrade,right_is_upgrade,left_product_type,right_product_type,left_normalized_price,right_normalized_price,left_price_category,right_price_category,left_platform,right_platform
1,0,microsoft visio standard 2007 version upgrade,microsoft,129.95,adobe cs3 design standard upgrade,,413.99,Microsoft Visio Standard 2007,Adobe Creative Suite 3 Design Standard,Microsoft,Adobe,Visio,Creative Suite,2007,3,Standard,Design Standard Upgrade,True,True,software,software,129.95,413.99,medium,high,,
2,0,microsoft mappoint 2006 with gps,microsoft,349.0,microsoft student with encarta premium 2008 complete package,,43.6,Microsoft MapPoint 2006,Microsoft Student with Encarta Premium 2008,Microsoft,Microsoft,MapPoint,,2006,2008,,Complete Package,False,False,software,software,349.0,43.6,medium,low,,
3,0,adobe after effects professional 7.0,adobe,999.0,adobe flash cs3 professional ( mac ),,699.0,Adobe After Effects Professional,Adobe Flash CS3 Professional,Adobe,Adobe,After Effects,,7.0,,Professional,Professional,,False,video software,software,999.0,699.0,high,high,,Mac
4,1,motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu,395.0,motu digital performer dp5 software music production software,,319.95,MOTU Digital Performer 5,MOTU Digital Performer DP5,MOTU,MOTU,Digital Performer,Digital Performer,5,5,,,True,,audio software,audio software,395.0,319.95,high,high,Mac,
5,1,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,adobe illustrator cs3 for mac academic,adobe-education-box,199.99,Adobe Illustrator CS3,Adobe Illustrator CS3,Adobe,Adobe,Illustrator,Illustrator,CS3,CS3,1U,,,False,graphic design software,graphics software,199.0,199.99,low,medium,Mac,Mac
6,0,quickbooks premier non-profit edition 2005,intuit inc.,499.95,quickbooks ( r ),,199.99,QuickBooks Premier Non-Profit Edition,QuickBooks,Intuit,,Premier,,2005,,Non-Profit Edition,,,False,accounting software,accounting software,499.95,199.99,high,medium,,
7,0,mavis beacon typing 17 ( win/mac ),encore software,19.99,broderbund mavis beacon teaches typing standard17,,22.99,Mavis Beacon Typing,Broderbund Mavis Beacon Teaches Typing Standard,Encore Software,Broderbund,,Mavis Beacon Teaches Typing,17,Standard17,,,,False,typing software,software,19.99,22.99,low,low,[Win/Mac],
8,0,adobe premiere pro cs3,adobe,799.0,adobe soundbooth cs3 academic,,95.99,Adobe Premiere Pro CS3,Adobe Soundbooth CS3,Adobe,Adobe,,Soundbooth,CS3,CS3,Premiere Pro,Academic,,,video editing software,audio software,799.0,95.99,high,low,,
9,0,adobe photoshop cs2 advanced techniques by julieanne kost,software cinema,,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,,537.65,,Adobe Photoshop CS3,,Adobe,,Photoshop,,10.0,,,,False,,software,,537.65,,high,,Mac
10,0,reader rabbit learning system 1st grade,encore software,29.99,dr. seuss reading learning system 2008 encore,,19.95,Reader Rabbit Learning System,Dr. Seuss Reading Learning System,Encore Software,Dr. Seuss,Reader Rabbit,Reading Learning System,1st Grade,2008,,Encore,False,,education software,education software,29.99,19.95,low,low,,
11,0,adobe premiere pro cs3 upgrade,adobe,299.0,adobe cs3 design premium,,1865.99,Adobe Premiere Pro CS3,Adobe CS3 Design Premium,Adobe,Adobe,Premiere Pro,Creative Suite,CS3,3,,Design Premium,True,,video editing software,software,299.0,1865.99,medium,high,,
12,0,punch ! home design architectural series 18,punch ! software,129.99,punch software 17100 punch ! super home suite v. 3.0 complete product architectural 1 user complete productcomplete productstandard english pc,,45.97,Punch ! Home Design Architectural Series,Punch Software Suite,Punch ! Software,,Home Design Architectural Series,Punch,,3.0,,Complete Product Architectural,False,False,software,software suite,129.99,45.97,medium,low,,PC
13,0,3d home architect landscape designer v8,encore software,29.99,encore inc 3d home architect home design deluxe version 9,,25.49,3D Home Architect Landscape Designer,Encore Inc 3D Home Architect,Encore Software,Encore Inc,,,8,9,,Deluxe Version,False,False,software,software,29.99,25.49,low,low,,
14,0,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0,c8a-00066 microsoft dynamics crm professional v. 3.0 product upgrade license 20,,9676.92,Microsoft CRM Professional CAL,Microsoft Dynamics CRM Professional V. 3.0,Microsoft,Microsoft,CRM (Customer Relationship Management),Dynamics CRM,3.0,3.0,,Professional,True,true,software,software,9980.0,9676.92,high,high,,
15,0,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft windows vista business full version,,249.95,Microsoft Office FrontPage 2003,Microsoft Windows Vista Business,Microsoft,Microsoft,Office FrontPage,Windows Vista,2003,,Academic,Business Full Version,,False,office software,operating system,159.98,249.95,medium,medium,Windows,
16,0,adobe creative suite cs3 web standard,adobe,999.0,adobe creative suite 3 web standard complete package academic cd mac,,369.0,Adobe Creative Suite CS3 Web Standard,Adobe Creative Suite 3 Web Standard,Adobe,Adobe,Creative Suite,Creative Suite,CS3,3,Web Standard,Web Standard,,,software,software,999.0,369.0,high,high,,Mac
17,0,printmaster gold v 17.0,encore software,19.99,print master platinum v17,,29.9,PrintMaster Gold,Print Master Platinum V17,Encore Software,Nan,PrintMaster,,17.0,V17,Gold,,False,,software,software,19.99,29.9,low,low,,
18,0,microsoft windows xp professional full version with sp2,microsoft,299.99,adobe production premium cs3 software suite for windows professional editing software,,1698.95,Microsoft Windows XP Professional,Adobe Production Premium CS3 Software Suite,Microsoft,Adobe,,Production Premium,,CS3,Professional Full Version with SP2,,False,False,operating system,software suite,299.99,1698.95,medium,high,,Windows
